Date,Stock,Market,joined date
2017-01-02,62.9927846909968,4882.38,2019-09-13
2017-01-03,62.4655367936992,4899.33,2019-09-13
2017-01-04,63.5033817438262,4899.4,2019-09-13
2017-01-05,64.8372970852375,4900.64,2019-09-13
2017-01-06,64.296018616993,4909.84,2019-09-13
2017-01-09,65.0075590184904,4887.57,2019-09-13
2017-01-10,64.5842127479952,4888.23,2019-09-13
2017-01-11,64.3263716963962,4888.71,2019-09-13
2017-01-12,64.4979894112528,4863.97,2019-09-13
2017-01-13,64.4100621435261,4922.49,2019-09-13
2017-01-16,63.9283442866229,4882.18,2019-09-13
2017-01-17,64.2078990498429,4859.69,2019-09-13
2017-01-18,63.7377355883195,4853.4,2019-09-13
2017-01-19,63.6476082830396,4841.14,2019-09-13
2017-01-20,63.3913573774702,4850.67,2019-09-13
2017-01-23,63.5438188705237,4821.41,2019-09-13
2017-01-24,63.2316490874172,4830.03,2019-09-13
2017-01-25,63.3360193392425,4877.67,2019-09-13
2017-01-26,62.9158523170252,4867.24,2019-09-13
2017-01-27,62.6670944284035,4839.98,2019-09-13
2017-01-30,62.3235822427506,4784.64,2019-09-13
2017-01-31,62.6005289577374,4748.9,2019-09-13
2017-02-01,62.9441405745295,4794.58,2019-09-13
2017-02-02,62.7837424962884,4794.29,2019-09-13
2017-02-03,63.7155547889087,4825.42,2019-09-13
2017-02-06,63.3975406311808,4778.08,2019-09-13
2017-02-07,63.2682921619516,4754.47,2019-09-13
2017-02-08,64.877412177485,4766.6,2019-09-13
2017-02-09,64.4037459647775,4826.24,2019-09-13
2017-02-10,63.8809399700012,4828.32,2019-09-13
2017-02-13,64.2710298200625,4888.19,2019-09-13
2017-02-14,63.4935744883391,4895.82,2019-09-13
2017-02-15,63.5246987504899,4924.86,2019-09-13
2017-02-16,63.1249799899684,4899.46,2019-09-13
2017-02-17,64.7269794783643,4867.58,2019-09-13
2017-02-20,64.6615743687671,4864.99,2019-09-13
2017-02-21,64.1474052379846,4888.76,2019-09-13
2017-02-22,65.7891959215555,4895.88,2019-09-13
2017-02-23,66.4254657399474,4891.29,2019-09-13
2017-02-24,66.1583788293189,4845.24,2019-09-13
2017-02-27,66.3787537179934,4845.18,2019-09-13
2017-02-28,66.1569535653477,4858.58,2019-09-13
2017-03-01,66.2919333916876,4960.83,2019-09-13
2017-03-02,65.9039334341905,4963.8,2019-09-13
2017-03-03,66.4068307809947,4995.13,2019-09-13
2017-03-06,66.1123804688163,4972.19,2019-09-13
