Date,Stock,Market,joined date
2020-01-02,26.493356,3257.85,2021-04-23
2020-01-03,25.621897,3234.85,2021-04-23
2020-01-06,25.880295,3246.28,2021-04-23
2020-01-07,25.231768,3237.18,2021-04-23
2020-01-08,25.3331,3253.05,2021-04-23
2020-01-09,25.140568,3274.7,2021-04-23
2020-01-10,25.084836,3265.35,2021-04-23
2020-01-13,25.246967,3288.13,2021-04-23
2020-01-14,25.768829,3283.15,2021-04-23
2020-01-15,25.637097,3289.29,2021-04-23
2020-01-16,26.012027,3316.81,2021-04-23
2020-01-17,25.505365,3329.62,2021-04-23
2020-01-21,24.97337,3320.79,2021-04-23
2020-01-22,25.3027,3321.75,2021-04-23
2020-01-23,25.520565,3325.54,2021-04-23
2020-01-24,25.322967,3295.47,2021-04-23
2020-01-27,24.395775,3243.63,2021-04-23
2020-01-28,24.664306,3276.24,2021-04-23
2020-01-29,24.801105,3273.4,2021-04-23
2020-01-30,25.01897,3283.66,2021-04-23
2020-01-31,24.709906,3225.52,2021-04-23
2020-02-03,24.917637,3248.92,2021-04-23
2020-02-04,25.854962,3297.59,2021-04-23
2020-02-05,25.733363,3334.69,2021-04-23
2020-02-06,26.777087,3345.78,2021-04-23
2020-02-07,26.153892,3327.71,2021-04-23
2020-02-10,26.402157,3352.09,2021-04-23
2020-02-11,26.478156,3357.75,2021-04-23
2020-02-12,27.005085,3379.45,2021-04-23
2020-02-13,26.625088,3373.94,2021-04-23
2020-02-14,26.792287,3380.16,2021-04-23
2020-02-18,26.736554,3370.29,2021-04-23
2020-02-19,27.025351,3386.15,2021-04-23
2020-02-20,26.827753,3373.23,2021-04-23
2020-02-21,26.204559,3337.75,2021-04-23
2020-02-24,24.476841,3225.89,2021-04-23
2020-02-25,23.417918,3128.21,2021-04-23
2020-02-26,23.270986,3116.39,2021-04-23
2020-02-27,22.070197,2978.76,2021-04-23
2020-02-28,20.499545,2954.22,2021-04-23
2020-03-02,21.477402,3090.23,2021-04-23
2020-03-03,21.168338,3003.37,2021-04-23
2020-03-04,21.978998,3130.12,2021-04-23
2020-03-05,20.697143,3023.94,2021-04-23
2020-03-06,20.073948,2972.37,2021-04-23
2020-03-09,18.366498,2746.56,2021-04-23
2020-03-10,19.830751,2882.23,2021-04-23
2020-03-11,18.716094,2741.38,2021-04-23
2020-03-12,16.588114,2480.64,2021-04-23
2020-03-13,18.214499,2711.02,2021-04-23
2020-03-16,16.319583,2386.13,2021-04-23
2020-03-17,15.868654,2529.19,2021-04-23
2020-03-18,14.627332,2398.1,2021-04-23
2020-03-19,16.192918,2409.39,2021-04-23
2020-03-20,16.461448,2304.92,2021-04-23
2020-03-23,17.196108,2237.4,2021-04-23
2020-03-24,19.683819,2447.33,2021-04-23
2020-03-25,19.932083,2475.56,2021-04-23
2020-03-26,21.553401,2630.07,2021-04-23
2020-03-27,19.633153,2541.47,2021-04-23
2020-03-30,20.165148,2626.65,2021-04-23
2020-03-31,20.038482,2584.59,2021-04-23
2020-04-01,18.695828,2470.5,2021-04-23
2020-04-02,18.817427,2526.9,2021-04-23
2020-04-03,18.462763,2488.65,2021-04-23
2020-04-06,19.714218,2663.68,2021-04-23
2020-04-07,19.440621,2659.41,2021-04-23
2020-04-08,20.459012,2749.98,2021-04-23
2020-04-09,21.056873,2789.82,2021-04-23
2020-04-13,20.499545,2761.63,2021-04-23
2020-04-14,20.945407,2846.06,2021-04-23
2020-04-15,20.494478,2783.36,2021-04-23
2020-04-16,20.823808,2799.55,2021-04-23
2020-04-17,21.03154,2874.56,2021-04-23
2020-04-20,20.752876,2823.16,2021-04-23
2020-04-21,18.949159,2736.56,2021-04-23
2020-04-22,19.633153,2799.31,2021-04-23
2020-04-23,19.714218,2797.8,2021-04-23
2020-04-24,20.109415,2836.74,2021-04-23
2020-04-27,20.362746,2878.48,2021-04-23
2020-04-28,20.692076,2863.39,2021-04-23
2020-04-29,21.984064,2939.51,2021-04-23
2020-04-30,21.629401,2912.43,2021-04-23
2020-05-01,20.26648,2830.71,2021-04-23
2020-05-04,20.545144,2842.74,2021-04-23
2020-05-05,20.362746,2868.44,2021-04-23
2020-05-06,20.514744,2848.42,2021-04-23
2020-05-07,21.153139,2881.19,2021-04-23
2020-05-08,22.115796,2929.8,2021-04-23
2020-05-11,21.973931,2930.32,2021-04-23
2020-05-12,21.40647,2870.12,2021-04-23
2020-05-13,20.788342,2820.0,2021-04-23
2020-05-14,21.208871,2852.5,2021-04-23
2020-05-15,21.325404,2863.7,2021-04-23
2020-05-18,22.181662,2953.91,2021-04-23
2020-05-19,22.313394,2922.94,2021-04-23
2020-05-20,22.627525,2971.61,2021-04-23
2020-05-21,22.490726,2948.51,2021-04-23
2020-05-22,21.821932,2955.45,2021-04-23
2020-05-26,22.526193,2991.77,2021-04-23
2020-05-27,23.088587,3036.13,2021-04-23
2020-05-28,23.093654,3029.73,2021-04-23
2020-05-29,25.150702,3044.31,2021-04-23
2020-06-01,25.013903,3055.73,2021-04-23
2020-06-02,24.902437,3080.82,2021-04-23
2020-06-03,24.730172,3122.87,2021-04-23
2020-06-04,24.92777,3112.35,2021-04-23
2020-06-05,25.596564,3193.93,2021-04-23
2020-06-08,26.174159,3232.39,2021-04-23
2020-06-09,25.3483,3207.18,2021-04-23
2020-06-10,25.024036,3190.14,2021-04-23
2020-06-11,23.605383,3002.1,2021-04-23
2020-06-12,23.762448,3041.31,2021-04-23
2020-06-15,23.843514,3066.59,2021-04-23
2020-06-16,24.157644,3124.74,2021-04-23
