Date,Stock,Market,joined date
2018-01-02,36.383397866993,7648.1,2020-05-28
2018-01-03,36.3055258996992,7671.11,2020-05-28
2018-01-04,36.2355173114711,7695.88,2020-05-28
2018-01-05,36.2536124716768,7724.22,2020-05-28
2018-01-08,36.1871557641704,7696.51,2020-05-28
2018-01-09,36.013593100553,7731.02,2020-05-28
2018-01-10,35.7745756073851,7748.51,2020-05-28
2018-01-11,36.0125614196579,7762.94,2020-05-28
2018-01-12,36.253071421707,7778.64,2020-05-28
2018-01-15,36.1269683682188,7769.14,2020-05-28
2018-01-16,35.8773151659753,7755.93,2020-05-28
2018-01-17,36.1937151784114,7725.43,2020-05-28
2018-01-18,36.3805581408273,7700.96,2020-05-28
2018-01-19,36.305344357196,7730.79,2020-05-28
2018-01-22,36.2492133417251,7715.44,2020-05-28
2018-01-23,36.4532295545542,7731.83,2020-05-28
2018-01-24,36.2076331529482,7643.43,2020-05-28
2018-01-25,35.8860473011202,7615.84,2020-05-28
2018-01-26,36.2557025870627,7665.54,2020-05-28
2018-01-29,35.5951761113374,7671.53,2020-05-28
2018-01-30,35.7445965825506,7587.98,2020-05-28
2018-01-31,35.9362583721185,7533.55,2020-05-28
2018-02-01,35.9450554152942,7490.39,2020-05-28
2018-02-02,35.4903843438491,7443.43,2020-05-28
2018-02-05,34.5433990704685,7334.98,2020-05-28
2018-02-06,33.5774058577403,7141.4,2020-05-28
2018-02-07,34.2350720373093,7279.42,2020-05-28
2018-02-08,34.0191414183557,7170.69,2020-05-28
2018-02-09,33.7230215827342,7092.43,2020-05-28
2018-02-12,34.055063641395,7177.06,2020-05-28
2018-02-13,34.2042392421592,7168.01,2020-05-28
2018-02-14,34.6190989377048,7213.97,2020-05-28
2018-02-15,34.8947027148947,7234.81,2020-05-28
2018-02-16,35.1702351702351,7294.7,2020-05-28
2018-02-19,34.9236133477096,7247.66,2020-05-28
2018-02-20,34.8871380791779,7246.77,2020-05-28
2018-02-21,34.7435808224901,7281.57,2020-05-28
2018-02-22,34.4315137307431,7252.39,2020-05-28
2018-02-23,34.5980895989277,7244.41,2020-05-28
2018-02-26,34.730756340074,7289.58,2020-05-28
2018-02-27,34.4755653213928,7282.45,2020-05-28
2018-02-28,33.8497949748202,7231.91,2020-05-28
2018-03-01,33.4706133524331,7175.64,2020-05-28
2018-03-02,32.869584420244,7069.9,2020-05-28
2018-03-05,33.262708930525,7115.98,2020-05-28
2018-03-06,33.1713412940839,7146.75,2020-05-28
2018-03-07,33.0863957302487,7157.84,2020-05-28
2018-03-08,33.7103478753228,7203.24,2020-05-28
2018-03-09,33.8765958625275,7224.51,2020-05-28
2018-03-12,34.2547659107037,7214.76,2020-05-28
2018-03-13,33.794913314162,7138.78,2020-05-28
2018-03-14,33.8926268181682,7132.69,2020-05-28
2018-03-15,33.9548754825324,7139.76,2020-05-28
