Date,Stock,Market,joined date
2020-01-02,38.296137434935,5970.73,2021-08-30
2020-01-03,37.7139541630403,5896.33,2021-08-30
2020-01-06,37.6362740928119,5855.23,2021-08-30
2020-01-07,37.824215526662,5899.76,2021-08-30
2020-01-08,38.0609775053849,5941.4,2021-08-30
2020-01-09,38.4508606329817,6019.41,2021-08-30
2020-01-10,37.8636242327197,6014.16,2021-08-30
2020-01-13,37.5460628124201,5999.99,2021-08-30
2020-01-14,37.9766554283361,6002.2,2021-08-30
2020-01-15,38.1965348852765,5991.41,2021-08-30
2020-01-16,38.2987963076373,5990.13,2021-08-30
2020-01-17,37.7544684436952,6033.27,2021-08-30
2020-01-20,38.0135124640831,6043.44,2021-08-30
2020-01-21,37.5847776940467,6046.53,2021-08-30
2020-01-22,37.5652984040017,6028.64,2021-08-30
2020-01-23,36.4717454493209,5971.84,2021-08-30
2020-01-24,36.6020348548817,6055.81,2021-08-30
2020-01-27,35.5651762010202,5889.92,2021-08-30
2020-01-28,35.6001498721678,5942.97,2021-08-30
2020-01-29,36.0103484339736,5952.47,2021-08-30
2020-01-30,35.284904370078,5868.67,2021-08-30
2020-01-31,35.0261239974708,5790.54,2021-08-30
2020-02-03,34.799628450106,5818.74,2021-08-30
2020-02-04,35.4173337897375,5924.26,2021-08-30
2020-02-05,35.9161589724416,6011.95,2021-08-30
2020-02-06,36.1021136426022,6038.41,2021-08-30
2020-02-07,35.772517864373,6011.25,2021-08-30
2020-02-10,35.4816891574941,6002.43,2021-08-30
2020-02-11,35.9781718963167,6061.94,2021-08-30
2020-02-12,36.1242770796189,6116.31,2021-08-30
2020-02-13,36.2272495691102,6114.74,2021-08-30
2020-02-14,36.01520533703,6114.27,2021-08-30
2020-02-17,35.8117917271565,6131.79,2021-08-30
2020-02-18,34.7901154634726,6086.13,2021-08-30
2020-02-19,35.1833444975044,6134.21,2021-08-30
2020-02-20,34.8127540732592,6078.56,2021-08-30
2020-02-21,34.5134182705339,6039.07,2021-08-30
2020-02-24,32.9520667614405,5797.14,2021-08-30
2020-02-25,32.4630113141864,5688.2,2021-08-30
2020-02-26,32.305265448216,5681.34,2021-08-30
2020-02-27,31.4596485053779,5499.98,2021-08-30
2020-02-28,29.899782807625,5287.76,2021-08-30
2020-03-02,29.6111587313955,5273.53,2021-08-30
2020-03-03,29.3237114323377,5330.32,2021-08-30
2020-03-04,29.527361799254,5393.8,2021-08-30
2020-03-05,29.1370706707428,5309.98,2021-08-30
2020-03-06,27.9699366910046,5130.98,2021-08-30
2020-03-09,25.8931535388455,4723.32,2021-08-30
2020-03-10,27.0640649672909,4656.77,2021-08-30
2020-03-11,26.7139879443412,4640.31,2021-08-30
2020-03-12,23.3278536361705,4072.35,2021-08-30
2020-03-13,24.0977234869517,4103.92,2021-08-30
2020-03-16,22.9882487113835,3886.24,2021-08-30
2020-03-17,23.0641507774186,3973.66,2021-08-30
2020-03-18,20.8503393936748,3753.08,2021-08-30
2020-03-19,22.2727029771768,3828.28,2021-08-30
2020-03-20,22.1473639182976,3969.36,2021-08-30
2020-03-23,22.6802465826855,3885.87,2021-08-30
2020-03-24,25.3980410769762,4312.38,2021-08-30
2020-03-25,25.8290538776221,4389.6,2021-08-30
2020-03-26,26.6988685237874,4445.92,2021-08-30
2020-03-27,25.1707197522475,4282.13,2021-08-30
2020-03-30,27.1288287989749,4363.68,2021-08-30
