Date,Stock,Market,joined date
2018-01-02,112.66,2695.81,2020-04-12
2018-01-03,113.69,2713.06,2020-04-12
2018-01-04,112.28,2723.99,2020-04-12
2018-01-05,113.0,2743.15,2020-04-12
2018-01-08,114.15,2747.71,2020-04-12
2018-01-09,112.6,2751.29,2020-04-12
2018-01-10,109.54,2748.23,2020-04-12
2018-01-11,107.94,2767.56,2020-04-12
2018-01-12,105.78,2786.24,2020-04-12
2018-01-16,107.48,2776.42,2020-04-12
2018-01-17,107.01,2802.56,2020-04-12
2018-01-18,106.96,2798.03,2020-04-12
2018-01-19,107.3,2810.3,2020-04-12
2018-01-22,109.34,2832.97,2020-04-12
2018-01-23,111.11,2839.13,2020-04-12
2018-01-24,110.85,2837.54,2020-04-12
2018-01-25,111.41,2839.25,2020-04-12
2018-01-26,111.65,2872.87,2020-04-12
2018-01-29,107.37,2853.53,2020-04-12
2018-01-30,106.56,2822.43,2020-04-12
2018-01-31,111.95,2823.81,2020-04-12
2018-02-01,107.98,2821.98,2020-04-12
2018-02-02,107.71,2762.13,2020-04-12
2018-02-05,104.33,2648.94,2020-04-12
2018-02-06,104.5,2695.14,2020-04-12
2018-02-07,104.17,2681.66,2020-04-12
2018-02-08,98.96,2581.0,2020-04-12
2018-02-09,102.21,2619.55,2020-04-12
2018-02-12,105.05,2656.0,2020-04-12
2018-02-13,105.12,2662.94,2020-04-12
2018-02-14,105.27,2698.63,2020-04-12
2018-02-15,105.45,2731.2,2020-04-12
2018-02-16,102.2,2732.22,2020-04-12
2018-02-20,99.58,2716.26,2020-04-12
2018-02-21,97.95,2701.33,2020-04-12
2018-02-22,100.83,2703.96,2020-04-12
2018-02-23,102.2,2747.3,2020-04-12
2018-02-26,101.58,2779.6,2020-04-12
2018-02-27,100.3,2744.28,2020-04-12
2018-02-28,100.64,2713.83,2020-04-12
2018-03-01,98.9,2677.67,2020-04-12
2018-03-02,98.22,2691.25,2020-04-12
2018-03-05,100.36,2720.94,2020-04-12
2018-03-06,101.18,2728.12,2020-04-12
2018-03-07,103.06,2726.8,2020-04-12
2018-03-08,103.72,2738.97,2020-04-12
2018-03-09,103.14,2786.57,2020-04-12
2018-03-12,104.35,2783.02,2020-04-12
2018-03-13,105.66,2765.31,2020-04-12
2018-03-14,105.47,2749.48,2020-04-12
2018-03-15,105.33,2747.33,2020-04-12
2018-03-16,106.37,2752.01,2020-04-12
2018-03-19,104.75,2712.92,2020-04-12
2018-03-20,104.97,2716.94,2020-04-12
2018-03-21,103.37,2711.93,2020-04-12
2018-03-22,102.91,2643.69,2020-04-12
2018-03-23,102.3,2588.26,2020-04-12
2018-03-26,102.1,2658.55,2020-04-12
2018-03-27,102.71,2612.62,2020-04-12
2018-03-28,105.04,2605.0,2020-04-12
2018-03-29,105.38,2640.87,2020-04-12
2018-04-02,102.93,2581.88,2020-04-12
2018-04-03,103.02,2614.45,2020-04-12
2018-04-04,104.6,2644.69,2020-04-12
2018-04-05,105.21,2662.84,2020-04-12
2018-04-06,104.3,2604.47,2020-04-12
2018-04-09,104.38,2613.16,2020-04-12
2018-04-10,103.48,2656.87,2020-04-12
2018-04-11,104.55,2642.19,2020-04-12
2018-04-12,100.99,2663.99,2020-04-12
2018-04-13,102.44,2656.3,2020-04-12
2018-04-16,103.19,2677.84,2020-04-12
2018-04-17,104.51,2706.39,2020-04-12
2018-04-18,104.12,2708.64,2020-04-12
2018-04-19,103.17,2693.13,2020-04-12
2018-04-20,102.32,2670.14,2020-04-12
2018-04-23,101.79,2670.29,2020-04-12
2018-04-24,101.41,2634.56,2020-04-12
2018-04-25,101.47,2639.4,2020-04-12
2018-04-26,103.5,2666.94,2020-04-12
2018-04-27,107.8,2669.91,2020-04-12
2018-04-30,105.69,2648.05,2020-04-12
2018-05-01,105.01,2654.8,2020-04-12
2018-05-02,105.34,2635.67,2020-04-12
2018-05-03,104.97,2629.73,2020-04-12
2018-05-04,106.39,2663.42,2020-04-12
2018-05-07,106.66,2672.63,2020-04-12
2018-05-08,104.54,2671.92,2020-04-12
2018-05-09,105.92,2697.79,2020-04-12
2018-05-10,108.35,2723.07,2020-04-12
2018-05-11,108.79,2727.72,2020-04-12
2018-05-14,108.23,2730.13,2020-04-12
2018-05-15,107.23,2711.45,2020-04-12
2018-05-16,106.9,2722.46,2020-04-12
2018-05-17,105.5,2720.13,2020-04-12
2018-05-18,105.24,2712.97,2020-04-12
2018-05-21,106.59,2733.01,2020-04-12
2018-05-22,106.34,2724.44,2020-04-12
2018-05-23,106.61,2733.29,2020-04-12
2018-05-24,106.29,2727.76,2020-04-12
2018-05-25,106.56,2721.33,2020-04-12
