Date,Stock,Market,joined date
2020-01-02,75.9,3257.85,2021-08-09
2020-01-03,75.56,3234.85,2021-08-09
2020-01-06,75.39,3246.28,2021-08-09
2020-01-07,75.24,3237.18,2021-08-09
2020-01-08,76.27,3253.05,2021-08-09
2020-01-09,75.8,3274.7,2021-08-09
2020-01-10,74.83,3265.35,2021-08-09
2020-01-13,74.15,3288.13,2021-08-09
2020-01-14,72.8,3283.15,2021-08-09
2020-01-15,73.03,3289.29,2021-08-09
2020-01-16,73.08,3316.81,2021-08-09
2020-01-17,72.53,3329.62,2021-08-09
2020-01-21,73.13,3320.79,2021-08-09
2020-01-22,74.42,3321.75,2021-08-09
2020-01-23,74.33,3325.54,2021-08-09
2020-01-24,74.18,3295.47,2021-08-09
2020-01-27,72.77,3243.63,2021-08-09
2020-01-28,74.93,3276.24,2021-08-09
2020-01-29,76.92,3273.4,2021-08-09
2020-01-30,79.11,3283.66,2021-08-09
2020-01-31,78.51,3225.52,2021-08-09
2020-02-03,80.63,3248.92,2021-08-09
2020-02-04,82.02,3297.59,2021-08-09
2020-02-05,80.74,3334.69,2021-08-09
2020-02-06,81.44,3345.78,2021-08-09
2020-02-07,83.16,3327.71,2021-08-09
2020-02-10,84.61,3352.09,2021-08-09
2020-02-11,85.33,3357.75,2021-08-09
2020-02-12,87.33,3379.45,2021-08-09
2020-02-13,88.03,3373.94,2021-08-09
2020-02-14,89.41,3380.16,2021-08-09
2020-02-18,90.76,3370.29,2021-08-09
2020-02-19,91.49,3386.15,2021-08-09
2020-02-20,90.31,3373.23,2021-08-09
2020-02-21,88.73,3337.75,2021-08-09
2020-02-24,86.37,3225.89,2021-08-09
2020-02-25,83.06,3128.21,2021-08-09
2020-02-26,83.58,3116.39,2021-08-09
2020-02-27,83.21,2978.76,2021-08-09
2020-02-28,86.31,2954.22,2021-08-09
2020-03-02,87.96,3090.23,2021-08-09
2020-03-03,85.81,3003.37,2021-08-09
2020-03-04,89.55,3130.12,2021-08-09
2020-03-05,88.6,3023.94,2021-08-09
2020-03-06,84.02,2972.37,2021-08-09
2020-03-09,77.63,2746.56,2021-08-09
2020-03-10,79.82,2882.23,2021-08-09
2020-03-11,75.0,2741.38,2021-08-09
2020-03-12,68.68,2480.64,2021-08-09
2020-03-13,77.32,2711.02,2021-08-09
2020-03-16,72.31,2386.13,2021-08-09
2020-03-17,70.94,2529.19,2021-08-09
2020-03-18,76.61,2398.1,2021-08-09
2020-03-19,75.88,2409.39,2021-08-09
2020-03-20,79.7,2304.92,2021-08-09
2020-03-23,83.5,2237.4,2021-08-09
2020-03-24,85.0,2447.33,2021-08-09
2020-03-25,81.37,2475.56,2021-08-09
2020-03-26,83.66,2630.07,2021-08-09
2020-03-27,82.57,2541.47,2021-08-09
2020-03-30,88.14,2626.65,2021-08-09
2020-03-31,92.4,2584.59,2021-08-09
2020-04-01,92.09,2470.5,2021-08-09
2020-04-02,84.04,2526.9,2021-08-09
2020-04-03,79.0,2488.65,2021-08-09
2020-04-06,90.15,2663.68,2021-08-09
2020-04-07,87.97,2659.41,2021-08-09
2020-04-08,88.37,2749.98,2021-08-09
2020-04-09,90.63,2789.82,2021-08-09
2020-04-13,93.97,2761.63,2021-08-09
2020-04-14,98.43,2846.06,2021-08-09
2020-04-15,100.53,2783.36,2021-08-09
2020-04-16,100.68,2799.55,2021-08-09
2020-04-17,100.35,2874.56,2021-08-09
2020-04-20,101.8,2823.16,2021-08-09
2020-04-21,99.33,2736.56,2021-08-09
2020-04-22,101.79,2799.31,2021-08-09
2020-04-23,102.19,2797.8,2021-08-09
2020-04-24,105.07,2836.74,2021-08-09
2020-04-27,108.25,2878.48,2021-08-09
2020-04-28,103.94,2863.39,2021-08-09
2020-04-29,103.4,2939.51,2021-08-09
2020-04-30,104.75,2912.43,2021-08-09
2020-05-01,103.52,2830.71,2021-08-09
2020-05-04,107.08,2842.74,2021-08-09
2020-05-05,109.35,2868.44,2021-08-09
2020-05-06,115.49,2848.42,2021-08-09
2020-05-07,117.7,2881.19,2021-08-09
2020-05-08,116.56,2929.8,2021-08-09
2020-05-11,120.65,2930.32,2021-08-09
2020-05-12,120.26,2870.12,2021-08-09
2020-05-13,119.07,2820.0,2021-08-09
2020-05-14,122.01,2852.5,2021-08-09
2020-05-15,125.88,2863.7,2021-08-09
2020-05-18,122.92,2953.91,2021-08-09
2020-05-19,127.22,2922.94,2021-08-09
2020-05-20,128.77,2971.61,2021-08-09
2020-05-21,132.85,2948.51,2021-08-09
2020-05-22,133.0,2955.45,2021-08-09
2020-05-26,128.95,2991.77,2021-08-09
2020-05-27,126.54,3036.13,2021-08-09
2020-05-28,127.8,3029.73,2021-08-09
2020-05-29,139.74,3044.31,2021-08-09
2020-06-01,147.22,3055.73,2021-08-09
2020-06-02,147.68,3080.82,2021-08-09
2020-06-03,147.45,3122.87,2021-08-09
2020-06-04,140.06,3112.35,2021-08-09
2020-06-05,139.64,3193.93,2021-08-09
2020-06-08,146.54,3232.39,2021-08-09
2020-06-09,141.92,3207.18,2021-08-09
2020-06-10,148.05,3190.14,2021-08-09
2020-06-11,148.9,3002.1,2021-08-09
2020-06-12,150.6,3041.31,2021-08-09
2020-06-15,162.69,3066.59,2021-08-09
2020-06-16,163.05,3124.74,2021-08-09
2020-06-17,161.71,3113.49,2021-08-09
2020-06-18,162.3,3115.34,2021-08-09
2020-06-19,161.42,3097.74,2021-08-09
2020-06-22,168.3,3117.86,2021-08-09
2020-06-23,166.8,3131.29,2021-08-09
2020-06-24,163.91,3050.33,2021-08-09
2020-06-25,168.4,3083.76,2021-08-09
2020-06-26,177.58,3009.05,2021-08-09
2020-06-29,171.67,3053.24,2021-08-09
2020-06-30,172.21,3100.29,2021-08-09
2020-07-01,178.96,3115.86,2021-08-09
2020-07-02,190.99,3130.01,2021-08-09
2020-07-06,190.66,3179.72,2021-08-09
2020-07-07,197.75,3145.32,2021-08-09
2020-07-08,206.35,3169.94,2021-08-09
2020-07-09,212.42,3152.05,2021-08-09
2020-07-10,210.11,3185.04,2021-08-09
2020-07-13,190.02,3155.22,2021-08-09
2020-07-14,196.43,3197.52,2021-08-09
2020-07-15,192.83,3226.56,2021-08-09
2020-07-16,191.72,3215.57,2021-08-09
2020-07-17,196.41,3224.73,2021-08-09
2020-07-20,201.99,3251.84,2021-08-09
2020-07-21,201.03,3257.3,2021-08-09
2020-07-22,203.98,3276.02,2021-08-09
2020-07-23,198.49,3235.66,2021-08-09
2020-07-24,190.95,3215.63,2021-08-09
2020-07-27,196.27,3239.41,2021-08-09
2020-07-28,196.73,3218.44,2021-08-09
2020-07-29,209.15,3258.44,2021-08-09
2020-07-30,213.94,3246.22,2021-08-09
2020-07-31,216.83,3271.12,2021-08-09
2020-08-03,226.28,3294.61,2021-08-09
2020-08-04,227.68,3306.51,2021-08-09
2020-08-05,226.02,3327.77,2021-08-09
2020-08-06,215.68,3349.16,2021-08-09
2020-08-07,204.76,3351.28,2021-08-09
2020-08-10,198.38,3360.47,2021-08-09
2020-08-11,191.82,3333.69,2021-08-09
2020-08-12,193.3,3380.35,2021-08-09
2020-08-13,199.38,3373.43,2021-08-09
2020-08-14,199.71,3372.85,2021-08-09
2020-08-17,207.7,3381.99,2021-08-09
2020-08-18,209.47,3389.78,2021-08-09
2020-08-19,208.21,3374.85,2021-08-09
2020-08-20,214.48,3385.51,2021-08-09
2020-08-21,210.18,3397.16,2021-08-09
2020-08-24,204.49,3431.28,2021-08-09
2020-08-25,205.09,3443.62,2021-08-09
2020-08-26,214.41,3478.73,2021-08-09
2020-08-27,214.77,3484.55,2021-08-09
2020-08-28,215.24,3508.01,2021-08-09
2020-08-31,223.0,3500.31,2021-08-09
2020-09-01,268.8,3526.65,2021-08-09
2020-09-02,265.16,3580.84,2021-08-09
2020-09-03,242.01,3455.06,2021-08-09
2020-09-04,216.26,3426.96,2021-08-09
2020-09-08,205.63,3331.84,2021-08-09
2020-09-09,211.79,3398.96,2021-08-09
2020-09-10,205.95,3339.19,2021-08-09
2020-09-11,197.94,3340.97,2021-08-09
2020-09-14,202.95,3383.54,2021-08-09
2020-09-15,202.02,3401.2,2021-08-09
2020-09-16,197.01,3385.49,2021-08-09
2020-09-17,193.39,3357.01,2021-08-09
2020-09-18,194.86,3319.47,2021-08-09
2020-09-21,205.02,3281.06,2021-08-09
2020-09-22,212.13,3315.57,2021-08-09
2020-09-23,211.52,3236.92,2021-08-09
2020-09-24,203.85,3246.59,2021-08-09
2020-09-25,212.36,3298.46,2021-08-09
2020-09-28,213.24,3351.6,2021-08-09
2020-09-29,212.93,3335.47,2021-08-09
2020-09-30,215.24,3363.0,2021-08-09
2020-10-01,222.26,3380.8,2021-08-09
2020-10-02,218.27,3348.44,2021-08-09
2020-10-05,225.92,3408.63,2021-08-09
2020-10-06,221.2,3360.95,2021-08-09
2020-10-07,224.05,3419.45,2021-08-09
2020-10-08,220.39,3446.83,2021-08-09
2020-10-09,225.6,3477.13,2021-08-09
2020-10-12,231.86,3534.22,2021-08-09
