Date,Stock,Market,joined date
2020-01-06,37.3318160054957,5819.2,2021-03-11
2020-01-07,38.1516864350323,5934.4,2021-03-11
2020-01-09,38.8724320469569,5953.4,2021-03-11
2020-01-10,39.1492474483635,5872.9,2021-03-11
2020-01-13,38.3460463189866,6903.7,2021-03-11
2020-01-14,39.2401744314418,6962.2,2021-03-11
2020-01-15,39.2584514721919,6994.8,2021-03-11
2020-01-16,39.2150100020694,7041.8,2021-03-11
2020-01-17,38.1052515839965,7064.1,2021-03-11
2020-01-20,38.5450597176982,7079.5,2021-03-11
2020-01-21,37.991143840726,7066.3,2021-03-11
2020-01-22,38.2717485781553,7132.7,2021-03-11
2020-01-23,37.8925317140295,7088.0,2021-03-11
2020-01-24,37.9089965586934,7090.5,2021-03-11
2020-01-28,36.2781891334483,6994.5,2021-03-11
2020-01-29,37.2766440215556,7031.5,2021-03-11
2020-01-30,36.9073855084928,7008.4,2021-03-11
2020-01-31,36.7270196849867,7017.2,2021-03-11
2020-02-03,36.1449007721439,6391.5,2021-03-11
2020-02-04,37.0804532654244,5154.3,2021-03-11
2020-02-06,37.2439227932269,5835.1,2021-03-11
2020-02-07,36.5692554043234,6032.7,2021-03-11
2020-02-10,36.7463193506546,5791.5,2021-03-11
2020-02-11,38.6332359950324,5951.3,2021-03-11
2020-02-12,38.6164894835415,6590.2,2021-03-11
2020-02-13,38.9240463810177,7103.2,2021-03-11
2020-02-14,39.0695801027087,7130.2,2021-03-11
2020-02-17,39.1568489242439,7125.1,2021-03-11
2020-02-18,38.4062669188763,7113.7,2021-03-11
2020-02-19,42.052425356945,7144.6,2021-03-11
2020-02-20,42.8320059270235,7162.5,2021-03-11
2020-02-21,41.6042624819414,7139.0,2021-03-11
2020-02-24,40.522245629792,6978.3,2021-03-11
2020-02-25,39.9223603509629,6866.6,2021-03-11
2020-02-26,38.1457126966991,6708.1,2021-03-11
2020-02-27,37.6084543490112,6657.9,2021-03-11
2020-02-28,36.1771234044769,6441.2,2021-03-11
2020-03-02,37.1741134774961,6923.3,2021-03-11
2020-03-03,37.115777002567,6435.7,2021-03-11
2020-03-04,37.3837968208533,5067.5,2021-03-11
2020-03-06,37.8442731438681,5941.6,2021-03-11
2020-03-09,36.5589414964732,6112.6,2021-03-11
2020-03-11,36.8290690285685,6066.4,2021-03-11
2020-03-12,33.3892314118109,6615.3,2021-03-11
2020-03-13,34.2235410484668,5539.3,2021-03-11
2020-03-16,33.918729622765,5002.0,2021-03-11
2020-03-17,30.110003478845,5293.4,2021-03-11
2020-03-18,27.9201292705448,4953.2,2021-03-11
2020-03-19,25.6909280883653,4782.9,2021-03-11
2020-03-20,27.412986380477,4816.6,2021-03-11
2020-03-23,27.2412085190688,4546.0,2021-03-11
2020-03-24,31.8103294215762,4735.7,2021-03-11
2020-03-25,29.1941230442917,4998.1,2021-03-11
2020-03-26,30.4604844332616,5113.3,2021-03-11
2020-03-27,31.1764053117641,4842.4,2021-03-11
2020-03-30,31.8166668724001,5181.4,2021-03-11
2020-03-31,31.3498855821201,5076.8,2021-03-11
2020-04-02,31.1007973631274,6948.7,2021-03-11
2020-04-03,29.2555423665816,6325.4,2021-03-11
2020-04-06,30.4299138224841,5991.8,2021-03-11
2020-04-08,30.7688476313217,6037.6,2021-03-11
2020-04-09,31.5583353928633,5925.5,2021-03-11
2020-04-14,31.929417825863,5488.1,2021-03-11
2020-04-15,31.8300711406513,5466.7,2021-03-11
2020-04-16,31.6399625382844,5416.3,2021-03-11
2020-04-17,33.0927743200071,5487.5,2021-03-11
2020-04-20,32.8153408550994,5353.0,2021-03-11
2020-04-21,31.8081338390816,5221.3,2021-03-11
2020-04-22,32.1271174116204,5221.2,2021-03-11
2020-04-23,31.6156192878206,5217.1,2021-03-11
2020-04-24,30.5841639157946,5242.6,2021-03-11
2020-04-27,32.8565056915509,5321.4,2021-03-11
2020-04-28,34.7799562573418,5313.1,2021-03-11
2020-04-29,35.7903706859821,5393.4,2021-03-11
2020-04-30,37.7905084304407,5522.4,2021-03-11
2020-05-05,36.7152988985411,5407.1,2021-03-11
2020-05-06,36.4608,5998.7,2021-03-11
2020-05-08,37.1826093769383,6001.3,2021-03-11
2020-05-11,36.4040978128994,6139.6,2021-03-11
2020-05-13,37.1878690873418,5421.9,2021-03-11
2020-05-14,37.0731707317073,5328.7,2021-03-11
2020-05-15,37.1370478933224,5404.8,2021-03-11
2020-05-18,37.9507384021291,5460.5,2021-03-11
2020-05-19,38.3401198700645,5559.5,2021-03-11
2020-05-20,38.7112096263458,5573.0,2021-03-11
2020-05-21,39.1280374936001,5550.4,2021-03-11
2020-05-22,38.7525976656951,5497.0,2021-03-11
2020-05-25,39.394811925765,5615.6,2021-03-11
2020-05-26,41.1963845084567,5780.0,2021-03-11
2020-05-27,41.5141304275869,5775.0,2021-03-11
2020-05-28,41.5815175561984,5851.1,2021-03-11
2020-05-29,41.5491784154918,5755.7,2021-03-11
2020-06-01,42.2228868165629,6735.7,2021-03-11
2020-06-02,43.0805079487639,7049.2,2021-03-11
2020-06-03,44.4890334186674,6216.2,2021-03-11
2020-06-04,45.8865262997133,5286.8,2021-03-11
2020-06-05,45.5847205479643,5384.6,2021-03-11
2020-06-10,45.1167802516128,5962.1,2021-03-11
2020-06-11,43.3790267306374,6190.2,2021-03-11
2020-06-15,42.1584226911103,5719.8,2021-03-11
2020-06-16,43.2454014759335,5942.3,2021-03-11
2020-06-17,44.1752417661837,5991.8,2021-03-11
2020-06-18,44.0519580170453,5936.5,2021-03-11
2020-06-19,46.6762314681971,5942.6,2021-03-11
2020-06-22,46.7190984857378,5944.5,2021-03-11
2020-06-23,46.7638112263634,5954.4,2021-03-11
2020-06-24,46.667766187001,5965.7,2021-03-11
2020-06-25,46.2879450300531,5817.7,2021-03-11
2020-06-26,46.5038107194062,5904.1,2021-03-11
2020-06-29,47.128109384438,5815.0,2021-03-11
2020-06-30,47.4096876164708,5897.9,2021-03-11
2020-07-01,48.5363054330241,6826.4,2021-03-11
2020-07-02,49.0146538655887,7022.6,2021-03-11
2020-07-07,50.5320626805957,6012.9,2021-03-11
2020-07-08,49.4117647058823,6004.8,2021-03-11
2020-07-09,49.5487967914438,5944.8,2021-03-11
2020-07-10,49.7755791170463,6036.4,2021-03-11
2020-07-13,49.9052826601348,5977.5,2021-03-11
2020-07-14,49.4385940442151,5941.1,2021-03-11
2020-07-15,51.5156186498872,6052.9,2021-03-11
2020-07-16,51.2847316593841,6010.9,2021-03-11
2020-07-17,51.7700879273078,6033.6,2021-03-11
2020-07-20,51.1319008078995,6001.6,2021-03-11
2020-07-21,53.8375465929258,6156.3,2021-03-11
2020-07-22,53.27099468218,6075.1,2021-03-11
2020-07-23,53.1492849792414,6094.5,2021-03-11
2020-07-24,53.3149602943475,6024.0,2021-03-11
2020-07-27,54.1178152702316,6044.2,2021-03-11
2020-07-28,53.8136169420926,6020.5,2021-03-11
2020-07-29,53.7730222263742,6006.4,2021-03-11
2020-07-30,53.3936586488664,6051.1,2021-03-11
2020-07-31,52.7935893498647,5927.8,2021-03-11
2020-08-04,54.0078043890738,5206.9,2021-03-11
2020-08-05,54.3063215952482,5391.1,2021-03-11
2020-08-07,54.0569555477624,5920.3,2021-03-11
2020-08-10,54.1178152702316,6102.0,2021-03-11
2020-08-12,55.4767736667956,6687.7,2021-03-11
2020-08-13,53.5171802514672,6091.0,2021-03-11
2020-08-14,54.7002172806219,6126.2,2021-03-11
2020-08-17,53.6001558227948,6076.4,2021-03-11
2020-08-18,55.6536974558723,6123.4,2021-03-11
2020-08-19,60.1051301200666,6167.6,2021-03-11
2020-08-20,61.5404528882593,6120.0,2021-03-11
2020-08-21,60.8686311719002,6111.2,2021-03-11
2020-08-24,61.3699022521394,6129.6,2021-03-11
2020-08-25,61.7172044171073,6161.4,2021-03-11
2020-08-26,60.4947466610747,6116.4,2021-03-11
2020-08-27,62.77444312994,6126.2,2021-03-11
2020-08-28,62.345774497455,6073.8,2021-03-11
2020-08-31,59.5532217739854,6060.5,2021-03-11
2020-09-01,59.5207382782843,6874.2,2021-03-11
2020-09-03,61.6955364544701,5760.6,2021-03-11
2020-09-04,59.9496295002257,5387.3,2021-03-11
2020-09-07,59.0794029503332,5955.5,2021-03-11
2020-09-09,58.8021117786274,5878.6,2021-03-11
2020-09-10,59.5354709506084,6102.2,2021-03-11
2020-09-11,59.5895299549911,6298.8,2021-03-11
2020-09-14,59.1857854998105,5899.5,2021-03-11
2020-09-15,59.415337889142,5894.8,2021-03-11
2020-09-16,59.0607262606562,5956.1,2021-03-11
2020-09-17,57.8600624447028,5883.2,2021-03-11
2020-09-18,57.6341358524123,5864.5,2021-03-11
2020-09-21,56.7220669281386,5822.6,2021-03-11
2020-09-22,57.1194903581267,5784.1,2021-03-11
2020-09-23,58.3037994383255,5923.9,2021-03-11
2020-09-24,57.0643559125014,5875.9,2021-03-11
2020-09-25,57.3123085139276,5964.9,2021-03-11
2020-09-28,57.1961850356681,5952.3,2021-03-11
2020-09-29,57.5934887499911,5952.1,2021-03-11
2020-09-30,56.729564252211,5815.9,2021-03-11
2020-10-01,57.1549655935296,6929.0,2021-03-11
2020-10-02,57.7256384913985,7012.5,2021-03-11
2020-10-06,57.9898555048804,6148.4,2021-03-11
2020-10-07,59.8879331881937,5919.2,2021-03-11
2020-10-08,60.5383093989165,6110.2,2021-03-11
2020-10-09,60.0183870103734,5908.5,2021-03-11
2020-10-12,59.2415353791602,6683.1,2021-03-11
2020-10-13,60.2871155980381,6195.7,2021-03-11
2020-10-14,61.901078595677,6179.2,2021-03-11
2020-10-15,61.8351252446739,6210.3,2021-03-11
2020-10-16,62.8562123432666,6176.8,2021-03-11
2020-10-19,63.6594277153135,6229.4,2021-03-11
2020-10-20,65.0488994109524,6184.6,2021-03-11
2020-10-21,65.4762328391776,6191.8,2021-03-11
2020-10-22,62.2705410251302,6173.8,2021-03-11
2020-10-23,62.5740257145712,6167.0,2021-03-11
2020-10-26,61.7477387650452,6155.6,2021-03-11
2020-10-27,60.9015481994697,6051.0,2021-03-11
2020-10-28,61.9378015708098,6057.7,2021-03-11
2020-10-29,60.3353761385359,5960.3,2021-03-11
2020-10-30,59.5315046933843,5927.6,2021-03-11
2020-11-02,60.0138238447216,7055.3,2021-03-11
2020-11-03,60.9816346257115,5725.9,2021-03-11
2020-11-05,61.3435281267067,5461.2,2021-03-11
2020-11-06,61.2902289677588,5960.6,2021-03-11
2020-11-09,63.7584870472361,5859.4,2021-03-11
2020-11-11,56.703056768559,6449.7,2021-03-11
2020-11-12,56.72738316473,6642.6,2021-03-11
2020-11-13,57.5045970244715,6405.2,2021-03-11
2020-11-16,57.4903585097586,6484.3,2021-03-11
2020-11-17,55.464736104624,6498.2,2021-03-11
2020-11-18,55.810012199309,6531.1,2021-03-11
2020-11-19,55.5268124549118,6547.2,2021-03-11
2020-11-20,55.5535272254635,6539.2,2021-03-11
2020-11-23,55.4899903837748,6561.6,2021-03-11
2020-11-24,56.2522999926401,6644.1,2021-03-11
2020-11-25,54.5157347548854,6683.3,2021-03-11
2020-11-26,54.096031681769,6636.4,2021-03-11
2020-11-27,55.143990368636,6601.1,2021-03-11
2020-11-30,54.3677054947961,6517.8,2021-03-11
2020-12-02,60.7658198751316,7088.2,2021-03-11
2020-12-03,60.4857004723121,5304.6,2021-03-11
2020-12-08,63.7195686812169,6132.0,2021-03-11
2020-12-10,64.9873068723682,6132.0,2021-03-11
2020-12-11,64.5127270261923,6418.2,2021-03-11
2020-12-14,62.8961629195276,6660.2,2021-03-11
2020-12-15,63.6902242911553,6631.3,2021-03-11
2020-12-16,64.9716658080548,6679.2,2021-03-11
2020-12-17,66.4934154371418,6756.7,2021-03-11
2020-12-18,66.5116456371746,6675.5,2021-03-11
2020-12-21,66.0350882515796,6669.9,2021-03-11
2020-12-22,64.9889817314851,6599.6,2021-03-11
2020-12-23,66.4970545030515,6643.1,2021-03-11
2020-12-24,66.6170393777345,6664.8,2021-03-11
2020-12-29,66.9546436285097,6700.3,2021-03-11
2020-12-30,67.2578203640667,6682.4,2021-03-11
2020-12-31,66.6918004785683,6587.1,2021-03-11
2021-01-04,67.5800976267654,6828.7,2021-03-11
2021-01-06,65.8714866330184,7142.6,2021-03-11
2021-01-07,64.7930212144516,7265.6,2021-03-11
2021-01-11,64.1914508868454,7370.8,2021-03-11
2021-01-12,64.2426408877561,7235.9,2021-03-11
2021-01-13,63.9125358570512,6686.6,2021-03-11
2021-01-14,63.810427424874,6715.3,2021-03-11
2021-01-15,63.0179611201824,6715.4,2021-03-11
2021-01-18,63.7204837780764,6663.0,2021-03-11
2021-01-19,68.9392482013004,6742.6,2021-03-11
2021-01-20,69.4118467222829,6770.4,2021-03-11
2021-01-21,70.4648490870699,6823.7,2021-03-11
2021-01-22,70.5550111496053,6800.4,2021-03-11
2021-01-25,70.6825451882684,6824.7,2021-03-11
2021-01-27,70.8276506734909,6780.6,2021-03-11
2021-01-28,69.4951046266078,6649.7,2021-03-11
2021-01-29,70.3215748609158,6607.4,2021-03-11
2021-02-02,70.8271534512265,6762.6,2021-03-11
2021-02-03,73.1233575808356,6762.3,2021-03-11
2021-02-08,74.3050743050743,7491.4,2021-03-11
2021-02-09,75.352853782345,7485.7,2021-03-11
2021-02-11,74.2853599553543,7324.3,2021-03-11
2021-02-12,74.5220263292552,7225.2,2021-03-11
2021-02-15,77.2742828697654,6868.9,2021-03-11
2021-02-16,75.7065740080042,6917.3,2021-03-11
2021-02-17,81.3644429635255,6885.2,2021-03-11
2021-02-18,86.0970873786408,6885.9,2021-03-11
2021-02-19,84.7333590387233,6793.8,2021-03-11
2021-02-22,83.0998401165092,6780.9,2021-03-11
2021-02-23,75.6751198367373,6839.2,2021-03-11
2021-02-24,75.1047658503163,6777.8,2021-03-11
2021-02-25,75.0434926357718,6834.0,2021-03-11
2021-02-26,69.3063966837718,6673.3,2021-03-11
2021-03-02,70.3619732624502,6824.6,2021-03-11
2021-03-03,70.5038991735152,6818.0,2021-03-11
2021-03-05,66.5221702137472,7028.8,2021-03-11
2021-03-08,67.0052625137682,7474.5,2021-03-11
2021-03-09,66.5458611250337,7522.9,2021-03-11
2021-03-11,70.005217296506,7392.7,2021-03-11
2021-03-12,72.2145003610725,7241.2,2021-03-11
2021-03-15,71.5459888652823,6773.0,2021-03-11
2021-03-16,72.3535425508845,6827.1,2021-03-11
2021-03-17,73.5362888140666,6795.2,2021-03-11
2021-03-18,74.3104892501473,6745.9,2021-03-11
2021-03-19,74.5087716581763,6708.2,2021-03-11
2021-03-22,75.264070873215,6752.5,2021-03-11
2021-03-23,73.8572702535842,6745.4,2021-03-11
2021-03-24,74.5691517995921,6778.8,2021-03-11
2021-03-25,75.5017280058207,6790.6,2021-03-11
2021-03-26,76.3139608579785,6824.2,2021-03-11
2021-03-29,74.8577009354351,6799.5,2021-03-11
2021-03-30,73.312424534678,6738.4,2021-03-11
2021-03-31,73.1116310160428,6790.7,2021-03-11
2021-04-01,74.7229310279164,6684.2,2021-03-11
2021-04-06,78.9493847403343,7295.4,2021-03-11
2021-04-08,80.2463940008417,7503.2,2021-03-11
2021-04-13,80.581100485778,6976.9,2021-03-11
2021-04-14,82.3644757361002,7023.1,2021-03-11
2021-04-15,82.1191642383285,7058.6,2021-03-11
2021-04-16,82.1940053821646,7063.5,2021-03-11
2021-04-19,82.9454838809768,7065.6,2021-03-11
2021-04-20,82.3351327973556,7017.8,2021-03-11
2021-04-21,82.4238854095615,6997.5,2021-03-11
2021-04-22,81.7559652259696,7055.4,2021-03-11
2021-04-23,81.3222218780012,7060.7,2021-03-11
2021-04-26,81.3510941960038,7045.6,2021-03-11
2021-04-27,81.4829192546584,7033.8,2021-03-11
2021-04-28,82.3501008543414,7064.7,2021-03-11
2021-04-29,81.8090062111801,7082.3,2021-03-11
2021-04-30,82.2910317050022,7025.8,2021-03-11
2021-05-03,83.493081048359,6710.8,2021-03-11
2021-05-05,81.0802435661053,7095.8,2021-03-11
2021-05-07,82.6393136655218,7315.0,2021-03-11
2021-05-10,82.2540990024586,7248.4,2021-03-11
2021-05-11,83.0256132840981,7456.9,2021-03-11
2021-05-13,81.4944776361655,6982.7,2021-03-11
2021-05-14,82.2510822510823,7014.2,2021-03-11
2021-05-17,82.6527760526643,7023.6,2021-03-11
2021-05-18,81.9458836178352,7066.0,2021-03-11
2021-05-19,78.7125385334497,6931.7,2021-03-11
2021-05-20,80.4481522660301,7019.6,2021-03-11
2021-05-21,80.3639765286164,7030.3,2021-03-11
2021-05-24,84.2642191024737,7045.9,2021-03-11
2021-05-25,86.1879223758447,7115.2,2021-03-11
2021-05-26,86.552748885587,7092.5,2021-03-11
2021-05-27,82.3226185961191,7094.9,2021-03-11
2021-05-28,82.8686242296627,7179.5,2021-03-11
2021-05-31,85.3061508596354,7161.6,2021-03-11
2021-06-01,86.8445946993781,6607.1,2021-03-11
2021-06-04,89.9968278284552,6885.9,2021-03-11
2021-06-07,89.8419934564512,7261.8,2021-03-11
2021-06-08,90.2483765354221,7538.4,2021-03-11
2021-06-09,89.8263295796202,7528.5,2021-03-11
2021-06-10,88.4115380739386,7206.5,2021-03-11
2021-06-15,90.7442132120131,7379.5,2021-03-11
2021-06-16,89.562120451121,7386.2,2021-03-11
2021-06-17,88.471121177803,7359.0,2021-03-11
2021-06-18,90.22528281854,7368.9,2021-03-11
2021-06-21,90.2240909022409,7235.3,2021-03-11
2021-06-22,91.0663303071044,7342.2,2021-03-11
2021-06-23,90.6350132183952,7298.5,2021-03-11
2021-06-24,88.7399443479844,7275.3,2021-03-11
2021-06-25,89.5146485412147,7308.0,2021-03-11
2021-06-28,89.396381466936,7307.3,2021-03-11
2021-06-29,89.1255689585242,7301.2,2021-03-11
2021-06-30,90.3583291469533,7313.0,2021-03-11
2021-07-01,87.0136757116076,6712.0,2021-03-11
2021-07-05,86.259599457913,7080.8,2021-03-11
2021-07-06,85.6005457803235,7281.9,2021-03-11
2021-07-07,87.8718056137411,7326.9,2021-03-11
2021-07-09,85.8676207513417,7530.3,2021-03-11
2021-07-12,87.039071902167,7313.9,2021-03-11
2021-07-13,85.9642591213701,7332.1,2021-03-11
2021-07-14,87.2166953399656,7354.7,2021-03-11
2021-07-15,87.2374558093937,7335.9,2021-03-11
2021-07-16,87.0398744624313,7348.1,2021-03-11
2021-07-19,88.1992320286631,7286.0,2021-03-11
2021-07-20,88.7763478056932,7252.2,2021-03-11
2021-07-21,86.6039762777214,7308.7,2021-03-11
2021-07-22,86.5218610279036,7386.4,2021-03-11
2021-07-23,87.6314471707562,7394.4,2021-03-11
2021-07-26,87.1063682186848,7394.3,2021-03-11
2021-07-27,86.5827629351587,7431.4,2021-03-11
2021-07-28,87.206343352388,7379.3,2021-03-11
2021-07-29,87.7487484008371,7417.4,2021-03-11
2021-07-30,85.6674940880984,7392.6,2021-03-11
2021-08-02,87.4733200853758,6880.7,2021-03-11
2021-08-03,88.8683500314245,6739.6,2021-03-11
2021-08-04,89.7358323494687,6998.8,2021-03-11
2021-08-06,89.9565437981162,7292.6,2021-03-11
2021-08-09,89.367162865733,7512.0,2021-03-11
2021-08-10,91.2725829450071,7320.1,2021-03-11
2021-08-11,91.7079499882048,7452.2,2021-03-11
2021-08-12,91.7485020278545,7405.4,2021-03-11
2021-08-13,94.0429169368626,7628.9,2021-03-11
2021-08-16,94.955794416523,7582.5,2021-03-11
2021-08-17,92.0405944182675,7511.0,2021-03-11
2021-08-18,98.3563882481399,7502.1,2021-03-11
2021-08-19,100.766053537995,7464.6,2021-03-11
2021-08-20,101.102914948564,7460.9,2021-03-11
2021-08-23,105.885320935597,7489.9,2021-03-11
2021-08-24,103.942002060988,7503.0,2021-03-11
2021-08-25,105.931124768173,7531.9,2021-03-11
2021-08-26,107.424983361787,7491.2,2021-03-11
2021-08-27,108.568504167276,7488.3,2021-03-11
2021-08-30,110.591616277289,7504.5,2021-03-11
2021-08-31,114.655645367763,7534.9,2021-03-11
2021-09-02,114.77362692652,6821.2,2021-03-11
2021-09-03,116.874496584231,6771.2,2021-03-11
2021-09-06,117.498716775648,7270.2,2021-03-11
2021-09-07,118.048888560668,7273.3,2021-03-11
2021-09-08,118.471825385137,7538.4,2021-03-11
2021-09-09,117.85590642241,7369.5,2021-03-11
2021-09-13,120.618154229185,7425.2,2021-03-11
2021-09-14,120.732680078156,7437.3,2021-03-11
2021-09-15,120.534502863932,7417.0,2021-03-11
2021-09-16,116.128373896627,7460.2,2021-03-11
2021-09-17,115.8043096058,7403.7,2021-03-11
2021-09-20,112.839028209757,7248.2,2021-03-11
2021-09-21,115.638535573023,7273.8,2021-03-11
2021-09-22,115.637633489343,7296.9,2021-03-11
2021-09-23,118.419900787861,7370.2,2021-03-11
