Date,Stock,Market,joined date
2017-01-02,17.175572519084,5645.36,2019-11-09
2017-01-03,17.0261244108742,5638.49,2019-11-09
2017-01-04,17.364861322288,5638.53,2019-11-09
2017-01-05,17.6115699850498,5638.84,2019-11-09
2017-01-06,17.4271062579632,5645.68,2019-11-09
2017-01-09,17.32759623212,5628.64,2019-11-09
2017-01-10,17.1433094132546,5638.04,2019-11-09
2017-01-11,17.3141623817685,5668.64,2019-11-09
2017-01-12,17.2252814293747,5607.73,2019-11-09
2017-01-13,17.4033795862774,5660.37,2019-11-09
2017-01-16,17.2302310790757,5624.12,2019-11-09
2017-01-17,17.4070463723715,5616.96,2019-11-09
2017-01-18,17.3057093958946,5645.87,2019-11-09
2017-01-19,17.2954298266192,5644.65,2019-11-09
2017-01-20,17.5730471717291,5660.83,2019-11-09
2017-01-23,17.5619834710745,5619.76,2019-11-09
2017-01-24,17.3718038134275,5643.7,2019-11-09
2017-01-25,17.5396185871609,5746.46,2019-11-09
2017-01-26,17.5792722651203,5767.18,2019-11-09
2017-01-27,17.4847609881297,5750.46,2019-11-09
2017-01-30,17.3905140706526,5685.65,2019-11-09
2017-01-31,17.4448102768932,5614.3,2019-11-09
2017-02-01,17.2541883802059,5674.75,2019-11-09
2017-02-02,17.1375088753577,5642.14,2019-11-09
2017-02-03,17.244167493208,5653.69,2019-11-09
2017-02-06,17.0102760340528,5584.9,2019-11-09
2017-02-07,16.7675926222593,5603.96,2019-11-09
2017-02-08,16.8638483590775,5600.89,2019-11-09
2017-02-09,16.9719052641672,5649.22,2019-11-09
2017-02-10,16.9675435890344,5661.01,2019-11-09
2017-02-13,16.8121993090732,5713.09,2019-11-09
2017-02-14,16.7063303188958,5711.8,2019-11-09
2017-02-15,16.8402980171052,5722.46,2019-11-09
2017-02-16,17.0058589372806,5704.67,2019-11-09
2017-02-17,16.8290146643747,5703.25,2019-11-09
2017-02-20,17.2395501803522,5737.48,2019-11-09
2017-02-21,17.1667263648047,5805.02,2019-11-09
2017-02-22,17.3998860062064,5820.32,2019-11-09
2017-02-23,17.4394617410899,5795.66,2019-11-09
2017-02-24,17.3500744479762,5725.95,2019-11-09
2017-02-27,17.2906544727065,5734.95,2019-11-09
2017-02-28,17.2477607520911,5740.6,2019-11-09
2017-03-01,17.369203674214,5853.39,2019-11-09
2017-03-02,17.0984619263741,5849.81,2019-11-09
2017-03-03,17.1725324440858,5834.2,2019-11-09
2017-03-06,16.967081323517,5800.75,2019-11-09
2017-03-07,16.9515699615433,5804.5,2019-11-09
2017-03-08,16.8201842210653,5805.07,2019-11-09
2017-03-09,16.9939616974926,5810.5,2019-11-09
2017-03-10,17.1558429088116,5803.24,2019-11-09
2017-03-13,17.0288697134335,5816.31,2019-11-09
2017-03-14,16.9843726808167,5815.65,2019-11-09
2017-03-15,17.1605190010625,5825.84,2019-11-09
2017-03-16,17.297797679275,5861.32,2019-11-09
2017-03-17,17.2902463900371,5867.25,2019-11-09
2017-03-20,17.1791788352517,5846.71,2019-11-09
2017-03-21,17.2441744844581,5802.68,2019-11-09
2017-03-22,17.2235116316727,5774.54,2019-11-09
2017-03-23,17.3882109439007,5840.3,2019-11-09
2017-03-24,17.4318167094949,5852.23,2019-11-09
2017-03-27,17.5834084761045,5819.14,2019-11-09
2017-03-28,17.6397448372797,5893.53,2019-11-09
2017-03-29,17.613177585186,5919.52,2019-11-09
2017-03-30,17.3718591892065,5926.02,2019-11-09
2017-03-31,17.4908951504696,5953.44,2019-11-09
2017-04-03,17.4955727666474,5926.64,2019-11-09
2017-04-04,17.4700916726252,5939.04,2019-11-09
2017-04-05,17.3310872045293,5907.8,2019-11-09
2017-04-06,17.272021028659,5914.25,2019-11-09
2017-04-07,17.1313011530276,5909.76,2019-11-09
2017-04-10,17.1606533759878,5897.89,2019-11-09
2017-04-11,17.122198426666,5868.29,2019-11-09
2017-04-12,17.2064453520737,5875.67,2019-11-09
2017-04-13,17.0375558456168,5853.62,2019-11-09
2017-04-18,17.1497869691669,5801.21,2019-11-09
2017-04-19,17.0916373060324,5808.88,2019-11-09
2017-04-20,17.0512985343275,5814.04,2019-11-09
2017-04-21,17.0865913698234,5823.98,2019-11-09
2017-04-24,17.7729238660321,6020.64,2019-11-09
2017-04-25,17.9825855156064,6026.23,2019-11-09
2017-04-26,17.8808957892671,6028.99,2019-11-09
2017-04-27,17.5964078757108,6007.12,2019-11-09
2017-04-28,17.540992536907,6004.37,2019-11-09
2017-05-02,17.8110931421828,6015.3,2019-11-09
2017-05-03,17.8518961858643,6024.77,2019-11-09
2017-05-04,18.1564552624064,6061.22,2019-11-09
2017-05-05,18.2627817482133,6094.38,2019-11-09
2017-05-08,18.3599467004521,6082.15,2019-11-09
2017-05-09,18.3248350166887,6108.67,2019-11-09
2017-05-10,18.3146799956535,6112.51,2019-11-09
2017-05-11,18.1540733982818,6073.27,2019-11-09
2017-05-12,19.1567950343139,6091.51,2019-11-09
2017-05-15,19.1807577935545,6088.32,2019-11-09
2017-05-16,19.5598209140476,6087.47,2019-11-09
2017-05-17,19.4874026466716,6002.38,2019-11-09
2017-05-18,19.2990830576586,5979.94,2019-11-09
2017-05-19,19.9430837833599,6001.5,2019-11-09
2017-05-22,20.2752808988765,5992.25,2019-11-09
2017-05-23,20.1276990685348,6011.18,2019-11-09
2017-05-24,20.0168255748738,6003.61,2019-11-09
2017-05-25,20.0080704822112,5993.64,2019-11-09
2017-05-26,20.0270605731921,5984.51,2019-11-09
2017-05-29,20.0337151405542,5997.14,2019-11-09
2017-05-30,19.8834725623735,5982.76,2019-11-09
2017-05-31,19.9246852517986,5990.58,2019-11-09
2017-06-01,19.3726316733558,6002.71,2019-11-09
2017-06-02,19.6047466498217,6077.66,2019-11-09
2017-06-06,19.4211428313714,6014.69,2019-11-09
2017-06-07,19.4768652432779,6006.46,2019-11-09
2017-06-08,19.1669469671488,6026.05,2019-11-09
2017-06-09,19.1662003357582,6074.47,2019-11-09
2017-06-12,18.9895392334745,6014.38,2019-11-09
2017-06-13,18.9292843205419,6049.94,2019-11-09
2017-06-14,18.8390353337072,6069.36,2019-11-09
2017-06-15,18.2690379086715,6015.27,2019-11-09
2017-06-16,18.6877169409921,6044.11,2019-11-09
2017-06-19,18.7342534168691,6108.67,2019-11-09
2017-06-20,18.6939820742638,6073.52,2019-11-09
2017-06-21,18.7364612876572,6054.31,2019-11-09
2017-06-22,18.61494547644,6063.67,2019-11-09
2017-06-23,18.6457750419697,6034.95,2019-11-09
2017-06-26,18.5795892815221,6052.69,2019-11-09
2017-06-27,18.4112372033966,6005.38,2019-11-09
2017-06-28,18.4803876956681,5994.13,2019-11-09
2017-06-29,18.195234118495,5884.61,2019-11-09
2017-06-30,17.9568897570336,5841.44,2019-11-09
2017-07-03,17.9772345162903,5912.63,2019-11-09
2017-07-04,17.7785591144179,5894.53,2019-11-09
2017-07-05,17.6580769667386,5902.38,2019-11-09
2017-07-06,17.7612792689891,5868.05,2019-11-09
2017-07-07,17.7498603495252,5871.57,2019-11-09
2017-07-10,17.8907291939768,5898.7,2019-11-09
2017-07-11,17.9427208731742,5894.48,2019-11-09
2017-07-12,18.0906414732662,5984.32,2019-11-09
2017-07-13,18.1635862257572,5991.31,2019-11-09
2017-07-14,18.1636795211394,5986.76,2019-11-09
2017-07-17,18.0606728418444,5965.64,2019-11-09
2017-07-18,17.974932131924,5891.34,2019-11-09
2017-07-19,18.0136095151466,5901.6,2019-11-09
2017-07-20,18.2982137873291,5899.33,2019-11-09
2017-07-21,18.161994496012,5801.13,2019-11-09
2017-07-24,18.0797206866454,5786.39,2019-11-09
2017-07-25,18.0181754631248,5812.62,2019-11-09
2017-07-26,18.2139211844621,5831.96,2019-11-09
2017-07-27,18.2728907362866,5787.85,2019-11-09
2017-07-28,18.2889573003078,5764.47,2019-11-09
2017-07-31,18.2869794811684,5743.4,2019-11-09
2017-08-01,18.4035686047747,5806.45,2019-11-09
2017-08-02,18.4151256519678,5773.37,2019-11-09
2017-08-03,18.4607168288631,5760.69,2019-11-09
2017-08-04,18.5346450762568,5828.46,2019-11-09
2017-08-07,18.8039530166517,5809.24,2019-11-09
2017-08-08,18.7689451794064,5825.77,2019-11-09
2017-08-09,18.62890331076,5760.34,2019-11-09
2017-08-10,18.3964595937008,5694.14,2019-11-09
2017-08-11,18.3210798799083,5694.02,2019-11-09
2017-08-14,18.5680297748045,5765.62,2019-11-09
2017-08-15,18.4148773905901,5771.26,2019-11-09
2017-08-16,18.3757766898889,5812.41,2019-11-09
2017-08-17,18.2469344212328,5783.79,2019-11-09
2017-08-18,18.2397629183621,5765.65,2019-11-09
2017-08-21,18.2290743694252,5718.63,2019-11-09
2017-08-22,18.2985629277701,5796.05,2019-11-09
2017-08-23,18.2150867666156,5769.97,2019-11-09
