Date,Stock,Market,joined date
2018-01-02,7.64111798324591,6090.1,2019-05-08
2018-01-03,7.71750031340103,5973.3,2019-05-08
2018-01-05,7.86986807553815,6015.2,2019-05-08
2018-01-08,8.0046412807426,6275.7,2019-05-08
2018-01-10,7.81850405432959,6172.3,2019-05-08
2018-01-11,7.77163235839455,5840.8,2019-05-08
2018-01-15,7.76391333083827,6077.1,2019-05-08
2018-01-16,7.60976852294074,6048.6,2019-05-08
2018-01-17,7.6502558054285,6015.8,2019-05-08
2018-01-18,7.76607401364462,6014.6,2019-05-08
2018-01-19,7.6224871360542,6005.8,2019-05-08
2018-01-22,7.60812923397603,5991.9,2019-05-08
2018-01-23,7.66813525982904,6037.0,2019-05-08
2018-01-24,7.77887049188257,6054.7,2019-05-08
2018-01-25,7.6827975980219,6050.0,2019-05-08
2018-01-29,7.68739025238916,6075.4,2019-05-08
2018-01-30,7.56473668897294,6022.8,2019-05-08
2018-01-31,7.67545625875871,6037.7,2019-05-08
2018-02-01,7.69236952310525,6061.3,2019-05-08
2018-02-02,7.50813777591218,6121.4,2019-05-08
2018-02-05,7.36498834205054,6050.2,2019-05-08
2018-02-07,7.0936407505025,6177.8,2019-05-08
2018-02-08,7.10223957806629,6240.9,2019-05-08
2018-02-13,7.41887569453722,5855.9,2019-05-08
2018-02-14,7.31291843283286,5841.2,2019-05-08
2018-02-15,7.37904795189718,5909.0,2019-05-08
2018-02-16,7.3721345968265,5904.0,2019-05-08
2018-02-19,7.44426688606554,5941.6,2019-05-08
2018-02-20,7.33723706920331,5940.9,2019-05-08
2018-02-21,7.31140172914261,5943.7,2019-05-08
2018-02-22,7.2487644151565,5950.9,2019-05-08
2018-02-23,7.3166141250647,5999.8,2019-05-08
2018-02-26,7.39844805378405,6042.2,2019-05-08
2018-02-27,7.39177168850187,6056.9,2019-05-08
2018-02-28,7.2177510108732,6016.0,2019-05-08
2018-03-01,7.24997286106415,6070.4,2019-05-08
2018-03-05,7.25931677018633,6098.3,2019-05-08
2018-03-07,7.29887035704227,6210.2,2019-05-08
2018-03-08,7.3450376209244,6234.8,2019-05-08
2018-03-09,7.44868725717201,6310.9,2019-05-08
2018-03-12,7.43901191029103,5771.2,2019-05-08
2018-03-13,7.47200942840306,5974.7,2019-05-08
2018-03-14,7.41225029932573,5935.3,2019-05-08
2018-03-15,7.32232255649651,5920.9,2019-05-08
2018-03-16,7.3446589208289,5949.4,2019-05-08
2018-03-19,7.36202000246944,5959.4,2019-05-08
2018-03-20,7.1980579839292,5936.4,2019-05-08
2018-03-21,7.26027503630137,5950.3,2019-05-08
2018-03-22,7.16032671394072,5937.2,2019-05-08
2018-03-23,7.11108374763348,5820.7,2019-05-08
2018-03-26,7.118567920743,5790.5,2019-05-08
2018-03-27,7.04749767770365,5832.3,2019-05-08
2018-03-28,7.09991192126527,5789.5,2019-05-08
2018-03-29,7.154975855795,5759.4,2019-05-08
2018-04-04,7.19130253624586,5761.4,2019-05-08
2018-04-05,7.23830307128422,6062.9,2019-05-08
2018-04-06,7.24520887538087,6025.5,2019-05-08
2018-04-09,7.21207503021067,6293.1,2019-05-08
2018-04-10,7.30895463327203,6176.3,2019-05-08
2018-04-12,7.14141711768993,5713.1,2019-05-08
2018-04-13,7.16027522793284,5829.1,2019-05-08
2018-04-16,7.12463443469604,5841.3,2019-05-08
