Date,Stock,Market,joined date
2017-01-03,118.04,2257.83,2019-05-12
2017-01-04,118.79,2270.75,2019-05-12
2017-01-05,118.61,2269.0,2019-05-12
2017-01-06,118.92,2276.98,2019-05-12
2017-01-09,118.84,2268.9,2019-05-12
2017-01-10,117.86,2268.9,2019-05-12
2017-01-11,118.32,2275.32,2019-05-12
2017-01-12,118.64,2270.44,2019-05-12
2017-01-13,118.57,2274.64,2019-05-12
2017-01-17,118.68,2267.89,2019-05-12
2017-01-18,119.07,2271.89,2019-05-12
2017-01-19,118.85,2263.69,2019-05-12
2017-01-20,118.4,2271.31,2019-05-12
2017-01-23,119.35,2265.2,2019-05-12
2017-01-24,121.65,2280.07,2019-05-12
2017-01-25,122.49,2298.37,2019-05-12
2017-01-26,120.95,2296.68,2019-05-12
2017-01-27,121.29,2294.69,2019-05-12
2017-01-30,121.49,2280.9,2019-05-12
2017-01-31,120.13,2278.87,2019-05-12
2017-02-01,120.78,2279.55,2019-05-12
2017-02-02,120.21,2280.85,2019-05-12
2017-02-03,120.75,2297.42,2019-05-12
2017-02-06,119.7,2292.56,2019-05-12
2017-02-07,120.25,2293.08,2019-05-12
2017-02-08,120.34,2294.67,2019-05-12
2017-02-09,120.61,2307.87,2019-05-12
2017-02-10,121.2,2316.1,2019-05-12
2017-02-13,121.76,2328.25,2019-05-12
2017-02-14,122.84,2337.58,2019-05-12
2017-02-15,123.4,2349.25,2019-05-12
2017-02-16,123.28,2347.22,2019-05-12
2017-02-17,123.95,2351.16,2019-05-12
2017-02-21,124.03,2365.38,2019-05-12
2017-02-22,123.1,2362.82,2019-05-12
2017-02-23,122.76,2363.81,2019-05-12
2017-02-24,125.5,2367.34,2019-05-12
2017-02-27,123.84,2369.75,2019-05-12
2017-02-28,123.97,2363.64,2019-05-12
2017-03-01,125.87,2395.96,2019-05-12
2017-03-02,125.09,2381.92,2019-05-12
2017-03-03,125.25,2383.12,2019-05-12
2017-03-06,125.06,2375.31,2019-05-12
2017-03-07,124.72,2368.39,2019-05-12
2017-03-08,124.5,2362.98,2019-05-12
2017-03-09,123.69,2364.87,2019-05-12
2017-03-10,124.25,2372.6,2019-05-12
2017-03-13,124.77,2373.47,2019-05-12
2017-03-14,123.68,2365.45,2019-05-12
2017-03-15,125.37,2385.26,2019-05-12
2017-03-16,125.19,2381.38,2019-05-12
2017-03-17,125.41,2378.25,2019-05-12
2017-03-20,125.13,2373.47,2019-05-12
2017-03-21,124.2,2344.02,2019-05-12
2017-03-22,124.24,2348.45,2019-05-12
2017-03-23,124.18,2345.96,2019-05-12
2017-03-24,123.83,2343.98,2019-05-12
2017-03-27,124.11,2341.59,2019-05-12
2017-03-28,124.87,2358.57,2019-05-12
2017-03-29,124.78,2361.13,2019-05-12
2017-03-30,125.34,2368.06,2019-05-12
2017-03-31,125.34,2362.72,2019-05-12
2017-04-03,125.88,2358.84,2019-05-12
2017-04-04,125.06,2360.16,2019-05-12
2017-04-05,124.83,2352.95,2019-05-12
2017-04-06,125.21,2357.49,2019-05-12
