Date,Stock,Market,joined date
2017-01-02,18.7757681368687,1741.53,2019-04-09
2017-01-03,18.4022754556369,1737.22,2019-04-09
2017-01-04,18.4307003668797,1736.42,2019-04-09
2017-01-05,18.6199361583807,1731.84,2019-04-09
2017-01-09,18.417752581651,1699.18,2019-04-09
2017-01-10,18.4175497709655,1696.26,2019-04-09
2017-01-11,18.9503583180987,1700.34,2019-04-09
2017-01-12,19.0152853312479,1685.66,2019-04-09
2017-01-13,19.0499512523868,1698.29,2019-04-09
2017-01-16,18.8976002145059,1701.71,2019-04-09
2017-01-17,19.281596676499,1683.21,2019-04-09
2017-01-18,19.334350458572,1657.43,2019-04-09
2017-01-19,19.7791872744137,1690.74,2019-04-09
2017-01-20,19.8937014404682,1714.26,2019-04-09
2017-01-23,19.7209348515749,1712.89,2019-04-09
2017-01-24,19.8720103320032,1727.44,2019-04-09
2017-01-25,20.2780957349089,1741.53,2019-04-09
2017-01-26,19.769936753974,1737.56,2019-04-09
2017-01-27,19.8039745762712,1742.77,2019-04-09
2017-01-30,19.86413473298,1721.61,2019-04-09
2017-01-31,20.0868639879182,1719.94,2019-04-09
2017-02-01,19.6453220552094,1615.53,2019-04-09
2017-02-02,19.8563435650127,1636.7,2019-04-09
2017-02-03,19.9815795662101,1637.5,2019-04-09
2017-02-06,19.5066635684572,1636.4,2019-04-09
2017-02-07,19.3502523072762,1636.57,2019-04-09
2017-02-08,19.5822957722565,1631.19,2019-04-09
2017-02-09,19.3785618823002,1691.7,2019-04-09
2017-02-10,19.4210807780705,1730.44,2019-04-09
2017-02-13,19.4283133284859,1745.69,2019-04-09
2017-02-14,19.6285375905746,1742.69,2019-04-09
2017-02-15,19.8726769976005,1742.53,2019-04-09
2017-02-16,19.9886534445586,1745.08,2019-04-09
2017-02-17,19.9949108766416,1745.41,2019-04-09
2017-02-20,20.051981170096,1783.37,2019-04-09
2017-02-21,20.1684918547902,1772.33,2019-04-09
2017-02-22,20.3542814481352,1771.62,2019-04-09
2017-02-23,20.4765060951195,1748.73,2019-04-09
2017-02-24,20.2275341889799,1728.23,2019-04-09
2017-02-27,20.1455223073356,1709.11,2019-04-09
2017-02-28,20.0081469142907,1724.73,2019-04-09
2017-03-01,20.0472728980846,1722.48,2019-04-09
2017-03-02,19.8691603179496,1728.39,2019-04-09
2017-03-03,20.0890918708241,1732.64,2019-04-09
2017-03-06,20.0344487455356,1711.02,2019-04-09
2017-03-07,20.1653508995861,1718.19,2019-04-09
2017-03-08,20.2181492036142,1702.2,2019-04-09
2017-03-09,20.4054761562532,1703.92,2019-04-09
2017-03-10,20.4349340680093,1686.48,2019-04-09
2017-03-13,20.6307087979066,1697.53,2019-04-09
2017-03-14,20.6864737035758,1721.07,2019-04-09
2017-03-15,20.8784829197277,1739.78,2019-04-09
2017-03-16,21.0026599666512,1730.1,2019-04-09
2017-03-17,20.8453832218033,1761.7,2019-04-09
2017-03-20,20.7341700299293,1758.12,2019-04-09
2017-03-21,20.863917611343,1753.86,2019-04-09
2017-03-22,20.3418204344218,1742.12,2019-04-09
2017-03-23,20.4379943806859,1755.72,2019-04-09
2017-03-24,20.084418182437,1745.95,2019-04-09
2017-03-27,20.3087468985454,1749.62,2019-04-09
2017-03-28,20.2667235150898,1746.14,2019-04-09
2017-03-29,20.1832978459457,1740.74,2019-04-09
2017-03-30,20.4864594842433,1725.81,2019-04-09
2017-03-31,20.9748382024978,1719.01,2019-04-09
2017-04-03,20.909701650917,1728.33,2019-04-09
2017-04-04,20.6867113810756,1745.95,2019-04-09
2017-04-05,20.8518556345471,1763.41,2019-04-09
2017-04-06,20.9985568461419,1751.56,2019-04-09
2017-04-07,21.0657092155588,1747.57,2019-04-09
2017-04-10,21.0340167041297,1749.51,2019-04-09
2017-04-11,20.9817942066102,1743.01,2019-04-09
2017-04-12,21.5984000757677,1751.04,2019-04-09
2017-04-18,21.4124372347554,1751.52,2019-04-09
2017-04-19,21.304046281434,1754.63,2019-04-09
2017-04-21,21.4361039537983,1764.77,2019-04-09
2017-04-24,22.2189211557352,1786.54,2019-04-09
2017-04-25,22.3131978248726,1786.32,2019-04-09
2017-04-26,22.4334654584052,1799.0,2019-04-09
2017-04-27,22.3267976726812,1809.71,2019-04-09
2017-04-28,22.4444902731648,1837.49,2019-04-09
2017-05-02,22.3050194269614,1839.25,2019-04-09
2017-05-03,22.3956540265612,1844.81,2019-04-09
2017-05-04,23.4325842034927,1885.57,2019-04-09
2017-05-05,23.241709145939,1902.82,2019-04-09
2017-05-08,23.3623924056358,1923.78,2019-04-09
2017-05-09,23.4867484752323,1935.31,2019-04-09
2017-05-10,22.912671890062,1917.05,2019-04-09
2017-05-11,23.2510519560935,1905.45,2019-04-09
2017-05-12,23.3859626280482,1910.55,2019-04-09
2017-05-15,23.6258129339933,1909.78,2019-04-09
2017-05-16,24.0443337543956,1884.16,2019-04-09
2017-05-17,23.6404548786914,1921.38,2019-04-09
2017-05-18,22.9369678423,1889.24,2019-04-09
2017-05-19,23.2548084857655,1871.32,2019-04-09
2017-05-22,23.4937547606172,1846.27,2019-04-09
2017-05-23,23.6747382932769,1866.31,2019-04-09
2017-05-24,23.8109264707579,1857.21,2019-04-09
2017-05-26,23.8963411632081,1849.71,2019-04-09
2017-05-29,23.7575141100063,1832.18,2019-04-09
2017-05-30,24.1553643128217,1819.51,2019-04-09
2017-05-31,24.2622181290724,1813.59,2019-04-09
2017-06-01,24.5883889464595,1813.5,2019-04-09
2017-06-02,24.7065848706347,1795.63,2019-04-09
2017-06-07,24.6196725858238,1799.23,2019-04-09
2017-06-08,24.3198074516332,1821.51,2019-04-09
2017-06-09,24.6180831726797,1830.16,2019-04-09
2017-06-12,24.3177352362654,1827.54,2019-04-09
2017-06-13,24.3945539052703,1833.81,2019-04-09
2017-06-14,24.6363738536856,1827.66,2019-04-09
2017-06-15,24.1554613714285,1815.59,2019-04-09
2017-06-16,24.6311818484616,1814.77,2019-04-09
2017-06-19,24.8098382410141,1810.36,2019-04-09
2017-06-20,24.8097467258854,1826.81,2019-04-09
2017-06-21,25.1289030944812,1843.19,2019-04-09
2017-06-22,25.3084619693194,1831.78,2019-04-09
2017-06-26,25.169485524279,1796.07,2019-04-09
2017-06-27,25.2758792580807,1781.83,2019-04-09
2017-06-28,25.1841880011707,1766.59,2019-04-09
2017-06-29,24.7061996170303,1765.24,2019-04-09
2017-06-30,24.7396351187792,1763.26,2019-04-09
2017-07-03,24.7536226094948,1730.8,2019-04-09
2017-07-04,24.4469675784733,1729.75,2019-04-09
2017-07-05,25.0712487329987,1744.59,2019-04-09
2017-07-06,24.8471463767085,1737.23,2019-04-09
2017-07-07,25.4332065462486,1752.53,2019-04-09
2017-07-10,25.2909778378892,1775.51,2019-04-09
2017-07-11,25.0846158975093,1792.35,2019-04-09
2017-07-12,25.3919491213269,1789.19,2019-04-09
2017-07-13,25.3549612894735,1773.43,2019-04-09
2017-07-14,25.6366920289419,1773.58,2019-04-09
2017-07-17,25.9917691555973,1777.07,2019-04-09
2017-07-18,25.6542966773486,1767.14,2019-04-09
2017-07-19,26.4211984197722,1787.75,2019-04-09
2017-07-20,26.4357670084784,1780.9,2019-04-09
2017-07-21,26.1169422229774,1779.74,2019-04-09
2017-07-24,26.2620394648748,1783.4,2019-04-09
2017-07-25,26.1102726707846,1792.29,2019-04-09
2017-07-26,26.1520542075753,1803.24,2019-04-09
2017-07-27,25.5573532670229,1813.14,2019-04-09
2017-07-28,25.696266170564,1811.89,2019-04-09
2017-07-31,25.8664443397163,1792.43,2019-04-09
2017-08-01,26.2653976753942,1793.3,2019-04-09
2017-08-02,26.1794823134042,1804.58,2019-04-09
2017-08-03,26.2816116845276,1816.03,2019-04-09
2017-08-04,26.2640264541167,1808.03,2019-04-09
2017-08-08,27.0031651578175,1781.2,2019-04-09
2017-08-09,26.8144652118602,1798.82,2019-04-09
2017-08-10,26.7387343546365,1797.05,2019-04-09
2017-08-11,26.390001477705,1808.27,2019-04-09
2017-08-14,27.0932120928168,1788.69,2019-04-09
2017-08-15,26.6414465338685,1789.67,2019-04-09
2017-08-16,26.8462466089413,1784.91,2019-04-09
2017-08-17,26.7527724390483,1774.73,2019-04-09
2017-08-18,26.5847466551575,1759.69,2019-04-09
2017-08-21,26.4195582040736,1745.76,2019-04-09
2017-08-22,26.4436578192962,1748.66,2019-04-09
2017-08-23,26.3232542410743,1734.03,2019-04-09
2017-08-24,26.2500125213855,1744.3,2019-04-09
2017-08-25,26.5440949763437,1716.85,2019-04-09
2017-08-28,26.5716332378224,1696.38,2019-04-09
2017-08-29,26.6225790355708,1682.49,2019-04-09
2017-08-30,27.0831238560863,1689.01,2019-04-09
2017-08-31,27.4860069295704,1674.64,2019-04-09
2017-09-01,27.4538680650288,1671.55,2019-04-09
2017-09-04,27.4112530459467,1644.2,2019-04-09
2017-09-05,26.8517285050835,1664.41,2019-04-09
2017-09-06,26.2908281739566,1666.4,2019-04-09
2017-09-07,26.6640248538197,1671.98,2019-04-09
2017-09-08,26.4664746686173,1679.69,2019-04-09
2017-09-11,26.7409500330782,1690.57,2019-04-09
2017-09-12,26.8429684049388,1679.8,2019-04-09
2017-09-13,26.7022326119979,1695.06,2019-04-09
2017-09-14,27.0144410913963,1709.19,2019-04-09
2017-09-15,27.0298001205303,1659.23,2019-04-09
2017-09-18,26.6266850488657,1659.19,2019-04-09
2017-09-19,26.6706793454336,1649.27,2019-04-09
2017-09-20,26.5140692754166,1621.55,2019-04-09
2017-09-21,26.5469085228913,1614.17,2019-04-09
2017-09-22,26.6586943449174,1639.19,2019-04-09
2017-09-25,26.4976910259759,1630.8,2019-04-09
2017-09-26,26.2765592973984,1625.47,2019-04-09
2017-09-27,25.1425084067647,1626.9,2019-04-09
2017-09-28,25.5358595310304,1640.32,2019-04-09
2017-09-29,25.6399750804056,1652.89,2019-04-09
2017-10-02,25.8932145043214,1666.94,2019-04-09
2017-10-03,26.4514250070673,1673.51,2019-04-09
2017-10-04,26.4209414714273,1713.52,2019-04-09
2017-10-05,26.2983080683995,1721.81,2019-04-09
2017-10-06,25.8970636729966,1711.68,2019-04-09
2017-10-09,25.5439872716529,1717.0,2019-04-09
2017-10-10,25.8198550527137,1710.95,2019-04-09
2017-10-11,26.0227116706227,1711.98,2019-04-09
2017-10-12,25.9533079337724,1730.05,2019-04-09
2017-10-13,26.3742416287697,1721.0,2019-04-09
2017-10-16,26.0449967915494,1709.45,2019-04-09
2017-10-17,25.9427587391145,1680.67,2019-04-09
2017-10-18,26.341777234594,1691.6,2019-04-09
2017-10-19,26.1805414087211,1683.15,2019-04-09
2017-10-20,26.0889767590018,1703.82,2019-04-09
2017-10-23,26.0830366268646,1698.34,2019-04-09
2017-10-24,25.2376900428265,1730.46,2019-04-09
2017-10-25,25.2095286256754,1712.62,2019-04-09
2017-10-26,25.2294263021707,1702.32,2019-04-09
2017-10-27,26.5896459625841,1694.19,2019-04-09
2017-10-30,26.7909218703228,1684.43,2019-04-09
2017-10-31,26.6880605836279,1690.42,2019-04-09
2017-11-01,27.4655697498601,1687.72,2019-04-09
2017-11-02,27.2063031227287,1666.99,2019-04-09
2017-11-03,26.6525196579574,1674.16,2019-04-09
2017-11-06,26.9437993949932,1669.5,2019-04-09
2017-11-07,26.7552595724409,1678.99,2019-04-09
2017-11-08,26.7648009404015,1684.41,2019-04-09
2017-11-09,26.447954279575,1705.25,2019-04-09
2017-11-10,26.5085577498505,1706.63,2019-04-09
2017-11-13,26.414474880397,1698.05,2019-04-09
2017-11-14,26.3298496634701,1708.31,2019-04-09
2017-11-15,25.8942962576236,1704.77,2019-04-09
2017-11-16,25.3264655736923,1715.59,2019-04-09
2017-11-17,25.4676477082517,1700.28,2019-04-09
2017-11-20,25.2103939783324,1694.72,2019-04-09
2017-11-21,25.7509368993094,1691.24,2019-04-09
2017-11-22,25.4707441793514,1672.77,2019-04-09
2017-11-23,25.3954522661523,1676.52,2019-04-09
2017-11-24,25.5772939072431,1670.31,2019-04-09
2017-11-27,25.2540169385346,1660.49,2019-04-09
2017-11-28,25.1335462428438,1678.66,2019-04-09
2017-11-29,24.6952559735122,1669.3,2019-04-09
2017-11-30,25.0693286202202,1645.78,2019-04-09
2017-12-01,24.6011479744443,1632.63,2019-04-09
2017-12-04,24.7756425364093,1651.64,2019-04-09
2017-12-05,25.1363179290966,1651.17,2019-04-09
2017-12-06,24.6972218862286,1644.54,2019-04-09
2017-12-07,24.5077157677572,1641.99,2019-04-09
2017-12-08,24.1213202386873,1637.89,2019-04-09
2017-12-11,23.8794209306976,1632.78,2019-04-09
2017-12-12,24.1277830833007,1632.62,2019-04-09
2017-12-13,24.0942861218763,1616.29,2019-04-09
2017-12-14,24.0569805864366,1612.89,2019-04-09
2017-12-15,23.6893107259601,1607.64,2019-04-09
2017-12-18,24.1715397930028,1598.54,2019-04-09
2017-12-19,24.283586084597,1620.49,2019-04-09
2017-12-20,24.2536210819761,1612.85,2019-04-09
2017-12-21,24.4150736399877,1613.17,2019-04-09
2017-12-22,24.4727858592896,1648.11,2019-04-09
2017-12-27,24.5208714515329,1633.78,2019-04-09
2017-12-28,24.5202905107896,1630.06,2019-04-09
2017-12-29,24.334015143202,1634.62,2019-04-09
2018-01-02,24.0597891385538,1633.31,2019-04-09
2018-01-03,23.7813002054693,1622.93,2019-04-09
2018-01-04,24.1221398721731,1630.54,2019-04-09
2018-01-05,24.4923877187595,1655.67,2019-04-09
2018-01-08,24.1417641677441,1661.09,2019-04-09
2018-01-09,24.6031862042145,1679.27,2019-04-09
