Date,Stock,Market,joined date
2020-01-02,3.47415611107387,25980.07,2022-02-03
2020-01-03,3.46816853004843,25813.04,2022-02-03
2020-01-06,3.40782050995053,25656.19,2022-02-03
2020-01-07,3.40486518432614,25810.51,2022-02-03
2020-01-08,3.42251349010725,25923.15,2022-02-03
2020-01-09,3.46972459744587,26152.96,2022-02-03
2020-01-10,3.47744306556358,26156.61,2022-02-03
2020-01-13,3.466436213442,26047.91,2022-02-03
2020-01-14,3.47588209767332,26077.11,2022-02-03
2020-01-15,3.45180056637009,25912.01,2022-02-03
2020-01-16,3.43841348669924,26084.98,2022-02-03
2020-01-17,3.45090588548364,26300.93,2022-02-03
2020-01-20,3.43175650939104,26184.78,2022-02-03
2020-01-21,3.47157453787845,26014.82,2022-02-03
2020-01-22,3.37678981400353,25870.59,2022-02-03
2020-01-23,3.33574673135797,25854.82,2022-02-03
2020-01-24,3.32774170791125,26115.61,2022-02-03
2020-01-27,3.30473688269056,25510.26,2022-02-03
2020-01-28,3.37307149784007,26130.14,2022-02-03
2020-01-29,3.33988550668794,26287.6,2022-02-03
2020-01-30,3.22978976859104,25873.17,2022-02-03
2020-01-31,3.11608816710484,25293.57,2022-02-03
2020-02-03,3.08081873673035,25518.21,2022-02-03
2020-02-04,3.16530481543235,25932.51,2022-02-03
2020-02-05,3.22310576901929,26333.48,2022-02-03
2020-02-06,3.25304748833379,26582.33,2022-02-03
2020-02-07,3.21171333836709,26553.56,2022-02-03
2020-02-10,3.21431594794202,26575.5,2022-02-03
2020-02-11,3.23056480218283,26786.6,2022-02-03
2020-02-12,3.33628625472886,26977.06,2022-02-03
2020-02-13,3.34585207748424,27004.71,2022-02-03
2020-02-14,3.29512324553804,27000.45,2022-02-03
2020-02-17,3.40560334553965,27294.7,2022-02-03
2020-02-18,3.02467681018669,27394.27,2022-02-03
2020-02-19,3.01809892175718,27675.06,2022-02-03
2020-02-20,3.06111021253193,27255.25,2022-02-03
2020-02-21,2.98862998102466,26915.99,2022-02-03
2020-02-24,2.81773974758271,25434.49,2022-02-03
2020-02-25,2.82770561357703,25094.36,2022-02-03
2020-02-26,2.89029808529157,25445.97,2022-02-03
2020-02-27,2.81246288190396,24767.22,2022-02-03
2020-02-28,2.68579650066703,23907.05,2022-02-03
2020-03-02,2.56568779151962,23514.49,2022-02-03
2020-03-03,2.51416810027034,23625.54,2022-02-03
2020-03-04,2.44104102878139,23777.79,2022-02-03
2020-03-05,2.37429081999641,23320.2,2022-02-03
2020-03-06,2.33360229311725,22526.7,2022-02-03
2020-03-09,2.04554539314782,20105.88,2022-02-03
2020-03-10,1.91780735393639,19438.13,2022-02-03
2020-03-11,1.92033012224664,19480.78,2022-02-03
2020-03-12,1.5676664318225,16286.37,2022-02-03
2020-03-13,1.90549250416436,17415.07,2022-02-03
2020-03-16,1.77172870288583,16360.04,2022-02-03
2020-03-17,1.73645400365068,16680.56,2022-02-03
2020-03-18,1.6775421786673,16486.21,2022-02-03
2020-03-19,1.66859800096211,16859.82,2022-02-03
2020-03-20,1.86394075499947,17171.55,2022-02-03
2020-03-23,2.1306094880729,16988.54,2022-02-03
2020-03-24,2.19703356920953,18403.36,2022-02-03
2020-03-25,2.18135172773958,18675.86,2022-02-03
2020-03-26,2.16774189990957,18850.84,2022-02-03
2020-03-27,2.04873505854044,18306.22,2022-02-03
2020-03-30,2.03069887662789,18353.18,2022-02-03
2020-03-31,2.09029447446785,18569.64,2022-02-03
2020-04-01,2.01749758835395,18064.77,2022-02-03
2020-04-02,1.98181729360039,18368.4,2022-02-03
2020-04-03,1.96354567463577,17903.74,2022-02-03
2020-04-06,1.99843422898457,18565.97,2022-02-03
2020-04-07,2.00847489002134,18955.84,2022-02-03
2020-04-08,1.90392552787277,18955.05,2022-02-03
2020-04-09,1.93487805411076,19212.87,2022-02-03
2020-04-14,1.85712811391807,19179.27,2022-02-03
2020-04-15,1.70911173159984,18312.13,2022-02-03
2020-04-16,1.62449373191899,18368.73,2022-02-03
2020-04-17,1.6475561742762,18677.04,2022-02-03
2020-04-20,1.64691518943343,18711.26,2022-02-03
2020-04-21,1.57472507192097,18098.25,2022-02-03
2020-04-22,1.56760205185922,18405.57,2022-02-03
2020-04-23,1.61344734318259,18645.74,2022-02-03
2020-04-24,1.55266660174635,18495.28,2022-02-03
2020-04-27,1.59778567020021,19028.3,2022-02-03
2020-04-28,1.6966172286589,19333.41,2022-02-03
2020-04-29,1.73248089071556,19720.45,2022-02-03
2020-04-30,1.66990348695815,19345.75,2022-02-03
2020-05-04,1.62700315182184,18676.7,2022-02-03
2020-05-05,1.61392898946547,19010.9,2022-02-03
2020-05-06,1.58838241008593,18787.43,2022-02-03
2020-05-07,1.5543820881942,18860.09,2022-02-03
2020-05-08,1.56873529826234,19074.45,2022-02-03
2020-05-11,1.54626489880162,19012.53,2022-02-03
2020-05-12,1.54170498915401,19167.08,2022-02-03
2020-05-13,1.48618802457386,18797.41,2022-02-03
2020-05-14,1.47284945655698,18462.38,2022-02-03
2020-05-15,1.46922261636961,18453.81,2022-02-03
2020-05-18,1.51120774317453,19027.48,2022-02-03
2020-05-19,1.42817390544628,18638.29,2022-02-03
2020-05-20,1.41060373216246,18814.71,2022-02-03
2020-05-21,1.38032584060526,18703.47,2022-02-03
2020-05-22,1.37526350784256,18940.57,2022-02-03
2020-05-25,1.37881681053274,19259.72,2022-02-03
2020-05-26,1.53399286302498,19545.72,2022-02-03
2020-05-27,1.59307578891774,19603.3,2022-02-03
2020-05-28,1.66811984272028,20073.22,2022-02-03
2020-05-29,1.61284043237964,19943.74,2022-02-03
2020-06-01,1.65800812781829,20264.79,2022-02-03
2020-06-02,1.69345276654679,20734.3,2022-02-03
2020-06-03,1.75775965674878,21410.27,2022-02-03
2020-06-04,1.77478660091822,21432.54,2022-02-03
2020-06-05,1.9385100596924,22007.64,2022-02-03
2020-06-08,2.03390207547596,22060.85,2022-02-03
2020-06-09,2.01338239796786,21741.46,2022-02-03
2020-06-10,1.91695240910435,21544.18,2022-02-03
2020-06-11,1.78322055152001,20539.62,2022-02-03
2020-06-12,1.73606356280316,20623.42,2022-02-03
2020-06-15,1.76263416511934,20703.25,2022-02-03
2020-06-16,1.86858063208163,21394.39,2022-02-03
2020-06-17,1.82797153264976,21344.9,2022-02-03
2020-06-18,1.7712512602218,21254.48,2022-02-03
2020-06-19,1.78515058389674,21375.79,2022-02-03
2020-06-22,1.72904892711594,21228.88,2022-02-03
2020-06-23,1.77927506246538,21616.56,2022-02-03
2020-06-24,1.68061177423529,20911.02,2022-02-03
2020-06-25,1.6885989904655,20991.9,2022-02-03
2020-06-26,1.64987661245092,20886.14,2022-02-03
2020-06-29,1.73389758115277,21215.01,2022-02-03
2020-06-30,1.68158110490909,21139.31,2022-02-03
2020-07-01,1.6516745604068,21092.28,2022-02-03
2020-07-02,1.66208194731637,21677.48,2022-02-03
2020-07-03,1.65594510994882,21519.26,2022-02-03
2020-07-06,1.71530198003008,21816.52,2022-02-03
2020-07-07,1.69047007246621,21793.49,2022-02-03
2020-07-08,1.69164938993304,21694.48,2022-02-03
2020-07-09,1.64018613570986,21291.32,2022-02-03
2020-07-10,1.72526126696117,21557.32,2022-02-03
2020-07-13,1.8115078870077,21803.34,2022-02-03
2020-07-14,1.92226780626781,21656.38,2022-02-03
2020-07-15,1.92618151114762,22074.37,2022-02-03
2020-07-16,1.93163688104724,22159.84,2022-02-03
2020-07-17,1.96444241316271,22237.66,2022-02-03
2020-07-20,1.92649058158431,22419.92,2022-02-03
2020-07-21,2.00739626556016,22531.21,2022-02-03
2020-07-22,1.99591879229569,22409.28,2022-02-03
2020-07-23,1.9313256504197,22260.91,2022-02-03
2020-07-24,1.91215402006829,21853.67,2022-02-03
2020-07-27,1.84772676529688,21778.76,2022-02-03
2020-07-28,1.84745454971417,21658.56,2022-02-03
2020-07-29,1.79958145676626,21659.25,2022-02-03
2020-07-30,1.78567824016489,21004.67,2022-02-03
2020-07-31,1.6991181284071,20889.29,2022-02-03
2020-08-03,1.65345596104767,21190.25,2022-02-03
2020-08-04,1.637372855356,21443.43,2022-02-03
2020-08-05,1.74137943304471,21572.91,2022-02-03
2020-08-06,1.78120554321881,21305.67,2022-02-03
2020-08-07,1.73436697074701,21356.16,2022-02-03
2020-08-10,1.76751244014647,21502.74,2022-02-03
2020-08-11,1.85934778015167,22061.41,2022-02-03
2020-08-12,1.8900854197349,22294.97,2022-02-03
2020-08-13,1.89648476257973,22124.17,2022-02-03
2020-08-14,1.87550798086488,21882.5,2022-02-03
2020-08-17,1.86065659383049,21791.83,2022-02-03
2020-08-18,1.87491202328549,21687.09,2022-02-03
2020-08-19,1.87711272606761,21902.6,2022-02-03
2020-08-20,1.85025971253735,21601.13,2022-02-03
2020-08-21,1.82030501757449,21526.69,2022-02-03
2020-08-24,1.86695269864096,21951.99,2022-02-03
2020-08-25,1.88145167970276,21852.44,2022-02-03
2020-08-26,1.88000544133999,21964.91,2022-02-03
2020-08-27,1.86513623736628,21667.0,2022-02-03
2020-08-28,1.91755820597057,21667.08,2022-02-03
2020-08-31,1.85904153735975,21462.34,2022-02-03
2020-09-01,1.80500815835546,21409.8,2022-02-03
2020-09-02,1.7915511989285,21688.82,2022-02-03
2020-09-03,1.73401149357189,21384.9,2022-02-03
2020-09-04,1.74921632691715,21204.47,2022-02-03
2020-09-07,1.73731801852902,21574.23,2022-02-03
2020-09-08,1.68469086069001,21213.6,2022-02-03
2020-09-09,1.711157663665,21625.69,2022-02-03
2020-09-10,1.75671269771893,21664.61,2022-02-03
2020-09-11,1.75666635080072,21678.23,2022-02-03
2020-09-14,1.75928317113696,21646.15,2022-02-03
2020-09-15,1.73421775798352,21807.5,2022-02-03
2020-09-16,1.74248449406344,21809.1,2022-02-03
2020-09-17,1.7320992773368,21576.11,2022-02-03
2020-09-18,1.66013659876185,21362.22,2022-02-03
2020-09-21,1.60599042003554,20604.62,2022-02-03
2020-09-22,1.60056891344556,20704.72,2022-02-03
2020-09-23,1.54678038031502,20770.1,2022-02-03
2020-09-24,1.63067872775022,20726.88,2022-02-03
2020-09-25,1.53899401058324,20517.35,2022-02-03
2020-09-28,1.5837649007395,20991.36,2022-02-03
2020-09-29,1.54985674698229,20889.71,2022-02-03
2020-09-30,1.57681833628236,20850.2,2022-02-03
2020-10-01,1.54892162390753,20903.95,2022-02-03
2020-10-02,1.50241991215227,20902.74,2022-02-03
2020-10-05,1.39959001908531,21093.66,2022-02-03
2020-10-06,1.45208983595785,21266.47,2022-02-03
2020-10-07,1.39414822306372,21281.77,2022-02-03
2020-10-08,1.4068526008842,21431.01,2022-02-03
2020-10-09,1.42183176862865,21439.43,2022-02-03
2020-10-12,1.3844754468241,21558.95,2022-02-03
2020-10-13,1.30593071051087,21399.41,2022-02-03
2020-10-14,1.3114465261056,21456.59,2022-02-03
2020-10-15,1.2999555170557,20867.39,2022-02-03
2020-10-16,1.40674252100446,21186.23,2022-02-03
2020-10-19,1.39367697756233,21165.78,2022-02-03
2020-10-20,1.5367338495183,21282.48,2022-02-03
2020-10-21,1.44348238643103,20886.0,2022-02-03
2020-10-22,1.40196854580473,20853.79,2022-02-03
2020-10-23,1.42723305346046,21050.96,2022-02-03
2020-10-26,1.40692896278103,20676.89,2022-02-03
2020-10-27,1.3174966384374,20370.59,2022-02-03
2020-10-28,1.21726365237816,19540.97,2022-02-03
2020-10-29,1.19484006537473,19510.99,2022-02-03
2020-10-30,1.18450016888154,19588.69,2022-02-03
2020-11-02,1.22801503881925,20064.3,2022-02-03
2020-11-03,1.26712729827849,20660.33,2022-02-03
2020-11-04,1.29762044308991,21053.2,2022-02-03
2020-11-05,1.28021750694486,21460.86,2022-02-03
2020-11-06,1.24418273340298,21414.86,2022-02-03
2020-11-09,1.41341712638655,22525.29,2022-02-03
2020-11-10,1.40173666489456,22640.96,2022-02-03
2020-11-11,1.41795527081297,22816.71,2022-02-03
2020-11-12,1.40939834979992,22631.37,2022-02-03
2020-11-13,1.46597725901298,22723.26,2022-02-03
2020-11-16,1.56400014223571,23175.03,2022-02-03
2020-11-17,1.58344205906772,23294.73,2022-02-03
2020-11-18,1.67883471211511,23495.79,2022-02-03
2020-11-19,1.69249035322054,23408.17,2022-02-03
2020-11-20,1.75957424111324,23603.76,2022-02-03
2020-11-23,1.79495376454848,23594.39,2022-02-03
2020-11-24,1.80639102213557,24060.2,2022-02-03
2020-11-25,1.81613495032284,24222.72,2022-02-03
2020-11-26,1.76907864954373,24121.41,2022-02-03
2020-11-27,1.80745950860069,24270.63,2022-02-03
2020-11-30,1.74745932534949,23962.7,2022-02-03
2020-12-01,1.79360289680145,24033.98,2022-02-03
2020-12-02,1.78091153594534,23895.57,2022-02-03
2020-12-03,1.80097605982615,23920.66,2022-02-03
2020-12-04,1.78467542541329,24085.19,2022-02-03
2020-12-07,1.77321709650078,24016.89,2022-02-03
2020-12-08,1.78428809990561,23980.85,2022-02-03
2020-12-09,1.82543038356991,23900.73,2022-02-03
2020-12-10,1.84104176021554,23854.59,2022-02-03
2020-12-11,1.77667433692625,23622.81,2022-02-03
2020-12-14,1.77712745288518,23701.87,2022-02-03
2020-12-15,1.795304867676,23863.51,2022-02-03
2020-12-16,1.77772085818483,23929.24,2022-02-03
2020-12-17,1.79881264872556,23972.13,2022-02-03
2020-12-18,1.77943357148985,23927.11,2022-02-03
2020-12-21,1.70592267952893,23339.77,2022-02-03
2020-12-22,1.73294418095585,23787.23,2022-02-03
2020-12-23,1.80338256080324,24089.23,2022-02-03
2020-12-28,1.83210582243231,24259.46,2022-02-03
2020-12-29,1.82418282243151,24238.06,2022-02-03
2020-12-30,1.8258047065188,24202.73,2022-02-03
2021-01-04,1.79065722754329,24307.39,2022-02-03
2021-01-05,1.81214654536513,24193.22,2022-02-03
2021-01-06,1.91345395385525,24759.56,2022-02-03
2021-01-07,2.02269938650308,24764.96,2022-02-03
