Date,Stock,Market,joined date
2020-01-02,77.48,3257.85,2022-10-03
2020-01-03,76.42,3234.85,2022-10-03
2020-01-06,77.05,3246.28,2022-10-03
2020-01-07,77.24,3237.18,2022-10-03
2020-01-08,77.51,3253.05,2022-10-03
2020-01-09,77.8,3274.7,2022-10-03
2020-01-10,76.94,3265.35,2022-10-03
2020-01-13,77.39,3288.13,2022-10-03
2020-01-14,76.87,3283.15,2022-10-03
2020-01-15,76.66,3289.29,2022-10-03
2020-01-16,77.87,3316.81,2022-10-03
2020-01-17,77.78,3329.62,2022-10-03
2020-01-21,77.25,3320.79,2022-10-03
2020-01-22,77.02,3321.75,2022-10-03
2020-01-23,77.59,3325.54,2022-10-03
2020-01-24,76.7,3295.47,2022-10-03
2020-01-27,73.74,3243.63,2022-10-03
2020-01-28,74.43,3276.24,2022-10-03
2020-01-29,73.91,3273.4,2022-10-03
2020-01-30,73.83,3283.66,2022-10-03
2020-01-31,71.63,3225.52,2022-10-03
2020-02-03,72.6,3248.92,2022-10-03
2020-02-04,73.24,3297.59,2022-10-03
2020-02-05,76.01,3334.69,2022-10-03
2020-02-06,75.25,3345.78,2022-10-03
2020-02-07,73.77,3327.71,2022-10-03
2020-02-10,73.39,3352.09,2022-10-03
2020-02-11,73.83,3357.75,2022-10-03
2020-02-12,75.4,3379.45,2022-10-03
2020-02-13,73.14,3373.94,2022-10-03
2020-02-14,73.51,3380.16,2022-10-03
2020-02-18,71.44,3370.29,2022-10-03
2020-02-19,71.86,3386.15,2022-10-03
2020-02-20,72.02,3373.23,2022-10-03
2020-02-21,72.09,3337.75,2022-10-03
2020-02-24,69.19,3225.89,2022-10-03
2020-02-25,66.6,3128.21,2022-10-03
2020-02-26,66.63,3116.39,2022-10-03
2020-02-27,64.38,2978.76,2022-10-03
2020-02-28,64.11,2954.22,2022-10-03
2020-03-02,66.3,3090.23,2022-10-03
2020-03-03,63.74,3003.37,2022-10-03
2020-03-04,66.67,3130.12,2022-10-03
2020-03-05,64.73,3023.94,2022-10-03
2020-03-06,62.14,2972.37,2022-10-03
2020-03-09,50.36,2746.56,2022-10-03
2020-03-10,53.86,2882.23,2022-10-03
2020-03-11,52.14,2741.38,2022-10-03
2020-03-12,46.18,2480.64,2022-10-03
2020-03-13,50.33,2711.02,2022-10-03
2020-03-16,46.96,2386.13,2022-10-03
2020-03-17,47.42,2529.19,2022-10-03
