Date,Stock,Market,joined date
2020-01-02,15.783689654402,6041.5,2021-05-17
2020-01-03,15.7614179554127,6044.16,2021-05-17
2020-01-06,15.8269593248416,6013.59,2021-05-17
2020-01-07,15.9660295724704,6012.35,2021-05-17
2020-01-08,15.8758954544445,6031.0,2021-05-17
2020-01-09,15.8146463076069,6042.55,2021-05-17
2020-01-10,15.7772896094654,6037.11,2021-05-17
2020-01-13,15.843907462454,6036.14,2021-05-17
2020-01-14,15.8461450300987,6040.89,2021-05-17
2020-01-15,15.9739012642986,6032.61,2021-05-17
2020-01-16,16.0394601757101,6039.03,2021-05-17
2020-01-17,16.2009347141526,6100.72,2021-05-17
2020-01-20,16.3217541796558,6078.54,2021-05-17
2020-01-21,16.2882242120661,6045.99,2021-05-17
2020-01-22,16.3120770160709,6010.98,2021-05-17
2020-01-23,16.472610824372,5971.79,2021-05-17
2020-01-24,16.6519869046176,6024.26,2021-05-17
2020-01-27,16.6307544862686,5863.02,2021-05-17
2020-01-28,16.6632945428899,5925.82,2021-05-17
2020-01-29,16.8106853085264,5954.89,2021-05-17
2020-01-30,16.5776058326532,5871.77,2021-05-17
2020-01-31,16.597643848381,5806.34,2021-05-17
2020-02-03,16.6197684447982,5832.51,2021-05-17
2020-02-04,16.6116548700904,5935.05,2021-05-17
2020-02-05,16.4275617480811,5985.4,2021-05-17
2020-02-06,16.5868965138622,6038.18,2021-05-17
2020-02-07,16.457333420877,6029.75,2021-05-17
2020-02-10,16.3906105795979,6015.67,2021-05-17
2020-02-11,16.7024731241474,6054.76,2021-05-17
2020-02-12,16.6626962212462,6104.73,2021-05-17
2020-02-13,16.5839210415063,6093.14,2021-05-17
2020-02-14,16.802969589326,6069.35,2021-05-17
2020-02-17,17.0070973543369,6085.95,2021-05-17
2020-02-18,17.1730311859286,6056.82,2021-05-17
2020-02-19,17.292507400765,6111.24,2021-05-17
2020-02-20,17.0876729315605,6062.3,2021-05-17
2020-02-21,17.3028137706695,6029.72,2021-05-17
2020-02-24,16.7953282184288,5791.87,2021-05-17
2020-02-25,16.2618080939948,5679.68,2021-05-17
2020-02-26,16.3611890774587,5684.55,2021-05-17
