Date,Stock,Market,joined date
2020-01-02,10.7164399168956,5970.73,2021-03-23
2020-01-03,10.6056548615295,5896.33,2021-03-23
2020-01-06,10.5974793490184,5855.23,2021-03-23
2020-01-07,10.4819465197707,5899.76,2021-03-23
2020-01-08,10.4712100015544,5941.4,2021-03-23
2020-01-09,10.5041643531372,6019.41,2021-03-23
2020-01-10,10.75304688195,6014.16,2021-03-23
2020-01-13,10.8112621488929,5999.99,2021-03-23
2020-01-14,10.8555596354775,6002.2,2021-03-23
2020-01-15,11.0732044506879,5991.41,2021-03-23
2020-01-16,11.1372164753304,5990.13,2021-03-23
2020-01-17,11.3030558389142,6033.27,2021-03-23
2020-01-20,11.3912956655831,6043.44,2021-03-23
2020-01-21,11.372401258921,6046.53,2021-03-23
2020-01-22,11.4193183456629,6028.64,2021-03-23
2020-01-23,11.4123407124148,5971.84,2021-03-23
2020-01-24,11.5279048490394,6055.81,2021-03-23
2020-01-27,11.3707216585699,5889.92,2021-03-23
2020-01-28,11.4630168385788,5942.97,2021-03-23
2020-01-29,11.444927616007,5952.47,2021-03-23
2020-01-30,11.3851448236307,5868.67,2021-03-23
2020-01-31,11.3592243779604,5790.54,2021-03-23
2020-02-03,11.5114118895966,5818.74,2021-03-23
2020-02-04,11.5830968497068,5924.26,2021-03-23
2020-02-05,11.6260144720347,6011.95,2021-03-23
2020-02-06,11.836398572605,6038.41,2021-03-23
2020-02-07,11.6848866857074,6011.25,2021-03-23
2020-02-10,11.714139221312,6002.43,2021-03-23
2020-02-11,11.9356070941338,6061.94,2021-03-23
2020-02-12,11.7993651345827,6116.31,2021-03-23
2020-02-13,11.913149992954,6114.74,2021-03-23
2020-02-14,12.0256454687229,6114.27,2021-03-23
2020-02-17,12.3312604277264,6131.79,2021-03-23
2020-02-18,12.3362468975936,6086.13,2021-03-23
2020-02-19,12.4008729661402,6134.21,2021-03-23
2020-02-20,12.1200357993939,6078.56,2021-03-23
2020-02-21,12.3242071021957,6039.07,2021-03-23
2020-02-24,12.1216725086544,5797.14,2021-03-23
2020-02-25,11.9103568320279,5688.2,2021-03-23
2020-02-26,11.9560487380331,5681.34,2021-03-23
2020-02-27,11.9349800937025,5499.98,2021-03-23
2020-02-28,11.4990683880357,5287.76,2021-03-23
2020-03-02,11.7487281673364,5273.53,2021-03-23
2020-03-03,12.0780178288166,5330.32,2021-03-23
2020-03-04,12.483438178478,5393.8,2021-03-23
2020-03-05,12.448300665348,5309.98,2021-03-23
2020-03-06,11.9846975048807,5130.98,2021-03-23
2020-03-09,11.4928055495141,4723.32,2021-03-23
2020-03-10,10.7974283780736,4656.77,2021-03-23
2020-03-11,10.9030477156217,4640.31,2021-03-23
2020-03-12,9.6397937844578,4072.35,2021-03-23
2020-03-13,9.54469739033872,4103.92,2021-03-23
2020-03-16,9.47258964410704,3886.24,2021-03-23
2020-03-17,9.60502298168065,3973.66,2021-03-23
2020-03-18,9.59250933059779,3753.08,2021-03-23
2020-03-19,9.16243519161901,3828.28,2021-03-23
2020-03-20,8.84183509785052,3969.36,2021-03-23
2020-03-23,8.4695792012865,3885.87,2021-03-23
2020-03-24,8.97480151881256,4312.38,2021-03-23
2020-03-25,9.6407433196971,4389.6,2021-03-23
2020-03-26,10.2042391759853,4445.92,2021-03-23
2020-03-27,10.2108792763488,4282.13,2021-03-23
2020-03-30,10.545558979797,4363.68,2021-03-23
2020-03-31,10.4124848351164,4416.97,2021-03-23
2020-04-01,9.95352100324478,4243.12,2021-03-23
2020-04-02,9.70525972968572,4254.7,2021-03-23
2020-04-03,9.41809692620294,4234.68,2021-03-23
2020-04-06,9.43994820330206,4478.91,2021-03-23
2020-04-07,9.53656518141034,4604.07,2021-03-23
2020-04-08,9.46642783477175,4593.48,2021-03-23
2020-04-09,9.7447440884654,4696.55,2021-03-23
2020-04-14,9.6593217175543,4755.15,2021-03-23
2020-04-15,9.43021683172635,4569.86,2021-03-23
2020-04-16,9.55435406802245,4579.54,2021-03-23
2020-04-17,9.60346290213817,4723.68,2021-03-23
2020-04-20,9.30005213764336,4745.96,2021-03-23
2020-04-21,9.04738641914997,4556.57,2021-03-23
2020-04-22,9.22254447859399,4630.0,2021-03-23
2020-04-23,9.28673800364233,4673.9,2021-03-23
2020-04-24,9.40046093420325,4594.9,2021-03-23
2020-04-27,9.5026691065802,4738.89,2021-03-23
2020-04-28,9.54791808652193,4799.19,2021-03-23
2020-04-29,9.82048689260748,4921.7,2021-03-23
2020-04-30,10.0193902479104,4804.6,2021-03-23
2020-05-04,9.77173830063361,4629.93,2021-03-23
2020-05-05,9.94927818962154,4746.36,2021-03-23
2020-05-06,9.80527611070337,4691.87,2021-03-23
2020-05-07,9.8116314084858,4735.99,2021-03-23
2020-05-08,9.94243964835065,4800.55,2021-03-23
2020-05-11,9.83347921461842,4765.55,2021-03-23
2020-05-12,10.2039045553145,4763.74,2021-03-23
2020-05-13,10.0069222116467,4641.75,2021-03-23
2020-05-14,9.64152207264638,4551.65,2021-03-23
2020-05-15,9.71188786987367,4602.82,2021-03-23
2020-05-18,10.1787390061326,4863.89,2021-03-23
2020-05-19,10.2831806218397,4870.83,2021-03-23
2020-05-20,10.4939626783754,4933.81,2021-03-23
2020-05-21,10.521936211446,4857.76,2021-03-23
2020-05-22,10.4051535266996,4861.16,2021-03-23
2020-05-25,10.6875054494725,4999.89,2021-03-23
2020-05-26,10.859181992863,5049.42,2021-03-23
2020-05-27,10.9788301571233,5116.1,2021-03-23
2020-05-28,11.1867973639032,5171.09,2021-03-23
2020-05-29,10.5497969058664,5079.39,2021-03-23
2020-06-02,10.766859517055,5266.8,2021-03-23
2020-06-03,11.288202985477,5469.82,2021-03-23
2020-06-04,11.3699484214703,5445.52,2021-03-23
2020-06-05,11.3404272125117,5627.52,2021-03-23
2020-06-08,11.6703177578536,5614.55,2021-03-23
2020-06-09,11.6235555605956,5526.3,2021-03-23
2020-06-10,11.5509675072194,5487.83,2021-03-23
2020-06-11,11.0507348704798,5242.19,2021-03-23
2020-06-12,10.9591816064013,5232.76,2021-03-23
