Date,Stock,Market,joined date
2020-01-02,12.3335119053978,2155.04,2021-01-11
2020-01-03,12.1515342535733,2121.59,2021-01-11
2020-01-07,11.9928541045013,2131.33,2021-01-11
2020-01-08,12.0495178290149,2119.96,2021-01-11
2020-01-09,12.0123099298105,2125.55,2021-01-11
2020-01-10,12.133980208443,2158.93,2021-01-11
2020-01-13,12.2419567813177,2150.89,2021-01-11
2020-01-14,12.4037023417026,2155.0,2021-01-11
2020-01-15,12.2600330810857,2151.87,2021-01-11
2020-01-16,12.2839324149126,2171.37,2021-01-11
2020-01-17,12.3167625551587,2199.79,2021-01-11
2020-01-20,12.5801440958537,2149.44,2021-01-11
2020-01-21,12.4921729317783,2133.59,2021-01-11
2020-01-22,12.5345803327016,2114.94,2021-01-11
2020-01-23,12.3978956479772,2068.61,2021-01-11
2020-01-24,12.6354680966717,2096.08,2021-01-11
2020-01-27,12.1016034961183,2068.65,2021-01-11
2020-01-28,11.953045379306,2069.84,2021-01-11
2020-01-29,11.9226432240222,2067.38,2021-01-11
2020-01-30,11.8602150448356,2049.4,2021-01-11
2020-01-31,11.4313655582219,2067.6,2021-01-11
2020-02-03,11.4923280713938,2060.75,2021-01-11
2020-02-04,12.0569313642669,2075.08,2021-01-11
2020-02-05,12.0933038742057,2103.2,2021-01-11
2020-02-06,12.0145784184326,2102.14,2021-01-11
2020-02-07,11.918917788362,2117.86,2021-01-11
2020-02-10,11.9961643920724,2101.1,2021-01-11
2020-02-11,12.4217793021856,2103.44,2021-01-11
2020-02-12,12.352280430313,2114.23,2021-01-11
2020-02-13,12.1174384985264,2087.74,2021-01-11
2020-02-14,12.0830269992286,2096.9,2021-01-11
2020-02-17,12.2060188252779,2096.74,2021-01-11
2020-02-18,12.1294648914865,2112.96,2021-01-11
2020-02-19,11.9046841212418,2140.01,2021-01-11
2020-02-20,12.0188496937205,2147.68,2021-01-11
2020-02-21,11.9679414399111,2170.55,2021-01-11
2020-02-24,11.5044830916881,2090.91,2021-01-11
2020-02-25,11.303386490688,2053.37,2021-01-11
2020-02-26,11.6629714015696,2036.13,2021-01-11
2020-02-27,11.4392721210992,1978.34,2021-01-11
2020-02-28,11.3492808386915,1932.92,2021-01-11
2020-03-02,11.2773604060914,1878.4,2021-01-11
2020-03-03,11.2761881067833,1941.29,2021-01-11
2020-03-04,11.2309662681874,1938.57,2021-01-11
2020-03-05,11.0388813620414,1912.66,2021-01-11
2020-03-06,10.7814284344843,1827.46,2021-01-11
2020-03-09,10.3622507813742,1763.3,2021-01-11
2020-03-10,10.2951164256231,1792.71,2021-01-11
2020-03-11,10.0109773219277,1837.8,2021-01-11
2020-03-12,8.9156519014649,1682.65,2021-01-11
2020-03-13,8.96028388665138,1721.05,2021-01-11
2020-03-16,9.00621422948342,1631.28,2021-01-11
2020-03-17,9.0444668701488,1628.71,2021-01-11
2020-03-18,8.21505353277301,1600.85,2021-01-11
2020-03-19,7.93159755111468,1653.65,2021-01-11
2020-03-20,8.11360507455782,1682.73,2021-01-11
2020-03-23,7.5945570528357,1583.04,2021-01-11
2020-03-24,8.6606043521266,1600.66,2021-01-11
2020-03-25,8.9938982024635,1652.89,2021-01-11
2020-03-26,9.61453469240337,1734.6,2021-01-11
2020-03-27,9.26082085782978,1744.25,2021-01-11
2020-03-30,9.71557011363294,1729.7,2021-01-11
2020-03-31,9.81942640210565,1748.12,2021-01-11
2020-04-01,9.50140264059467,1728.7,2021-01-11
2020-04-02,9.64950994600176,1727.07,2021-01-11
2020-04-03,9.03017652798723,1717.29,2021-01-11
2020-04-06,9.64244945951822,1766.57,2021-01-11
2020-04-07,9.92044987312801,1810.2,2021-01-11
2020-04-08,9.76625003727299,1823.98,2021-01-11
2020-04-14,10.1254809771404,1823.45,2021-01-11
2020-04-15,9.36657682856177,1842.05,2021-01-11
2020-04-16,9.17774834172859,1873.69,2021-01-11
2020-04-17,9.42350161332343,1892.53,2021-01-11
2020-04-20,9.59214343529227,1866.83,2021-01-11
2020-04-21,9.31065821279966,1847.01,2021-01-11
2020-04-22,9.45253667578605,1870.7,2021-01-11
2020-04-24,9.90435339104045,1853.73,2021-01-11
2020-04-27,9.9910871629795,1858.78,2021-01-11
2020-04-28,10.1166657560857,1869.24,2021-01-11
2020-04-29,10.3409309966028,1879.75,2021-01-11
2020-04-30,9.90768413931658,1864.31,2021-01-11
2020-05-04,9.39013348627579,1797.44,2021-01-11
2020-05-05,10.0291916563319,1788.34,2021-01-11
2020-05-06,9.78998994239739,1816.59,2021-01-11
2020-05-07,9.87946370309952,1810.19,2021-01-11
2020-05-08,10.2401315870443,1843.9,2021-01-11
2020-05-11,10.2425837393268,1870.37,2021-01-11
2020-05-12,10.3440180089737,1915.72,2021-01-11
2020-05-13,9.97166697253315,1956.71,2021-01-11
2020-05-14,9.53900099971433,1944.49,2021-01-11
2020-05-15,9.81948712231022,1954.61,2021-01-11
2020-05-18,10.4687956667526,1977.77,2021-01-11
2020-05-19,10.3917303124806,1972.82,2021-01-11
2020-05-20,10.6380075156576,1991.87,2021-01-11
2020-05-22,10.24861428038,1999.55,2021-01-11
2020-05-25,10.3670967441668,2038.29,2021-01-11
2020-05-26,10.6499032926309,2062.42,2021-01-11
2020-05-27,10.9684133106763,2046.81,2021-01-11
2020-05-28,11.0497222689429,2029.72,2021-01-11
