Date,Stock,Market,joined date
2020-01-02,37.3353014766659,3229.37,2021-07-10
2020-01-03,37.0996474080025,3217.07,2021-07-10
2020-01-06,36.9978352846366,3202.74,2021-07-10
2020-01-07,36.6745377907625,3189.5,2021-07-10
2020-01-08,36.7761419403548,3195.05,2021-07-10
2020-01-09,37.0098634092172,3203.32,2021-07-10
2020-01-10,37.1575705008453,3219.39,2021-07-10
2020-01-13,37.1901606492771,3215.75,2021-07-10
2020-01-14,36.9643377730301,3210.22,2021-07-10
2020-01-15,36.5159364060025,3171.82,2021-07-10
2020-01-16,36.5133809168549,3174.86,2021-07-10
2020-01-17,36.1646959684214,3172.52,2021-07-10
2020-01-20,36.0006234815117,3172.35,2021-07-10
2020-01-21,36.1238663061305,3158.55,2021-07-10
2020-01-22,36.5096747002651,3154.7,2021-07-10
2020-01-23,35.9291497662494,3121.98,2021-07-10
2020-01-24,36.2966522999593,3145.45,2021-07-10
2020-01-27,35.7905306410216,3098.44,2021-07-10
2020-01-28,36.0719386405712,3119.57,2021-07-10
2020-01-29,36.1430505862277,3133.53,2021-07-10
2020-01-30,35.7929474311179,3101.48,2021-07-10
2020-01-31,35.8353267440958,3074.31,2021-07-10
2020-02-03,35.711617569002,3056.63,2021-07-10
2020-02-04,35.9288892814946,3083.67,2021-07-10
2020-02-05,36.028708733807,3124.47,2021-07-10
2020-02-06,37.427678287126,3142.59,2021-07-10
2020-02-07,37.6213497039931,3146.91,2021-07-10
2020-02-10,36.7927432991154,3119.1,2021-07-10
2020-02-11,37.5538815825377,3181.44,2021-07-10
2020-02-12,37.7022220289601,3204.79,2021-07-10
2020-02-13,37.3307281221882,3195.5,2021-07-10
2020-02-14,37.391318662277,3212.48,2021-07-10
2020-02-17,37.5423002751837,3210.1,2021-07-10
2020-02-18,37.0042516456243,3178.62,2021-07-10
2020-02-19,36.996402255883,3198.33,2021-07-10
2020-02-20,36.535520115593,3173.84,2021-07-10
2020-02-21,36.5067519653022,3149.39,2021-07-10
2020-02-24,35.5536641743262,3040.23,2021-07-10
2020-02-25,34.5506092254135,2970.26,2021-07-10
2020-02-26,34.9321496953874,2959.84,2021-07-10
2020-02-27,33.2140421881529,2845.94,2021-07-10
2020-02-28,33.3279230014444,2787.39,2021-07-10
2020-03-02,32.9465284812591,2778.68,2021-07-10
2020-03-03,32.038749748654,2809.58,2021-07-10
2020-03-04,31.6616355842566,2798.52,2021-07-10
2020-03-05,30.3506833303364,2720.96,2021-07-10
2020-03-06,29.3756266010629,2615.56,2021-07-10
2020-03-09,27.2658684279811,2379.93,2021-07-10
2020-03-10,27.0745409429282,2361.41,2021-07-10
2020-03-11,26.6284626218241,2305.95,2021-07-10
2020-03-12,23.205354446942,1991.22,2021-07-10
2020-03-13,23.703189339256,2000.76,2021-07-10
2020-03-16,20.9137605241679,1791.42,2021-07-10
2020-03-17,19.4964262936817,1768.57,2021-07-10
2020-03-18,17.2494870899447,1630.84,2021-07-10
2020-03-19,17.0533165856005,1705.9,2021-07-10
2020-03-20,18.2317399208641,1889.19,2021-07-10
2020-03-23,18.7006711337443,1880.82,2021-07-10
2020-03-24,21.1855712806351,2034.3,2021-07-10
2020-03-25,20.4194914701018,2017.93,2021-07-10
2020-03-26,21.127112419771,2056.49,2021-07-10
2020-03-27,19.8981329441777,1997.8,2021-07-10
2020-03-30,18.368949862478,1989.72,2021-07-10
2020-03-31,18.1420172052498,2001.6,2021-07-10
2020-04-01,16.979939489608,1946.19,2021-07-10
2020-04-02,16.4772686316018,1981.68,2021-07-10
2020-04-03,16.1517314426527,1964.94,2021-07-10
2020-04-06,17.2616423869645,2046.55,2021-07-10
2020-04-07,18.8823119473845,2126.42,2021-07-10
2020-04-08,18.4232361721761,2114.34,2021-07-10
2020-04-09,19.2144652301237,2184.06,2021-07-10
2020-04-14,19.6641162456221,2172.34,2021-07-10
2020-04-15,17.6385410758693,2048.04,2021-07-10
2020-04-16,17.3532640611963,2006.75,2021-07-10
2020-04-17,18.0968568507602,2070.07,2021-07-10
2020-04-20,17.87260818561,2061.1,2021-07-10
2020-04-21,16.8421375454595,1994.63,2021-07-10
2020-04-22,17.6539749361499,2039.23,2021-07-10
2020-04-23,18.7021120917252,2108.81,2021-07-10
2020-04-24,18.757521558953,2094.12,2021-07-10
2020-04-27,19.1985533767176,2115.13,2021-07-10
2020-04-28,20.0923019504755,2164.62,2021-07-10
2020-04-29,21.7357471376848,2255.28,2021-07-10
2020-04-30,21.1578442864499,2227.15,2021-07-10
2020-05-04,20.0007797759916,2144.96,2021-07-10
2020-05-05,20.3248688602766,2197.97,2021-07-10
2020-05-06,19.863820646777,2185.32,2021-07-10
2020-05-07,20.1975627985572,2224.57,2021-07-10
2020-05-08,20.7087858126198,2246.5,2021-07-10
2020-05-11,20.7333711544073,2226.31,2021-07-10
2020-05-12,20.493068329718,2200.77,2021-07-10
2020-05-13,19.7725004326383,2165.08,2021-07-10
2020-05-14,18.787646664794,2115.97,2021-07-10
2020-05-15,18.7962104170271,2130.85,2021-07-10
2020-05-18,20.0916392047315,2209.29,2021-07-10
2020-05-19,19.6399707318138,2114.22,2021-07-10
2020-05-20,19.9598715697037,2145.72,2021-07-10
2020-05-21,19.1089671860116,2099.53,2021-07-10
2020-05-22,19.0607348789553,2127.47,2021-07-10
2020-05-25,19.2075137326706,2152.79,2021-07-10
2020-05-26,21.024321712874,2214.86,2021-07-10
2020-05-27,22.3816029224065,2250.95,2021-07-10
2020-05-28,22.2819183696074,2269.13,2021-07-10
2020-05-29,21.3693461034781,2232.3,2021-07-10
2020-06-02,23.1760671923516,2308.79,2021-07-10
2020-06-03,24.2699239590705,2366.48,2021-07-10
2020-06-04,25.3116408774019,2388.91,2021-07-10
2020-06-05,27.2953205222239,2485.0,2021-07-10
2020-06-08,27.4357460647259,2512.68,2021-07-10
2020-06-09,26.6907136296111,2447.85,2021-07-10
2020-06-10,25.7954000773097,2386.8,2021-07-10
2020-06-11,23.9150532654007,2270.52,2021-07-10
2020-06-12,24.6682872480502,2307.56,2021-07-10
2020-06-15,24.861269870024,2284.06,2021-07-10
2020-06-16,25.3683058139796,2350.8,2021-07-10
2020-06-17,24.6441581219644,2340.75,2021-07-10
2020-06-18,24.0085134983758,2326.41,2021-07-10
2020-06-19,23.624227524166,2318.6,2021-07-10
2020-06-22,23.2949902055705,2279.5,2021-07-10
2020-06-23,23.7687661816414,2309.91,2021-07-10
2020-06-24,22.2153854807682,2227.1,2021-07-10
2020-06-25,22.7950779584969,2249.61,2021-07-10
2020-06-26,22.5218867077958,2232.4,2021-07-10
2020-06-29,23.0935594820609,2247.8,2021-07-10
2020-06-30,22.9219667786027,2246.72,2021-07-10
2020-07-01,23.0702449121939,2254.13,2021-07-10
2020-07-02,23.987146003776,2288.33,2021-07-10
2020-07-03,23.7673899105787,2272.78,2021-07-10
2020-07-06,25.0068865694933,2343.05,2021-07-10
2020-07-07,24.6374412550291,2317.36,2021-07-10
2020-07-08,24.2918147934155,2289.34,2021-07-10
2020-07-09,23.5623532066107,2266.2,2021-07-10
2020-07-10,24.3574764718509,2277.94,2021-07-10
2020-07-13,24.7794994500074,2301.7,2021-07-10
2020-07-14,24.8906712250712,2306.56,2021-07-10
2020-07-15,25.321507952808,2332.35,2021-07-10
2020-07-16,25.1839294251565,2323.24,2021-07-10
2020-07-17,24.7668532906765,2313.3,2021-07-10
2020-07-20,24.5718431713626,2311.6,2021-07-10
2020-07-21,25.0174919317658,2338.46,2021-07-10
2020-07-22,24.8607230030656,2324.18,2021-07-10
2020-07-23,24.3516115568335,2296.87,2021-07-10
2020-07-24,23.9556446443763,2257.36,2021-07-10
2020-07-27,24.0404705108168,2247.47,2021-07-10
2020-07-28,23.8163644456939,2230.41,2021-07-10
2020-07-29,23.4769129194276,2208.05,2021-07-10
2020-07-30,22.8036911996398,2146.9,2021-07-10
2020-07-31,21.6787114549116,2123.55,2021-07-10
2020-08-03,22.3135533418796,2155.1,2021-07-10
2020-08-04,23.0255422084818,2193.16,2021-07-10
2020-08-05,23.3641608350136,2222.03,2021-07-10
2020-08-06,23.0272185343957,2193.84,2021-07-10
2020-08-07,22.7859875539213,2194.93,2021-07-10
2020-08-10,23.1636606891372,2224.13,2021-07-10
2020-08-11,24.0616627145306,2272.39,2021-07-10
2020-08-12,24.1153955817378,2287.58,2021-07-10
2020-08-13,23.9119725962674,2268.74,2021-07-10
2020-08-14,23.8785819163549,2246.32,2021-07-10
2020-08-17,23.4840326160493,2224.27,2021-07-10
2020-08-18,23.5679490391152,2212.52,2021-07-10
2020-08-19,23.5109577691506,2218.89,2021-07-10
2020-08-20,23.1754328542289,2199.91,2021-07-10
2020-08-21,22.9755478757283,2194.9,2021-07-10
2020-08-24,23.4251700279353,2247.21,2021-07-10
2020-08-25,23.6319208605001,2234.56,2021-07-10
2020-08-26,23.8312427547375,2248.68,2021-07-10
2020-08-27,23.3775755068267,2228.48,2021-07-10
2020-08-28,24.1543898490691,2253.26,2021-07-10
2020-08-31,23.6980138457866,2217.05,2021-07-10
2020-09-01,23.6463632790633,2219.48,2021-07-10
2020-09-02,23.030828404471,2216.09,2021-07-10
2020-09-03,23.0289590615557,2215.17,2021-07-10
2020-09-04,23.3879963065558,2217.29,2021-07-10
2020-09-07,23.5882941009642,2251.66,2021-07-10
2020-09-08,23.2944155859453,2217.79,2021-07-10
2020-09-09,23.3975404515466,2252.36,2021-07-10
2020-09-10,23.7183112234653,2245.48,2021-07-10
2020-09-11,23.3903084430968,2232.62,2021-07-10
2020-09-14,23.6901946356516,2238.04,2021-07-10
2020-09-15,23.3903084430968,2236.85,2021-07-10
2020-09-16,23.6284789414614,2258.83,2021-07-10
2020-09-17,23.209527307191,2242.95,2021-07-10
