Date,Stock,Market,joined date
2020-01-02,95.87,7314.94,2021-08-18
2020-01-03,95.16,7242.09,2021-08-18
2020-01-06,95.34,7210.64,2021-08-18
2020-01-07,94.84,7246.53,2021-08-18
2020-01-08,95.13,7211.87,2021-08-18
2020-01-09,95.19,7249.62,2021-08-18
2020-01-10,94.98,7274.19,2021-08-18
2020-01-13,94.86,7242.21,2021-08-18
2020-01-14,94.1,7249.22,2021-08-18
2020-01-15,93.9,7169.88,2021-08-18
2020-01-16,94.82,7156.86,2021-08-18
2020-01-17,95.68,7194.5,2021-08-18
2020-01-21,94.52,7139.85,2021-08-18
2020-01-22,97.16,7170.46,2021-08-18
2020-01-23,97.9,7120.67,2021-08-18
2020-01-24,96.84,7180.8,2021-08-18
2020-01-27,94.64,7056.03,2021-08-18
2020-01-28,96.27,7078.3,2021-08-18
2020-01-29,96.87,7169.25,2021-08-18
2020-01-30,97.23,7078.77,2021-08-18
2020-01-31,94.47,6998.2,2021-08-18
2020-02-03,95.49,7097.51,2021-08-18
2020-02-04,100.91,7134.42,2021-08-18
2020-02-05,102.34,7199.29,2021-08-18
2020-02-06,102.48,7187.17,2021-08-18
2020-02-07,101.96,7151.47,2021-08-18
2020-02-10,102.91,7065.53,2021-08-18
2020-02-11,103.53,7157.67,2021-08-18
2020-02-12,104.03,7204.97,2021-08-18
2020-02-13,102.89,7165.7,2021-08-18
2020-02-14,103.55,7171.1,2021-08-18
2020-02-18,104.47,7155.88,2021-08-18
2020-02-19,104.31,7255.14,2021-08-18
2020-02-20,105.1,7235.63,2021-08-18
2020-02-21,104.93,7240.19,2021-08-18
2020-02-24,101.65,6925.19,2021-08-18
2020-02-25,98.21,6827.31,2021-08-18
2020-02-26,96.58,6832.11,2021-08-18
2020-02-27,93.24,6569.6,2021-08-18
2020-02-28,90.72,6397.37,2021-08-18
2020-03-02,95.68,6387.52,2021-08-18
2020-03-03,92.85,6486.69,2021-08-18
2020-03-04,98.12,6538.6,2021-08-18
2020-03-05,93.66,6447.68,2021-08-18
2020-03-06,92.77,6266.53,2021-08-18
2020-03-09,83.13,5864.7,2021-08-18
2020-03-10,89.06,5826.65,2021-08-18
2020-03-11,84.37,5691.44,2021-08-18
2020-03-12,75.92,5125.94,2021-08-18
2020-03-13,85.56,5148.43,2021-08-18
2020-03-16,75.32,4740.39,2021-08-18
2020-03-17,73.74,4731.85,2021-08-18
2020-03-18,68.82,4366.53,2021-08-18
2020-03-19,72.45,4432.01,2021-08-18
2020-03-20,64.93,4603.87,2021-08-18
2020-03-23,57.77,4470.97,2021-08-18
2020-03-24,71.21,4781.29,2021-08-18
2020-03-25,74.6,4970.21,2021-08-18
2020-03-26,78.25,5196.71,2021-08-18
2020-03-27,74.54,4916.4,2021-08-18
2020-03-30,78.32,4943.36,2021-08-18
2020-03-31,77.69,5153.65,2021-08-18
2020-04-01,73.14,4990.98,2021-08-18
2020-04-02,73.59,4880.11,2021-08-18
2020-04-03,71.25,4784.67,2021-08-18
2020-04-06,77.4,5017.09,2021-08-18
2020-04-07,76.16,5115.0,2021-08-18
2020-04-08,80.14,5109.84,2021-08-18
2020-04-09,81.44,5289.18,2021-08-18
2020-04-14,79.84,5183.34,2021-08-18
2020-04-15,75.74,4970.39,2021-08-18
2020-04-16,75.82,5082.99,2021-08-18
2020-04-17,79.26,5277.52,2021-08-18
2020-04-20,77.89,5235.49,2021-08-18
2020-04-21,76.91,5120.6,2021-08-18
2020-04-22,77.65,5232.33,2021-08-18
2020-04-23,78.15,5262.61,2021-08-18
2020-04-24,78.86,5294.95,2021-08-18
2020-04-27,82.54,5393.27,2021-08-18
2020-04-28,83.1,5481.11,2021-08-18
2020-04-29,85.78,5687.36,2021-08-18
2020-04-30,83.5,5603.0,2021-08-18
2020-05-04,79.32,5386.49,2021-08-18
2020-05-05,80.8,5379.69,2021-08-18
2020-05-06,79.92,5308.81,2021-08-18
2020-05-07,80.26,5423.78,2021-08-18
2020-05-08,82.25,5507.65,2021-08-18
2020-05-11,81.08,5412.08,2021-08-18
2020-05-12,77.46,5391.57,2021-08-18
2020-05-13,73.87,5325.2,2021-08-18
2020-05-14,74.91,5277.98,2021-08-18
2020-05-15,73.71,5279.26,2021-08-18
2020-05-18,78.27,5595.06,2021-08-18
2020-05-19,76.34,5582.58,2021-08-18
2020-05-20,77.93,5652.15,2021-08-18
2020-05-21,78.29,5629.31,2021-08-18
2020-05-22,78.67,5652.83,2021-08-18
2020-05-26,81.92,5874.63,2021-08-18
2020-05-27,86.28,5902.25,2021-08-18
2020-05-28,85.13,5933.64,2021-08-18
2020-05-29,84.9,5888.55,2021-08-18
2020-06-01,84.66,5993.85,2021-08-18
2020-06-02,85.62,6042.42,2021-08-18
2020-06-03,89.33,6224.32,2021-08-18
2020-06-04,91.99,6239.51,2021-08-18
2020-06-05,95.43,6358.9,2021-08-18
2020-06-08,95.67,6293.6,2021-08-18
2020-06-09,95.42,6132.89,2021-08-18
2020-06-10,91.98,6107.42,2021-08-18
2020-06-11,85.13,5851.2,2021-08-18
2020-06-12,86.01,5885.35,2021-08-18
2020-06-15,86.69,5908.71,2021-08-18
2020-06-16,88.94,6077.32,2021-08-18
2020-06-17,88.84,6118.55,2021-08-18
2020-06-18,87.53,6175.76,2021-08-18
2020-06-19,89.34,6174.68,2021-08-18
2020-06-22,87.08,6134.99,2021-08-18
2020-06-23,87.12,6177.33,2021-08-18
2020-06-24,84.01,5999.56,2021-08-18
2020-06-25,85.47,5976.34,2021-08-18
2020-06-26,85.5,5969.75,2021-08-18
2020-06-29,86.91,6030.38,2021-08-18
2020-06-30,87.48,5973.9,2021-08-18
2020-07-01,87.1,5991.59,2021-08-18
2020-07-02,88.24,6097.25,2021-08-18
2020-07-06,88.88,6128.55,2021-08-18
2020-07-07,87.4,6141.69,2021-08-18
2020-07-08,87.34,6038.76,2021-08-18
2020-07-09,85.64,5972.94,2021-08-18
2020-07-10,86.44,6053.42,2021-08-18
2020-07-13,87.43,6094.72,2021-08-18
2020-07-14,90.67,6090.14,2021-08-18
2020-07-15,93.4,6264.19,2021-08-18
2020-07-16,93.56,6261.81,2021-08-18
2020-07-17,94.57,6221.25,2021-08-18
2020-07-20,92.78,6265.73,2021-08-18
2020-07-21,93.56,6303.67,2021-08-18
2020-07-22,93.97,6265.56,2021-08-18
2020-07-23,93.83,6273.2,2021-08-18
2020-07-24,93.61,6192.83,2021-08-18
2020-07-27,95.23,6155.45,2021-08-18
2020-07-28,93.34,6225.7,2021-08-18
2020-07-29,96.89,6220.64,2021-08-18
2020-07-30,94.46,6139.0,2021-08-18
2020-07-31,93.13,6099.59,2021-08-18
2020-08-03,94.87,6220.97,2021-08-18
2020-08-04,94.65,6180.78,2021-08-18
2020-08-05,96.34,6262.66,2021-08-18
2020-08-06,96.51,6233.54,2021-08-18
2020-08-07,97.76,6278.26,2021-08-18
2020-08-10,99.76,6288.55,2021-08-18
2020-08-11,102.18,6433.4,2021-08-18
2020-08-12,102.55,6487.25,2021-08-18
