Date,Stock,Market,joined date
2020-01-02,87.6842794272053,7604.3,2021-09-30
2020-01-03,87.1756276360715,7622.4,2021-09-30
2020-01-06,86.5751818853395,7575.34,2021-09-30
2020-01-07,86.748169004661,7573.85,2021-09-30
2020-01-08,88.5204116980879,7574.93,2021-09-30
2020-01-09,82.9639344808441,7598.12,2021-09-30
2020-01-10,83.2418134507609,7587.85,2021-09-30
2020-01-13,82.5942820881069,7617.6,2021-09-30
2020-01-14,83.5427557276539,7622.35,2021-09-30
2020-01-15,82.6964958637142,7642.8,2021-09-30
2020-01-16,82.0295756455507,7609.81,2021-09-30
2020-01-17,82.5072892180775,7674.56,2021-09-30
2020-01-20,82.5521405828772,7651.44,2021-09-30
2020-01-21,82.2162573695641,7610.7,2021-09-30
2020-01-22,81.5407938955005,7571.92,2021-09-30
2020-01-23,80.547656414054,7507.67,2021-09-30
2020-01-24,80.5493909765322,7585.98,2021-09-30
2020-01-27,80.3177677164924,7412.05,2021-09-30
2020-01-28,81.1825586264655,7480.69,2021-09-30
2020-01-29,80.0373369295974,7483.57,2021-09-30
2020-01-30,77.648251748252,7381.96,2021-09-30
2020-01-31,78.0093857810022,7286.01,2021-09-30
2020-02-03,78.569119338287,7326.31,2021-09-30
2020-02-04,79.3091383898501,7439.82,2021-09-30
2020-02-05,78.8057195328481,7482.48,2021-09-30
2020-02-06,78.5367938512215,7504.79,2021-09-30
2020-02-07,79.118100740838,7466.7,2021-09-30
2020-02-10,79.7163668495753,7446.88,2021-09-30
2020-02-11,79.9313986357439,7499.44,2021-09-30
2020-02-12,79.8422500760965,7534.37,2021-09-30
2020-02-13,79.6790918255625,7452.03,2021-09-30
2020-02-14,80.3625129960147,7409.13,2021-09-30
2020-02-17,80.4243288336115,7433.25,2021-09-30
2020-02-18,80.6183479011548,7382.01,2021-09-30
2020-02-19,80.7560578232031,7457.02,2021-09-30
2020-02-20,81.3198632721936,7436.64,2021-09-30
2020-02-21,81.3297619951204,7403.92,2021-09-30
2020-02-24,78.6540309715783,7156.83,2021-09-30
2020-02-25,76.8928851174938,7017.88,2021-09-30
2020-02-26,74.5961259791126,7042.47,2021-09-30
2020-02-27,72.844474627719,6796.4,2021-09-30
2020-02-28,71.0893862386033,6580.61,2021-09-30
2020-03-02,71.5808529349553,6654.89,2021-09-30
2020-03-03,71.7148774548137,6718.2,2021-09-30
2020-03-04,69.2099103713189,6815.59,2021-09-30
2020-03-05,69.0103398669307,6705.43,2021-09-30
2020-03-06,68.0682461941248,6462.55,2021-09-30
2020-03-09,65.9138737851853,5965.77,2021-09-30
2020-03-10,63.7392770133095,5960.23,2021-09-30
2020-03-11,61.0411255703905,5876.52,2021-09-30
2020-03-12,52.140300376869,5237.48,2021-09-30
2020-03-13,51.7760999444754,5366.11,2021-09-30
2020-03-16,46.9444726455494,5151.08,2021-09-30
2020-03-17,42.5709628114624,5294.9,2021-09-30
2020-03-18,42.5901979614552,5080.58,2021-09-30
2020-03-19,40.0672243305361,5151.61,2021-09-30
2020-03-20,44.8997198160626,5190.78,2021-09-30
2020-03-23,44.6302964352719,4993.89,2021-09-30
2020-03-24,50.0372130652399,5446.01,2021-09-30
2020-03-25,49.3846048394116,5688.2,2021-09-30
2020-03-26,53.827714550387,5815.73,2021-09-30
2020-03-27,50.0181035347065,5510.33,2021-09-30
2020-03-30,48.8405606919177,5563.74,2021-09-30
2020-03-31,50.5365986544613,5671.96,2021-09-30
2020-04-01,48.0783883627117,5454.57,2021-09-30
2020-04-02,48.016843076589,5480.22,2021-09-30
2020-04-03,47.2903851973542,5415.5,2021-09-30
2020-04-06,50.8256577101544,5582.39,2021-09-30
2020-04-07,52.8737619234287,5704.45,2021-09-30
2020-04-08,51.1803061390653,5677.73,2021-09-30
2020-04-09,58.1598113990996,5842.66,2021-09-30
2020-04-14,56.7550300275572,5791.31,2021-09-30
2020-04-15,51.1127972165263,5597.65,2021-09-30
2020-04-16,49.9378598593607,5628.43,2021-09-30
2020-04-17,52.8266765275268,5786.96,2021-09-30
2020-04-20,54.2931276068821,5812.83,2021-09-30
2020-04-21,53.746584161103,5641.03,2021-09-30
2020-04-22,52.4039446344313,5770.63,2021-09-30
2020-04-23,53.2863457580365,5826.61,2021-09-30
2020-04-24,54.1477532162603,5752.23,2021-09-30
2020-04-27,55.9423613742922,5846.79,2021-09-30
2020-04-28,56.5819080691051,5958.5,2021-09-30
2020-04-29,60.3453871329007,6115.25,2021-09-30
2020-04-30,59.0411894876375,5901.21,2021-09-30
2020-05-04,54.723590677587,5753.78,2021-09-30
2020-05-05,54.3019952746348,5849.42,2021-09-30
2020-05-06,52.1237576097753,5853.76,2021-09-30
2020-05-07,51.2926743140632,5935.98,2021-09-30
2020-05-11,51.4909423931016,5939.73,2021-09-30
2020-05-12,50.71386659436,5994.77,2021-09-30
2020-05-13,48.3543242190882,5904.05,2021-09-30
2020-05-14,46.8232535275181,5741.54,2021-09-30
2020-05-15,46.7904589894445,5799.77,2021-09-30
2020-05-18,49.7734554025448,6048.59,2021-09-30
2020-05-19,45.8037557198553,6002.23,2021-09-30
2020-05-20,45.9895971459935,6067.16,2021-09-30
2020-05-21,45.4978715250786,6015.25,2021-09-30
2020-05-22,45.3593636571727,5993.28,2021-09-30
2020-05-26,49.6262432061488,6067.76,2021-09-30
2020-05-27,51.9716825843931,6144.25,2021-09-30
2020-05-28,51.6083989588527,6218.79,2021-09-30
2020-05-29,49.9454242780725,6076.6,2021-09-30
2020-06-01,52.226085843122,6166.42,2021-09-30
2020-06-02,54.7479616681932,6220.14,2021-09-30
2020-06-03,56.7772899327202,6382.41,2021-09-30
2020-06-04,55.8699246159952,6341.44,2021-09-30
2020-06-05,60.1436115593371,6484.3,2021-09-30
2020-06-08,59.3637672485828,6472.59,2021-09-30
2020-06-09,58.0482519306442,6335.72,2021-09-30
2020-06-10,56.3712271766072,6329.13,2021-09-30
2020-06-11,52.2349134084208,6076.7,2021-09-30
