Date,Stock,Market,joined date
2018-01-02,11.744763,2695.81,2020-09-14
2018-01-03,11.837534,2713.06,2020-09-14
2018-01-04,12.041629,2723.99,2020-09-14
2018-01-05,12.245725,2743.15,2020-09-14
2018-01-08,12.199339,2747.71,2020-09-14
2018-01-09,12.1344,2751.29,2020-09-14
2018-01-10,12.088015,2748.23,2020-09-14
2018-01-11,12.208617,2767.56,2020-09-14
2018-01-12,12.273556,2786.24,2020-09-14
2018-01-16,12.152954,2776.42,2020-09-14
2018-01-17,11.299464,2802.56,2020-09-14
2018-01-18,11.197417,2798.03,2020-09-14
2018-01-19,11.132477,2810.3,2020-09-14
2018-01-22,11.151031,2832.97,2020-09-14
2018-01-23,11.095369,2839.13,2020-09-14
2018-01-24,11.178862,2837.54,2020-09-14
2018-01-25,10.733563,2839.25,2020-09-14
2018-01-26,10.80778,2872.87,2020-09-14
2018-01-29,10.432512,2853.53,2020-09-14
2018-01-30,10.376221,2822.43,2020-09-14
2018-01-31,10.291786,2823.81,2020-09-14
2018-02-01,10.244877,2821.98,2020-09-14
2018-02-02,10.04786,2762.13,2020-09-14
2018-02-05,9.606917,2648.94,2020-09-14
2018-02-06,10.094769,2695.14,2020-09-14
2018-02-07,10.094769,2681.66,2020-09-14
2018-02-08,9.785171,2581.0,2020-09-14
2018-02-09,9.878988,2619.55,2020-09-14
2018-02-12,10.038478,2656.0,2020-09-14
2018-02-13,9.935279,2662.94,2020-09-14
2018-02-14,10.076005,2698.63,2020-09-14
2018-02-15,10.094769,2731.2,2020-09-14
2018-02-16,9.954042,2732.22,2020-09-14
2018-02-20,9.972806,2716.26,2020-09-14
2018-02-21,9.944661,2701.33,2020-09-14
2018-02-22,9.972806,2703.96,2020-09-14
2018-02-23,10.038478,2747.3,2020-09-14
2018-02-26,10.216731,2779.6,2020-09-14
2018-02-27,9.954042,2744.28,2020-09-14
2018-02-28,9.954042,2713.83,2020-09-14
2018-03-01,9.653826,2677.67,2020-09-14
2018-03-02,9.757025,2691.25,2020-09-14
2018-03-05,9.925897,2720.94,2020-09-14
2018-03-06,9.972806,2728.12,2020-09-14
2018-03-07,9.972806,2726.8,2020-09-14
2018-03-08,9.954042,2738.97,2020-09-14
2018-03-09,10.066623,2786.57,2020-09-14
2018-03-12,10.141677,2783.02,2020-09-14
