Date,Stock,Market,joined date
2020-01-02,99.88,3257.85,2021-02-08
2020-01-03,99.23,3234.85,2021-02-08
2020-01-06,98.36,3246.28,2021-02-08
2020-01-07,100.15,3237.18,2021-02-08
2020-01-08,100.45,3253.05,2021-02-08
2020-01-09,99.52,3274.7,2021-02-08
2020-01-10,98.0,3265.35,2021-02-08
2020-01-13,98.87,3288.13,2021-02-08
2020-01-14,98.28,3283.15,2021-02-08
2020-01-15,98.51,3289.29,2021-02-08
2020-01-16,99.59,3316.81,2021-02-08
2020-01-17,100.0,3329.62,2021-02-08
2020-01-21,98.15,3320.79,2021-02-08
2020-01-22,97.6,3321.75,2021-02-08
2020-01-23,96.83,3325.54,2021-02-08
2020-01-24,95.68,3295.47,2021-02-08
2020-01-27,93.82,3243.63,2021-02-08
2020-01-28,95.09,3276.24,2021-02-08
2020-01-29,96.37,3273.4,2021-02-08
2020-01-30,96.05,3283.66,2021-02-08
2020-01-31,95.59,3225.52,2021-02-08
2020-02-03,97.61,3248.92,2021-02-08
2020-02-04,98.98,3297.59,2021-02-08
2020-02-05,101.82,3334.69,2021-02-08
2020-02-06,107.92,3345.78,2021-02-08
2020-02-07,105.14,3327.71,2021-02-08
2020-02-10,104.86,3352.09,2021-02-08
2020-02-11,105.25,3357.75,2021-02-08
2020-02-12,106.44,3379.45,2021-02-08
2020-02-13,105.43,3373.94,2021-02-08
2020-02-14,105.47,3380.16,2021-02-08
2020-02-18,105.79,3370.29,2021-02-08
2020-02-19,106.45,3386.15,2021-02-08
2020-02-20,108.29,3373.23,2021-02-08
2020-02-21,106.58,3337.75,2021-02-08
2020-02-24,102.4,3225.89,2021-02-08
2020-02-25,97.74,3128.21,2021-02-08
2020-02-26,96.89,3116.39,2021-02-08
2020-02-27,92.36,2978.76,2021-02-08
2020-02-28,93.1,2954.22,2021-02-08
2020-03-02,96.91,3090.23,2021-02-08
2020-03-03,94.59,3003.37,2021-02-08
2020-03-04,99.35,3130.12,2021-02-08
2020-03-05,94.83,3023.94,2021-02-08
2020-03-06,90.53,2972.37,2021-02-08
2020-03-09,79.24,2746.56,2021-02-08
2020-03-10,86.98,2882.23,2021-02-08
2020-03-11,83.26,2741.38,2021-02-08
2020-03-12,77.44,2480.64,2021-02-08
2020-03-13,88.05,2711.02,2021-02-08
2020-03-16,71.01,2386.13,2021-02-08
2020-03-17,68.64,2529.19,2021-02-08
