Date,Stock,Market,joined date
2020-01-02,115.329624913433,6041.5,2021-01-04
2020-01-03,114.536609314677,6044.16,2021-01-04
2020-01-06,113.720310716125,6013.59,2021-01-04
2020-01-07,113.963290885167,6012.35,2021-01-04
2020-01-08,115.248817533808,6031.0,2021-01-04
2020-01-09,114.82509716824,6042.55,2021-01-04
2020-01-10,116.315274441776,6037.11,2021-01-04
2020-01-13,115.449272458057,6036.14,2021-01-04
2020-01-14,115.276340532541,6040.89,2021-01-04
2020-01-15,116.172765179387,6032.61,2021-01-04
2020-01-16,116.304965091808,6039.03,2021-01-04
2020-01-17,115.924513239011,6100.72,2021-01-04
2020-01-20,116.653168994552,6078.54,2021-01-04
2020-01-21,116.74941265127,6045.99,2021-01-04
2020-01-22,115.679380677218,6010.98,2021-01-04
2020-01-23,114.720217504228,5971.79,2021-01-04
2020-01-24,115.576670818682,6024.26,2021-01-04
2020-01-27,113.244544322902,5863.02,2021-01-04
2020-01-28,115.0489288548,5925.82,2021-01-04
2020-01-29,116.419882203996,5954.89,2021-01-04
2020-01-30,115.704484789659,5871.77,2021-01-04
2020-01-31,116.199097030406,5806.34,2021-01-04
2020-02-03,117.159854918612,5832.51,2021-01-04
2020-02-04,117.156012941267,5935.05,2021-01-04
2020-02-05,117.722743968153,5985.4,2021-01-04
2020-02-06,116.387592643426,6038.18,2021-01-04
2020-02-07,117.363185712879,6029.75,2021-01-04
2020-02-10,117.163210315599,6015.67,2021-01-04
2020-02-11,120.600272851297,6054.76,2021-01-04
2020-02-12,119.90694438405,6104.73,2021-01-04
2020-02-13,119.239899838484,6093.14,2021-01-04
2020-02-14,119.67163403223,6069.35,2021-01-04
2020-02-17,119.336525752422,6085.95,2021-01-04
2020-02-18,119.779864033668,6056.82,2021-01-04
2020-02-19,119.92480390674,6111.24,2021-01-04
2020-02-20,118.666364744066,6062.3,2021-01-04
2020-02-21,119.327731092437,6029.72,2021-01-04
2020-02-24,116.170549870318,5791.87,2021-01-04
2020-02-25,115.263272410792,5679.68,2021-01-04
2020-02-26,114.610530896432,5684.55,2021-01-04
2020-02-27,112.784022171876,5495.6,2021-01-04
2020-02-28,106.302988875782,5309.9,2021-01-04
2020-03-02,107.245828277543,5333.52,2021-01-04
2020-03-03,108.246386201658,5393.17,2021-01-04
2020-03-04,109.179981072204,5464.89,2021-01-04
2020-03-05,107.916741593239,5361.1,2021-01-04
2020-03-06,102.784015889316,5139.11,2021-01-04
2020-03-09,96.7501917375428,4707.91,2021-01-04
2020-03-10,92.0369952628021,4636.61,2021-01-04
2020-03-11,89.8653596980453,4610.25,2021-01-04
2020-03-12,75.6869191800585,4044.26,2021-01-04
2020-03-13,74.4031093836759,4118.36,2021-01-04
2020-03-16,66.0129476614825,3881.46,2021-01-04
2020-03-17,63.9968331464012,3991.78,2021-01-04
2020-03-18,56.5947137525371,3754.84,2021-01-04
2020-03-19,58.7952322411674,3855.5,2021-01-04
2020-03-20,64.5492460699392,4048.8,2021-01-04
2020-03-23,58.7938890377913,3914.31,2021-01-04
2020-03-24,65.1320331377287,4242.7,2021-01-04
2020-03-25,72.3082948907651,4432.3,2021-01-04
2020-03-26,80.2399700037494,4543.58,2021-01-04
2020-03-27,77.5563403032294,4351.49,2021-01-04
2020-03-30,72.9032044272127,4378.51,2021-01-04
2020-03-31,71.1370905481417,4396.12,2021-01-04
2020-04-01,67.4822415153909,4207.24,2021-01-04
2020-04-02,68.1539380122673,4220.96,2021-01-04
2020-04-03,67.1825688470019,4154.58,2021-01-04
2020-04-06,73.3786554440489,4346.14,2021-01-04
2020-04-07,77.3988414129536,4438.27,2021-01-04
2020-04-08,77.5118058948054,4442.75,2021-01-04
2020-04-09,80.4886577210542,4506.85,2021-01-04
2020-04-14,80.5858392894391,4523.91,2021-01-04
2020-04-15,75.3457528031062,4353.72,2021-01-04
2020-04-16,75.9970962044789,4350.16,2021-01-04
2020-04-17,80.2209992821871,4499.01,2021-01-04
2020-04-20,79.5533541883905,4528.3,2021-01-04
2020-04-21,76.1005265157683,4357.46,2021-01-04
2020-04-22,78.0918574953464,4411.8,2021-01-04
2020-04-23,76.9620362288391,4451.0,2021-01-04
2020-04-24,75.9351229698876,4393.32,2021-01-04
2020-04-27,80.777018613364,4505.26,2021-01-04
2020-04-28,79.8364326745205,4569.79,2021-01-04
2020-04-29,82.5260136347329,4671.11,2021-01-04
2020-04-30,81.8334191470484,4572.18,2021-01-04
2020-05-04,78.4792732269637,4378.23,2021-01-04
2020-05-05,80.2661811245503,4483.13,2021-01-04
2020-05-06,79.0121324640563,4433.38,2021-01-04
2020-05-07,79.3769429911503,4501.44,2021-01-04
2020-05-08,84.1616893041806,4549.64,2021-01-04
2020-05-11,81.3477269534588,4490.22,2021-01-04
2020-05-12,80.2603036876354,4472.5,2021-01-04
2020-05-13,78.4156788093799,4344.95,2021-01-04
2020-05-14,77.7458458480091,4273.13,2021-01-04
2020-05-15,78.1493337947741,4277.63,2021-01-04
2020-05-18,85.9213024595711,4498.34,2021-01-04
2020-05-19,82.0601308331603,4458.16,2021-01-04
2020-05-20,84.2810098792537,4496.98,2021-01-04
2020-05-21,83.9127150099089,4445.45,2021-01-04
2020-05-22,82.94910783384,4444.56,2021-01-04
2020-05-25,86.8427936175776,4539.91,2021-01-04
2020-05-26,89.5964864122975,4606.24,2021-01-04
2020-05-27,91.6332907882573,4688.74,2021-01-04
2020-05-28,91.3773052001997,4771.39,2021-01-04
2020-05-29,91.0039287061906,4695.44,2021-01-04
2020-06-01,92.2340366308524,4762.78,2021-01-04
2020-06-02,94.8689883172875,4858.97,2021-01-04
2020-06-03,98.8419763902463,5022.38,2021-01-04
2020-06-04,99.461542821516,5011.98,2021-01-04
2020-06-05,98.6673587524405,5197.79,2021-01-04
2020-06-08,98.7149664626572,5175.52,2021-01-04
2020-06-09,96.0956193370604,5095.11,2021-01-04
