Date,Stock,Market,joined date
2020-01-02,1.61241766177927,1159.32,2021-08-31
2020-01-03,1.55498919833202,1136.84,2021-08-31
2020-01-06,1.50679951042855,1114.13,2021-08-31
2020-01-07,1.51667431538397,1126.0,2021-08-31
2020-01-08,1.60046021563616,1128.76,2021-08-31
2020-01-09,1.73017209357801,1179.9,2021-08-31
2020-01-10,1.73512345363895,1186.64,2021-08-31
2020-01-13,1.7732914157012,1202.49,2021-08-31
2020-01-14,1.76487344786529,1214.23,2021-08-31
2020-01-15,1.75888506842786,1209.39,2021-08-31
2020-01-16,1.77510871607427,1210.01,2021-08-31
2020-01-17,1.76453003497572,1214.75,2021-08-31
2020-01-20,1.762763527461,1226.2,2021-08-31
2020-01-21,1.79128053917439,1235.56,2021-08-31
2020-01-22,1.75177388013045,1227.47,2021-08-31
2020-01-23,1.73231059775736,1225.4,2021-08-31
2020-01-24,1.71718226368704,1221.42,2021-08-31
2020-01-27,1.68709877166414,1201.5,2021-08-31
2020-01-28,1.69130306653419,1198.02,2021-08-31
2020-01-29,1.69557016880826,1196.89,2021-08-31
2020-01-30,1.72780092864207,1198.5,2021-08-31
2020-01-31,1.69483882832876,1191.4,2021-08-31
2020-02-03,1.68450296698705,1192.43,2021-08-31
2020-02-04,1.74858789480728,1221.36,2021-08-31
2020-02-05,1.76388031243205,1223.21,2021-08-31
2020-02-06,1.74619248889037,1222.84,2021-08-31
2020-02-07,1.69542590160119,1210.15,2021-08-31
2020-02-10,1.67004160564506,1183.42,2021-08-31
2020-02-11,1.68806327198976,1197.98,2021-08-31
2020-02-12,1.65181586355357,1200.49,2021-08-31
2020-02-13,1.64834829859845,1205.41,2021-08-31
2020-02-14,1.62232798809721,1201.51,2021-08-31
2020-02-17,1.65389757849612,1207.92,2021-08-31
2020-02-18,1.63338635688591,1195.74,2021-08-31
2020-02-19,1.602979356855,1191.96,2021-08-31
2020-02-20,1.54124548914113,1156.42,2021-08-31
2020-02-21,1.55064687151205,1168.29,2021-08-31
2020-02-24,1.49606060110541,1147.89,2021-08-31
2020-02-25,1.47894333968502,1143.65,2021-08-31
2020-02-26,1.47121104792852,1151.71,2021-08-31
2020-02-27,1.39881461905376,1104.18,2021-08-31
2020-02-28,1.29717713626236,1059.94,2021-08-31
2020-03-02,1.32100675708522,1073.1,2021-08-31
2020-03-03,1.42230735200145,1112.07,2021-08-31
2020-03-04,1.45282010338129,1107.85,2021-08-31
2020-03-05,1.43657825367978,1118.15,2021-08-31
2020-03-06,1.40300924481518,1096.01,2021-08-31
2020-03-09,1.27317606069487,1035.24,2021-08-31
2020-03-10,1.29512983950959,1010.63,2021-08-31
2020-03-11,1.31507799406987,1009.66,2021-08-31
2020-03-12,1.17931999619844,936.39,2021-08-31
2020-03-13,1.21250627952165,956.05,2021-08-31
2020-03-16,1.08545437572929,878.88,2021-08-31
2020-03-17,1.11785707582582,867.78,2021-08-31
2020-03-18,1.05122848152033,855.77,2021-08-31
2020-03-19,0.987463412396203,851.95,2021-08-31
2020-03-20,0.970139378673387,857.96,2021-08-31
2020-03-23,0.897586611771883,842.46,2021-08-31
2020-03-24,1.00604864216382,892.86,2021-08-31
2020-03-25,0.996331072124757,890.63,2021-08-31
2020-03-26,1.05785076400945,915.28,2021-08-31
2020-03-27,1.04024190299086,881.25,2021-08-31
2020-03-30,1.04193920861668,880.59,2021-08-31
2020-03-31,1.04759431250945,896.44,2021-08-31
2020-04-01,0.997015197205383,890.85,2021-08-31
2020-04-02,0.978768028301033,895.11,2021-08-31
2020-04-03,0.954532174171495,895.53,2021-08-31
2020-04-06,0.975209412111825,920.71,2021-08-31
2020-04-07,0.985345082938391,923.82,2021-08-31
2020-04-08,0.990318921074788,932.25,2021-08-31
2020-04-09,1.08388289422414,958.34,2021-08-31
2020-04-10,1.09788951777901,964.71,2021-08-31
2020-04-13,1.06481301990219,963.99,2021-08-31
2020-04-14,1.07251643481834,985.5,2021-08-31
2020-04-15,1.01244897072874,958.55,2021-08-31
2020-04-16,1.01299710278623,962.49,2021-08-31
2020-04-17,1.03133203463203,981.8,2021-08-31
2020-04-20,1.0304101669502,989.46,2021-08-31
2020-04-21,0.99835795234752,976.19,2021-08-31
2020-04-22,0.985285501347243,981.71,2021-08-31
2020-04-24,0.99210120191618,987.59,2021-08-31
2020-04-27,1.01990304471114,1012.67,2021-08-31
2020-04-28,1.01359994272623,1007.07,2021-08-31
2020-04-29,1.03111226252159,1015.95,2021-08-31
2020-04-30,1.01741941027367,1011.1,2021-08-31
2020-05-04,0.988315961374612,988.42,2021-08-31
2020-05-05,0.980426575799562,987.38,2021-08-31
2020-05-06,0.955313850557939,985.71,2021-08-31
2020-05-07,0.960014192369844,983.99,2021-08-31
2020-05-08,0.945445213216608,978.45,2021-08-31
2020-05-11,0.934445873738372,977.92,2021-08-31
2020-05-12,0.963072921133124,996.16,2021-08-31
2020-05-13,0.965415447294426,1001.59,2021-08-31
2020-05-14,0.946924978317432,991.93,2021-08-31
2020-05-15,0.95073994086271,997.68,2021-08-31
2020-05-18,0.959151835655445,1019.83,2021-08-31
2020-05-20,0.967683875530408,1021.58,2021-08-31
2020-05-21,0.954763969384593,1026.49,2021-08-31
2020-05-22,0.943081768393851,1030.24,2021-08-31
2020-05-27,0.961348468958181,1049.54,2021-08-31
2020-05-28,0.973228876031603,1053.6,2021-08-31
2020-05-29,0.977027514593291,1055.2,2021-08-31
2020-06-01,1.00069072861296,1072.66,2021-08-31
2020-06-02,1.02287016759777,1080.97,2021-08-31
2020-06-03,1.0386107979828,1091.11,2021-08-31
2020-06-04,1.02700983441453,1095.37,2021-08-31
2020-06-05,1.04343144208038,1100.22,2021-08-31
2020-06-08,1.03757048484133,1096.37,2021-08-31
2020-06-09,1.02575169652451,1092.37,2021-08-31
2020-06-10,1.03011428065202,1097.79,2021-08-31
2020-06-11,1.01634675556336,1091.55,2021-08-31
2020-06-12,1.01814304172907,1098.35,2021-08-31
2020-06-15,1.00478773067186,1095.56,2021-08-31
2020-06-16,1.0224398052717,1109.4,2021-08-31
2020-06-17,1.01225496214446,1109.4,2021-08-31
2020-06-18,1.01037945874972,1124.95,2021-08-31
2020-06-19,1.03594542906362,1136.12,2021-08-31
2020-06-22,1.06011612111651,1151.9,2021-08-31
2020-06-23,1.0525121217432,1153.39,2021-08-31
2020-06-24,1.01801438722951,1144.49,2021-08-31
2020-06-25,1.02184776581152,1141.39,2021-08-31
2020-06-26,1.02214608939363,1146.68,2021-08-31
2020-06-29,1.06041547487012,1158.43,2021-08-31
2020-06-30,1.05208189781022,1165.25,2021-08-31
2020-07-01,1.03310437031517,1153.15,2021-08-31
2020-07-02,1.04002555677255,1169.08,2021-08-31
2020-07-03,1.02080500320718,1157.48,2021-08-31
2020-07-06,1.03967526975795,1184.85,2021-08-31
2020-07-07,1.03384144117861,1193.39,2021-08-31
2020-07-08,1.01381200320864,1187.13,2021-08-31
2020-07-09,0.982436321751937,1157.94,2021-08-31
2020-07-10,0.969577953306713,1148.09,2021-08-31
2020-07-13,0.990249409293776,1183.99,2021-08-31
2020-07-14,0.978154198117332,1177.41,2021-08-31
2020-07-16,0.991839125740468,1188.08,2021-08-31
2020-07-17,0.985408953656298,1187.86,2021-08-31
2020-07-20,0.981609440182034,1192.81,2021-08-31
2020-07-21,0.991554812795025,1180.42,2021-08-31
2020-07-22,0.990191296728975,1180.8,2021-08-31
2020-07-23,0.991508868385269,1190.31,2021-08-31
2020-07-24,0.984460158373024,1192.02,2021-08-31
2020-07-27,0.964935636708218,1195.67,2021-08-31
2020-07-28,0.909178048604602,1152.7,2021-08-31
2020-07-29,0.866160709171108,1135.55,2021-08-31
2020-07-30,0.855311011628073,1126.9,2021-08-31
2020-08-04,0.834966071221435,1087.16,2021-08-31
2020-08-05,0.819959538885259,1091.8,2021-08-31
2020-08-06,0.761664133108539,1034.4,2021-08-31
2020-08-07,0.768780979550411,1060.59,2021-08-31
2020-08-10,0.763236918545187,1075.52,2021-08-31
2020-08-11,0.833826310308923,1110.05,2021-08-31
2020-08-12,0.821848612210364,1114.18,2021-08-31
2020-08-13,0.804783788205143,1100.26,2021-08-31
2020-08-14,0.784050689617726,1083.83,2021-08-31
2020-08-17,0.803524604605146,1086.2,2021-08-31
2020-08-18,0.824167254667822,1092.46,2021-08-31
2020-08-19,0.850636170358686,1124.71,2021-08-31
2020-08-20,0.833900298883985,1126.8,2021-08-31
2020-08-21,0.822080010904384,1109.88,2021-08-31
2020-08-24,0.803731563821709,1108.44,2021-08-31
2020-08-25,0.780468109293165,1092.16,2021-08-31
2020-08-26,0.797949417610164,1099.02,2021-08-31
2020-08-27,0.809181241251851,1108.93,2021-08-31
2020-08-28,0.803896412060713,1100.55,2021-08-31
2020-08-31,0.783844771731144,1078.61,2021-08-31
2020-09-01,0.796901102481942,1085.19,2021-08-31
2020-09-02,0.790450272276558,1083.91,2021-08-31
2020-09-03,0.774681374857066,1076.34,2021-08-31
2020-09-04,0.779307153139335,1086.32,2021-08-31
2020-09-07,0.77938692280862,1096.81,2021-08-31
2020-09-08,0.770829223304863,1089.6,2021-08-31
2020-09-09,0.769371793501498,1099.68,2021-08-31
2020-09-10,0.781168888709875,1099.06,2021-08-31
2020-09-11,0.774068572346235,1102.7,2021-08-31
2020-09-14,0.771730491715657,1107.29,2021-08-31
2020-09-15,0.769310123707483,1111.24,2021-08-31
2020-09-16,0.761585125376397,1107.11,2021-08-31
2020-09-17,0.755189759355457,1110.66,2021-08-31
2020-09-18,0.750818257612854,1111.96,2021-08-31
2020-09-21,0.723478944678173,1087.03,2021-08-31
2020-09-22,0.719345593129643,1096.16,2021-08-31
2020-09-23,0.728267829069603,1102.65,2021-08-31
2020-09-24,0.783504775900071,1119.56,2021-08-31
2020-09-25,0.797297635986267,1124.17,2021-08-31
