Date,Stock,Market,joined date
2018-01-02,59.04,2695.81,2020-09-14
2018-01-03,58.73,2713.06,2020-09-14
2018-01-04,59.41,2723.99,2020-09-14
2018-01-05,59.92,2743.15,2020-09-14
2018-01-08,60.12,2747.71,2020-09-14
2018-01-09,59.32,2751.29,2020-09-14
2018-01-10,58.63,2748.23,2020-09-14
2018-01-11,58.09,2767.56,2020-09-14
2018-01-12,57.85,2786.24,2020-09-14
2018-01-16,58.43,2776.42,2020-09-14
2018-01-17,59.12,2802.56,2020-09-14
2018-01-18,58.66,2798.03,2020-09-14
2018-01-19,59.11,2810.3,2020-09-14
2018-01-22,59.77,2832.97,2020-09-14
2018-01-23,59.79,2839.13,2020-09-14
2018-01-24,59.72,2837.54,2020-09-14
2018-01-25,60.14,2839.25,2020-09-14
2018-01-26,60.2,2872.87,2020-09-14
2018-01-29,59.58,2853.53,2020-09-14
2018-01-30,58.58,2822.43,2020-09-14
2018-01-31,58.49,2823.81,2020-09-14
2018-02-01,57.88,2821.98,2020-09-14
2018-02-02,55.95,2762.13,2020-09-14
2018-02-05,54.01,2648.94,2020-09-14
2018-02-06,55.78,2695.14,2020-09-14
2018-02-07,54.65,2681.66,2020-09-14
2018-02-08,53.99,2581.0,2020-09-14
2018-02-09,54.72,2619.55,2020-09-14
2018-02-12,54.92,2656.0,2020-09-14
2018-02-13,54.79,2662.94,2020-09-14
2018-02-14,56.03,2698.63,2020-09-14
2018-02-15,56.89,2731.2,2020-09-14
2018-02-16,56.43,2732.22,2020-09-14
2018-02-20,55.95,2716.26,2020-09-14
2018-02-21,54.48,2701.33,2020-09-14
2018-02-22,54.95,2703.96,2020-09-14
2018-02-23,52.98,2747.3,2020-09-14
2018-02-26,51.42,2779.6,2020-09-14
2018-02-27,50.78,2744.28,2020-09-14
2018-02-28,50.55,2713.83,2020-09-14
2018-03-01,50.57,2677.67,2020-09-14
2018-03-02,50.94,2691.25,2020-09-14
2018-03-05,50.62,2720.94,2020-09-14
2018-03-06,51.06,2728.12,2020-09-14
2018-03-07,51.06,2726.8,2020-09-14
2018-03-08,51.7,2738.97,2020-09-14
2018-03-09,51.45,2786.57,2020-09-14
2018-03-12,51.97,2783.02,2020-09-14
2018-03-13,51.99,2765.31,2020-09-14
2018-03-14,51.81,2749.48,2020-09-14
2018-03-15,50.93,2747.33,2020-09-14
2018-03-16,50.49,2752.01,2020-09-14
2018-03-19,50.21,2712.92,2020-09-14
2018-03-20,49.93,2716.94,2020-09-14
2018-03-21,45.51,2711.93,2020-09-14
2018-03-22,44.45,2643.69,2020-09-14
2018-03-23,44.21,2588.26,2020-09-14
2018-03-26,45.3,2658.55,2020-09-14
2018-03-27,45.31,2612.62,2020-09-14
2018-03-28,44.35,2605.0,2020-09-14
2018-03-29,45.06,2640.87,2020-09-14
2018-04-02,44.09,2581.88,2020-09-14
2018-04-03,44.3,2614.45,2020-09-14
2018-04-04,45.37,2644.69,2020-09-14
2018-04-05,45.43,2662.84,2020-09-14
2018-04-06,45.47,2604.47,2020-09-14
2018-04-09,44.95,2613.16,2020-09-14
2018-04-10,44.51,2656.87,2020-09-14
2018-04-11,44.87,2642.19,2020-09-14
2018-04-12,44.58,2663.99,2020-09-14
2018-04-13,44.8,2656.3,2020-09-14
2018-04-16,45.24,2677.84,2020-09-14
2018-04-17,45.26,2706.39,2020-09-14
2018-04-18,44.73,2708.64,2020-09-14
2018-04-19,44.03,2693.13,2020-09-14
2018-04-20,43.41,2670.14,2020-09-14
