Date,Stock,Market,joined date
2018-01-02,41.8,2695.81,2020-02-12
2018-01-03,42.82,2713.06,2020-02-12
2018-01-04,44.14,2723.99,2020-02-12
2018-01-05,44.01,2743.15,2020-02-12
2018-01-08,44.22,2747.71,2020-02-12
2018-01-09,44.05,2751.29,2020-02-12
2018-01-10,43.0,2748.23,2020-02-12
2018-01-11,44.19,2767.56,2020-02-12
2018-01-12,44.07,2786.24,2020-02-12
2018-01-16,44.19,2776.42,2020-02-12
2018-01-17,44.03,2802.56,2020-02-12
2018-01-18,43.86,2798.03,2020-02-12
2018-01-19,43.15,2810.3,2020-02-12
2018-01-22,43.29,2832.97,2020-02-12
2018-01-23,43.38,2839.13,2020-02-12
2018-01-24,44.16,2837.54,2020-02-12
2018-01-25,43.16,2839.25,2020-02-12
2018-01-26,43.49,2872.87,2020-02-12
2018-01-29,43.02,2853.53,2020-02-12
2018-01-30,42.7,2822.43,2020-02-12
2018-01-31,42.41,2823.81,2020-02-12
2018-02-01,42.43,2821.98,2020-02-12
2018-02-02,41.0,2762.13,2020-02-12
2018-02-05,39.54,2648.94,2020-02-12
2018-02-06,41.86,2695.14,2020-02-12
2018-02-07,42.39,2681.66,2020-02-12
2018-02-08,40.75,2581.0,2020-02-12
2018-02-09,41.46,2619.55,2020-02-12
2018-02-12,42.0,2656.0,2020-02-12
2018-02-13,41.4,2662.94,2020-02-12
2018-02-14,41.81,2698.63,2020-02-12
2018-02-15,41.85,2731.2,2020-02-12
2018-02-16,41.09,2732.22,2020-02-12
2018-02-20,40.77,2716.26,2020-02-12
2018-02-21,40.56,2701.33,2020-02-12
2018-02-22,40.91,2703.96,2020-02-12
2018-02-23,40.91,2747.3,2020-02-12
2018-02-26,41.54,2779.6,2020-02-12
2018-02-27,40.17,2744.28,2020-02-12
2018-02-28,39.35,2713.83,2020-02-12
2018-03-01,37.79,2677.67,2020-02-12
2018-03-02,37.43,2691.25,2020-02-12
2018-03-05,37.74,2720.94,2020-02-12
2018-03-06,37.93,2728.12,2020-02-12
2018-03-07,37.74,2726.8,2020-02-12
2018-03-08,37.84,2738.97,2020-02-12
2018-03-09,37.84,2786.57,2020-02-12
2018-03-12,37.83,2783.02,2020-02-12
2018-03-13,38.01,2765.31,2020-02-12
2018-03-14,37.69,2749.48,2020-02-12
2018-03-15,37.85,2747.33,2020-02-12
2018-03-16,37.94,2752.01,2020-02-12
2018-03-19,37.01,2712.92,2020-02-12
2018-03-20,36.89,2716.94,2020-02-12
2018-03-21,37.58,2711.93,2020-02-12
2018-03-22,36.35,2643.69,2020-02-12
2018-03-23,35.17,2588.26,2020-02-12
2018-03-26,35.99,2658.55,2020-02-12
2018-03-27,34.87,2612.62,2020-02-12
2018-03-28,35.47,2605.0,2020-02-12
2018-03-29,36.34,2640.87,2020-02-12
2018-04-02,35.76,2581.88,2020-02-12
2018-04-03,36.94,2614.45,2020-02-12
2018-04-04,38.03,2644.69,2020-02-12
2018-04-05,38.0,2662.84,2020-02-12
2018-04-06,37.68,2604.47,2020-02-12
2018-04-09,37.83,2613.16,2020-02-12
2018-04-10,39.07,2656.87,2020-02-12
2018-04-11,39.0,2642.19,2020-02-12
2018-04-12,38.83,2663.99,2020-02-12
2018-04-13,38.73,2656.3,2020-02-12
2018-04-16,39.17,2677.84,2020-02-12
2018-04-17,39.22,2706.39,2020-02-12
2018-04-18,38.93,2708.64,2020-02-12
2018-04-19,37.77,2693.13,2020-02-12
2018-04-20,37.61,2670.14,2020-02-12
2018-04-23,37.69,2670.29,2020-02-12
2018-04-24,37.93,2634.56,2020-02-12
2018-04-25,38.11,2639.4,2020-02-12
2018-04-26,38.25,2666.94,2020-02-12
2018-04-27,37.65,2669.91,2020-02-12
2018-04-30,36.74,2648.05,2020-02-12
2018-05-01,36.42,2654.8,2020-02-12
2018-05-02,36.2,2635.67,2020-02-12
2018-05-03,36.15,2629.73,2020-02-12
2018-05-04,36.71,2663.42,2020-02-12
2018-05-07,36.34,2672.63,2020-02-12
2018-05-08,36.33,2671.92,2020-02-12
2018-05-09,36.27,2697.79,2020-02-12
2018-05-10,37.16,2723.07,2020-02-12
2018-05-11,36.89,2727.72,2020-02-12
2018-05-14,36.63,2730.13,2020-02-12
2018-05-15,36.94,2711.45,2020-02-12
2018-05-16,38.03,2722.46,2020-02-12
2018-05-17,38.3,2720.13,2020-02-12
2018-05-18,37.79,2712.97,2020-02-12
2018-05-21,38.09,2733.01,2020-02-12
2018-05-22,38.28,2724.44,2020-02-12
2018-05-23,37.85,2733.29,2020-02-12
2018-05-24,38.39,2727.76,2020-02-12
2018-05-25,38.3,2721.33,2020-02-12
2018-05-29,37.38,2689.86,2020-02-12
2018-05-30,37.83,2724.01,2020-02-12
