Date,Stock,Market,joined date
2020-01-02,234.32,3257.85,2021-10-22
2020-01-03,231.58,3234.85,2021-10-22
2020-01-06,233.95,3246.28,2021-10-22
2020-01-07,235.49,3237.18,2021-10-22
2020-01-08,237.76,3253.05,2021-10-22
2020-01-09,242.6,3274.7,2021-10-22
2020-01-10,242.11,3265.35,2021-10-22
2020-01-13,245.21,3288.13,2021-10-22
2020-01-14,245.66,3283.15,2021-10-22
2020-01-15,245.21,3289.29,2021-10-22
2020-01-16,249.72,3316.81,2021-10-22
2020-01-17,249.46,3329.62,2021-10-22
2020-01-21,245.7,3320.79,2021-10-22
2020-01-22,247.05,3321.75,2021-10-22
2020-01-23,245.58,3325.54,2021-10-22
2020-01-24,241.92,3295.47,2021-10-22
2020-01-27,238.14,3243.63,2021-10-22
2020-01-28,242.58,3276.24,2021-10-22
2020-01-29,240.12,3273.4,2021-10-22
2020-01-30,244.13,3283.66,2021-10-22
2020-01-31,237.75,3225.52,2021-10-22
2020-02-03,239.01,3248.92,2021-10-22
2020-02-04,241.94,3297.59,2021-10-22
2020-02-05,244.3,3334.69,2021-10-22
2020-02-06,241.82,3345.78,2021-10-22
2020-02-07,238.0,3327.71,2021-10-22
2020-02-10,237.36,3352.09,2021-10-22
2020-02-11,236.46,3357.75,2021-10-22
2020-02-12,238.65,3379.45,2021-10-22
2020-02-13,238.35,3373.94,2021-10-22
2020-02-14,237.08,3380.16,2021-10-22
2020-02-18,233.21,3370.29,2021-10-22
2020-02-19,237.33,3386.15,2021-10-22
2020-02-20,232.73,3373.23,2021-10-22
2020-02-21,230.62,3337.75,2021-10-22
2020-02-24,224.54,3225.89,2021-10-22
2020-02-25,217.61,3128.21,2021-10-22
2020-02-26,215.78,3116.39,2021-10-22
2020-02-27,205.69,2978.76,2021-10-22
2020-02-28,200.77,2954.22,2021-10-22
2020-03-02,209.47,3090.23,2021-10-22
2020-03-03,203.43,3003.37,2021-10-22
2020-03-04,208.74,3130.12,2021-10-22
2020-03-05,198.79,3023.94,2021-10-22
2020-03-06,192.85,2972.37,2021-10-22
2020-03-09,172.81,2746.56,2021-10-22
2020-03-10,184.35,2882.23,2021-10-22
2020-03-11,171.89,2741.38,2021-10-22
2020-03-12,150.68,2480.64,2021-10-22
2020-03-13,177.17,2711.02,2021-10-22
2020-03-16,154.66,2386.13,2021-10-22
2020-03-17,158.67,2529.19,2021-10-22
2020-03-18,140.02,2398.1,2021-10-22
2020-03-19,149.49,2409.39,2021-10-22
2020-03-20,138.41,2304.92,2021-10-22
2020-03-23,134.97,2237.4,2021-10-22
2020-03-24,153.6,2447.33,2021-10-22
2020-03-25,155.13,2475.56,2021-10-22
2020-03-26,165.79,2630.07,2021-10-22
2020-03-27,158.34,2541.47,2021-10-22
2020-03-30,159.62,2626.65,2021-10-22
2020-03-31,154.59,2584.59,2021-10-22
2020-04-01,145.29,2470.5,2021-10-22
2020-04-02,149.93,2526.9,2021-10-22
2020-04-03,146.93,2488.65,2021-10-22
2020-04-06,158.23,2663.68,2021-10-22
2020-04-07,166.02,2659.41,2021-10-22
2020-04-08,176.96,2749.98,2021-10-22
2020-04-09,184.26,2789.82,2021-10-22
2020-04-13,179.18,2761.63,2021-10-22
2020-04-14,178.23,2846.06,2021-10-22
2020-04-15,178.52,2783.36,2021-10-22
2020-04-16,177.04,2799.55,2021-10-22
2020-04-17,183.49,2874.56,2021-10-22
2020-04-20,180.4,2823.16,2021-10-22
2020-04-21,173.81,2736.56,2021-10-22
2020-04-22,175.98,2799.31,2021-10-22
2020-04-23,175.05,2797.8,2021-10-22
2020-04-24,177.0,2836.74,2021-10-22
2020-04-27,183.54,2878.48,2021-10-22
2020-04-28,187.01,2863.39,2021-10-22
2020-04-29,190.03,2939.51,2021-10-22
2020-04-30,183.42,2912.43,2021-10-22
2020-05-01,177.1,2830.71,2021-10-22
2020-05-04,176.03,2842.74,2021-10-22
2020-05-05,178.3,2868.44,2021-10-22
2020-05-06,176.92,2848.42,2021-10-22
2020-05-07,182.32,2881.19,2021-10-22
2020-05-08,185.39,2929.8,2021-10-22
2020-05-11,183.16,2930.32,2021-10-22
2020-05-12,177.21,2870.12,2021-10-22
2020-05-13,171.8,2820.0,2021-10-22
2020-05-14,174.45,2852.5,2021-10-22
2020-05-15,171.87,2863.7,2021-10-22
2020-05-18,181.88,2953.91,2021-10-22
2020-05-19,177.83,2922.94,2021-10-22
2020-05-20,181.44,2971.61,2021-10-22
2020-05-21,180.1,2948.51,2021-10-22
2020-05-22,179.93,2955.45,2021-10-22
2020-05-26,196.06,2991.77,2021-10-22
2020-05-27,209.66,3036.13,2021-10-22
2020-05-28,201.22,3029.73,2021-10-22
2020-05-29,196.49,3044.31,2021-10-22
2020-06-01,199.93,3055.73,2021-10-22
2020-06-02,204.14,3080.82,2021-10-22
2020-06-03,210.57,3122.87,2021-10-22
2020-06-04,214.82,3112.35,2021-10-22
2020-06-05,217.92,3193.93,2021-10-22
2020-06-08,220.81,3232.39,2021-10-22
2020-06-09,218.1,3207.18,2021-10-22
2020-06-10,213.52,3190.14,2021-10-22
2020-06-11,194.13,3002.1,2021-10-22
2020-06-12,201.78,3041.31,2021-10-22
2020-06-15,206.31,3066.59,2021-10-22
2020-06-16,209.59,3124.74,2021-10-22
2020-06-17,206.19,3113.49,2021-10-22
2020-06-18,203.84,3115.34,2021-10-22
2020-06-19,201.63,3097.74,2021-10-22
2020-06-22,203.42,3117.86,2021-10-22
2020-06-23,204.78,3131.29,2021-10-22
2020-06-24,198.02,3050.33,2021-10-22
2020-06-25,207.1,3083.76,2021-10-22
2020-06-26,189.19,3009.05,2021-10-22
2020-06-29,193.47,3053.24,2021-10-22
2020-06-30,197.62,3100.29,2021-10-22
2020-07-01,197.57,3115.86,2021-10-22
2020-07-02,197.4,3130.01,2021-10-22
2020-07-06,207.36,3179.72,2021-10-22
2020-07-07,199.36,3145.32,2021-10-22
2020-07-08,202.25,3169.94,2021-10-22
2020-07-09,196.83,3152.05,2021-10-22
2020-07-10,205.56,3185.04,2021-10-22
2020-07-13,208.88,3155.22,2021-10-22
2020-07-14,214.01,3197.52,2021-10-22
2020-07-15,216.9,3226.56,2021-10-22
2020-07-16,214.67,3215.57,2021-10-22
2020-07-17,211.41,3224.73,2021-10-22
2020-07-20,211.71,3251.84,2021-10-22
2020-07-21,212.02,3257.3,2021-10-22
2020-07-22,206.0,3276.02,2021-10-22
2020-07-23,203.02,3235.66,2021-10-22
2020-07-24,201.47,3215.63,2021-10-22
2020-07-27,203.02,3239.41,2021-10-22
2020-07-28,201.62,3218.44,2021-10-22
2020-07-29,202.58,3258.44,2021-10-22
2020-07-30,199.53,3246.22,2021-10-22
2020-07-31,197.96,3271.12,2021-10-22
2020-08-03,199.39,3294.61,2021-10-22
2020-08-04,201.64,3306.51,2021-10-22
2020-08-05,204.52,3327.77,2021-10-22
2020-08-06,204.25,3349.16,2021-10-22
2020-08-07,208.27,3351.28,2021-10-22
2020-08-10,209.38,3360.47,2021-10-22
2020-08-11,211.06,3333.69,2021-10-22
2020-08-12,212.13,3380.35,2021-10-22
2020-08-13,208.39,3373.43,2021-10-22
2020-08-14,207.97,3372.85,2021-10-22
2020-08-17,203.07,3381.99,2021-10-22
2020-08-18,201.31,3389.78,2021-10-22
2020-08-19,203.02,3374.85,2021-10-22
2020-08-20,201.85,3385.51,2021-10-22
2020-08-21,202.43,3397.16,2021-10-22
2020-08-24,207.34,3431.28,2021-10-22
2020-08-25,206.0,3443.62,2021-10-22
2020-08-26,207.22,3478.73,2021-10-22
2020-08-27,210.15,3484.55,2021-10-22
2020-08-28,207.71,3508.01,2021-10-22
2020-08-31,204.87,3500.31,2021-10-22
2020-09-01,205.46,3526.65,2021-10-22
2020-09-02,210.04,3580.84,2021-10-22
2020-09-03,207.56,3455.06,2021-10-22
2020-09-04,210.94,3426.96,2021-10-22
2020-09-08,202.48,3331.84,2021-10-22
2020-09-09,202.22,3398.96,2021-10-22
2020-09-10,200.01,3339.19,2021-10-22
2020-09-11,200.92,3340.97,2021-10-22
2020-09-14,201.34,3383.54,2021-10-22
2020-09-15,198.0,3401.2,2021-10-22
2020-09-16,200.68,3385.49,2021-10-22
2020-09-17,194.83,3357.01,2021-10-22
2020-09-18,194.86,3319.47,2021-10-22
2020-09-21,194.0,3281.06,2021-10-22
2020-09-22,191.62,3315.57,2021-10-22
2020-09-23,186.12,3236.92,2021-10-22
2020-09-24,195.11,3246.59,2021-10-22
2020-09-25,194.95,3298.46,2021-10-22
2020-09-28,199.07,3351.6,2021-10-22
2020-09-29,196.79,3335.47,2021-10-22
2020-09-30,200.97,3363.0,2021-10-22
2020-10-01,198.55,3380.8,2021-10-22
2020-10-02,199.9,3348.44,2021-10-22
2020-10-05,201.8,3408.63,2021-10-22
2020-10-06,201.09,3360.95,2021-10-22
2020-10-07,203.6,3419.45,2021-10-22
2020-10-08,207.98,3446.83,2021-10-22
2020-10-09,207.54,3477.13,2021-10-22
2020-10-12,214.12,3534.22,2021-10-22
2020-10-13,210.81,3511.93,2021-10-22
2020-10-14,211.23,3488.67,2021-10-22
2020-10-15,208.6,3483.34,2021-10-22
2020-10-16,206.21,3483.81,2021-10-22
2020-10-19,205.69,3426.92,2021-10-22
2020-10-20,208.03,3443.12,2021-10-22
2020-10-21,202.91,3435.56,2021-10-22
2020-10-22,205.4,3453.49,2021-10-22
2020-10-23,205.04,3465.39,2021-10-22
2020-10-26,201.14,3400.97,2021-10-22
2020-10-27,195.68,3390.68,2021-10-22
2020-10-28,189.77,3271.03,2021-10-22
2020-10-29,189.94,3310.11,2021-10-22
2020-10-30,189.04,3269.96,2021-10-22
2020-11-02,190.2,3310.24,2021-10-22
2020-11-03,197.93,3369.02,2021-10-22
2020-11-04,197.87,3443.44,2021-10-22
2020-11-05,202.96,3510.45,2021-10-22
2020-11-06,201.26,3509.44,2021-10-22
2020-11-09,214.93,3550.5,2021-10-22
2020-11-10,217.47,3545.53,2021-10-22
2020-11-11,218.05,3572.66,2021-10-22
2020-11-12,214.51,3537.01,2021-10-22
2020-11-13,219.08,3585.15,2021-10-22
2020-11-16,222.38,3626.91,2021-10-22
2020-11-17,224.65,3609.53,2021-10-22
2020-11-18,224.3,3567.79,2021-10-22
2020-11-19,224.57,3581.87,2021-10-22
2020-11-20,223.35,3557.54,2021-10-22
2020-11-23,228.83,3577.59,2021-10-22
2020-11-24,237.5,3635.41,2021-10-22
2020-11-25,236.54,3629.65,2021-10-22
2020-11-27,235.4,3638.35,2021-10-22
2020-11-30,230.58,3621.63,2021-10-22
2020-12-01,232.08,3662.45,2021-10-22
2020-12-02,237.65,3669.01,2021-10-22
2020-12-03,235.47,3666.72,2021-10-22
2020-12-04,239.58,3699.12,2021-10-22
2020-12-07,238.45,3691.96,2021-10-22
2020-12-08,238.84,3702.25,2021-10-22
2020-12-09,242.82,3672.82,2021-10-22
2020-12-10,244.4,3668.1,2021-10-22
2020-12-11,239.99,3663.46,2021-10-22
2020-12-14,237.79,3647.49,2021-10-22
2020-12-15,242.43,3694.62,2021-10-22
2020-12-16,243.77,3701.17,2021-10-22
2020-12-17,244.43,3722.48,2021-10-22
2020-12-18,242.13,3709.41,2021-10-22
2020-12-21,256.98,3694.92,2021-10-22
2020-12-22,250.09,3687.26,2021-10-22
2020-12-23,256.45,3690.01,2021-10-22
2020-12-24,256.16,3703.06,2021-10-22
2020-12-28,259.59,3735.36,2021-10-22
2020-12-29,258.01,3727.04,2021-10-22
2020-12-30,259.45,3732.04,2021-10-22
2020-12-31,263.71,3756.07,2021-10-22
2021-01-04,265.0,3700.65,2021-10-22
2021-01-05,270.93,3726.86,2021-10-22
2021-01-06,285.55,3748.14,2021-10-22
2021-01-07,291.65,3803.79,2021-10-22
2021-01-08,290.08,3824.68,2021-10-22
2021-01-11,293.83,3799.61,2021-10-22
2021-01-12,302.21,3801.19,2021-10-22
2021-01-13,302.94,3809.84,2021-10-22
2021-01-14,307.87,3795.54,2021-10-22
2021-01-15,301.01,3768.25,2021-10-22
2021-01-19,294.2,3798.91,2021-10-22
2021-01-20,290.47,3851.85,2021-10-22
2021-01-21,289.37,3853.07,2021-10-22
2021-01-22,289.39,3841.47,2021-10-22
2021-01-25,283.04,3855.36,2021-10-22
2021-01-26,281.76,3849.62,2021-10-22
2021-01-27,273.33,3750.77,2021-10-22
2021-01-28,275.02,3787.38,2021-10-22
2021-01-29,271.17,3714.24,2021-10-22
2021-02-01,274.73,3773.86,2021-10-22
2021-02-02,286.97,3826.31,2021-10-22
2021-02-03,288.55,3830.17,2021-10-22
2021-02-04,293.75,3871.74,2021-10-22
2021-02-05,293.5,3886.83,2021-10-22
2021-02-08,300.15,3915.59,2021-10-22
2021-02-09,300.46,3911.23,2021-10-22
2021-02-10,304.28,3909.88,2021-10-22
2021-02-11,302.32,3916.38,2021-10-22
2021-02-12,306.32,3934.83,2021-10-22
2021-02-16,311.96,3932.59,2021-10-22
2021-02-17,312.74,3931.33,2021-10-22
2021-02-18,309.9,3913.97,2021-10-22
