Date,Stock,Market,joined date
2020-01-02,15.38,3257.85,2022-04-21
2020-01-03,14.74,3234.85,2022-04-21
2020-01-06,14.95,3246.28,2022-04-21
2020-01-07,15.06,3237.18,2022-04-21
2020-01-08,14.99,3253.05,2022-04-21
2020-01-09,14.69,3274.7,2022-04-21
2020-01-10,14.47,3265.35,2022-04-21
2020-01-13,14.94,3288.13,2022-04-21
2020-01-14,15.0,3283.15,2022-04-21
2020-01-15,14.62,3289.29,2022-04-21
2020-01-16,15.04,3316.81,2022-04-21
2020-01-17,14.93,3329.62,2022-04-21
2020-01-21,14.61,3320.79,2022-04-21
2020-01-22,14.44,3321.75,2022-04-21
2020-01-23,14.64,3325.54,2022-04-21
2020-01-24,14.2,3295.47,2022-04-21
2020-01-27,13.75,3243.63,2022-04-21
2020-01-28,13.8,3276.24,2022-04-21
2020-01-29,13.8,3273.4,2022-04-21
2020-01-30,13.545,3283.66,2022-04-21
2020-01-31,13.13,3225.52,2022-04-21
2020-02-03,13.3,3248.92,2022-04-21
2020-02-04,13.45,3297.59,2022-04-21
2020-02-05,13.89,3334.69,2022-04-21
2020-02-06,13.37,3345.78,2022-04-21
2020-02-07,13.43,3327.71,2022-04-21
2020-02-10,13.19,3352.09,2022-04-21
2020-02-11,11.56,3357.75,2022-04-21
2020-02-12,11.85,3379.45,2022-04-21
2020-02-13,11.59,3373.94,2022-04-21
2020-02-14,11.1,3380.16,2022-04-21
2020-02-18,11.375,3370.29,2022-04-21
2020-02-19,11.45,3386.15,2022-04-21
2020-02-20,11.27,3373.23,2022-04-21
2020-02-21,10.845,3337.75,2022-04-21
2020-02-24,10.67,3225.89,2022-04-21
2020-02-25,10.115,3128.21,2022-04-21
2020-02-26,10.02,3116.39,2022-04-21
2020-02-27,9.91,2978.76,2022-04-21
2020-02-28,9.685,2954.22,2022-04-21
2020-03-02,9.49,3090.23,2022-04-21
2020-03-03,8.98,3003.37,2022-04-21
2020-03-04,9.39,3130.12,2022-04-21
2020-03-05,8.94,3023.94,2022-04-21
2020-03-06,8.7,2972.37,2022-04-21
2020-03-09,7.61,2746.56,2022-04-21
2020-03-10,7.695,2882.23,2022-04-21
2020-03-11,7.16,2741.38,2022-04-21
2020-03-12,6.39,2480.64,2022-04-21
2020-03-13,7.21,2711.02,2022-04-21
2020-03-16,6.18,2386.13,2022-04-21
2020-03-17,5.71,2529.19,2022-04-21
2020-03-18,4.57,2398.1,2022-04-21
2020-03-19,5.1,2409.39,2022-04-21
2020-03-20,5.69,2304.92,2022-04-21
2020-03-23,5.27,2237.4,2022-04-21
2020-03-24,5.91,2447.33,2022-04-21
2020-03-25,6.13,2475.56,2022-04-21
2020-03-26,6.19,2630.07,2022-04-21
2020-03-27,6.32,2541.47,2022-04-21
2020-03-30,5.92,2626.65,2022-04-21
2020-03-31,5.82,2584.59,2022-04-21
2020-04-01,5.69,2470.5,2022-04-21
2020-04-02,5.76,2526.9,2022-04-21
