Date,Stock,Market,joined date
2020-01-01,3.00888062059046,41306.02,2022-04-21
2020-01-02,3.08592654892069,39735.53,2022-04-21
2020-01-06,2.9124457308248,33303.52,2022-04-21
2020-01-07,2.90715478841879,35414.45,2022-04-21
2020-01-09,2.95997191011242,38900.8,2022-04-21
2020-01-10,2.98097251585627,38697.05,2022-04-21
2020-01-13,2.98727015558696,41859.69,2022-04-21
2020-01-14,2.99195369847553,41952.63,2022-04-21
2020-01-15,3.02149625229821,41872.73,2022-04-21
2020-01-16,2.95477704223505,41932.56,2022-04-21
2020-01-17,2.95528729810339,41945.37,2022-04-21
2020-01-20,2.91848514712086,41528.91,2022-04-21
2020-01-21,2.88293985385047,41323.81,2022-04-21
2020-01-22,2.86478120163223,41115.38,2022-04-21
2020-01-23,2.86594761171039,41386.4,2022-04-21
2020-01-24,2.87997756590014,41613.19,2022-04-21
2020-01-27,2.7750559910415,41155.12,2022-04-21
2020-01-28,2.75319567354966,40966.86,2022-04-21
2020-01-29,2.77349228611496,41198.66,2022-04-21
2020-01-30,2.70408163265307,40913.82,2022-04-21
2020-01-31,2.646771037182,40723.49,2022-04-21
2020-02-01,2.57757897679621,41626.64,2022-04-21
2020-02-03,2.54903885251181,38144.02,2022-04-21
2020-02-06,2.72383920924416,33825.53,2022-04-21
2020-02-07,2.76083916083916,35843.7,2022-04-21
2020-02-11,2.71675084175077,39757.58,2022-04-21
2020-02-12,2.71636975732921,44618.04,2022-04-21
2020-02-13,2.73766124509251,41459.79,2022-04-21
2020-02-14,2.71226250227184,41257.74,2022-04-21
2020-02-17,2.66755468311831,41055.69,2022-04-21
2020-02-18,2.57579991616594,40894.38,2022-04-21
2020-02-19,2.6274619360246,41323.0,2022-04-21
2020-02-20,2.65034184456528,41170.12,2022-04-21
2020-02-24,2.48957174638489,40363.23,2022-04-21
2020-02-25,2.42932739172813,40281.2,2022-04-21
2020-02-26,2.37366751889577,39888.96,2022-04-21
2020-02-27,2.3496161898116,39745.66,2022-04-21
2020-02-28,2.14933686271271,38297.29,2022-04-21
2020-03-02,2.05480391887809,39872.31,2022-04-21
2020-03-03,2.18129535807209,38623.7,2022-04-21
2020-03-04,2.18414252685972,27590.95,2022-04-21
2020-03-06,2.02835096823019,34109.54,2022-04-21
2020-03-09,1.93352293404855,38990.94,2022-04-21
2020-03-11,1.87024972855591,40261.13,2022-04-21
2020-03-12,1.61186504317974,44632.65,2022-04-21
2020-03-13,1.72605262801505,34103.48,2022-04-21
2020-03-16,1.56290119869727,31390.07,2022-04-21
2020-03-17,1.55819605725092,30579.09,2022-04-21
2020-03-18,1.46486733023904,28869.51,2022-04-21
2020-03-19,1.33387713620921,28288.23,2022-04-21
2020-03-20,1.39931559540544,29915.96,2022-04-21
2020-03-23,1.1517295597484,25981.24,2022-04-21
2020-03-24,1.16212075580406,26674.03,2022-04-21
2020-03-25,1.23821372446303,28535.78,2022-04-21
2020-03-26,1.26260265740803,29946.77,2022-04-21
2020-03-27,1.21308086764102,29815.59,2022-04-21
2020-03-30,1.17787504974131,28440.32,2022-04-21
2020-03-31,1.27035960336108,29468.49,2022-04-21
2020-04-03,1.16480402959232,38409.48,2022-04-21
2020-04-08,1.32819702357439,37687.91,2022-04-21
2020-04-09,1.40965987286192,38357.18,2022-04-21
2020-04-13,1.49255688897632,30690.02,2022-04-21
2020-04-15,1.50341566634888,30379.81,2022-04-21
2020-04-16,1.56986586795156,30602.61,2022-04-21
2020-04-17,1.62202769793576,31588.72,2022-04-21
2020-04-20,1.52083061251138,31648.0,2022-04-21
2020-04-21,1.39145121475899,30636.71,2022-04-21
2020-04-22,1.4175392670157,31379.55,2022-04-21
2020-04-23,1.46593754117798,31863.08,2022-04-21
2020-04-24,1.35916601101495,31327.22,2022-04-21
2020-04-27,1.41944455376704,31743.08,2022-04-21
2020-04-28,1.42979226926107,32114.52,2022-04-21
2020-04-29,1.54137729947518,32720.16,2022-04-21
2020-04-30,1.73421953461107,33717.62,2022-04-21
2020-05-05,1.53124587131726,31453.51,2022-04-21
2020-05-06,1.55888538380654,34287.24,2022-04-21
2020-05-08,1.5507879751026,37663.33,2022-04-21
2020-05-11,1.57856577906666,41340.16,2022-04-21
2020-05-13,1.63946390658169,32008.61,2022-04-21
2020-05-14,1.55272919978798,31122.89,2022-04-21
2020-05-15,1.57286624371847,31097.73,2022-04-21
2020-05-18,1.52397938961558,30028.98,2022-04-21
2020-05-19,1.55076679005815,30196.17,2022-04-21
2020-05-20,1.5989410986102,30818.61,2022-04-21
2020-05-21,1.71273641052774,30932.9,2022-04-21
2020-05-22,1.64406110086912,30672.59,2022-04-21
2020-05-26,1.71148204269554,30609.3,2022-04-21
2020-05-27,1.75625823451912,31605.22,2022-04-21
2020-05-28,1.82947785855913,32200.59,2022-04-21
2020-05-29,1.83688318560661,32424.1,2022-04-21
2020-06-01,1.84304635761592,40676.63,2022-04-21
2020-06-02,1.87974430683181,41306.03,2022-04-21
2020-06-03,1.90346567520917,37576.62,2022-04-21
2020-06-05,1.97530374017309,31685.75,2022-04-21
