Date,Stock,Market,joined date
2020-01-02,105.33,3257.85,2022-02-17
2020-01-03,105.05,3234.85,2022-02-17
2020-01-06,105.36,3246.28,2022-02-17
2020-01-07,103.39,3237.18,2022-02-17
2020-01-08,104.95,3253.05,2022-02-17
2020-01-09,103.9,3274.7,2022-02-17
2020-01-10,101.68,3265.35,2022-02-17
2020-01-13,104.86,3288.13,2022-02-17
2020-01-14,105.25,3283.15,2022-02-17
2020-01-15,103.03,3289.29,2022-02-17
2020-01-16,103.62,3316.81,2022-02-17
2020-01-17,105.13,3329.62,2022-02-17
2020-01-21,104.71,3320.79,2022-02-17
2020-01-22,105.78,3321.75,2022-02-17
2020-01-23,105.48,3325.54,2022-02-17
2020-01-24,104.68,3295.47,2022-02-17
2020-01-27,103.64,3243.63,2022-02-17
2020-01-28,104.99,3276.24,2022-02-17
2020-01-29,104.29,3273.4,2022-02-17
2020-01-30,102.91,3283.66,2022-02-17
2020-01-31,101.87,3225.52,2022-02-17
2020-02-03,101.77,3248.92,2022-02-17
2020-02-04,103.91,3297.59,2022-02-17
2020-02-05,105.07,3334.69,2022-02-17
2020-02-06,102.49,3345.78,2022-02-17
2020-02-07,99.74,3327.71,2022-02-17
2020-02-10,100.9,3352.09,2022-02-17
2020-02-11,100.1,3357.75,2022-02-17
2020-02-12,98.2,3379.45,2022-02-17
2020-02-13,96.99,3373.94,2022-02-17
2020-02-14,97.71,3380.16,2022-02-17
2020-02-18,97.42,3370.29,2022-02-17
2020-02-19,97.68,3386.15,2022-02-17
2020-02-20,98.88,3373.23,2022-02-17
2020-02-21,89.97,3337.75,2022-02-17
2020-02-24,87.09,3225.89,2022-02-17
2020-02-25,83.01,3128.21,2022-02-17
2020-02-26,82.5,3116.39,2022-02-17
2020-02-27,79.51,2978.76,2022-02-17
2020-02-28,77.25,2954.22,2022-02-17
2020-03-02,79.29,3090.23,2022-02-17
2020-03-03,75.44,3003.37,2022-02-17
2020-03-04,77.85,3130.12,2022-02-17
2020-03-05,74.47,3023.94,2022-02-17
2020-03-06,72.75,2972.37,2022-02-17
2020-03-09,66.23,2746.56,2022-02-17
2020-03-10,67.25,2882.23,2022-02-17
2020-03-11,62.98,2741.38,2022-02-17
2020-03-12,53.79,2480.64,2022-02-17
2020-03-13,55.02,2711.02,2022-02-17
2020-03-16,44.73,2386.13,2022-02-17
2020-03-17,46.75,2529.19,2022-02-17
2020-03-18,46.82,2398.1,2022-02-17
2020-03-19,47.29,2409.39,2022-02-17
2020-03-20,46.11,2304.92,2022-02-17
2020-03-23,51.87,2237.4,2022-02-17
2020-03-24,63.11,2447.33,2022-02-17
2020-03-25,66.79,2475.56,2022-02-17
2020-03-26,68.29,2630.07,2022-02-17
2020-03-27,65.64,2541.47,2022-02-17
2020-03-30,71.48,2626.65,2022-02-17
2020-03-31,71.55,2584.59,2022-02-17
2020-04-01,70.08,2470.5,2022-02-17
2020-04-02,70.43,2526.9,2022-02-17
2020-04-03,66.94,2488.65,2022-02-17
2020-04-06,71.2,2663.68,2022-02-17
2020-04-07,74.41,2659.41,2022-02-17
2020-04-08,74.15,2749.98,2022-02-17
2020-04-09,75.67,2789.82,2022-02-17
2020-04-13,74.22,2761.63,2022-02-17
2020-04-14,74.66,2846.06,2022-02-17
2020-04-15,71.53,2783.36,2022-02-17
2020-04-16,73.01,2799.55,2022-02-17
2020-04-17,75.2,2874.56,2022-02-17
2020-04-20,75.68,2823.16,2022-02-17
2020-04-21,72.34,2736.56,2022-02-17
2020-04-22,74.15,2799.31,2022-02-17
2020-04-23,72.76,2797.8,2022-02-17
2020-04-24,74.87,2836.74,2022-02-17
2020-04-27,76.76,2878.48,2022-02-17
2020-04-28,77.86,2863.39,2022-02-17
2020-04-29,72.91,2939.51,2022-02-17
2020-04-30,72.21,2912.43,2022-02-17
2020-05-01,68.73,2830.71,2022-02-17
2020-05-04,69.07,2842.74,2022-02-17
2020-05-05,67.21,2868.44,2022-02-17
2020-05-06,65.89,2848.42,2022-02-17
2020-05-07,68.38,2881.19,2022-02-17
2020-05-08,69.7,2929.8,2022-02-17
2020-05-11,68.6,2930.32,2022-02-17
2020-05-12,65.54,2870.12,2022-02-17
2020-05-13,62.84,2820.0,2022-02-17
2020-05-14,64.62,2852.5,2022-02-17
2020-05-15,64.8,2863.7,2022-02-17
2020-05-18,68.26,2953.91,2022-02-17
2020-05-19,67.97,2922.94,2022-02-17
2020-05-20,68.86,2971.61,2022-02-17
2020-05-21,68.8,2948.51,2022-02-17
2020-05-22,66.69,2955.45,2022-02-17
2020-05-26,72.56,2991.77,2022-02-17
2020-05-27,73.35,3036.13,2022-02-17
2020-05-28,73.46,3029.73,2022-02-17
2020-05-29,73.51,3044.31,2022-02-17
2020-06-01,72.66,3055.73,2022-02-17
2020-06-02,73.32,3080.82,2022-02-17
2020-06-03,77.19,3122.87,2022-02-17
2020-06-04,77.06,3112.35,2022-02-17
2020-06-05,80.86,3193.93,2022-02-17
2020-06-08,83.92,3232.39,2022-02-17
2020-06-09,79.21,3207.18,2022-02-17
