Date,Stock,Market,joined date
2020-01-01,2.45638667555904,41306.02,2021-07-21
2020-01-02,2.55466778805721,39735.53,2021-07-21
2020-01-06,2.49429477902698,33303.52,2021-07-21
2020-01-07,2.59326280623615,35414.45,2021-07-21
2020-01-09,2.74227528089893,38900.8,2021-07-21
2020-01-10,2.71317829457367,38697.05,2021-07-21
2020-01-13,2.71640735502119,41859.69,2021-07-21
2020-01-14,2.77244494635808,41952.63,2021-07-21
2020-01-15,2.75703577994635,41872.73,2021-07-21
2020-01-16,2.78001322003751,41932.56,2021-07-21
2020-01-17,2.74846643029991,41945.37,2021-07-21
2020-01-20,2.74179923975777,41528.91,2021-07-21
2020-01-21,2.73116919617762,41323.81,2021-07-21
2020-01-22,2.78246798930636,41115.38,2021-07-21
2020-01-23,2.84143437456233,41386.4,2021-07-21
2020-01-24,2.83651149747613,41613.19,2021-07-21
2020-01-27,2.8401455767078,41155.12,2021-07-21
2020-01-28,2.81149037786207,40966.86,2021-07-21
2020-01-29,2.80645161290318,41198.66,2021-07-21
2020-01-30,2.79843444227007,40913.82,2021-07-21
2020-01-31,2.79913335197093,40723.49,2021-07-21
2020-02-01,2.6970925356444,41626.64,2021-07-21
2020-02-03,2.7404270831872,38144.02,2021-07-21
2020-02-06,2.78772306698674,33825.53,2021-07-21
2020-02-07,2.87132867132867,35843.7,2021-07-21
2020-02-11,2.87247474747467,39757.58,2021-07-21
2020-02-12,2.78159629681581,44618.04,2021-07-21
2020-02-13,2.76219854178348,41459.79,2021-07-21
2020-02-14,2.75490374264261,41257.74,2021-07-21
2020-02-17,2.760796410544,41055.69,2021-07-21
2020-02-18,2.78049462065106,40894.38,2021-07-21
2020-02-19,2.81952786702055,41323.0,2021-07-21
2020-02-20,2.7905678805636,41170.12,2021-07-21
2020-02-24,2.79407675194663,40363.23,2021-07-21
2020-02-25,2.77607575546577,40281.2,2021-07-21
2020-02-26,2.84169495787757,39888.96,2021-07-21
2020-02-27,2.97697138869506,39745.66,2021-07-21
2020-02-28,2.76973557228341,38297.29,2021-07-21
2020-03-02,2.74088202200934,39872.31,2021-07-21
2020-03-03,2.70026016705471,38623.7,2021-07-21
2020-03-04,2.59009927920569,27590.95,2021-07-21
2020-03-06,2.47429088796102,34109.54,2021-07-21
2020-03-09,2.37158145866743,38990.94,2021-07-21
2020-03-11,2.33916938110748,40261.13,2021-07-21
2020-03-12,2.14691841441827,44632.65,2021-07-21
2020-03-13,2.21766275274589,34103.48,2021-07-21
2020-03-16,2.07508412503213,31390.07,2021-07-21
2020-03-17,1.99095328112347,30579.09,2021-07-21
2020-03-18,1.97931478550156,28869.51,2021-07-21
2020-03-19,1.89350378433307,28288.23,2021-07-21
2020-03-20,2.01474918428518,29915.96,2021-07-21
2020-03-23,1.66666666666663,25981.24,2021-07-21
2020-03-24,1.66756144508898,26674.03,2021-07-21
2020-03-25,1.69656888423254,28535.78,2021-07-21
2020-03-26,1.9930560192295,29946.77,2021-07-21
2020-03-27,1.88289231340021,29815.59,2021-07-21
2020-03-30,1.86032630322318,28440.32,2021-07-21
2020-03-31,1.88297293350856,29468.49,2021-07-21
2020-04-03,1.75901149063435,38409.48,2021-07-21
2020-04-08,1.93204267088114,37687.91,2021-07-21
2020-04-09,2.02044694934137,38357.18,2021-07-21
2020-04-13,2.01259098957308,30690.02,2021-07-21
2020-04-15,1.96645724212705,30379.81,2021-07-21
2020-04-16,2.01458523245215,30602.61,2021-07-21
2020-04-17,2.04794878494909,31588.72,2021-07-21
2020-04-20,2.13073005093372,31648.0,2021-07-21
