Date,Stock,Market,joined date
2020-01-02,107.030359895449,612.87,2021-03-24
2020-01-03,107.116556202718,611.06,2021-03-24
2020-01-06,109.153589577131,607.24,2021-03-24
2020-01-07,108.70001561141,609.71,2021-03-24
2020-01-08,108.853507427886,610.48,2021-03-24
2020-01-09,109.339255968906,612.55,2021-03-24
2020-01-10,108.953829730451,610.43,2021-03-24
2020-01-13,109.281587121339,608.9,2021-03-24
2020-01-14,110.157892979938,611.15,2021-03-24
2020-01-15,112.04762860392,611.56,2021-03-24
2020-01-16,112.90879330119,612.06,2021-03-24
2020-01-17,114.926597773539,615.57,2021-03-24
2020-01-20,114.046084380789,614.23,2021-03-24
2020-01-21,110.665366372623,611.89,2021-03-24
2020-01-22,111.464791544203,611.56,2021-03-24
2020-01-23,110.454128491065,605.62,2021-03-24
2020-01-24,110.781644418479,614.24,2021-03-24
2020-01-27,108.397501569781,598.69,2021-03-24
2020-01-28,108.282641276558,602.96,2021-03-24
2020-01-29,109.010843837727,605.22,2021-03-24
2020-01-30,108.667357878715,598.95,2021-03-24
2020-01-31,109.066302816511,589.5,2021-03-24
2020-02-03,108.678343949044,592.36,2021-03-24
2020-02-04,109.073241831653,605.4,2021-03-24
2020-02-05,108.628235863374,613.41,2021-03-24
2020-02-06,108.789459236893,618.75,2021-03-24
2020-02-07,106.759462919799,616.46,2021-03-24
2020-02-10,106.254159075785,617.1,2021-03-24
2020-02-11,106.695770804912,623.85,2021-03-24
2020-02-12,111.80806192112,629.03,2021-03-24
2020-02-13,111.43510639451,629.14,2021-03-24
2020-02-14,112.469675966037,629.23,2021-03-24
2020-02-17,112.023574787112,629.17,2021-03-24
2020-02-18,111.902449552175,625.43,2021-03-24
2020-02-19,113.388361892003,629.2,2021-03-24
2020-02-20,112.142679994392,622.12,2021-03-24
2020-02-21,112.605042016806,617.33,2021-03-24
2020-02-24,108.899716763068,593.3,2021-03-24
2020-02-25,107.049608355092,582.71,2021-03-24
2020-02-26,106.244560487381,581.78,2021-03-24
2020-02-27,102.610914369927,559.98,2021-03-24
2020-02-28,99.4674928061921,539.38,2021-03-24
2020-03-02,101.368124589507,542.17,2021-03-24
2020-03-03,102.258763600617,550.22,2021-03-24
2020-03-04,103.301230306742,557.73,2021-03-24
2020-03-05,104.185398309657,552.54,2021-03-24
2020-03-06,101.226682315236,531.29,2021-03-24
2020-03-09,96.5899334928285,490.66,2021-03-24
2020-03-10,91.7211820437631,484.7,2021-03-24
2020-03-11,90.9695228437835,484.16,2021-03-24
2020-03-12,81.9270641124569,432.1,2021-03-24
2020-03-13,84.5974458634094,432.85,2021-03-24
2020-03-16,83.8802732649799,416.77,2021-03-24
2020-03-17,81.9423368740518,424.26,2021-03-24
2020-03-18,79.2500600213892,404.1,2021-03-24
2020-03-19,80.0042760168903,422.75,2021-03-24
2020-03-20,80.2267137204579,431.98,2021-03-24
2020-03-23,76.0332350576251,423.72,2021-03-24
2020-03-24,77.0624784259579,461.73,2021-03-24
2020-03-25,79.4237966750805,475.4,2021-03-24
2020-03-26,81.5412779284941,482.99,2021-03-24
2020-03-27,80.3636080073968,464.93,2021-03-24
2020-03-30,80.6574543526526,475.98,2021-03-24
2020-03-31,83.9969118782399,483.44,2021-03-24
2020-04-01,80.4832061738141,471.3,2021-03-24
2020-04-02,78.8362373120556,478.28,2021-03-24
2020-04-03,76.4990705114349,471.46,2021-03-24
2020-04-06,78.4504154526817,489.82,2021-03-24
2020-04-07,80.1428633651292,499.85,2021-03-24
2020-04-08,79.1619171687564,500.71,2021-03-24
2020-04-09,82.0621530661305,508.04,2021-03-24
2020-04-14,82.210730871842,507.74,2021-03-24
2020-04-15,82.5880197199074,491.13,2021-03-24
2020-04-16,83.1265643114859,496.08,2021-03-24
2020-04-17,85.3109433798096,505.82,2021-03-24
2020-04-20,85.6795272853665,512.76,2021-03-24
2020-04-21,83.9819790479292,495.76,2021-03-24
2020-04-22,81.165317518722,509.62,2021-03-24
2020-04-23,82.2422655416549,512.73,2021-03-24
2020-04-24,81.4533493470097,504.94,2021-03-24
2020-04-27,82.855998180893,512.19,2021-03-24
2020-04-28,84.1636105972588,519.97,2021-03-24
2020-04-29,84.7658501049246,526.96,2021-03-24
2020-04-30,85.0322623051392,512.92,2021-03-24
2020-05-04,80.2896622424829,496.31,2021-03-24
2020-05-05,80.0060692764556,509.83,2021-03-24
2020-05-06,79.3791287077418,505.55,2021-03-24
2020-05-07,80.1785114656788,516.26,2021-03-24
2020-05-08,81.299931708057,520.57,2021-03-24
2020-05-11,81.6719075869077,520.33,2021-03-24
2020-05-12,82.0173535791756,520.44,2021-03-24
2020-05-13,80.6437656831361,512.19,2021-03-24
2020-05-14,77.4001166835933,499.03,2021-03-24
2020-05-15,78.4088942723653,500.31,2021-03-24
2020-05-18,82.931406996792,519.89,2021-03-24
2020-05-19,82.8901241713716,520.45,2021-03-24
2020-05-20,84.0834248079035,531.06,2021-03-24
2020-05-21,83.8689192296323,522.81,2021-03-24
2020-05-22,83.2107081739205,524.38,2021-03-24
2020-05-25,84.8155898509022,532.82,2021-03-24
2020-05-26,86.9612956354652,531.3,2021-03-24
2020-05-27,91.8313454513443,528.96,2021-03-24
2020-05-28,93.105166971258,538.62,2021-03-24
2020-05-29,91.5366346303244,532.57,2021-03-24
2020-06-01,93.4810443689807,539.54,2021-03-24
2020-06-02,93.9307972390379,546.12,2021-03-24
2020-06-03,96.6629600925523,561.3,2021-03-24
2020-06-04,97.4890891571732,559.13,2021-03-24
2020-06-05,97.7195021496037,572.8,2021-03-24
2020-06-08,97.9922762483343,566.2,2021-03-24
2020-06-09,97.3430252996609,561.75,2021-03-24
2020-06-10,96.6370313103985,559.28,2021-03-24
2020-06-11,91.5509664591783,540.26,2021-03-24
2020-06-12,91.6753885456408,545.16,2021-03-24
2020-06-15,91.8889543046059,541.92,2021-03-24
2020-06-16,94.6320365823439,560.01,2021-03-24
2020-06-17,94.891167476165,566.48,2021-03-24
2020-06-18,94.2757925394872,562.61,2021-03-24
2020-06-19,96.7759959769792,567.83,2021-03-24
2020-06-22,95.4675432868759,565.07,2021-03-24
2020-06-23,97.231172766227,574.19,2021-03-24
2020-06-24,93.5998830001464,557.33,2021-03-24
2020-06-25,93.2361189007289,560.41,2021-03-24
2020-06-26,93.7296690970273,559.82,2021-03-24
2020-06-29,92.280370470281,560.16,2021-03-24
2020-06-30,92.1618616561284,559.73,2021-03-24
2020-07-01,91.7548853063935,562.67,2021-03-24
2020-07-02,92.7132967724535,570.75,2021-03-24
2020-07-03,92.8631685507002,568.63,2021-03-24
2020-07-06,94.5800775728518,578.52,2021-03-24
2020-07-07,94.1948135375457,575.52,2021-03-24
2020-07-08,94.778461294452,572.18,2021-03-24
2020-07-09,93.6319025325739,567.38,2021-03-24
2020-07-10,95.4683598648755,570.52,2021-03-24
2020-07-13,96.3904607464024,578.85,2021-03-24
2020-07-14,96.3418803418804,572.51,2021-03-24
2020-07-15,98.8338924260058,577.56,2021-03-24
2020-07-16,96.6647694934549,573.94,2021-03-24
2020-07-17,95.7952468007315,573.8,2021-03-24
2020-07-20,96.4958458263719,579.14,2021-03-24
2020-07-21,97.9253112033194,581.29,2021-03-24
2020-07-22,96.6394817514029,572.9,2021-03-24
2020-07-23,97.3194824467838,576.67,2021-03-24
2020-07-24,96.5888563870081,563.95,2021-03-24
2020-07-27,96.5463753980655,564.37,2021-03-24
2020-07-28,98.514665916971,566.33,2021-03-24
2020-07-29,100.804074606806,564.11,2021-03-24
2020-07-30,99.1269531018631,549.2,2021-03-24
2020-07-31,96.8292654209793,545.29,2021-03-24
2020-08-03,94.7463746809837,557.73,2021-03-24
2020-08-04,93.7389375309748,557.94,2021-03-24
2020-08-05,93.0613213141974,563.05,2021-03-24
2020-08-06,91.1044875372574,558.46,2021-03-24
2020-08-07,90.1633547839618,559.57,2021-03-24
2020-08-10,90.7426532719933,557.08,2021-03-24
2020-08-11,92.1043363933044,565.56,2021-03-24
2020-08-12,93.7142857142857,575.06,2021-03-24
2020-08-13,93.7160406331207,569.95,2021-03-24
2020-08-14,92.2417467910769,560.84,2021-03-24
2020-08-17,92.5308297627384,562.94,2021-03-24
2020-08-18,93.0465590666711,559.44,2021-03-24
2020-08-19,93.0072909762332,560.23,2021-03-24
2020-08-20,92.0971490915988,552.44,2021-03-24
2020-08-21,90.9155245217145,551.37,2021-03-24
2020-08-24,93.2589964521036,560.99,2021-03-24
2020-08-25,92.7475180158328,559.81,2021-03-24
2020-08-26,93.0232558139535,566.23,2021-03-24
2020-08-27,93.4334180507124,562.41,2021-03-24
2020-08-28,93.3438080274245,556.8,2021-03-24
2020-08-31,92.575793745524,549.2,2021-03-24
2020-09-01,90.3731405500038,552.22,2021-03-24
2020-09-02,91.5997961288185,561.27,2021-03-24
2020-09-03,92.706913916701,549.6,2021-03-24
2020-09-04,90.8681961313538,540.27,2021-03-24
2020-09-07,90.3289846851955,547.14,2021-03-24
2020-09-08,89.8971695112901,540.79,2021-03-24
2020-09-09,90.8522264578486,552.05,2021-03-24
2020-09-10,91.5502108608084,550.5,2021-03-24
2020-09-11,91.7274708613666,552.01,2021-03-24
2020-09-14,92.3095181580823,552.44,2021-03-24
2020-09-15,92.3670994030136,555.95,2021-03-24
2020-09-16,91.7951444267234,558.43,2021-03-24
2020-09-17,92.8326027721832,552.48,2021-03-24
2020-09-18,93.6305204720589,550.85,2021-03-24
2020-09-21,89.5856135767162,536.01,2021-03-24
2020-09-22,88.5912953901623,540.78,2021-03-24
2020-09-23,88.2582691119373,545.68,2021-03-24
2020-09-24,87.7268748176249,541.11,2021-03-24
2020-09-25,86.8988777112285,540.91,2021-03-24
2020-09-28,90.092612032566,551.67,2021-03-24
2020-09-29,89.850171433939,548.92,2021-03-24
2020-09-30,88.915970423839,547.7,2021-03-24
2020-10-01,88.807442909501,550.54,2021-03-24
2020-10-02,89.0658857979501,553.12,2021-03-24
2020-10-05,90.1015527438088,557.92,2021-03-24
2020-10-06,90.3757245781607,555.38,2021-03-24
2020-10-07,93.7507350001176,554.6,2021-03-24
2020-10-08,95.7576897751854,559.94,2021-03-24
2020-10-09,95.6795232577386,567.17,2021-03-24
2020-10-12,96.0627502864637,572.31,2021-03-24
2020-10-13,94.867880211392,572.47,2021-03-24
2020-10-14,93.6630058142951,571.98,2021-03-24
2020-10-15,91.4709807318616,560.47,2021-03-24
2020-10-16,92.5485416984028,568.18,2021-03-24
2020-10-19,92.5274440823149,567.52,2021-03-24
2020-10-20,93.7407648206161,564.0,2021-03-24
2020-10-21,92.7054916380024,557.4,2021-03-24
2020-10-22,93.9135777670119,554.2,2021-03-24
2020-10-23,96.2478060813052,554.34,2021-03-24
2020-10-26,95.5271112790478,545.95,2021-03-24
2020-10-27,94.4068316387913,545.65,2021-03-24
2020-10-28,91.0158543746333,534.09,2021-03-24
2020-10-29,89.3766051832825,534.43,2021-03-24
2020-10-30,88.7501601462863,533.88,2021-03-24
2020-11-02,89.2318795032069,543.91,2021-03-24
2020-11-03,91.064527462232,554.48,2021-03-24
2020-11-04,92.9082170906111,565.26,2021-03-24
2020-11-05,97.3107157633432,571.6,2021-03-24
2020-11-06,96.4479057840249,572.9,2021-03-24
2020-11-09,106.647135955017,593.93,2021-03-24
2020-11-10,110.03603284305,591.87,2021-03-24
2020-11-11,107.383024578677,599.21,2021-03-24
2020-11-12,106.873472856687,600.05,2021-03-24
2020-11-13,106.984393672279,596.87,2021-03-24
2020-11-16,109.948202496237,601.67,2021-03-24
2020-11-17,109.476930375993,600.94,2021-03-24
2020-11-18,109.038329343163,600.88,2021-03-24
2020-11-19,107.094093202731,596.01,2021-03-24
2020-11-20,105.610013393863,601.62,2021-03-24
2020-11-23,105.873855953776,601.37,2021-03-24
2020-11-24,106.849901329085,607.46,2021-03-24
2020-11-25,105.977937147077,606.39,2021-03-24
2020-11-26,105.382287770127,607.39,2021-03-24
2020-11-27,106.748965286251,611.67,2021-03-24
2020-11-30,105.587098621117,606.02,2021-03-24
2020-12-01,108.074834037417,611.41,2021-03-24
2020-12-02,109.180780693465,610.94,2021-03-24
2020-12-03,109.139027824989,610.48,2021-03-24
2020-12-04,110.486255878218,615.67,2021-03-24
2020-12-07,110.207046857973,616.2,2021-03-24
2020-12-08,108.860330598514,616.59,2021-03-24
2020-12-09,109.501661129568,619.72,2021-03-24
2020-12-10,111.457663321157,618.1,2021-03-24
2020-12-11,110.136853578782,614.46,2021-03-24
2020-12-14,111.691276471731,612.88,2021-03-24
2020-12-15,109.018445162701,617.34,2021-03-24
2020-12-16,109.35880078549,621.86,2021-03-24
2020-12-17,109.952653141329,624.75,2021-03-24
2020-12-18,109.511145969926,625.25,2021-03-24
2020-12-21,107.337854711946,609.39,2021-03-24
2020-12-22,107.406056183874,617.5,2021-03-24
2020-12-23,108.056733440562,622.42,2021-03-24
2020-12-24,109.260184496898,626.37,2021-03-24
2020-12-28,108.704945464317,627.59,2021-03-24
2020-12-29,111.618679044248,629.14,2021-03-24
2020-12-30,112.154818403128,628.06,2021-03-24
2020-12-31,111.406936980948,624.61,2021-03-24
2021-01-04,111.45677681699,631.03,2021-03-24
2021-01-05,110.99090238505,633.62,2021-03-24
2021-01-06,111.56576612108,639.16,2021-03-24
2021-01-07,112.515337423313,637.41,2021-03-24
2021-01-08,113.6280331354,645.6,2021-03-24
2021-01-11,111.406737860067,642.42,2021-03-24
2021-01-12,109.2529296875,643.58,2021-03-24
2021-01-13,108.489247115747,644.38,2021-03-24
2021-01-14,109.84148594768,656.66,2021-03-24
2021-01-15,108.170783259858,651.73,2021-03-24
2021-01-18,108.128343537538,650.3,2021-03-24
2021-01-19,108.25429936692,651.28,2021-03-24
2021-01-20,108.25859084692,659.3,2021-03-24
2021-01-21,108.071950670737,663.88,2021-03-24
2021-01-22,107.166321936976,660.53,2021-03-24
2021-01-25,105.71286395689,658.24,2021-03-24
2021-01-26,106.570035385532,658.54,2021-03-24
2021-01-27,104.806877345925,647.92,2021-03-24
2021-01-28,106.495678840256,649.0,2021-03-24
2021-01-29,104.297382249785,637.11,2021-03-24
2021-02-01,105.03340327521,647.34,2021-03-24
2021-02-02,107.895909348169,652.87,2021-03-24
2021-02-03,107.559748730415,654.89,2021-03-24
2021-02-04,108.351874446757,654.38,2021-03-24
2021-02-05,109.268692123357,653.24,2021-03-24
2021-02-08,106.79389404947,656.39,2021-03-24
2021-02-09,107.889347986768,657.07,2021-03-24
2021-02-10,102.380808142,657.23,2021-03-24
