Date,Stock,Market,joined date
2017-01-02,104.402384189063,5645.36,2019-11-29
2017-01-03,101.386851441472,5638.49,2019-11-29
2017-01-04,102.081476432653,5638.53,2019-11-29
2017-01-05,104.121383054298,5638.84,2019-11-29
2017-01-06,103.014731433024,5645.68,2019-11-29
2017-01-09,104.251022846208,5628.64,2019-11-29
2017-01-10,103.609117771212,5638.04,2019-11-29
2017-01-11,103.514674453543,5668.64,2019-11-29
2017-01-12,103.701817487347,5607.73,2019-11-29
2017-01-13,104.39899548821,5660.37,2019-11-29
2017-01-16,104.557981768073,5624.12,2019-11-29
2017-01-17,105.824129915482,5616.96,2019-11-29
2017-01-18,104.450798847703,5645.87,2019-11-29
2017-01-19,103.537992365273,5644.65,2019-11-29
2017-01-20,104.336289813517,5660.83,2019-11-29
2017-01-23,104.575585399449,5619.76,2019-11-29
2017-01-24,104.56345161325,5643.7,2019-11-29
2017-01-25,106.602202524846,5746.46,2019-11-29
2017-01-26,105.176593722299,5767.18,2019-11-29
2017-01-27,106.501978398033,5750.46,2019-11-29
2017-01-30,105.636814643743,5685.65,2019-11-29
2017-01-31,105.187024342851,5614.3,2019-11-29
2017-02-01,103.525130281235,5674.75,2019-11-29
2017-02-02,105.094993222454,5642.14,2019-11-29
2017-02-03,105.534951916857,5653.69,2019-11-29
2017-02-06,103.942729383438,5584.9,2019-11-29
2017-02-07,103.948394262707,5603.96,2019-11-29
2017-02-08,106.52090197253,5600.89,2019-11-29
2017-02-09,106.700333471836,5649.22,2019-11-29
2017-02-10,105.709392253439,5661.01,2019-11-29
2017-02-13,105.514698090414,5713.09,2019-11-29
2017-02-14,105.769739277593,5711.8,2019-11-29
2017-02-15,106.245429591869,5722.46,2019-11-29
2017-02-16,108.587772003031,5704.67,2019-11-29
2017-02-17,110.407249421702,5703.25,2019-11-29
2017-02-20,109.325270528326,5737.48,2019-11-29
2017-02-21,109.616316554644,5805.02,2019-11-29
2017-02-22,110.352325262291,5820.32,2019-11-29
2017-02-23,109.386736064828,5795.66,2019-11-29
2017-02-24,108.503965278731,5725.95,2019-11-29
2017-02-27,108.54953267071,5734.95,2019-11-29
2017-02-28,107.600224189165,5740.6,2019-11-29
2017-03-01,108.676165065438,5853.39,2019-11-29
2017-03-02,108.789292318036,5849.81,2019-11-29
2017-03-03,110.235551496358,5834.2,2019-11-29
2017-03-06,109.958111195735,5800.75,2019-11-29
2017-03-07,109.717702742678,5804.5,2019-11-29
2017-03-08,108.182450519571,5805.07,2019-11-29
2017-03-09,108.393346234785,5810.5,2019-11-29
2017-03-10,109.571210617845,5803.24,2019-11-29
2017-03-13,109.300095877277,5816.31,2019-11-29
2017-03-14,109.783507559212,5815.65,2019-11-29
2017-03-15,110.48626836519,5825.84,2019-11-29
2017-03-16,111.461540117543,5861.32,2019-11-29
2017-03-17,112.029631220141,5867.25,2019-11-29
2017-03-20,111.772032296856,5846.71,2019-11-29
2017-03-21,111.754787946911,5802.68,2019-11-29
2017-03-22,110.865223727533,5774.54,2019-11-29
2017-03-23,110.11814928205,5840.3,2019-11-29
2017-03-24,110.885572998769,5852.23,2019-11-29
2017-03-27,111.464795158994,5819.14,2019-11-29
2017-03-28,111.201210941723,5893.53,2019-11-29
2017-03-29,111.966410076977,5919.52,2019-11-29
2017-03-30,111.275964391692,5926.02,2019-11-29
2017-03-31,110.908781121547,5953.44,2019-11-29
2017-04-03,111.747637030873,5926.64,2019-11-29
2017-04-04,113.443539694567,5939.04,2019-11-29
2017-04-05,114.083440841872,5907.8,2019-11-29
2017-04-06,113.922972958592,5914.25,2019-11-29
2017-04-07,111.914618780903,5909.76,2019-11-29
2017-04-10,111.967966780365,5897.89,2019-11-29
2017-04-11,111.479824431203,5868.29,2019-11-29
2017-04-12,114.26530024634,5875.67,2019-11-29
2017-04-13,113.229972514937,5853.62,2019-11-29
2017-04-18,113.008295860655,5801.21,2019-11-29
2017-04-19,113.515886869639,5808.88,2019-11-29
2017-04-20,112.925344990143,5814.04,2019-11-29
2017-04-21,113.106155677833,5823.98,2019-11-29
2017-04-24,116.167872899959,6020.64,2019-11-29
2017-04-25,116.843105765134,6026.23,2019-11-29
2017-04-26,116.661942039731,6028.99,2019-11-29
2017-04-27,116.765783494059,6007.12,2019-11-29
2017-04-28,116.740208095005,6004.37,2019-11-29
2017-05-02,117.301892565234,6015.3,2019-11-29
2017-05-03,117.144567169051,6024.77,2019-11-29
2017-05-04,120.383998594055,6061.22,2019-11-29
2017-05-05,120.230896096757,6094.38,2019-11-29
2017-05-08,118.722558378295,6082.15,2019-11-29
2017-05-09,118.722751932507,6108.67,2019-11-29
2017-05-10,119.526241443007,6112.51,2019-11-29
2017-05-11,117.461144961064,6073.27,2019-11-29
2017-05-12,118.295668138305,6091.51,2019-11-29
2017-05-15,118.837303720936,6088.32,2019-11-29
2017-05-16,120.074028104082,6087.47,2019-11-29
2017-05-17,119.892437124813,6002.38,2019-11-29
2017-05-18,118.392131613419,5979.94,2019-11-29
2017-05-19,121.115020055124,6001.5,2019-11-29
2017-05-22,121.573033707865,5992.25,2019-11-29
2017-05-23,121.381207438303,6011.18,2019-11-29
2017-05-24,122.041503084688,6003.61,2019-11-29
2017-05-25,122.570448584302,5993.64,2019-11-29
2017-05-26,122.108041015778,5984.51,2019-11-29
2017-05-29,122.412753700851,5997.14,2019-11-29
2017-05-30,122.90177922412,5982.76,2019-11-29
2017-05-31,124.269334532374,5990.58,2019-11-29
2017-06-01,124.330141931433,6002.71,2019-11-29
2017-06-02,126.223886657943,6077.66,2019-11-29
2017-06-06,125.885085464303,6014.69,2019-11-29
2017-06-07,125.324989589078,6006.46,2019-11-29
2017-06-08,123.612512613522,6026.05,2019-11-29
2017-06-09,124.286513710128,6074.47,2019-11-29
2017-06-12,123.255605582062,6014.38,2019-11-29
2017-06-13,123.354340951399,6049.94,2019-11-29
2017-06-14,124.621424565339,6069.36,2019-11-29
2017-06-15,123.79933587395,6015.27,2019-11-29
2017-06-16,125.349904825888,6044.11,2019-11-29
2017-06-19,126.753026688368,6108.67,2019-11-29
2017-06-20,125.981183543952,6073.52,2019-11-29
2017-06-21,125.505259161661,6054.31,2019-11-29
2017-06-22,124.768637245501,6063.67,2019-11-29
2017-06-23,123.447118074986,6034.95,2019-11-29
2017-06-26,123.808033268867,6052.69,2019-11-29
2017-06-27,125.046764995975,6005.38,2019-11-29
2017-06-28,123.771386967601,5994.13,2019-11-29
2017-06-29,121.263427636622,5884.61,2019-11-29
2017-06-30,120.969123744902,5841.44,2019-11-29
2017-07-03,120.416231199164,5912.63,2019-11-29
2017-07-04,120.451864622085,5894.53,2019-11-29
2017-07-05,120.899080485867,5902.38,2019-11-29
2017-07-06,119.360365505425,5868.05,2019-11-29
2017-07-07,118.959404461975,5871.57,2019-11-29
2017-07-10,119.119541304274,5898.7,2019-11-29
2017-07-11,118.720047694389,5894.48,2019-11-29
2017-07-12,120.433125670341,5984.32,2019-11-29
2017-07-13,120.729734041341,5991.31,2019-11-29
2017-07-14,122.123224053115,5986.76,2019-11-29
2017-07-17,122.642700549798,5965.64,2019-11-29
2017-07-18,121.931496563276,5891.34,2019-11-29
2017-07-19,121.990535514847,5901.6,2019-11-29
2017-07-20,123.499860452135,5899.33,2019-11-29
2017-07-21,121.973972666636,5801.13,2019-11-29
2017-07-24,120.803025894676,5786.39,2019-11-29
2017-07-25,122.160083886753,5812.62,2019-11-29
2017-07-26,124.417799781784,5831.96,2019-11-29
2017-07-27,124.290684912314,5787.85,2019-11-29
2017-07-28,123.845557305007,5764.47,2019-11-29
2017-07-31,125.978285321872,5743.4,2019-11-29
2017-08-01,126.388085769245,5806.45,2019-11-29
2017-08-02,126.066856330014,5773.37,2019-11-29
2017-08-03,124.614289105151,5760.69,2019-11-29
2017-08-04,124.093861796272,5828.46,2019-11-29
2017-08-07,124.416246049342,5809.24,2019-11-29
2017-08-08,124.773832741969,5825.77,2019-11-29
2017-08-09,123.330511662905,5760.34,2019-11-29
2017-08-10,118.523575245404,5694.14,2019-11-29
2017-08-11,119.264319992435,5694.02,2019-11-29
2017-08-14,119.723452369735,5765.62,2019-11-29
2017-08-15,119.148187258008,5771.26,2019-11-29
2017-08-16,119.386650348334,5812.41,2019-11-29
2017-08-17,117.875313591709,5783.79,2019-11-29
2017-08-18,118.776019004163,5765.65,2019-11-29
2017-08-21,119.7353653494,5718.63,2019-11-29
2017-08-22,119.305219088835,5796.05,2019-11-29
2017-08-23,120.587888088774,5769.97,2019-11-29
2017-08-24,119.916948812628,5773.06,2019-11-29
2017-08-25,120.969665172183,5766.95,2019-11-29
2017-08-28,120.369372282706,5745.87,2019-11-29
2017-08-29,119.89991380136,5661.71,2019-11-29
2017-08-30,119.107024047144,5688.53,2019-11-29
2017-08-31,121.104588161044,5713.82,2019-11-29
2017-09-01,121.119779933126,5754.96,2019-11-29
2017-09-04,120.912583710999,5735.8,2019-11-29
2017-09-05,122.931780009291,5745.99,2019-11-29
2017-09-06,123.439138309026,5789.04,2019-11-29
2017-09-07,125.018031446844,5827.94,2019-11-29
2017-09-08,125.383550929547,5831.43,2019-11-29
2017-09-11,126.381834478638,5912.6,2019-11-29
2017-09-12,126.051425631454,5936.07,2019-11-29
2017-09-13,124.554314238175,5949.72,2019-11-29
2017-09-14,124.542648408357,5943.5,2019-11-29
2017-09-15,124.186518598125,5933.24,2019-11-29
2017-09-18,124.719127982025,5952.47,2019-11-29
