Date,Stock,Market,joined date
2020-01-02,30.9572388450322,2155.04,2021-02-15
2020-01-03,30.3530188056748,2121.59,2021-02-15
2020-01-07,30.1356527627876,2131.33,2021-02-15
2020-01-08,29.8330743289674,2119.96,2021-02-15
2020-01-09,29.8674198511898,2125.55,2021-02-15
2020-01-10,29.750500052637,2158.93,2021-02-15
2020-01-13,29.967770909283,2150.89,2021-02-15
2020-01-14,30.0532589398935,2155.0,2021-02-15
2020-01-15,29.1916800541135,2151.87,2021-02-15
2020-01-16,29.2180072307189,2171.37,2021-02-15
2020-01-17,28.6614835049381,2199.79,2021-02-15
2020-01-20,29.0083556676652,2149.44,2021-02-15
2020-01-21,28.8464566515856,2133.59,2021-02-15
2020-01-22,29.0376921457148,2114.94,2021-02-15
2020-01-23,28.4329360416318,2068.61,2021-02-15
2020-01-24,28.5582873390199,2096.08,2021-02-15
2020-01-27,27.7901913303749,2068.65,2021-02-15
2020-01-28,27.9209219525906,2069.84,2021-02-15
2020-01-29,28.4264592734306,2067.38,2021-02-15
2020-01-30,28.9770840252408,2049.4,2021-02-15
2020-01-31,29.6485596451315,2067.6,2021-02-15
2020-02-03,29.3949978751853,2060.75,2021-02-15
2020-02-04,31.2046973916127,2075.08,2021-02-15
2020-02-05,31.3233652270995,2103.2,2021-02-15
2020-02-06,30.9911557768055,2102.14,2021-02-15
2020-02-07,30.2340028991509,2117.86,2021-02-15
2020-02-10,30.8157475096818,2101.1,2021-02-15
2020-02-11,31.632038855103,2103.44,2021-02-15
2020-02-12,31.6296650121493,2114.23,2021-02-15
2020-02-13,31.2703583061889,2087.74,2021-02-15
2020-02-14,31.0619696580097,2096.9,2021-02-15
2020-02-17,31.3341796451682,2096.74,2021-02-15
2020-02-18,31.0622471083501,2112.96,2021-02-15
2020-02-19,31.6798495718109,2140.01,2021-02-15
2020-02-20,31.9019905619031,2147.68,2021-02-15
2020-02-21,32.1009770310201,2170.55,2021-02-15
2020-02-24,30.6826005199394,2090.91,2021-02-15
2020-02-25,30.30895782072,2053.37,2021-02-15
2020-02-26,30.8994535070057,2036.13,2021-02-15
2020-02-27,29.4671885030337,1978.34,2021-02-15
2020-02-28,28.0953323815379,1932.92,2021-02-15
2020-03-02,28.8626924529093,1878.4,2021-02-15
2020-03-03,29.6009888124742,1941.29,2021-02-15
2020-03-04,29.5430325922956,1938.57,2021-02-15
2020-03-05,29.1532826596275,1912.66,2021-02-15
2020-03-06,28.8434910423278,1827.46,2021-02-15
2020-03-09,27.7586480902687,1763.3,2021-02-15
2020-03-10,27.4127989412988,1792.71,2021-02-15
2020-03-11,26.6083776455999,1837.8,2021-02-15
2020-03-12,23.4216095165698,1682.65,2021-02-15
2020-03-13,24.0417795449162,1721.05,2021-02-15
2020-03-16,23.5965279978735,1631.28,2021-02-15
2020-03-17,24.94340232859,1628.71,2021-02-15
2020-03-18,22.8952551826356,1600.85,2021-02-15
2020-03-19,23.0256824920103,1653.65,2021-02-15
2020-03-20,24.2746503294416,1682.73,2021-02-15
2020-03-23,23.5385361124577,1583.04,2021-02-15
2020-03-24,25.9149357072205,1600.66,2021-02-15
2020-03-25,27.2558536561156,1652.89,2021-02-15
2020-03-26,28.0508848669689,1734.6,2021-02-15
2020-03-27,26.6076731923147,1744.25,2021-02-15
2020-03-30,27.0640322209896,1729.7,2021-02-15
2020-03-31,27.6169265033406,1748.12,2021-02-15
2020-04-01,26.8266784204517,1728.7,2021-02-15
2020-04-02,26.7013420154054,1727.07,2021-02-15
2020-04-03,26.0997269779315,1717.29,2021-02-15
2020-04-06,27.0537319921744,1766.57,2021-02-15
2020-04-07,27.4640529379571,1810.2,2021-02-15
2020-04-08,27.6516017453706,1823.98,2021-02-15
2020-04-14,28.4814900485755,1823.45,2021-02-15
2020-04-15,27.8904361376942,1842.05,2021-02-15
2020-04-16,27.9886289960601,1873.69,2021-02-15
2020-04-17,28.3784596268312,1892.53,2021-02-15
2020-04-20,28.199414427468,1866.83,2021-02-15
2020-04-21,27.7392510402218,1847.01,2021-02-15
2020-04-22,27.7546489036914,1870.7,2021-02-15
2020-04-24,27.954992462136,1853.73,2021-02-15
2020-04-27,27.8313722745949,1858.78,2021-02-15
2020-04-28,28.5922418503005,1869.24,2021-02-15
2020-04-29,28.4394897979943,1879.75,2021-02-15
2020-04-30,29.2531928414753,1864.31,2021-02-15
2020-05-04,27.8138703914244,1797.44,2021-02-15
2020-05-05,28.1578465854798,1788.34,2021-02-15
2020-05-06,28.0596954273466,1816.59,2021-02-15
2020-05-07,28.5889070146819,1810.19,2021-02-15
2020-05-08,29.5173432339849,1843.9,2021-02-15
2020-05-11,28.5427787174993,1870.37,2021-02-15
2020-05-12,29.3388514413324,1915.72,2021-02-15
2020-05-13,28.5475418527354,1956.71,2021-02-15
2020-05-14,28.0532092871423,1944.49,2021-02-15
2020-05-15,27.9548748720341,1954.61,2021-02-15
2020-05-18,29.6724271343821,1977.77,2021-02-15
2020-05-19,29.9262686135607,1972.82,2021-02-15
2020-05-20,30.8559498956159,1991.87,2021-02-15
2020-05-22,30.4941293614902,1999.55,2021-02-15
2020-05-25,30.7587291080589,2038.29,2021-02-15
2020-05-26,31.5001613524458,2062.42,2021-02-15
2020-05-27,31.6086861336697,2046.81,2021-02-15
2020-05-28,32.1461609620721,2029.72,2021-02-15
2020-05-29,32.8426422915449,2021.5,2021-02-15
2020-06-02,32.333801473032,2056.75,2021-02-15
2020-06-03,32.4283559577677,2051.16,2021-02-15
2020-06-04,32.9189436328405,2042.61,2021-02-15
2020-06-05,33.0740785182115,2072.96,2021-02-15
2020-06-08,32.3334166295455,2071.74,2021-02-15
2020-06-09,32.3607658423829,2042.9,2021-02-15
2020-06-10,32.3979258355484,2025.61,2021-02-15
