Date,Stock,Market,joined date
2020-01-02,7.63969793638287,7604.3,2021-04-21
2020-01-03,7.59696061137431,7622.4,2021-04-21
2020-01-06,7.52576122822508,7575.34,2021-04-21
2020-01-07,7.47750644340016,7573.85,2021-04-21
2020-01-08,7.43585578824691,7574.93,2021-04-21
2020-01-09,7.5044602691405,7598.12,2021-04-21
2020-01-10,7.45629144901819,7587.85,2021-04-21
2020-01-13,7.49445998389469,7617.6,2021-04-21
2020-01-14,7.50605646746403,7622.35,2021-04-21
2020-01-15,7.50937625633852,7642.8,2021-04-21
2020-01-16,7.5464998300118,7609.81,2021-04-21
2020-01-17,7.54661871065109,7674.56,2021-04-21
2020-01-20,7.52687857421646,7651.44,2021-04-21
2020-01-21,7.46222456488287,7610.7,2021-04-21
2020-01-22,7.45890134552691,7571.92,2021-04-21
2020-01-23,7.34305206392529,7507.67,2021-04-21
2020-01-24,7.3996310738007,7585.98,2021-04-21
2020-01-27,7.12779338476177,7412.05,2021-04-21
2020-01-28,7.22300704757437,7480.69,2021-04-21
2020-01-29,7.20134818045714,7483.57,2021-04-21
2020-01-30,7.20006900525069,7381.96,2021-04-21
2020-01-31,7.11346623021805,7286.01,2021-04-21
2020-02-03,7.05186296368494,7326.31,2021-04-21
2020-02-04,7.17323526422787,7439.82,2021-04-21
2020-02-05,7.22458315458316,7482.48,2021-04-21
2020-02-06,7.2414282297581,7504.79,2021-04-21
2020-02-07,7.3188168329597,7466.7,2021-04-21
2020-02-10,7.29355027698491,7446.88,2021-04-21
2020-02-11,7.48069606548059,7499.44,2021-04-21
2020-02-12,7.53656332296536,7534.37,2021-04-21
2020-02-13,7.51584219520467,7452.03,2021-04-21
2020-02-14,7.44762439336234,7409.13,2021-04-21
2020-02-17,7.50352178493381,7433.25,2021-04-21
2020-02-18,7.00637175537813,7382.01,2021-04-21
2020-02-19,7.05341657515649,7457.02,2021-04-21
2020-02-20,7.0403290961541,7436.64,2021-04-21
2020-02-21,7.12120972155573,7403.92,2021-04-21
2020-02-24,6.95426208358655,7156.83,2021-04-21
2020-02-25,6.85470023017217,7017.88,2021-04-21
2020-02-26,6.99427039651119,7042.47,2021-04-21
2020-02-27,6.66050836167799,6796.4,2021-04-21
2020-02-28,6.55984886478705,6580.61,2021-04-21
2020-03-02,6.4767307442212,6654.89,2021-04-21
2020-03-03,6.37831217974979,6718.2,2021-04-21
2020-03-04,6.43836059202066,6815.59,2021-04-21
2020-03-05,6.40701352401687,6705.43,2021-04-21
2020-03-06,6.2924291156748,6462.55,2021-04-21
2020-03-09,6.02768396449375,5965.77,2021-04-21
2020-03-10,6.03159615657624,5960.23,2021-04-21
2020-03-11,6.07903535761426,5876.52,2021-04-21
2020-03-12,5.45879687735706,5237.48,2021-04-21
2020-03-13,5.58545343727003,5366.11,2021-04-21
2020-03-16,5.56356053283603,5151.08,2021-04-21
2020-03-17,5.82156105702011,5294.9,2021-04-21
2020-03-18,5.56909522703541,5080.58,2021-04-21
2020-03-19,5.60864821408079,5151.61,2021-04-21
2020-03-20,5.68484220574345,5190.78,2021-04-21
2020-03-23,5.52662509382749,4993.89,2021-04-21
2020-03-24,5.91369627069211,5446.01,2021-04-21
2020-03-25,5.91887605181851,5688.2,2021-04-21
2020-03-26,5.93330833333328,5815.73,2021-04-21
2020-03-27,5.67585566060044,5510.33,2021-04-21
2020-03-30,5.61038016662339,5563.74,2021-04-21
2020-03-31,5.50940583399567,5671.96,2021-04-21
2020-04-01,4.96794126382991,5454.57,2021-04-21
2020-04-02,4.8140382913861,5480.22,2021-04-21
2020-04-03,4.75616394085785,5415.5,2021-04-21
2020-04-06,4.95314276105815,5582.39,2021-04-21
2020-04-07,5.05593747609726,5704.45,2021-04-21
2020-04-08,5.08588126524888,5677.73,2021-04-21
2020-04-09,5.21682306418057,5842.66,2021-04-21
2020-04-14,5.26995886139847,5791.31,2021-04-21
2020-04-15,4.98788888888871,5597.65,2021-04-21
2020-04-16,4.93399424578702,5628.43,2021-04-21
2020-04-17,5.05826440516952,5786.96,2021-04-21
2020-04-20,5.07607234698717,5812.83,2021-04-21
2020-04-21,4.79418192434889,5641.03,2021-04-21
2020-04-22,4.88525667776561,5770.63,2021-04-21
2020-04-23,4.94589142723158,5826.61,2021-04-21
2020-04-24,4.85748063319307,5752.23,2021-04-21
2020-04-27,5.05320516262121,5846.79,2021-04-21
2020-04-28,5.10187656038452,5958.5,2021-04-21
2020-04-29,5.21633364908813,6115.25,2021-04-21
2020-04-30,5.0423453712097,5901.21,2021-04-21
2020-05-01,4.91415968844946,5763.06,2021-04-21
2020-05-04,4.80731793015054,5753.78,2021-04-21
2020-05-05,4.8722166987876,5849.42,2021-04-21
2020-05-06,4.84481921733643,5853.76,2021-04-21
2020-05-07,4.98244700865274,5935.98,2021-04-21
2020-05-11,4.95151831750354,5939.73,2021-04-21
2020-05-12,4.91499938705197,5994.77,2021-04-21
2020-05-13,4.83250919007506,5904.05,2021-04-21
2020-05-14,4.75848746225222,5741.54,2021-04-21
2020-05-15,4.72521385429159,5799.77,2021-04-21
