Date,Stock,Market,joined date
2020-01-02,67.12,3257.85,2021-09-29
2020-01-03,66.56,3234.85,2021-09-29
2020-01-06,67.29,3246.28,2021-09-29
2020-01-07,67.735,3237.18,2021-09-29
2020-01-08,67.93,3253.05,2021-09-29
2020-01-09,66.2,3274.7,2021-09-29
2020-01-10,66.62,3265.35,2021-09-29
2020-01-13,66.22,3288.13,2021-09-29
2020-01-14,67.47,3283.15,2021-09-29
2020-01-15,68.5,3289.29,2021-09-29
2020-01-16,69.38,3316.81,2021-09-29
2020-01-17,69.29,3329.62,2021-09-29
2020-01-21,69.61,3320.79,2021-09-29
2020-01-22,70.74,3321.75,2021-09-29
2020-01-23,71.0,3325.54,2021-09-29
2020-01-24,71.2,3295.47,2021-09-29
2020-01-27,70.79,3243.63,2021-09-29
2020-01-28,70.41,3276.24,2021-09-29
2020-01-29,70.45,3273.4,2021-09-29
2020-01-30,71.47,3283.66,2021-09-29
2020-01-31,68.94,3225.52,2021-09-29
2020-02-03,69.62,3248.92,2021-09-29
2020-02-04,69.75,3297.59,2021-09-29
2020-02-05,71.11,3334.69,2021-09-29
2020-02-06,70.97,3345.78,2021-09-29
2020-02-07,69.97,3327.71,2021-09-29
2020-02-10,70.18,3352.09,2021-09-29
2020-02-11,70.89,3357.75,2021-09-29
2020-02-12,71.86,3379.45,2021-09-29
2020-02-13,71.51,3373.94,2021-09-29
2020-02-14,72.13,3380.16,2021-09-29
2020-02-18,72.99,3370.29,2021-09-29
2020-02-19,73.71,3386.15,2021-09-29
2020-02-20,68.92,3373.23,2021-09-29
2020-02-21,67.54,3337.75,2021-09-29
2020-02-24,64.93,3225.89,2021-09-29
2020-02-25,63.13,3128.21,2021-09-29
2020-02-26,63.18,3116.39,2021-09-29
2020-02-27,62.52,2978.76,2021-09-29
2020-02-28,60.94,2954.22,2021-09-29
2020-03-02,62.92,3090.23,2021-09-29
2020-03-03,60.56,3003.37,2021-09-29
2020-03-04,61.63,3130.12,2021-09-29
2020-03-05,59.25,3023.94,2021-09-29
2020-03-06,57.69,2972.37,2021-09-29
2020-03-09,54.51,2746.56,2021-09-29
2020-03-10,57.87,2882.23,2021-09-29
2020-03-11,57.68,2741.38,2021-09-29
2020-03-12,55.06,2480.64,2021-09-29
2020-03-13,56.71,2711.02,2021-09-29
2020-03-16,51.65,2386.13,2021-09-29
2020-03-17,54.61,2529.19,2021-09-29
2020-03-18,50.74,2398.1,2021-09-29
2020-03-19,49.81,2409.39,2021-09-29
2020-03-20,45.01,2304.92,2021-09-29
2020-03-23,43.18,2237.4,2021-09-29
2020-03-24,46.98,2447.33,2021-09-29
2020-03-25,50.03,2475.56,2021-09-29
2020-03-26,53.56,2630.07,2021-09-29
2020-03-27,50.0,2541.47,2021-09-29
2020-03-30,52.09,2626.65,2021-09-29
2020-03-31,50.52,2584.59,2021-09-29
2020-04-01,48.57,2470.5,2021-09-29
2020-04-02,48.44,2526.9,2021-09-29
2020-04-03,46.35,2488.65,2021-09-29
2020-04-06,47.14,2663.68,2021-09-29
2020-04-07,49.3,2659.41,2021-09-29
2020-04-08,52.37,2749.98,2021-09-29
