Date,Stock,Market,joined date
2017-01-02,4.97671651155498,9418.7,2019-07-22
2017-01-03,4.91659748015438,9494.7,2019-07-22
2017-01-04,4.91459235568603,9462.9,2019-07-22
2017-01-05,4.94082045953369,9488.2,2019-07-22
2017-01-06,4.89375151368368,9515.9,2019-07-22
2017-01-09,4.93295097738637,9492.8,2019-07-22
2017-01-10,4.87584634867034,9452.0,2019-07-22
2017-01-11,4.90798895448484,9408.6,2019-07-22
2017-01-12,4.97610529331253,9407.4,2019-07-22
2017-01-13,4.9980814250447,9511.6,2019-07-22
2017-01-16,4.9484333262667,9410.0,2019-07-22
2017-01-17,5.00075198440328,9394.9,2019-07-22
2017-01-18,4.93285108373283,9386.2,2019-07-22
2017-01-19,4.90935787251286,9379.1,2019-07-22
2017-01-20,4.97560208415805,9380.1,2019-07-22
2017-01-23,4.94531034779616,9304.8,2019-07-22
2017-01-24,4.93518997392622,9387.2,2019-07-22
2017-01-25,4.94082728982004,9549.3,2019-07-22
2017-01-26,4.88740508154178,9512.8,2019-07-22
2017-01-27,4.86816811036254,9504.1,2019-07-22
2017-01-30,4.80183795227096,9361.3,2019-07-22
2017-01-31,4.87570680628272,9315.2,2019-07-22
2017-02-01,4.82471036651018,9330.8,2019-07-22
2017-02-02,4.86813585214192,9406.4,2019-07-22
2017-02-03,4.88854305920912,9462.7,2019-07-22
2017-02-06,4.85323652076706,9357.3,2019-07-22
2017-02-07,4.87252144009058,9331.5,2019-07-22
2017-02-08,4.97221235719482,9329.7,2019-07-22
2017-02-09,4.9893576671887,9438.4,2019-07-22
2017-02-10,4.93817218599408,9378.1,2019-07-22
2017-02-13,4.98398787698961,9484.1,2019-07-22
2017-02-14,4.92296472579196,9510.2,2019-07-22
2017-02-15,4.95902900685692,9584.1,2019-07-22
2017-02-16,5.00685997246621,9554.7,2019-07-22
2017-02-17,4.94865028331318,9500.3,2019-07-22
2017-02-20,5.00191279439846,9526.6,2019-07-22
2017-02-21,4.98252565264109,9561.0,2019-07-22
2017-02-22,4.97074581495009,9477.2,2019-07-22
2017-02-23,5.10654098828907,9493.4,2019-07-22
2017-02-24,5.13416370106762,9453.5,2019-07-22
2017-02-27,5.13814211467826,9464.3,2019-07-22
2017-02-28,5.13652697143702,9555.5,2019-07-22
2017-03-01,5.13305632599685,9751.5,2019-07-22
2017-03-02,5.12090897629853,9716.0,2019-07-22
2017-03-03,5.21102143115059,9798.5,2019-07-22
2017-03-06,5.2223438690023,9804.1,2019-07-22
