Date,Stock,Market,joined date
2020-01-02,129.348309,3257.85,2021-10-21
2020-01-03,128.316732,3234.85,2021-10-21
2020-01-06,128.087492,3246.28,2021-10-21
2020-01-07,128.173457,3237.18,2021-10-21
2020-01-08,129.243241,3253.05,2021-10-21
2020-01-09,130.609125,3274.7,2021-10-21
2020-01-10,130.561367,3265.35,2021-10-21
2020-01-13,130.475402,3288.13,2021-10-21
2020-01-14,129.730374,3283.15,2021-10-21
2020-01-15,130.494506,3289.29,2021-10-21
2020-01-16,131.793529,3316.81,2021-10-21
2020-01-17,132.108733,3329.62,2021-10-21
2020-01-21,132.930174,3320.79,2021-10-21
2020-01-22,137.438548,3321.75,2021-10-21
2020-01-23,136.464281,3325.54,2021-10-21
2020-01-24,134.257852,3295.47,2021-10-21
2020-01-27,132.404834,3243.63,2021-10-21
2020-01-28,133.293136,3276.24,2021-10-21
2020-01-29,131.516531,3273.4,2021-10-21
2020-01-30,130.63778,3283.66,2021-10-21
2020-01-31,137.285722,3225.52,2021-10-21
2020-02-03,139.711838,3248.92,2021-10-21
2020-02-04,142.424504,3297.59,2021-10-21
2020-02-05,149.320788,3334.69,2021-10-21
2020-02-06,149.731509,3345.78,2021-10-21
2020-02-07,146.531709,3327.71,2021-10-21
2020-02-10,147.505977,3352.09,2021-10-21
2020-02-11,146.598571,3357.75,2021-10-21
2020-02-12,148.346521,3379.45,2021-10-21
2020-02-13,147.391357,3373.94,2021-10-21
2020-02-14,143.943215,3380.16,2021-10-21
2020-02-18,144.32528,3370.29,2021-10-21
2020-02-19,144.096041,3386.15,2021-10-21
2020-02-20,144.4399,3373.23,2021-10-21
2020-02-21,143.121774,3337.75,2021-10-21
2020-02-24,139.864665,3225.89,2021-10-21
2020-02-25,135.35629,3128.21,2021-10-21
2020-02-26,133.484169,3116.39,2021-10-21
2020-02-27,127.14188,2978.76,2021-10-21
2020-02-28,124.314595,2954.22,2021-10-21
2020-03-02,128.278525,3090.23,2021-10-21
2020-03-03,123.12064,3003.37,2021-10-21
2020-03-04,128.202112,3130.12,2021-10-21
2020-03-05,123.741496,3023.94,2021-10-21
2020-03-06,122.003098,2972.37,2021-10-21
2020-03-09,112.527871,2746.56,2021-10-21
2020-03-10,119.175812,2882.23,2021-10-21
2020-03-11,112.680697,2741.38,2021-10-21
2020-03-12,98.200411,2480.64,2021-10-21
2020-03-13,103.109954,2711.02,2021-10-21
2020-03-16,94.637649,2386.13,2021-10-21
2020-03-17,101.868241,2529.19,2021-10-21
2020-03-18,98.907232,2398.1,2021-10-21
2020-03-19,95.841156,2409.39,2021-10-21
2020-03-20,91.113094,2304.92,2021-10-21
2020-03-23,90.520892,2237.4,2021-10-21
2020-03-24,100.750699,2447.33,2021-10-21
2020-03-25,101.104109,2475.56,2021-10-21
2020-03-26,107.828464,2630.07,2021-10-21
2020-03-27,103.186367,2541.47,2021-10-21
2020-03-30,107.866671,2626.65,2021-10-21
2020-03-31,105.956343,2584.59,2021-10-21
2020-04-01,100.425943,2470.5,2021-10-21
2020-04-02,105.06804,2526.9,2021-10-21
2020-04-03,101.57214,2488.65,2021-10-21
2020-04-06,109.67193,2663.68,2021-10-21
2020-04-07,109.78655,2659.41,2021-10-21
2020-04-08,113.941514,2749.98,2021-10-21
2020-04-09,116.052426,2789.82,2021-10-21
2020-04-13,115.718119,2761.63,2021-10-21
2020-04-14,118.354371,2846.06,2021-10-21
2020-04-15,113.368415,2783.36,2021-10-21
2020-04-16,110.54113,2799.55,2021-10-21
2020-04-17,114.7343,2874.56,2021-10-21
2020-04-20,115.011297,2823.16,2021-10-21
2020-04-21,111.524949,2736.56,2021-10-21
2020-04-22,113.960617,2799.31,2021-10-21
2020-04-23,115.909151,2797.8,2021-10-21
2020-04-24,119.128054,2836.74,2021-10-21
2020-04-27,120.274251,2878.48,2021-10-21
2020-04-28,120.608558,2863.39,2021-10-21
2020-04-29,122.920055,2939.51,2021-10-21
2020-04-30,119.930392,2912.43,2021-10-21
2020-05-01,116.405837,2830.71,2021-10-21
2020-05-04,116.224356,2842.74,2021-10-21
2020-05-05,117.084003,2868.44,2021-10-21
2020-05-06,117.64755,2848.42,2021-10-21
2020-05-07,115.794532,2881.19,2021-10-21
2020-05-08,117.47562,2929.8,2021-10-21
2020-05-11,117.093555,2930.32,2021-10-21
2020-05-12,114.868023,2870.12,2021-10-21
2020-05-13,110.54113,2820.0,2021-10-21
2020-05-14,111.70643,2852.5,2021-10-21
2020-05-15,111.735085,2863.7,2021-10-21
2020-05-18,116.109736,2953.91,2021-10-21
2020-05-19,114.896678,2922.94,2021-10-21
2020-05-20,115.937806,2971.61,2021-10-21
2020-05-21,113.779136,2948.51,2021-10-21
2020-05-22,113.081866,2955.45,2021-10-21
2020-05-26,116.300769,2991.77,2021-10-21
2020-05-27,119.911289,3036.13,2021-10-21
2020-05-28,118.946573,3029.73,2021-10-21
2020-05-29,119.299984,3044.31,2021-10-21
2020-06-01,119.290432,3055.73,2021-10-21
2020-06-02,120.350664,3080.82,2021-10-21
2020-06-03,123.263914,3122.87,2021-10-21
2020-06-04,123.111088,3112.35,2021-10-21
2020-06-05,126.138958,3193.93,2021-10-21
2020-06-08,129.663513,3232.39,2021-10-21
