Date,Stock,Market,joined date
2018-01-02,6.01456996127985,7648.1,2019-11-25
2018-01-03,5.97376226063228,7671.11,2019-11-25
2018-01-04,5.96141056982182,7695.88,2019-11-25
2018-01-05,5.96346323758869,7724.22,2019-11-25
2018-01-08,5.9500016550453,7696.51,2019-11-25
2018-01-09,5.95070647567717,7731.02,2019-11-25
2018-01-10,5.87675878833723,7748.51,2019-11-25
2018-01-11,5.98525756324717,7762.94,2019-11-25
2018-01-12,6.07698694559965,7778.64,2019-11-25
2018-01-15,5.97295373817592,7769.14,2019-11-25
2018-01-16,6.01220063162839,7755.93,2019-11-25
2018-01-17,5.92999272807716,7725.43,2019-11-25
2018-01-18,5.95649025545573,7700.96,2019-11-25
2018-01-19,6.03567926932304,7730.79,2019-11-25
2018-01-22,6.01902555066091,7715.44,2019-11-25
2018-01-23,6.11396538063113,7731.83,2019-11-25
2018-01-24,6.12163021931079,7643.43,2019-11-25
2018-01-25,5.96618283919881,7615.84,2019-11-25
2018-01-26,6.09586063018914,7665.54,2019-11-25
2018-01-29,6.05087402727151,7671.53,2019-11-25
2018-01-30,5.97929120459431,7587.98,2019-11-25
2018-01-31,6.01332540583478,7533.55,2019-11-25
2018-02-01,6.10694855007353,7490.39,2019-11-25
2018-02-02,5.88453520092646,7443.43,2019-11-25
2018-02-05,5.78150704127063,7334.98,2019-11-25
2018-02-06,5.7035385495118,7141.4,2019-11-25
2018-02-07,5.70738548982592,7279.42,2019-11-25
2018-02-08,5.49356874773929,7170.69,2019-11-25
2018-02-09,5.41600192307699,7092.43,2019-11-25
2018-02-12,5.51857076646382,7177.06,2019-11-25
2018-02-13,5.53681585965499,7168.01,2019-11-25
2018-02-14,5.56978524541998,7213.97,2019-11-25
2018-02-15,5.62451979081517,7234.81,2019-11-25
2018-02-16,5.65049837837836,7294.7,2019-11-25
2018-02-19,5.70977595115732,7247.66,2019-11-25
2018-02-20,5.7061004212205,7246.77,2019-11-25
2018-02-21,5.68202322733288,7281.57,2019-11-25
2018-02-22,5.7507396182183,7252.39,2019-11-25
2018-02-23,5.42800371466879,7244.41,2019-11-25
2018-02-26,5.57220817506427,7289.58,2019-11-25
2018-02-27,5.55463861152075,7282.45,2019-11-25
2018-02-28,5.59795141316033,7231.91,2019-11-25
2018-03-01,5.68563711243645,7175.64,2019-11-25
2018-03-02,5.6186810069975,7069.9,2019-11-25
2018-03-05,5.62818826250121,7115.98,2019-11-25
2018-03-06,5.61569776450968,7146.75,2019-11-25
2018-03-07,5.72067960193457,7157.84,2019-11-25
2018-03-08,5.74991908687906,7203.24,2019-11-25
2018-03-09,5.71945656207596,7224.51,2019-11-25
2018-03-12,5.78021129913668,7214.76,2019-11-25
2018-03-13,5.82305081102193,7138.78,2019-11-25
2018-03-14,5.8433788212958,7132.69,2019-11-25
2018-03-15,5.80047945148226,7139.76,2019-11-25
2018-03-16,5.82945331121694,7164.14,2019-11-25
2018-03-19,5.7996278554499,7042.93,2019-11-25
2018-03-20,5.82959769889706,7061.27,2019-11-25
2018-03-21,5.75400712609235,7038.97,2019-11-25
2018-03-22,5.69649592682379,6952.59,2019-11-25
2018-03-23,5.60335959073501,6921.94,2019-11-25
2018-03-26,5.63305232310013,6888.69,2019-11-25
