Date,Stock,Market,joined date
2017-01-03,117.17,2257.83,2019-09-14
2017-01-04,117.39,2270.75,2019-09-14
2017-01-05,116.1,2269.0,2019-09-14
2017-01-06,116.02,2276.98,2019-09-14
2017-01-09,115.56,2268.9,2019-09-14
2017-01-10,115.48,2268.9,2019-09-14
2017-01-11,116.3,2275.32,2019-09-14
2017-01-12,115.26,2270.44,2019-09-14
2017-01-13,116.66,2274.64,2019-09-14
2017-01-17,116.81,2267.89,2019-09-14
2017-01-18,117.83,2271.89,2019-09-14
2017-01-19,117.51,2263.69,2019-09-14
2017-01-20,118.13,2271.31,2019-09-14
2017-01-23,117.37,2265.2,2019-09-14
2017-01-24,119.54,2280.07,2019-09-14
2017-01-25,119.82,2298.37,2019-09-14
2017-01-26,119.7,2296.68,2019-09-14
2017-01-27,119.85,2294.69,2019-09-14
2017-01-30,119.0,2280.9,2019-09-14
2017-01-31,117.21,2278.87,2019-09-14
2017-02-01,116.54,2279.55,2019-09-14
2017-02-02,116.84,2280.85,2019-09-14
2017-02-03,117.98,2297.42,2019-09-14
2017-02-06,117.47,2292.56,2019-09-14
2017-02-07,116.75,2293.08,2019-09-14
2017-02-08,117.92,2294.67,2019-09-14
2017-02-09,117.74,2307.87,2019-09-14
2017-02-10,117.91,2316.1,2019-09-14
2017-02-13,120.03,2328.25,2019-09-14
2017-02-14,117.9,2337.58,2019-09-14
2017-02-15,119.16,2349.25,2019-09-14
2017-02-16,124.03,2347.22,2019-09-14
2017-02-17,122.37,2351.16,2019-09-14
2017-02-21,121.62,2365.38,2019-09-14
2017-02-22,122.63,2362.82,2019-09-14
2017-02-23,125.14,2363.81,2019-09-14
2017-02-24,125.0,2367.34,2019-09-14
2017-02-27,124.81,2369.75,2019-09-14
2017-02-28,125.7,2363.64,2019-09-14
2017-03-01,127.1,2395.96,2019-09-14
2017-03-02,126.13,2381.92,2019-09-14
2017-03-03,125.13,2383.12,2019-09-14
2017-03-06,124.39,2375.31,2019-09-14
2017-03-07,123.89,2368.39,2019-09-14
2017-03-08,124.28,2362.98,2019-09-14
2017-03-09,123.66,2364.87,2019-09-14
2017-03-10,125.33,2372.6,2019-09-14
2017-03-13,126.6,2373.47,2019-09-14
2017-03-14,126.22,2365.45,2019-09-14
2017-03-15,128.1,2385.26,2019-09-14
2017-03-16,128.94,2381.38,2019-09-14
2017-03-17,132.1,2378.25,2019-09-14
2017-03-20,135.4,2373.47,2019-09-14
2017-03-21,135.1,2344.02,2019-09-14
2017-03-22,136.89,2348.45,2019-09-14
2017-03-23,135.07,2345.96,2019-09-14
2017-03-24,133.19,2343.98,2019-09-14
2017-03-27,132.56,2341.59,2019-09-14
2017-03-28,131.55,2358.57,2019-09-14
2017-03-29,131.96,2361.13,2019-09-14
2017-03-30,132.37,2368.06,2019-09-14
2017-03-31,132.53,2362.72,2019-09-14
2017-04-03,131.59,2358.84,2019-09-14
2017-04-04,131.45,2360.16,2019-09-14
2017-04-05,131.77,2352.95,2019-09-14
2017-04-06,133.04,2357.49,2019-09-14
2017-04-07,132.25,2355.54,2019-09-14
2017-04-10,132.85,2357.16,2019-09-14
2017-04-11,133.4,2353.78,2019-09-14
2017-04-12,132.56,2344.93,2019-09-14
2017-04-13,131.94,2328.95,2019-09-14
2017-04-17,133.02,2349.01,2019-09-14
2017-04-18,134.07,2342.19,2019-09-14
2017-04-19,134.53,2338.17,2019-09-14
2017-04-20,135.8,2355.84,2019-09-14
2017-04-21,136.12,2348.69,2019-09-14
2017-04-24,138.03,2374.15,2019-09-14
2017-04-25,139.09,2388.61,2019-09-14
2017-04-26,138.8,2387.45,2019-09-14
2017-04-27,139.73,2388.77,2019-09-14
2017-04-28,138.59,2384.2,2019-09-14
2017-05-01,138.98,2388.33,2019-09-14
2017-05-02,138.22,2391.17,2019-09-14
2017-05-03,138.83,2388.13,2019-09-14
2017-05-04,138.47,2389.52,2019-09-14
2017-05-05,139.27,2399.29,2019-09-14
2017-05-08,137.38,2399.38,2019-09-14
2017-05-09,128.98,2396.92,2019-09-14
2017-05-10,130.33,2399.63,2019-09-14
2017-05-11,130.85,2394.44,2019-09-14
2017-05-12,130.71,2390.9,2019-09-14
2017-05-15,132.49,2402.32,2019-09-14
2017-05-16,133.16,2400.67,2019-09-14
2017-05-17,133.15,2357.03,2019-09-14
2017-05-18,134.26,2365.72,2019-09-14
2017-05-19,134.81,2381.73,2019-09-14
2017-05-22,135.85,2394.02,2019-09-14
2017-05-23,136.52,2398.42,2019-09-14
2017-05-24,137.9,2404.39,2019-09-14
2017-05-25,138.41,2415.07,2019-09-14
2017-05-26,138.44,2415.82,2019-09-14
2017-05-30,136.99,2412.91,2019-09-14
2017-05-31,137.89,2411.8,2019-09-14
2017-06-01,138.18,2430.06,2019-09-14
2017-06-02,139.24,2439.07,2019-09-14
2017-06-05,139.45,2436.1,2019-09-14
2017-06-06,138.8,2429.33,2019-09-14
2017-06-07,137.87,2433.14,2019-09-14
2017-06-08,135.69,2433.79,2019-09-14
2017-06-09,137.2,2431.77,2019-09-14
2017-06-12,136.44,2429.39,2019-09-14
2017-06-13,136.5,2440.35,2019-09-14
2017-06-14,136.51,2437.92,2019-09-14
2017-06-15,135.09,2432.46,2019-09-14
2017-06-16,134.58,2433.15,2019-09-14
2017-06-19,136.14,2453.46,2019-09-14
2017-06-20,136.19,2437.03,2019-09-14
2017-06-21,136.08,2435.61,2019-09-14
2017-06-22,135.13,2434.5,2019-09-14
2017-06-23,136.15,2438.3,2019-09-14
2017-06-26,137.07,2439.07,2019-09-14
2017-06-27,135.37,2419.38,2019-09-14
2017-06-28,135.91,2440.69,2019-09-14
2017-06-29,133.48,2419.7,2019-09-14
2017-06-30,135.0,2423.41,2019-09-14
2017-07-03,134.9,2429.01,2019-09-14
2017-07-05,134.21,2432.54,2019-09-14
2017-07-06,132.16,2409.75,2019-09-14
2017-07-07,131.88,2425.18,2019-09-14
2017-07-10,131.69,2427.43,2019-09-14
2017-07-11,131.98,2425.53,2019-09-14
2017-07-12,133.56,2443.25,2019-09-14
2017-07-13,132.73,2447.83,2019-09-14
2017-07-14,133.73,2459.27,2019-09-14
2017-07-17,133.88,2459.14,2019-09-14
2017-07-18,135.06,2460.61,2019-09-14
2017-07-19,135.23,2473.83,2019-09-14
2017-07-20,133.37,2473.45,2019-09-14
2017-07-21,133.01,2472.54,2019-09-14
2017-07-24,132.51,2469.91,2019-09-14
2017-07-25,132.98,2477.13,2019-09-14
2017-07-26,133.38,2477.83,2019-09-14
2017-07-27,133.58,2475.42,2019-09-14
2017-07-28,133.15,2472.1,2019-09-14
2017-07-31,133.18,2470.3,2019-09-14
2017-08-01,134.57,2476.35,2019-09-14
2017-08-02,133.84,2477.57,2019-09-14
2017-08-03,134.33,2472.16,2019-09-14
2017-08-04,134.8,2476.83,2019-09-14
2017-08-07,134.81,2480.91,2019-09-14
2017-08-08,134.64,2474.92,2019-09-14
2017-08-09,139.68,2474.02,2019-09-14
2017-08-10,136.85,2438.21,2019-09-14
2017-08-11,135.38,2441.32,2019-09-14
2017-08-14,137.06,2465.84,2019-09-14
2017-08-15,137.07,2464.61,2019-09-14
2017-08-16,138.54,2468.11,2019-09-14
2017-08-17,135.28,2430.01,2019-09-14
2017-08-18,134.83,2425.55,2019-09-14
2017-08-21,134.88,2428.37,2019-09-14
2017-08-22,135.86,2452.51,2019-09-14
2017-08-23,135.12,2444.04,2019-09-14
2017-08-24,135.23,2438.97,2019-09-14
2017-08-25,135.92,2443.05,2019-09-14
2017-08-28,136.14,2444.24,2019-09-14
2017-08-29,135.95,2446.3,2019-09-14
2017-08-30,136.22,2457.59,2019-09-14
2017-08-31,136.85,2471.65,2019-09-14
2017-09-01,137.94,2476.55,2019-09-14
2017-09-05,139.26,2457.85,2019-09-14
2017-09-06,139.06,2465.54,2019-09-14
2017-09-07,140.56,2465.1,2019-09-14
2017-09-08,141.83,2461.43,2019-09-14
2017-09-11,143.14,2488.11,2019-09-14
2017-09-12,143.21,2496.48,2019-09-14
2017-09-13,143.14,2498.37,2019-09-14
2017-09-14,143.66,2495.62,2019-09-14
2017-09-15,143.78,2500.23,2019-09-14
2017-09-18,144.14,2503.87,2019-09-14
2017-09-19,144.62,2506.65,2019-09-14
2017-09-20,145.01,2508.24,2019-09-14
2017-09-21,143.77,2500.6,2019-09-14
2017-09-22,144.21,2502.22,2019-09-14
2017-09-25,144.89,2496.66,2019-09-14
2017-09-26,143.83,2496.84,2019-09-14
2017-09-27,141.02,2507.04,2019-09-14
2017-09-28,142.6,2510.06,2019-09-14
2017-09-29,142.91,2519.36,2019-09-14
2017-10-02,144.47,2529.12,2019-09-14
2017-10-03,145.91,2534.58,2019-09-14
2017-10-04,146.65,2537.74,2019-09-14
2017-10-05,147.25,2552.07,2019-09-14
2017-10-06,145.63,2549.33,2019-09-14
2017-10-09,146.38,2544.73,2019-09-14
2017-10-10,148.26,2550.64,2019-09-14
2017-10-11,147.73,2555.24,2019-09-14
2017-10-12,147.59,2550.93,2019-09-14
2017-10-13,148.18,2553.17,2019-09-14
