Date,Stock,Market,joined date
2017-01-03,114.75,2257.83,2019-05-09
2017-01-04,114.98,2270.75,2019-05-09
2017-01-05,115.69,2269.0,2019-05-09
2017-01-06,116.86,2276.98,2019-05-09
2017-01-09,116.51,2268.9,2019-05-09
2017-01-10,116.11,2268.9,2019-05-09
2017-01-11,116.38,2275.32,2019-05-09
2017-01-12,117.04,2270.44,2019-05-09
2017-01-13,117.1,2274.64,2019-05-09
2017-01-17,116.09,2267.89,2019-05-09
2017-01-18,115.79,2271.89,2019-05-09
2017-01-19,115.95,2263.69,2019-05-09
2017-01-20,117.1,2271.31,2019-05-09
2017-01-23,117.1,2265.2,2019-05-09
2017-01-24,118.75,2280.07,2019-05-09
2017-01-25,120.01,2298.37,2019-05-09
2017-01-26,118.46,2296.68,2019-05-09
2017-01-27,118.59,2294.69,2019-05-09
2017-01-30,118.53,2280.9,2019-05-09
2017-01-31,118.58,2278.87,2019-05-09
2017-02-01,117.71,2279.55,2019-05-09
2017-02-02,117.83,2280.85,2019-05-09
2017-02-03,118.37,2297.42,2019-05-09
2017-02-06,117.89,2292.56,2019-05-09
2017-02-07,117.48,2293.08,2019-05-09
2017-02-08,116.55,2294.67,2019-05-09
2017-02-09,116.09,2307.87,2019-05-09
2017-02-10,117.53,2316.1,2019-05-09
2017-02-13,118.4,2328.25,2019-05-09
2017-02-14,118.84,2337.58,2019-05-09
2017-02-15,118.95,2349.25,2019-05-09
2017-02-16,119.24,2347.22,2019-05-09
2017-02-17,119.86,2351.16,2019-05-09
2017-02-21,119.87,2365.38,2019-05-09
2017-02-22,119.43,2362.82,2019-05-09
2017-02-23,120.7,2363.81,2019-05-09
2017-02-24,128.01,2367.34,2019-05-09
2017-02-27,125.85,2369.75,2019-05-09
2017-02-28,125.44,2363.64,2019-05-09
2017-03-01,124.53,2395.96,2019-05-09
2017-03-02,125.17,2381.92,2019-05-09
2017-03-03,126.45,2383.12,2019-05-09
2017-03-06,126.1,2375.31,2019-05-09
2017-03-07,125.4,2368.39,2019-05-09
2017-03-08,125.6,2362.98,2019-05-09
2017-03-09,124.76,2364.87,2019-05-09
2017-03-10,124.94,2372.6,2019-05-09
2017-03-13,124.95,2373.47,2019-05-09
2017-03-14,124.31,2365.45,2019-05-09
2017-03-15,124.67,2385.26,2019-05-09
2017-03-16,124.35,2381.38,2019-05-09
2017-03-17,123.92,2378.25,2019-05-09
2017-03-20,123.4,2373.47,2019-05-09
2017-03-21,121.05,2344.02,2019-05-09
2017-03-22,121.12,2348.45,2019-05-09
2017-03-23,119.99,2345.96,2019-05-09
2017-03-24,119.72,2343.98,2019-05-09
2017-03-27,118.45,2341.59,2019-05-09
2017-03-28,118.0,2358.57,2019-05-09
2017-03-29,117.88,2361.13,2019-05-09
2017-03-30,115.62,2368.06,2019-05-09
2017-03-31,115.99,2362.72,2019-05-09
