Date,Stock,Market,joined date
2020-01-02,22.71,3257.85,2021-04-26
2020-01-03,22.73,3234.85,2021-04-26
2020-01-06,22.93,3246.28,2021-04-26
2020-01-07,22.98,3237.18,2021-04-26
2020-01-08,23.04,3253.05,2021-04-26
2020-01-09,23.16,3274.7,2021-04-26
2020-01-10,23.12,3265.35,2021-04-26
2020-01-13,23.36,3288.13,2021-04-26
2020-01-14,23.63,3283.15,2021-04-26
2020-01-15,23.8,3289.29,2021-04-26
2020-01-16,23.74,3316.81,2021-04-26
2020-01-17,24.15,3329.62,2021-04-26
2020-01-21,24.05,3320.79,2021-04-26
2020-01-22,23.7,3321.75,2021-04-26
2020-01-23,23.54,3325.54,2021-04-26
2020-01-24,23.41,3295.47,2021-04-26
2020-01-27,23.16,3243.63,2021-04-26
2020-01-28,23.23,3276.24,2021-04-26
2020-01-29,23.02,3273.4,2021-04-26
2020-01-30,23.2,3283.66,2021-04-26
2020-01-31,22.7,3225.52,2021-04-26
2020-02-03,22.78,3248.92,2021-04-26
2020-02-04,22.87,3297.59,2021-04-26
2020-02-05,23.52,3334.69,2021-04-26
2020-02-06,23.21,3345.78,2021-04-26
2020-02-07,23.02,3327.71,2021-04-26
2020-02-10,23.16,3352.09,2021-04-26
2020-02-11,23.25,3357.75,2021-04-26
2020-02-12,24.98,3379.45,2021-04-26
2020-02-13,25.06,3373.94,2021-04-26
2020-02-14,24.47,3380.16,2021-04-26
2020-02-18,24.86,3370.29,2021-04-26
2020-02-19,24.99,3386.15,2021-04-26
2020-02-20,24.93,3373.23,2021-04-26
2020-02-21,24.41,3337.75,2021-04-26
2020-02-24,23.96,3225.89,2021-04-26
2020-02-25,23.15,3128.21,2021-04-26
2020-02-26,22.99,3116.39,2021-04-26
2020-02-27,21.8,2978.76,2021-04-26
2020-02-28,21.36,2954.22,2021-04-26
2020-03-02,21.79,3090.23,2021-04-26
2020-03-03,21.21,3003.37,2021-04-26
2020-03-04,21.56,3130.12,2021-04-26
2020-03-05,20.71,3023.94,2021-04-26
2020-03-06,20.04,2972.37,2021-04-26
2020-03-09,18.23,2746.56,2021-04-26
2020-03-10,18.84,2882.23,2021-04-26
2020-03-11,18.01,2741.38,2021-04-26
2020-03-12,15.26,2480.64,2021-04-26
2020-03-13,17.11,2711.02,2021-04-26
2020-03-16,15.17,2386.13,2021-04-26
2020-03-17,15.47,2529.19,2021-04-26
2020-03-18,14.7,2398.1,2021-04-26
2020-03-19,14.1,2409.39,2021-04-26
2020-03-20,12.52,2304.92,2021-04-26
2020-03-23,12.88,2237.4,2021-04-26
2020-03-24,14.77,2447.33,2021-04-26
