Date,Stock,Market,joined date
2020-01-02,41.4,7314.94,2021-03-17
2020-01-03,40.66,7242.09,2021-03-17
2020-01-06,41.18,7210.64,2021-03-17
2020-01-07,40.75,7246.53,2021-03-17
2020-01-08,41.08,7211.87,2021-03-17
2020-01-09,41.33,7249.62,2021-03-17
2020-01-10,40.98,7274.19,2021-03-17
2020-01-13,41.16,7242.21,2021-03-17
2020-01-14,40.98,7249.22,2021-03-17
2020-01-15,40.93,7169.88,2021-03-17
2020-01-16,41.04,7156.86,2021-03-17
2020-01-17,40.99,7194.5,2021-03-17
2020-01-21,41.03,7139.85,2021-03-17
2020-01-22,41.37,7170.46,2021-03-17
2020-01-23,41.75,7120.67,2021-03-17
2020-01-24,41.35,7180.8,2021-03-17
2020-01-27,40.3,7056.03,2021-03-17
2020-01-28,40.81,7078.3,2021-03-17
2020-01-29,40.49,7169.25,2021-03-17
2020-01-30,40.51,7078.77,2021-03-17
2020-01-31,39.45,6998.2,2021-03-17
2020-02-03,39.29,7097.51,2021-03-17
2020-02-04,39.24,7134.42,2021-03-17
2020-02-05,39.81,7199.29,2021-03-17
2020-02-06,39.92,7187.17,2021-03-17
2020-02-07,39.81,7151.47,2021-03-17
2020-02-10,40.54,7065.53,2021-03-17
2020-02-11,40.76,7157.67,2021-03-17
2020-02-12,41.79,7204.97,2021-03-17
2020-02-13,41.13,7165.7,2021-03-17
2020-02-14,41.96,7171.1,2021-03-17
2020-02-18,41.99,7155.88,2021-03-17
2020-02-19,41.97,7255.14,2021-03-17
2020-02-20,42.24,7235.63,2021-03-17
2020-02-21,42.45,7240.19,2021-03-17
2020-02-24,41.63,6925.19,2021-03-17
2020-02-25,39.45,6827.31,2021-03-17
2020-02-26,39.31,6832.11,2021-03-17
2020-02-27,37.9,6569.6,2021-03-17
2020-02-28,36.57,6397.37,2021-03-17
2020-03-02,38.07,6387.52,2021-03-17
2020-03-03,37.45,6486.69,2021-03-17
2020-03-04,39.35,6538.6,2021-03-17
2020-03-05,38.82,6447.68,2021-03-17
2020-03-06,38.16,6266.53,2021-03-17
2020-03-09,35.72,5864.7,2021-03-17
2020-03-10,37.55,5826.65,2021-03-17
2020-03-11,35.21,5691.44,2021-03-17
2020-03-12,30.52,5125.94,2021-03-17
2020-03-13,32.81,5148.43,2021-03-17
2020-03-16,30.6,4740.39,2021-03-17
2020-03-17,29.53,4731.85,2021-03-17
2020-03-18,26.32,4366.53,2021-03-17
2020-03-19,26.08,4432.01,2021-03-17
2020-03-20,24.91,4603.87,2021-03-17
2020-03-23,23.5,4470.97,2021-03-17
2020-03-24,25.36,4781.29,2021-03-17
2020-03-25,26.13,4970.21,2021-03-17
2020-03-26,27.0,5196.71,2021-03-17
2020-03-27,25.94,4916.4,2021-03-17
2020-03-30,26.49,4943.36,2021-03-17
2020-03-31,26.96,5153.65,2021-03-17
2020-04-01,25.16,4990.98,2021-03-17
2020-04-02,26.05,4880.11,2021-03-17
2020-04-03,25.47,4784.67,2021-03-17
2020-04-06,27.41,5017.09,2021-03-17
2020-04-07,28.27,5115.0,2021-03-17
2020-04-08,29.31,5109.84,2021-03-17
2020-04-09,30.6,5289.18,2021-03-17
2020-04-14,30.8,5183.34,2021-03-17
2020-04-15,29.1,4970.39,2021-03-17
2020-04-16,28.5,5082.99,2021-03-17
2020-04-17,29.54,5277.52,2021-03-17
2020-04-20,28.47,5235.49,2021-03-17
2020-04-21,27.59,5120.6,2021-03-17
2020-04-22,27.75,5232.33,2021-03-17
2020-04-23,27.85,5262.61,2021-03-17
2020-04-24,27.91,5294.95,2021-03-17
2020-04-27,29.05,5393.27,2021-03-17
2020-04-28,29.73,5481.11,2021-03-17
2020-04-29,30.63,5687.36,2021-03-17
2020-04-30,29.11,5603.0,2021-03-17
2020-05-04,28.53,5386.49,2021-03-17
2020-05-05,28.65,5379.69,2021-03-17
2020-05-06,28.31,5308.81,2021-03-17
2020-05-07,28.52,5423.78,2021-03-17
2020-05-08,29.8,5507.65,2021-03-17
2020-05-11,28.56,5412.08,2021-03-17
2020-05-12,27.91,5391.57,2021-03-17
2020-05-13,27.22,5325.2,2021-03-17
2020-05-14,28.59,5277.98,2021-03-17
2020-05-15,28.46,5279.26,2021-03-17
2020-05-18,29.53,5595.06,2021-03-17
2020-05-19,29.0,5582.58,2021-03-17
2020-05-20,28.74,5652.15,2021-03-17
2020-05-21,29.41,5629.31,2021-03-17
2020-05-22,29.53,5652.83,2021-03-17
2020-05-26,31.07,5874.63,2021-03-17
2020-05-27,31.87,5902.25,2021-03-17
2020-05-28,31.53,5933.64,2021-03-17
2020-05-29,31.41,5888.55,2021-03-17
2020-06-01,31.77,5993.85,2021-03-17
2020-06-02,32.35,6042.42,2021-03-17
