Date,Stock,Market,joined date
2020-01-02,39.8527865404843,7604.3,2021-04-14
2020-01-03,39.1399931953206,7622.4,2021-04-14
2020-01-06,38.6585381911076,7575.34,2021-04-14
2020-01-07,38.5160494475197,7573.85,2021-04-14
2020-01-08,38.1124513771572,7574.93,2021-04-14
2020-01-09,38.489678599426,7598.12,2021-04-14
2020-01-10,38.3801713330559,7587.85,2021-04-14
2020-01-13,38.7432786970405,7617.6,2021-04-14
2020-01-14,38.1526365801901,7622.35,2021-04-14
2020-01-15,37.8302981319487,7642.8,2021-04-14
2020-01-16,37.279669438777,7609.81,2021-04-14
2020-01-17,36.9556168375054,7674.56,2021-04-14
2020-01-20,36.4251333420072,7651.44,2021-04-14
2020-01-21,36.8186206716601,7610.7,2021-04-14
2020-01-22,36.8180384736663,7571.92,2021-04-14
2020-01-23,36.226939932296,7507.67,2021-04-14
2020-01-24,36.5081855745582,7585.98,2021-04-14
2020-01-27,34.720862539321,7412.05,2021-04-14
2020-01-28,35.0685217028815,7480.69,2021-04-14
2020-01-29,35.1539613306432,7483.57,2021-04-14
2020-01-30,34.6466590721609,7381.96,2021-04-14
2020-01-31,34.3835381386699,7286.01,2021-04-14
2020-02-03,33.9245111414286,7326.31,2021-04-14
2020-02-04,35.1782363977497,7439.82,2021-04-14
2020-02-05,35.6720356720357,7482.48,2021-04-14
2020-02-06,35.1126682266563,7504.79,2021-04-14
2020-02-07,34.2898393791744,7466.7,2021-04-14
2020-02-10,34.3745561136859,7446.88,2021-04-14
2020-02-11,34.9029968658544,7499.44,2021-04-14
2020-02-12,35.0959046137899,7534.37,2021-04-14
2020-02-13,34.895249028151,7452.03,2021-04-14
2020-02-14,34.5196472368633,7409.13,2021-04-14
2020-02-17,34.7908646342727,7433.25,2021-04-14
2020-02-18,34.5616429453445,7382.01,2021-04-14
2020-02-19,35.0364963503642,7457.02,2021-04-14
2020-02-20,35.7777606058252,7436.64,2021-04-14
2020-02-21,35.1329970041629,7403.92,2021-04-14
2020-02-24,33.9465077497838,7156.83,2021-04-14
2020-02-25,34.0576600475955,7017.88,2021-04-14
2020-02-26,33.6253725758386,7042.47,2021-04-14
2020-02-27,31.965058750773,6796.4,2021-04-14
2020-02-28,32.1910695742461,6580.61,2021-04-14
2020-03-02,31.5563998929003,6654.89,2021-04-14
2020-03-03,32.0378151260496,6718.2,2021-04-14
2020-03-04,32.5353925353929,6815.59,2021-04-14
2020-03-05,32.0742007357898,6705.43,2021-04-14
2020-03-06,31.3519296506022,6462.55,2021-04-14
2020-03-09,29.2163453962909,5965.77,2021-04-14
2020-03-10,29.2451247370389,5960.23,2021-04-14
2020-03-11,28.883504480596,5876.52,2021-04-14
2020-03-12,25.2049077286669,5237.48,2021-04-14
2020-03-13,25.2516572550954,5366.11,2021-04-14
2020-03-16,24.9858940706027,5151.08,2021-04-14
2020-03-17,25.4976623126227,5294.9,2021-04-14
2020-03-18,24.0041806991068,5080.58,2021-04-14
2020-03-19,23.2686344320668,5151.61,2021-04-14
2020-03-20,21.7687391592834,5190.78,2021-04-14
2020-03-23,21.3926901091283,4993.89,2021-04-14
2020-03-24,22.3852520692245,5446.01,2021-04-14
2020-03-25,22.9617304492517,5688.2,2021-04-14
2020-03-26,23.1820400195215,5815.73,2021-04-14
2020-03-27,21.9037654297914,5510.33,2021-04-14
2020-03-30,22.187457319875,5563.74,2021-04-14
2020-03-31,22.3276375918937,5671.96,2021-04-14
2020-04-01,21.4784287517627,5454.57,2021-04-14
2020-04-02,20.985910256886,5480.22,2021-04-14
2020-04-03,20.6397273373716,5415.5,2021-04-14
2020-04-06,21.8470644344715,5582.39,2021-04-14
2020-04-07,22.5088517956508,5704.45,2021-04-14
2020-04-08,23.1722873809489,5677.73,2021-04-14
2020-04-09,24.6671399569053,5842.66,2021-04-14
2020-04-14,25.2398384246395,5791.31,2021-04-14
2020-04-15,23.2821513934243,5597.65,2021-04-14
2020-04-16,23.5524168939702,5628.43,2021-04-14
2020-04-17,24.6544009199306,5786.96,2021-04-14
2020-04-20,24.4348280235777,5812.83,2021-04-14
2020-04-21,23.2460938940593,5641.03,2021-04-14
2020-04-22,23.6527315328655,5770.63,2021-04-14
2020-04-23,24.3693226698269,5826.61,2021-04-14
2020-04-24,23.7200098936428,5752.23,2021-04-14
2020-04-27,24.3838783043132,5846.79,2021-04-14
2020-04-28,24.7363648784606,5958.5,2021-04-14
2020-04-29,25.6758609515019,6115.25,2021-04-14
2020-04-30,25.089402639266,5901.21,2021-04-14
2020-05-01,24.1414229812349,5763.06,2021-04-14
2020-05-04,23.7641994202027,5753.78,2021-04-14
2020-05-05,23.9291265153866,5849.42,2021-04-14
2020-05-06,23.2750428848212,5853.76,2021-04-14
2020-05-07,24.1656365883811,5935.98,2021-04-14
2020-05-11,24.2259775502659,5939.73,2021-04-14
2020-05-12,23.9785223051739,5994.77,2021-04-14
2020-05-13,23.137221332225,5904.05,2021-04-14
2020-05-14,22.5630555181981,5741.54,2021-04-14
2020-05-15,23.2337170316042,5799.77,2021-04-14
2020-05-18,24.7559147255645,6048.59,2021-04-14
2020-05-19,24.6367578957681,6002.23,2021-04-14
2020-05-20,24.7472645827727,6067.16,2021-04-14
2020-05-21,24.6883402591044,6015.25,2021-04-14
2020-05-22,24.6806957791014,5993.28,2021-04-14
2020-05-26,26.0678701785548,6067.76,2021-04-14
2020-05-27,26.5946369727923,6144.25,2021-04-14
