Date,Stock,Market,joined date
2020-01-02,145.97,3257.85,2021-05-21
2020-01-03,144.28,3234.85,2021-05-21
2020-01-06,144.1,3246.28,2021-05-21
2020-01-07,144.98,3237.18,2021-05-21
2020-01-08,144.96,3253.05,2021-05-21
2020-01-09,145.39,3274.7,2021-05-21
2020-01-10,145.06,3265.35,2021-05-21
2020-01-13,145.7,3288.13,2021-05-21
2020-01-14,146.52,3283.15,2021-05-21
2020-01-15,147.01,3289.29,2021-05-21
2020-01-16,148.2,3316.81,2021-05-21
2020-01-17,149.17,3329.62,2021-05-21
2020-01-21,149.27,3320.79,2021-05-21
2020-01-22,148.25,3321.75,2021-05-21
2020-01-23,148.53,3325.54,2021-05-21
2020-01-24,148.32,3295.47,2021-05-21
2020-01-27,148.75,3243.63,2021-05-21
2020-01-28,149.5,3276.24,2021-05-21
2020-01-29,150.54,3273.4,2021-05-21
2020-01-30,150.36,3283.66,2021-05-21
2020-01-31,148.87,3225.52,2021-05-21
2020-02-03,150.17,3248.92,2021-05-21
2020-02-04,151.6,3297.59,2021-05-21
2020-02-05,153.99,3334.69,2021-05-21
2020-02-06,153.53,3345.78,2021-05-21
2020-02-07,151.89,3327.71,2021-05-21
2020-02-10,151.86,3352.09,2021-05-21
2020-02-11,151.99,3357.75,2021-05-21
2020-02-12,151.09,3379.45,2021-05-21
2020-02-13,150.09,3373.94,2021-05-21
2020-02-14,150.13,3380.16,2021-05-21
2020-02-18,149.14,3370.29,2021-05-21
2020-02-19,148.94,3386.15,2021-05-21
2020-02-20,148.37,3373.23,2021-05-21
2020-02-21,149.93,3337.75,2021-05-21
2020-02-24,145.91,3225.89,2021-05-21
2020-02-25,144.65,3128.21,2021-05-21
2020-02-26,143.68,3116.39,2021-05-21
2020-02-27,139.12,2978.76,2021-05-21
2020-02-28,134.48,2954.22,2021-05-21
2020-03-02,140.02,3090.23,2021-05-21
2020-03-03,135.59,3003.37,2021-05-21
2020-03-04,143.48,3130.12,2021-05-21
2020-03-05,142.01,3023.94,2021-05-21
2020-03-06,142.03,2972.37,2021-05-21
2020-03-09,136.44,2746.56,2021-05-21
2020-03-10,141.64,2882.23,2021-05-21
2020-03-11,131.8,2741.38,2021-05-21
2020-03-12,125.41,2480.64,2021-05-21
2020-03-13,134.29,2711.02,2021-05-21
2020-03-16,127.13,2386.13,2021-05-21
2020-03-17,136.59,2529.19,2021-05-21
2020-03-18,134.96,2398.1,2021-05-21
2020-03-19,127.05,2409.39,2021-05-21
2020-03-20,119.89,2304.92,2021-05-21
2020-03-23,111.14,2237.4,2021-05-21
2020-03-24,119.18,2447.33,2021-05-21
2020-03-25,119.4,2475.56,2021-05-21
2020-03-26,126.57,2630.07,2021-05-21
2020-03-27,123.16,2541.47,2021-05-21
2020-03-30,133.01,2626.65,2021-05-21
2020-03-31,131.13,2584.59,2021-05-21
2020-04-01,128.81,2470.5,2021-05-21
2020-04-02,133.15,2526.9,2021-05-21
2020-04-03,134.17,2488.65,2021-05-21
2020-04-06,139.76,2663.68,2021-05-21
2020-04-07,137.48,2659.41,2021-05-21
2020-04-08,143.26,2749.98,2021-05-21
2020-04-09,141.23,2789.82,2021-05-21
2020-04-13,139.77,2761.63,2021-05-21
2020-04-14,146.03,2846.06,2021-05-21
2020-04-15,147.66,2783.36,2021-05-21
2020-04-16,149.67,2799.55,2021-05-21
2020-04-17,152.02,2874.56,2021-05-21
2020-04-20,151.67,2823.16,2021-05-21
2020-04-21,149.68,2736.56,2021-05-21
2020-04-22,152.99,2799.31,2021-05-21
2020-04-23,155.51,2797.8,2021-05-21
2020-04-24,154.86,2836.74,2021-05-21
2020-04-27,154.29,2878.48,2021-05-21
