Date,Stock,Market,joined date
2020-01-02,141.09,3257.85,2021-10-22
2020-01-03,138.34,3234.85,2021-10-22
2020-01-06,138.23,3246.28,2021-10-22
2020-01-07,135.88,3237.18,2021-10-22
2020-01-08,136.94,3253.05,2021-10-22
2020-01-09,137.44,3274.7,2021-10-22
2020-01-10,136.07,3265.35,2021-10-22
2020-01-13,137.2,3288.13,2021-10-22
2020-01-14,138.8,3283.15,2021-10-22
2020-01-15,136.72,3289.29,2021-10-22
2020-01-16,137.25,3316.81,2021-10-22
2020-01-17,138.2,3329.62,2021-10-22
2020-01-21,136.84,3320.79,2021-10-22
2020-01-22,136.68,3321.75,2021-10-22
2020-01-23,136.54,3325.54,2021-10-22
2020-01-24,133.15,3295.47,2021-10-22
2020-01-27,132.03,3243.63,2021-10-22
2020-01-28,134.43,3276.24,2021-10-22
2020-01-29,134.23,3273.4,2021-10-22
2020-01-30,135.89,3283.66,2021-10-22
2020-01-31,132.36,3225.52,2021-10-22
2020-02-03,133.37,3248.92,2021-10-22
2020-02-04,135.29,3297.59,2021-10-22
2020-02-05,137.59,3334.69,2021-10-22
2020-02-06,137.61,3345.78,2021-10-22
2020-02-07,137.17,3327.71,2021-10-22
2020-02-10,137.74,3352.09,2021-10-22
2020-02-11,138.0,3357.75,2021-10-22
2020-02-12,138.0,3379.45,2021-10-22
2020-02-13,137.88,3373.94,2021-10-22
2020-02-14,137.46,3380.16,2021-10-22
2020-02-18,135.64,3370.29,2021-10-22
2020-02-19,137.49,3386.15,2021-10-22
2020-02-20,137.49,3373.23,2021-10-22
2020-02-21,135.81,3337.75,2021-10-22
2020-02-24,132.16,3225.89,2021-10-22
2020-02-25,126.26,3128.21,2021-10-22
2020-02-26,126.64,3116.39,2021-10-22
2020-02-27,121.37,2978.76,2021-10-22
2020-02-28,116.11,2954.22,2021-10-22
2020-03-02,121.52,3090.23,2021-10-22
2020-03-03,116.96,3003.37,2021-10-22
2020-03-04,119.85,3130.12,2021-10-22
2020-03-05,113.97,3023.94,2021-10-22
2020-03-06,108.08,2972.37,2021-10-22
2020-03-09,93.44,2746.56,2021-10-22
2020-03-10,100.7,2882.23,2021-10-22
2020-03-11,95.96,2741.38,2021-10-22
2020-03-12,88.05,2480.64,2021-10-22
2020-03-13,103.91,2711.02,2021-10-22
