Date,Stock,Market,joined date
2020-01-02,2.90746582544694,7604.3,2021-04-14
2020-01-03,2.86581695412076,7622.4,2021-04-14
2020-01-06,2.89149011810873,7575.34,2021-04-14
2020-01-07,2.99204745282265,7573.85,2021-04-14
2020-01-08,2.93374196167808,7574.93,2021-04-14
2020-01-09,2.84165142409205,7598.12,2021-04-14
2020-01-10,2.74759715837868,7587.85,2021-04-14
2020-01-13,2.77943735875517,7617.6,2021-04-14
2020-01-14,2.84420030459622,7622.35,2021-04-14
2020-01-15,2.78969117857927,7642.8,2021-04-14
2020-01-16,2.74465191694118,7609.81,2021-04-14
2020-01-17,2.73557417139296,7674.56,2021-04-14
2020-01-20,2.75790295303769,7651.44,2021-04-14
2020-01-21,2.78292409258154,7610.7,2021-04-14
2020-01-22,2.7948596657205,7571.92,2021-04-14
2020-01-23,2.71603642375418,7507.67,2021-04-14
2020-01-24,2.70542392384531,7585.98,2021-04-14
2020-01-27,2.64322355797463,7412.05,2021-04-14
2020-01-28,2.66400917096555,7480.69,2021-04-14
2020-01-29,2.70555302389173,7483.57,2021-04-14
2020-01-30,2.69343075251077,7381.96,2021-04-14
2020-01-31,2.69260720932386,7286.01,2021-04-14
2020-02-03,2.66354836614051,7326.31,2021-04-14
2020-02-04,2.65921409214101,7439.82,2021-04-14
2020-02-05,2.7014027014027,7482.48,2021-04-14
2020-02-06,2.76273092784847,7504.79,2021-04-14
2020-02-07,2.7315853249801,7466.7,2021-04-14
2020-02-10,2.7169070647331,7446.88,2021-04-14
2020-02-11,2.75209158960819,7499.44,2021-04-14
2020-02-12,2.81104199066877,7534.37,2021-04-14
2020-02-13,2.82945028568447,7452.03,2021-04-14
2020-02-14,2.82706256849141,7409.13,2021-04-14
2020-02-17,2.88731661637702,7433.25,2021-04-14
2020-02-18,2.87255475401322,7382.01,2021-04-14
2020-02-19,2.8615722498546,7457.02,2021-04-14
2020-02-20,2.82049300672272,7436.64,2021-04-14
2020-02-21,2.8402090601372,7403.92,2021-04-14
2020-02-24,2.68753958917747,7156.83,2021-04-14
2020-02-25,2.5878099845252,7017.88,2021-04-14
2020-02-26,2.53416084953749,7042.47,2021-04-14
2020-02-27,2.39705730777159,6796.4,2021-04-14
2020-02-28,2.42747073830486,6580.61,2021-04-14
2020-03-02,2.35876120411578,6654.89,2021-04-14
2020-03-03,2.41596638655456,6718.2,2021-04-14
2020-03-04,2.43050193050195,6815.59,2021-04-14
2020-03-05,2.31747758951244,6705.43,2021-04-14
2020-03-06,2.20494220181097,6462.55,2021-04-14
2020-03-09,2.13509112873569,5965.77,2021-04-14
2020-03-10,2.18951253823418,5960.23,2021-04-14
2020-03-11,2.04030614207139,5876.52,2021-04-14
2020-03-12,1.75680092522753,5237.48,2021-04-14
2020-03-13,1.6756690400197,5366.11,2021-04-14
2020-03-16,1.68105880332651,5151.08,2021-04-14
2020-03-17,1.49479442811004,5294.9,2021-04-14
2020-03-18,1.44408314946005,5080.58,2021-04-14
2020-03-19,1.52520960147013,5151.61,2021-04-14
2020-03-20,1.46851681547786,5190.78,2021-04-14
2020-03-23,1.65598475662564,4993.89,2021-04-14
2020-03-24,1.78705793829943,5446.01,2021-04-14
2020-03-25,2.03054433087715,5688.2,2021-04-14
2020-03-26,2.06869204489993,5815.73,2021-04-14
2020-03-27,1.79801452362263,5510.33,2021-04-14
2020-03-30,1.76990601060335,5563.74,2021-04-14
2020-03-31,1.78695608980729,5671.96,2021-04-14
2020-04-01,1.68807702779628,5454.57,2021-04-14
2020-04-02,1.65247778727827,5480.22,2021-04-14
2020-04-03,1.6575533923449,5415.5,2021-04-14
2020-04-06,1.71694813691564,5582.39,2021-04-14
2020-04-07,1.83142726723177,5704.45,2021-04-14
2020-04-08,1.82430675104958,5677.73,2021-04-14
2020-04-09,1.89876570887666,5842.66,2021-04-14
2020-04-14,1.87452663468815,5791.31,2021-04-14
2020-04-15,1.69313361114233,5597.65,2021-04-14
2020-04-16,1.69761735729674,5628.43,2021-04-14
2020-04-17,1.7548683848711,5786.96,2021-04-14
2020-04-20,1.74649953990406,5812.83,2021-04-14
2020-04-21,1.6884457939445,5641.03,2021-04-14
2020-04-22,1.70242939943279,5770.63,2021-04-14
