Date,Stock,Market,joined date
2020-01-02,2.94551303531934,612.87,2021-04-23
2020-01-03,2.94570529557475,611.06,2021-04-23
2020-01-06,2.9605336795684,607.24,2021-04-23
2020-01-07,2.94721113316532,609.71,2021-04-23
2020-01-08,2.93118379854773,610.48,2021-04-23
2020-01-09,2.9683509161577,612.55,2021-04-23
2020-01-10,2.96570589805179,610.43,2021-04-23
2020-01-13,2.97251260812933,608.9,2021-04-23
2020-01-14,2.98093934639649,611.15,2021-04-23
2020-01-15,2.99239636987981,611.56,2021-04-23
2020-01-16,3.0365116304965,612.06,2021-04-23
2020-01-17,3.04696855457488,615.57,2021-04-23
2020-01-20,3.08412562819644,614.23,2021-04-23
2020-01-21,3.07416108870074,611.89,2021-04-23
2020-01-22,3.0589044286459,611.56,2021-04-23
2020-01-23,3.0083663973652,605.62,2021-04-23
2020-01-24,3.01480395507006,614.24,2021-04-23
2020-01-27,2.93356246626349,598.69,2021-04-23
2020-01-28,2.97099532751476,602.96,2021-04-23
2020-01-29,2.80178345351461,605.22,2021-04-23
2020-01-30,2.81043877258389,598.95,2021-04-23
2020-01-31,2.80985501458729,589.5,2021-04-23
2020-02-03,2.78773000707713,592.36,2021-04-23
2020-02-04,2.74836301800956,605.4,2021-04-23
2020-02-05,2.72725273275123,613.41,2021-04-23
2020-02-06,2.73181443864946,618.75,2021-04-23
2020-02-07,2.71604127682392,616.46,2021-04-23
2020-02-10,2.69126294086204,617.1,2021-04-23
2020-02-11,2.68376534788542,623.85,2021-04-23
2020-02-12,2.69056833500021,629.03,2021-04-23
2020-02-13,2.69482173634973,629.14,2021-04-23
2020-02-14,2.70858603361636,629.23,2021-04-23
2020-02-17,2.72258455938116,629.17,2021-04-23
2020-02-18,2.73659220891335,625.43,2021-04-23
2020-02-19,2.72477797705224,629.2,2021-04-23
2020-02-20,2.7356344148632,622.12,2021-04-23
2020-02-21,2.73786934128489,617.33,2021-04-23
2020-02-24,2.70757143322227,593.3,2021-04-23
2020-02-25,2.64251523063535,582.71,2021-04-23
2020-02-26,2.6185813751088,581.78,2021-04-23
2020-02-27,2.53172909838769,559.98,2021-04-23
2020-02-28,2.42660110470438,539.38,2021-04-23
2020-03-02,2.51917489508075,542.17,2021-04-23
2020-03-03,2.52463191760317,550.22,2021-04-23
2020-03-04,2.55747926292936,557.73,2021-04-23
2020-03-05,2.49730264340947,552.54,2021-04-23
2020-03-06,2.48947671334905,531.29,2021-04-23
2020-03-09,2.37869023225999,490.66,2021-04-23
2020-03-10,2.31107602075345,484.7,2021-04-23
2020-03-11,2.30860233226297,484.16,2021-04-23
2020-03-12,2.06774694982163,432.1,2021-04-23
2020-03-13,2.05441421432538,432.85,2021-04-23
2020-03-16,1.97848765052495,416.77,2021-04-23
2020-03-17,2.2530843834532,424.26,2021-04-23
2020-03-18,2.13676146408538,404.1,2021-04-23
2020-03-19,2.33470522208563,422.75,2021-04-23
2020-03-20,2.36124478665384,431.98,2021-04-23
2020-03-23,2.30822835700884,423.72,2021-04-23
2020-03-24,2.27390403866068,461.73,2021-04-23
2020-03-25,2.34354600052224,475.4,2021-04-23
