Date,Stock,Market,joined date
2018-01-02,44.707556155729,7054.55,2020-07-27
2018-01-03,44.9009009009009,7071.23,2020-07-27
2018-01-04,46.4577475835939,7126.57,2020-07-27
2018-01-05,46.7650561108506,7174.14,2020-07-27
2018-01-08,47.7404070497865,7184.09,2020-07-27
2018-01-09,46.6659505651234,7178.92,2020-07-27
2018-01-10,45.8688199529368,7102.23,2020-07-27
2018-01-11,45.573214307198,7041.04,2020-07-27
2018-01-12,46.1812155773262,7074.44,2020-07-27
2018-01-15,46.0525509140621,7092.67,2020-07-27
2018-01-16,45.9465754600174,7066.95,2020-07-27
2018-01-17,45.7386536704235,7051.74,2020-07-27
2018-01-18,46.0358056265985,7073.37,2020-07-27
2018-01-19,46.4360343626655,7157.12,2020-07-27
2018-01-22,46.3428389279849,7157.5,2020-07-27
2018-01-23,46.6546156589319,7235.11,2020-07-27
2018-01-24,46.3240949805227,7156.4,2020-07-27
2018-01-25,45.9109050794515,7033.76,2020-07-27
2018-01-26,46.4966096222149,7098.63,2020-07-27
2018-01-29,45.6363208656786,7059.28,2020-07-27
2018-01-30,44.7888895777792,6983.47,2020-07-27
2018-01-31,46.2025709495124,6961.64,2020-07-27
2018-02-01,46.6047105029455,6946.32,2020-07-27
2018-02-02,45.9772979303986,6885.23,2020-07-27
2018-02-05,44.3977244620333,6754.74,2020-07-27
2018-02-06,43.8107967624564,6658.71,2020-07-27
2018-02-07,44.9278383382584,6753.19,2020-07-27
2018-02-08,43.0779026767567,6650.86,2020-07-27
2018-02-09,44.3569104298682,6599.67,2020-07-27
2018-02-12,45.6981317600788,6677.91,2020-07-27
2018-02-13,46.1394062144941,6700.01,2020-07-27
2018-02-14,45.8087484751164,6722.75,2020-07-27
2018-02-15,45.1930772308923,6778.12,2020-07-27
2018-02-16,45.1506468698445,6833.41,2020-07-27
2018-02-19,45.5334987593054,6797.74,2020-07-27
2018-02-20,46.6298233494523,6815.71,2020-07-27
2018-02-21,46.1557356914764,6791.34,2020-07-27
2018-02-22,45.8636419676982,6772.76,2020-07-27
2018-02-23,43.8860683245848,6722.27,2020-07-27
2018-02-26,43.6972719995075,6738.27,2020-07-27
2018-02-27,42.7353563522057,6730.58,2020-07-27
2018-02-28,42.4317799400102,6683.39,2020-07-27
2018-03-01,42.5662414131503,6668.24,2020-07-27
2018-03-05,41.9390650055506,6611.86,2020-07-27
2018-03-06,42.4149221152893,6701.02,2020-07-27
2018-03-07,42.076780815967,6736.55,2020-07-27
2018-03-08,42.5432387517696,6753.49,2020-07-27
2018-03-09,43.4119210513364,6744.94,2020-07-27
2018-03-12,43.2112467628561,6738.97,2020-07-27
2018-03-13,43.0392606266337,6676.25,2020-07-27
2018-03-14,42.9067797658057,6677.25,2020-07-27
2018-03-15,42.5720402588775,6707.76,2020-07-27
2018-03-16,42.1197488542396,6693.94,2020-07-27
2018-03-19,41.8090105200843,6670.55,2020-07-27
2018-03-20,41.3224152070406,6625.77,2020-07-27
2018-03-21,40.9552945820586,6601.7,2020-07-27
2018-03-22,40.0979077748122,6517.18,2020-07-27
2018-03-23,40.5113320570617,6514.91,2020-07-27
2018-03-26,40.7101887449764,6446.45,2020-07-27
2018-03-27,41.0719378960551,6517.03,2020-07-27
2018-03-28,41.1051627592147,6549.21,2020-07-27
2018-03-29,42.3155460427585,6593.65,2020-07-27
2018-04-03,41.9846391676687,6580.97,2020-07-27
2018-04-04,42.0119578161638,6545.75,2020-07-27
2018-04-05,42.2209440358328,6673.2,2020-07-27
2018-04-06,42.3692387046065,6632.48,2020-07-27
2018-04-09,42.7471512165075,6635.77,2020-07-27
2018-04-10,42.8191982210141,6638.33,2020-07-27
