Date,Stock,Market,joined date
2018-01-02,77.2857160081508,5288.6,2020-05-29
2018-01-03,77.3813813813813,5331.28,2020-05-29
2018-01-04,78.3868904683184,5413.69,2020-05-29
2018-01-05,78.952116335294,5470.75,2020-05-29
2018-01-08,78.4426337389474,5487.42,2020-05-29
2018-01-09,78.8189098547506,5523.94,2020-05-29
2018-01-10,78.4547941278357,5504.68,2020-05-29
2018-01-11,78.682371058362,5488.55,2020-05-29
2018-01-12,80.2261539211388,5517.06,2020-05-29
2018-01-15,81.3644110398605,5509.69,2020-05-29
2018-01-16,80.9581601755483,5513.82,2020-05-29
2018-01-17,80.6579348157175,5493.99,2020-05-29
2018-01-18,81.351949974914,5494.83,2020-05-29
2018-01-19,81.5807803697775,5526.51,2020-05-29
2018-01-22,81.5535885050147,5541.99,2020-05-29
2018-01-23,81.922258703164,5535.26,2020-05-29
2018-01-24,82.524874078853,5495.16,2020-05-29
2018-01-25,81.7075286943155,5481.21,2020-05-29
2018-01-26,82.0893668811005,5529.15,2020-05-29
2018-01-29,81.5907093067884,5521.59,2020-05-29
2018-01-30,81.7905635811272,5473.78,2020-05-29
2018-01-31,83.2391479848473,5481.93,2020-05-29
2018-02-01,83.0779622009028,5454.55,2020-05-29
2018-02-02,81.4632991514758,5364.98,2020-05-29
2018-02-05,79.5696265149644,5285.83,2020-05-29
2018-02-06,78.0426227073588,5161.81,2020-05-29
2018-02-07,78.6727649504002,5255.9,2020-05-29
2018-02-08,75.4291871770385,5151.68,2020-05-29
2018-02-09,74.8660484916694,5079.21,2020-05-29
2018-02-12,75.6637168141595,5140.06,2020-05-29
2018-02-13,75.5075828681522,5109.24,2020-05-29
2018-02-14,76.6798615779122,5165.26,2020-05-29
2018-02-15,77.6560624249699,5222.52,2020-05-29
2018-02-16,77.9965020652699,5281.58,2020-05-29
2018-02-19,77.3945409429283,5256.18,2020-05-29
2018-02-20,78.3331688542386,5289.86,2020-05-29
2018-02-21,78.4819454679441,5302.17,2020-05-29
2018-02-22,78.8312168659845,5309.23,2020-05-29
2018-02-23,79.1670252129764,5317.37,2020-05-29
2018-02-26,79.9063981772279,5344.26,2020-05-29
2018-02-27,79.3551780232142,5343.93,2020-05-29
2018-02-28,78.6938815324212,5320.49,2020-05-29
2018-03-01,77.821393523062,5262.56,2020-05-29
2018-03-02,76.069418270948,5136.58,2020-05-29
2018-03-05,77.3899099543602,5167.23,2020-05-29
2018-03-06,77.7358864966764,5170.23,2020-05-29
2018-03-07,78.1957873571068,5187.83,2020-05-29
2018-03-08,78.4637163784084,5254.1,2020-05-29
2018-03-09,78.5795146921299,5274.4,2020-05-29
2018-03-12,79.3932667406586,5276.71,2020-05-29
2018-03-13,79.4628145248211,5242.79,2020-05-29
2018-03-14,79.2848045701286,5233.36,2020-05-29
2018-03-15,79.2873489676898,5267.26,2020-05-29
2018-03-16,79.2018381313969,5282.75,2020-05-29
2018-03-19,79.6467816928332,5222.84,2020-05-29
2018-03-20,79.4624169206481,5252.43,2020-05-29
2018-03-21,79.5667620645416,5239.74,2020-05-29
2018-03-22,78.2770199628543,5167.21,2020-05-29
2018-03-23,77.5396776384858,5095.22,2020-05-29
2018-03-26,77.5135928732284,5066.28,2020-05-29
2018-03-27,78.5972048264485,5115.74,2020-05-29
2018-03-28,78.7643837302317,5130.44,2020-05-29
2018-03-29,78.3575663640616,5167.3,2020-05-29
2018-04-03,76.9513900817119,5152.12,2020-05-29
2018-04-04,76.6577044430529,5141.8,2020-05-29
2018-04-05,77.0991151958685,5276.67,2020-05-29
2018-04-06,76.2646296682917,5258.24,2020-05-29
2018-04-09,76.9941484447181,5263.39,2020-05-29
2018-04-10,77.0893816789175,5307.56,2020-05-29
2018-04-11,76.8612515920024,5277.94,2020-05-29
2018-04-12,76.8832577400904,5309.22,2020-05-29
2018-04-13,76.6859819997535,5315.02,2020-05-29
2018-04-16,77.7343169777687,5312.96,2020-05-29
2018-04-17,78.3513316262787,5353.54,2020-05-29
2018-04-18,79.032018607413,5380.17,2020-05-29
2018-04-19,80.038513288319,5391.64,2020-05-29
2018-04-20,80.1051687491556,5412.83,2020-05-29
2018-04-23,78.7109375,5438.55,2020-05-29
2018-04-24,78.7124232566103,5444.16,2020-05-29
2018-04-25,77.622683721609,5413.3,2020-05-29
2018-04-26,77.3978073041456,5453.58,2020-05-29
2018-04-27,77.9101074538531,5483.19,2020-05-29
2018-04-30,77.8966691625804,5520.5,2020-05-29
2018-05-02,76.7907076790707,5529.22,2020-05-29
2018-05-03,77.0761411584194,5501.66,2020-05-29
2018-05-04,77.8944347451748,5516.05,2020-05-29
2018-05-07,78.2186833228043,5531.42,2020-05-29
2018-05-08,78.1466851713463,5521.93,2020-05-29
2018-05-09,78.376072427359,5534.63,2020-05-29
2018-05-10,79.411974935074,5545.95,2020-05-29
2018-05-11,79.3665958107429,5541.94,2020-05-29
2018-05-14,78.9200663033496,5540.68,2020-05-29
2018-05-15,78.3134669333934,5553.16,2020-05-29
2018-05-16,78.563332388779,5567.54,2020-05-29
2018-05-17,78.9188169253265,5621.92,2020-05-29
2018-05-18,78.538963332784,5614.51,2020-05-29
2018-05-21,78.9455068499613,5637.51,2020-05-29
2018-05-22,79.1717704701782,5640.1,2020-05-29
2018-05-23,77.7552953835719,5565.85,2020-05-29
2018-05-24,78.2355974312098,5548.45,2020-05-29
2018-05-25,77.8219182869855,5542.55,2020-05-29
2018-05-28,77.4022593091904,5508.93,2020-05-29
2018-05-29,74.8355832467984,5438.06,2020-05-29
2018-05-30,75.5632258967304,5427.35,2020-05-29
2018-05-31,75.4474357925256,5398.4,2020-05-29
2018-06-01,75.2538973683291,5465.53,2020-05-29
2018-06-04,75.3348540679654,5472.91,2020-05-29
2018-06-05,75.2466430764185,5460.95,2020-05-29
2018-06-06,75.4885801742405,5457.56,2020-05-29
2018-06-07,75.4538912548516,5448.36,2020-05-29
2018-06-08,75.1138355825913,5450.22,2020-05-29
2018-06-11,75.240058910162,5473.91,2020-05-29
2018-06-12,75.2257594795497,5453.37,2020-05-29
2018-06-13,75.5437665782494,5452.73,2020-05-29
2018-06-14,75.1390929175388,5528.46,2020-05-29
2018-06-15,74.4472172247695,5501.88,2020-05-29
2018-06-18,74.1248663474499,5450.48,2020-05-29
2018-06-19,73.0972466858258,5390.63,2020-05-29
2018-06-20,72.9839176211964,5372.31,2020-05-29
2018-06-21,72.7850671121474,5316.01,2020-05-29
2018-06-22,73.7995337995341,5387.38,2020-05-29
2018-06-25,72.6932303551579,5283.86,2020-05-29
2018-06-26,72.0357733423388,5281.29,2020-05-29
2018-06-27,72.7545774851268,5327.2,2020-05-29
2018-06-28,71.645865383503,5275.64,2020-05-29
2018-06-29,73.4864593312613,5323.53,2020-05-29
2018-07-02,72.2316627482015,5276.76,2020-05-29
2018-07-03,72.9836829836833,5316.77,2020-05-29
2018-07-04,72.9078047245563,5320.5,2020-05-29
2018-07-05,72.8454372245796,5366.32,2020-05-29
2018-07-06,73.3119575302729,5375.77,2020-05-29
2018-07-09,74.4648353972319,5398.11,2020-05-29
2018-07-10,74.8907989291248,5434.36,2020-05-29
2018-07-11,73.3002626203678,5353.93,2020-05-29
2018-07-12,73.8544851894216,5405.9,2020-05-29
2018-07-13,74.2229492872166,5429.2,2020-05-29
2018-07-16,74.610088520444,5409.43,2020-05-29
2018-07-17,74.7572023177995,5422.54,2020-05-29
2018-07-18,74.2973523421591,5447.44,2020-05-29
2018-07-19,72.663352851472,5417.07,2020-05-29
2018-07-20,72.815477097224,5398.32,2020-05-29
2018-07-23,72.4781688741337,5378.25,2020-05-29
2018-07-24,73.141949127788,5434.19,2020-05-29
2018-07-25,73.464217859405,5426.41,2020-05-29
2018-07-26,73.4549433663551,5480.55,2020-05-29
2018-07-27,74.2018579604399,5511.76,2020-05-29
2018-07-30,74.9991222012852,5491.22,2020-05-29
2018-07-31,73.4661429105871,5511.3,2020-05-29
2018-08-01,73.5386695889391,5498.37,2020-05-29
2018-08-02,73.1981329843299,5460.98,2020-05-29
2018-08-03,73.1495726001409,5478.98,2020-05-29
2018-08-06,73.0608378197278,5477.18,2020-05-29
2018-08-07,72.8757146667597,5521.31,2020-05-29
2018-08-08,73.5606561944897,5501.9,2020-05-29
2018-08-09,72.68326417704,5502.25,2020-05-29
2018-08-10,71.3356609844595,5414.68,2020-05-29
2018-08-13,71.3226402610146,5412.32,2020-05-29
2018-08-14,71.2276562925322,5403.41,2020-05-29
2018-08-15,70.5308529945552,5305.22,2020-05-29
2018-08-16,70.9573209573211,5349.02,2020-05-29
2018-08-17,71.526602314836,5344.93,2020-05-29
2018-08-20,72.110748886542,5379.65,2020-05-29
2018-08-21,72.8614729632802,5408.6,2020-05-29
2018-08-22,73.2864083861912,5420.61,2020-05-29
2018-08-23,72.936615980987,5419.33,2020-05-29
2018-08-24,73.6075118243831,5432.5,2020-05-29
2018-08-27,75.0134286181366,5479.1,2020-05-29
2018-08-28,75.6071608143032,5484.99,2020-05-29
2018-08-29,75.9253623018754,5501.33,2020-05-29
2018-08-30,75.9481853191735,5478.06,2020-05-29
2018-08-31,75.277797109518,5406.85,2020-05-29
2018-09-03,75.1313403691478,5413.8,2020-05-29
2018-09-04,74.2344929818873,5342.7,2020-05-29
2018-09-05,73.588240766583,5260.22,2020-05-29
2018-09-06,73.2588813610532,5243.84,2020-05-29
2018-09-07,71.6158617582851,5252.22,2020-05-29
2018-09-10,71.8707254306449,5269.63,2020-05-29
2018-09-11,72.3453638157134,5283.79,2020-05-29
2018-09-12,72.8824001208897,5332.13,2020-05-29
2018-09-13,73.0264849575728,5328.12,2020-05-29
2018-09-14,73.652019209526,5352.57,2020-05-29
2018-09-17,74.5379349019789,5348.87,2020-05-29
2018-09-18,74.3756342809149,5363.79,2020-05-29
2018-09-19,74.0939597315438,5393.74,2020-05-29
2018-09-20,74.8651767421051,5451.59,2020-05-29
2018-09-21,75.1932702023168,5494.17,2020-05-29
2018-09-24,74.9163093909674,5476.17,2020-05-29
2018-09-25,74.6277440998177,5479.1,2020-05-29
2018-09-26,74.0905942976534,5512.73,2020-05-29
2018-09-27,73.7447333504036,5540.41,2020-05-29
2018-09-28,72.8754338514402,5493.49,2020-05-29
2018-10-01,72.9284837820941,5506.82,2020-05-29
2018-10-02,71.9547396374552,5467.89,2020-05-29
2018-10-03,71.7482613785032,5491.4,2020-05-29
2018-10-04,71.4729788850768,5410.85,2020-05-29
2018-10-05,70.0598043395597,5359.36,2020-05-29
2018-10-08,69.2389006342492,5300.25,2020-05-29
2018-10-09,68.75,5318.55,2020-05-29
2018-10-10,67.333939945405,5206.22,2020-05-29
2018-10-11,66.9379427074277,5106.37,2020-05-29
2018-10-12,66.2041854549661,5095.98,2020-05-29
2018-10-15,66.4289518164346,5095.07,2020-05-29
2018-10-16,68.0955467086379,5173.05,2020-05-29
2018-10-17,67.706177268755,5144.95,2020-05-29
2018-10-18,65.8260899439997,5116.79,2020-05-29
2018-10-19,65.0256740887426,5084.66,2020-05-29
2018-10-22,64.6285406421586,5053.31,2020-05-29
2018-10-23,63.583815028902,4967.69,2020-05-29
2018-10-24,63.3108931642918,4953.09,2020-05-29
2018-10-25,64.9454049135577,5032.3,2020-05-29
2018-10-26,64.5749726377234,4967.37,2020-05-29
2018-10-29,64.7237415143903,4989.35,2020-05-29
2018-10-30,64.5702876849078,4978.53,2020-05-29
2018-10-31,65.304183584605,5093.44,2020-05-29
2018-11-01,65.6134147037017,5085.78,2020-05-29
2018-11-02,65.0310240792397,5102.13,2020-05-29
2018-11-05,64.9915025150274,5101.39,2020-05-29
2018-11-06,65.2422303473493,5075.19,2020-05-29
2018-11-07,66.2820586051294,5137.94,2020-05-29
2018-11-08,63.172485882767,5131.45,2020-05-29
2018-11-09,62.5410857984813,5106.75,2020-05-29
2018-11-12,60.3252944475602,5059.09,2020-05-29
2018-11-13,61.6829604208528,5101.85,2020-05-29
2018-11-14,59.9323781846143,5068.85,2020-05-29
2018-11-15,59.8921759615819,5033.62,2020-05-29
2018-11-16,60.6752606158868,5025.2,2020-05-29
2018-11-19,60.7358380377653,4985.45,2020-05-29
2018-11-20,60.4200065945813,4924.89,2020-05-29
2018-11-21,60.9903244166193,4975.5,2020-05-29
2018-11-22,60.6855643643416,4938.14,2020-05-29
2018-11-23,60.4198088066861,4946.95,2020-05-29
2018-11-26,60.8435645358582,4994.98,2020-05-29
2018-11-27,60.6163223840165,4983.15,2020-05-29
2018-11-28,61.3534586619989,4983.24,2020-05-29
2018-11-29,61.5566870564651,5006.25,2020-05-29
2018-11-30,61.2143293579848,5003.92,2020-05-29
2018-12-03,60.233851742536,5053.98,2020-05-29
2018-12-04,59.2158998094201,5012.66,2020-05-29
2018-12-05,58.9890189672384,4944.37,2020-05-29
2018-12-06,57.5068243858052,4780.46,2020-05-29
2018-12-07,57.4262832180563,4813.13,2020-05-29
2018-12-10,56.4910806545017,4742.38,2020-05-29
2018-12-11,56.8189532278869,4806.2,2020-05-29
2018-12-12,58.0678898665392,4909.45,2020-05-29
2018-12-13,56.7143830947513,4896.92,2020-05-29
2018-12-14,56.1843488879591,4853.7,2020-05-29
2018-12-17,55.9696835608203,4799.87,2020-05-29
2018-12-18,55.9077482390367,4754.08,2020-05-29
2018-12-19,55.6693056693058,4777.45,2020-05-29
2018-12-20,55.7323018470625,4692.46,2020-05-29
2018-12-21,55.1640257348763,4694.38,2020-05-29
2018-12-24,55.2053529700094,4626.39,2020-05-29
2018-12-27,54.9618844074655,4598.61,2020-05-29
2018-12-28,56.3567123726312,4678.74,2020-05-29
2018-12-31,56.5418845765669,4730.69,2020-05-29
