Date,Stock,Market,joined date
2020-01-02,4.08780231335442,7604.3,2021-02-23
2020-01-03,4.00429218247011,7622.4,2021-02-23
2020-01-06,4.01595849737324,7575.34,2021-02-23
2020-01-07,4.0313902522242,7573.85,2021-02-23
2020-01-08,4.03520490354025,7574.93,2021-02-23
2020-01-09,4.03579827541164,7598.12,2021-02-23
2020-01-10,3.99733597994161,7587.85,2021-02-23
2020-01-13,3.92498116736361,7617.6,2021-02-23
2020-01-14,3.94413131484053,7622.35,2021-02-23
2020-01-15,3.86515623574183,7642.8,2021-02-23
2020-01-16,3.84826612270504,7609.81,2021-02-23
2020-01-17,3.89198189291856,7674.56,2021-02-23
2020-01-20,3.93131260569806,7651.44,2021-02-23
2020-01-21,4.01325574720151,7610.7,2021-02-23
2020-01-22,4.0773152528118,7571.92,2021-02-23
2020-01-23,4.02157084000316,7507.67,2021-02-23
2020-01-24,4.07709608243096,7585.98,2021-02-23
2020-01-27,3.96157209800147,7412.05,2021-02-23
2020-01-28,3.99927049137616,7480.69,2021-02-23
2020-01-29,4.01275958596453,7483.57,2021-02-23
2020-01-30,4.0591323931859,7381.96,2021-02-23
2020-01-31,4.03231128651196,7286.01,2021-02-23
2020-02-03,3.95244591697533,7326.31,2021-02-23
2020-02-04,4.02986241400888,7439.82,2021-02-23
2020-02-05,4.05730405730406,7482.48,2021-02-23
2020-02-06,4.03226849038811,7504.79,2021-02-23
2020-02-07,3.98587155490253,7466.7,2021-02-23
2020-02-10,3.97722136852564,7446.88,2021-02-23
2020-02-11,4.02129147563926,7499.44,2021-02-23
2020-02-12,4.0565059616382,7534.37,2021-02-23
2020-02-13,4.06219833546401,7452.03,2021-02-23
2020-02-14,4.15383812555453,7409.13,2021-02-23
2020-02-17,4.12938299864732,7433.25,2021-02-23
2020-02-18,4.10086436602339,7382.01,2021-02-23
2020-02-19,4.1121374588204,7457.02,2021-02-23
2020-02-20,4.05558560647025,7436.64,2021-02-23
2020-02-21,4.07096631952999,7403.92,2021-02-23
2020-02-24,3.88846516798742,7156.83,2021-02-23
2020-02-25,3.73216816863685,7017.88,2021-02-23
2020-02-26,3.72511322434559,7042.47,2021-02-23
2020-02-27,3.46706864564007,6796.4,2021-02-23
2020-02-28,3.3332051331358,6580.61,2021-02-23
2020-03-02,3.24489041322955,6654.89,2021-02-23
2020-03-03,3.39593154334896,6718.2,2021-02-23
2020-03-04,3.3655083655084,6815.59,2021-02-23
2020-03-05,3.21260168920674,6705.43,2021-02-23
2020-03-06,3.1495446598649,6462.55,2021-02-23
2020-03-09,2.86254530174896,5965.77,2021-02-23
2020-03-10,2.84965734419161,5960.23,2021-02-23
2020-03-11,2.82681435329402,5876.52,2021-02-23
2020-03-12,2.29861215869663,5237.48,2021-02-23
2020-03-13,2.36926098698756,5366.11,2021-02-23
2020-03-16,2.13735495424768,5151.08,2021-02-23
2020-03-17,2.11717356726267,5294.9,2021-02-23
2020-03-18,1.8708628498433,5080.58,2021-02-23
2020-03-19,1.79108763064206,5151.61,2021-02-23
2020-03-20,1.8282248582703,5190.78,2021-02-23
2020-03-23,1.60055430452102,4993.89,2021-02-23
2020-03-24,1.89933690744917,5446.01,2021-02-23
2020-03-25,2.23021155217499,5688.2,2021-02-23
2020-03-26,2.63055148853097,5815.73,2021-02-23
2020-03-27,2.60827323343663,5510.33,2021-02-23
2020-03-30,2.38698302727811,5563.74,2021-02-23
2020-03-31,2.40723723425394,5671.96,2021-02-23
2020-04-01,2.12309101259862,5454.57,2021-02-23
2020-04-02,2.20020570777096,5480.22,2021-02-23
2020-04-03,1.95792364465592,5415.5,2021-02-23
2020-04-06,2.27825810475345,5582.39,2021-02-23
2020-04-07,2.5130463747734,5704.45,2021-02-23
2020-04-08,2.42807426030734,5677.73,2021-02-23
2020-04-09,2.65291633972271,5842.66,2021-02-23
2020-04-14,2.60792729108803,5791.31,2021-02-23
2020-04-15,2.41518689542107,5597.65,2021-02-23
2020-04-16,2.42187597304733,5628.43,2021-02-23
2020-04-17,2.56730745194106,5786.96,2021-02-23
2020-04-20,2.56161555870585,5812.83,2021-02-23
2020-04-21,2.37255215312187,5641.03,2021-02-23
2020-04-22,2.4774941423111,5770.63,2021-02-23
2020-04-23,2.36534853870465,5826.61,2021-02-23
2020-04-24,2.29718031164972,5752.23,2021-02-23
2020-04-27,2.36754781700901,5846.79,2021-02-23
2020-04-28,2.54629917152118,5958.5,2021-02-23
2020-04-29,2.71840061821484,6115.25,2021-02-23
2020-04-30,2.57630704140217,5901.21,2021-02-23
2020-05-01,2.44977308812687,5763.06,2021-02-23
2020-05-04,2.45107187737169,5753.78,2021-02-23
