Date,Stock,Market,joined date
2020-01-06,12.3514186783982,5819.2,2021-03-14
2020-01-07,12.4516665178602,5934.4,2021-03-14
2020-01-09,12.4660577635152,5953.4,2021-03-14
2020-01-10,12.6425914552092,5872.9,2021-03-14
2020-01-13,12.6807717530114,6903.7,2021-03-14
2020-01-14,12.8615588430117,6962.2,2021-03-14
2020-01-15,12.8859931256298,6994.8,2021-03-14
2020-01-16,13.0371801062289,7041.8,2021-03-14
2020-01-17,12.8850039170412,7064.1,2021-03-14
2020-01-20,12.8918759191303,7079.5,2021-03-14
2020-01-21,12.3808285368174,7066.3,2021-03-14
2020-01-22,12.7367174720935,7132.7,2021-03-14
2020-01-23,12.6034599612517,7088.0,2021-03-14
2020-01-24,12.7615119899492,7090.5,2021-03-14
2020-01-28,12.4353382696014,6994.5,2021-03-14
2020-01-29,12.5133372050621,7031.5,2021-03-14
2020-01-30,12.1344872070523,7008.4,2021-03-14
2020-01-31,12.1241318398972,7017.2,2021-03-14
2020-02-03,11.863181982416,6391.5,2021-03-14
2020-02-04,11.9177546923212,5154.3,2021-03-14
2020-02-06,12.3630441220018,5835.1,2021-03-14
2020-02-07,12.0429677074993,6032.7,2021-03-14
2020-02-10,12.0013906903975,5791.5,2021-03-14
2020-02-11,12.1102272345853,5951.3,2021-03-14
2020-02-12,11.998598703801,6590.2,2021-03-14
2020-02-13,12.0587958670912,7103.2,2021-03-14
2020-02-14,11.9692545228745,7130.2,2021-03-14
2020-02-17,11.9424025777867,7125.1,2021-03-14
2020-02-18,11.723736891004,7113.7,2021-03-14
2020-02-19,11.6345043487548,7144.6,2021-03-14
2020-02-20,12.3038657952531,7162.5,2021-03-14
2020-02-21,12.7768426354226,7139.0,2021-03-14
2020-02-24,12.5806515522741,6978.3,2021-03-14
2020-02-25,12.3325564967089,6866.6,2021-03-14
2020-02-26,11.9802401282429,6708.1,2021-03-14
2020-02-27,11.9800595062166,6657.9,2021-03-14
2020-02-28,11.4753991655439,6441.2,2021-03-14
2020-03-02,11.5805373735524,6923.3,2021-03-14
2020-03-03,11.6961758704667,6435.7,2021-03-14
2020-03-04,11.5292106466297,5067.5,2021-03-14
2020-03-06,11.4663491915692,5941.6,2021-03-14
2020-03-09,10.0370792362863,6112.6,2021-03-14
2020-03-11,9.95941021617626,6066.4,2021-03-14
2020-03-12,8.9831744705787,6615.3,2021-03-14
2020-03-13,9.4213649851632,5539.3,2021-03-14
2020-03-16,7.92150673786847,5002.0,2021-03-14
2020-03-17,7.49151281774451,5293.4,2021-03-14
2020-03-18,6.61934441366574,4953.2,2021-03-14
2020-03-19,5.51134993627501,4782.9,2021-03-14
2020-03-20,6.29083972563822,4816.6,2021-03-14
2020-03-23,5.57060862978178,4546.0,2021-03-14
2020-03-24,5.83189372728897,4735.7,2021-03-14
