Date,Stock,Market,joined date
2020-01-02,120.46,3257.85,2022-04-28
2020-01-03,119.6,3234.85,2022-04-28
2020-01-06,120.35,3246.28,2022-04-28
2020-01-07,119.63,3237.18,2022-04-28
2020-01-08,121.53,3253.05,2022-04-28
2020-01-09,122.05,3274.7,2022-04-28
2020-01-10,121.0,3265.35,2022-04-28
2020-01-13,121.05,3288.13,2022-04-28
2020-01-14,120.07,3283.15,2022-04-28
2020-01-15,119.52,3289.29,2022-04-28
2020-01-16,119.27,3316.81,2022-04-28
2020-01-17,122.36,3329.62,2022-04-28
2020-01-21,120.93,3320.79,2022-04-28
2020-01-22,121.91,3321.75,2022-04-28
2020-01-23,122.71,3325.54,2022-04-28
2020-01-24,120.23,3295.47,2022-04-28
2020-01-27,119.76,3243.63,2022-04-28
2020-01-28,121.15,3276.24,2022-04-28
2020-01-29,120.42,3273.4,2022-04-28
2020-01-30,119.72,3283.66,2022-04-28
2020-01-31,116.24,3225.52,2022-04-28
2020-02-03,117.18,3248.92,2022-04-28
2020-02-04,119.35,3297.59,2022-04-28
2020-02-05,122.13,3334.69,2022-04-28
2020-02-06,121.51,3345.78,2022-04-28
2020-02-07,121.48,3327.71,2022-04-28
2020-02-10,121.21,3352.09,2022-04-28
2020-02-11,123.03,3357.75,2022-04-28
2020-02-12,125.03,3379.45,2022-04-28
2020-02-13,124.77,3373.94,2022-04-28
2020-02-14,125.42,3380.16,2022-04-28
2020-02-18,123.23,3370.29,2022-04-28
2020-02-19,123.44,3386.15,2022-04-28
2020-02-20,126.57,3373.23,2022-04-28
2020-02-21,125.31,3337.75,2022-04-28
2020-02-24,122.91,3225.89,2022-04-28
2020-02-25,118.52,3128.21,2022-04-28
2020-02-26,113.3,3116.39,2022-04-28
2020-02-27,107.62,2978.76,2022-04-28
2020-02-28,106.57,2954.22,2022-04-28
2020-03-02,111.04,3090.23,2022-04-28
2020-03-03,108.56,3003.37,2022-04-28
2020-03-04,113.29,3130.12,2022-04-28
2020-03-05,107.52,3023.94,2022-04-28
2020-03-06,105.31,2972.37,2022-04-28
2020-03-09,94.22,2746.56,2022-04-28
2020-03-10,104.02,2882.23,2022-04-28
2020-03-11,99.15,2741.38,2022-04-28
2020-03-12,89.92,2480.64,2022-04-28
2020-03-13,96.49,2711.02,2022-04-28
2020-03-16,72.59,2386.13,2022-04-28
2020-03-17,73.79,2529.19,2022-04-28
2020-03-18,65.02,2398.1,2022-04-28
2020-03-19,69.87,2409.39,2022-04-28
2020-03-20,66.36,2304.92,2022-04-28
2020-03-23,67.8,2237.4,2022-04-28
2020-03-24,77.3,2447.33,2022-04-28
2020-03-25,83.72,2475.56,2022-04-28
2020-03-26,88.11,2630.07,2022-04-28
2020-03-27,86.98,2541.47,2022-04-28
2020-03-30,88.71,2626.65,2022-04-28
2020-03-31,86.05,2584.59,2022-04-28
2020-04-01,80.42,2470.5,2022-04-28
2020-04-02,82.86,2526.9,2022-04-28
2020-04-03,82.2,2488.65,2022-04-28
2020-04-06,88.77,2663.68,2022-04-28
2020-04-07,90.96,2659.41,2022-04-28
2020-04-08,94.35,2749.98,2022-04-28
2020-04-09,95.31,2789.82,2022-04-28
2020-04-13,95.2,2761.63,2022-04-28
2020-04-14,99.07,2846.06,2022-04-28
2020-04-15,94.34,2783.36,2022-04-28
2020-04-16,92.44,2799.55,2022-04-28
2020-04-17,97.1,2874.56,2022-04-28
2020-04-20,95.13,2823.16,2022-04-28
2020-04-21,92.62,2736.56,2022-04-28
2020-04-22,94.95,2799.31,2022-04-28
2020-04-23,94.9,2797.8,2022-04-28
2020-04-24,98.75,2836.74,2022-04-28
2020-04-27,101.97,2878.48,2022-04-28
2020-04-28,103.52,2863.39,2022-04-28
2020-04-29,106.16,2939.51,2022-04-28
2020-04-30,104.75,2912.43,2022-04-28
2020-05-01,104.46,2830.71,2022-04-28
2020-05-04,107.35,2842.74,2022-04-28
2020-05-05,110.15,2868.44,2022-04-28
2020-05-06,109.62,2848.42,2022-04-28
2020-05-07,111.92,2881.19,2022-04-28
2020-05-08,114.23,2929.8,2022-04-28
2020-05-11,113.39,2930.32,2022-04-28
2020-05-12,111.24,2870.12,2022-04-28
