Date,Stock,Market,joined date
2018-01-02,79.69,16309.99,2020-05-25
2018-01-03,78.59,16371.55,2020-05-25
2018-01-04,79.85,16412.94,2020-05-25
2018-01-05,79.43,16349.44,2020-05-25
2018-01-08,79.04,16317.65,2020-05-25
2018-01-09,79.51,16319.24,2020-05-25
2018-01-10,78.86,16247.95,2020-05-25
2018-01-11,78.99,16286.94,2020-05-25
2018-01-12,78.84,16308.18,2020-05-25
2018-01-16,76.7,16298.88,2020-05-25
2018-01-17,77.92,16326.7,2020-05-25
2018-01-18,77.57,16284.47,2020-05-25
2018-01-19,79.34,16353.46,2020-05-25
2018-01-22,78.96,16347.98,2020-05-25
2018-01-23,79.7,16357.55,2020-05-25
2018-01-24,79.2,16284.21,2020-05-25
2018-01-25,78.62,16204.01,2020-05-25
2018-01-26,79.08,16239.22,2020-05-25
2018-01-29,79.96,16094.72,2020-05-25
2018-01-30,79.48,15955.51,2020-05-25
2018-01-31,78.21,15951.67,2020-05-25
2018-02-01,78.81,15860.92,2020-05-25
2018-02-02,78.62,15606.03,2020-05-25
2018-02-05,77.41,15334.81,2020-05-25
2018-02-06,78.62,15363.93,2020-05-25
2018-02-07,80.99,15330.58,2020-05-25
2018-02-08,76.67,15065.61,2020-05-25
2018-02-09,77.15,15034.53,2020-05-25
2018-02-12,76.8,15241.88,2020-05-25
2018-02-13,77.27,15216.47,2020-05-25
2018-02-14,81.22,15328.27,2020-05-25
2018-02-15,80.92,15407.66,2020-05-25
2018-02-16,81.4,15452.64,2020-05-25
2018-02-20,80.58,15439.44,2020-05-25
2018-02-21,81.16,15524.01,2020-05-25
2018-02-22,80.83,15508.17,2020-05-25
2018-02-23,81.86,15638.45,2020-05-25
2018-02-26,82.33,15714.66,2020-05-25
2018-02-27,80.46,15671.15,2020-05-25
2018-02-28,81.1,15442.68,2020-05-25
2018-03-01,81.04,15393.95,2020-05-25
2018-03-02,82.07,15384.59,2020-05-25
2018-03-05,81.13,15541.28,2020-05-25
2018-03-06,83.69,15545.19,2020-05-25
2018-03-07,81.32,15472.61,2020-05-25
2018-03-08,80.75,15538.7,2020-05-25
2018-03-09,81.0,15577.81,2020-05-25
2018-03-12,80.33,15604.79,2020-05-25
2018-03-13,79.8,15647.14,2020-05-25
2018-03-14,80.75,15653.61,2020-05-25
2018-03-15,79.61,15670.62,2020-05-25
2018-03-16,80.76,15711.33,2020-05-25
2018-03-19,80.28,15589.39,2020-05-25
2018-03-20,81.48,15616.36,2020-05-25
2018-03-21,80.7,15675.28,2020-05-25
2018-03-22,81.1,15399.93,2020-05-25
2018-03-23,79.51,15223.74,2020-05-25
2018-03-26,80.34,15298.56,2020-05-25
2018-03-27,78.71,15216.18,2020-05-25
2018-03-28,85.96,15169.94,2020-05-25
2018-03-29,89.12,15367.29,2020-05-25
2018-04-02,87.27,15213.45,2020-05-25
2018-04-03,88.67,15180.76,2020-05-25
2018-04-04,88.24,15164.37,2020-05-25
2018-04-05,91.27,15356.05,2020-05-25
2018-04-06,89.61,15207.41,2020-05-25
2018-04-09,89.64,15227.7,2020-05-25
2018-04-10,91.01,15262.14,2020-05-25
2018-04-11,91.08,15257.9,2020-05-25
2018-04-12,92.02,15269.27,2020-05-25
2018-04-13,91.71,15273.97,2020-05-25
2018-04-16,93.76,15300.38,2020-05-25
2018-04-17,94.6,15353.3,2020-05-25
2018-04-18,95.0,15529.97,2020-05-25
2018-04-19,95.29,15454.42,2020-05-25
2018-04-20,96.31,15484.32,2020-05-25
2018-04-23,96.64,15552.06,2020-05-25
2018-04-24,96.9,15477.0,2020-05-25
2018-04-25,97.85,15509.75,2020-05-25
2018-04-26,98.42,15637.59,2020-05-25
2018-04-27,99.17,15668.93,2020-05-25
2018-04-30,99.8,15607.88,2020-05-25
2018-05-01,99.7,15618.93,2020-05-25
2018-05-02,99.74,15627.93,2020-05-25
2018-05-03,99.86,15621.47,2020-05-25
2018-05-04,95.49,15729.4,2020-05-25
2018-05-07,97.17,15808.63,2020-05-25
2018-05-08,98.2,15842.71,2020-05-25
2018-05-09,98.96,15910.81,2020-05-25
2018-05-10,97.91,15959.5,2020-05-25
2018-05-11,98.54,15983.32,2020-05-25
2018-05-14,98.72,16085.61,2020-05-25
2018-05-15,98.95,16097.81,2020-05-25
2018-05-16,101.65,16108.06,2020-05-25
2018-05-17,102.0,16143.55,2020-05-25
2018-05-18,102.82,16162.31,2020-05-25
2018-05-22,102.88,16144.79,2020-05-25
2018-05-23,105.27,16133.8,2020-05-25
2018-05-24,106.41,16113.62,2020-05-25
2018-05-25,106.18,16075.67,2020-05-25
2018-05-29,105.68,15922.61,2020-05-25
2018-05-30,105.63,16048.66,2020-05-25
2018-05-31,105.05,16061.5,2020-05-25
2018-06-01,122.19,16043.54,2020-05-25
2018-06-04,124.98,16052.24,2020-05-25
2018-06-05,124.05,16122.25,2020-05-25
2018-06-06,124.19,16183.93,2020-05-25
2018-06-07,122.7,16192.78,2020-05-25
2018-06-08,122.02,16202.69,2020-05-25
2018-06-11,122.37,16263.29,2020-05-25
2018-06-12,124.96,16288.98,2020-05-25
2018-06-13,125.13,16265.82,2020-05-25
2018-06-14,125.88,16328.96,2020-05-25
2018-06-15,128.37,16314.42,2020-05-25
2018-06-18,129.69,16383.63,2020-05-25
2018-06-19,128.1,16316.53,2020-05-25
2018-06-20,128.27,16420.95,2020-05-25
2018-06-21,127.71,16335.15,2020-05-25
2018-06-22,124.18,16450.14,2020-05-25
2018-06-25,124.86,16183.96,2020-05-25
2018-06-26,126.79,16280.09,2020-05-25
2018-06-27,123.88,16231.25,2020-05-25
2018-06-28,124.94,16179.89,2020-05-25
2018-06-29,124.85,16277.73,2020-05-25
2018-07-03,125.23,16263.16,2020-05-25
2018-07-05,124.52,16266.61,2020-05-25
2018-07-06,128.54,16371.78,2020-05-25
2018-07-09,126.53,16452.34,2020-05-25
2018-07-10,127.38,16548.72,2020-05-25
2018-07-11,125.66,16417.32,2020-05-25
2018-07-12,125.72,16567.42,2020-05-25
2018-07-13,125.45,16561.12,2020-05-25
2018-07-16,127.26,16494.73,2020-05-25
2018-07-17,129.45,16519.24,2020-05-25
2018-07-18,128.81,16477.4,2020-05-25
2018-07-19,127.79,16543.01,2020-05-25
2018-07-20,126.45,16435.46,2020-05-25
2018-07-23,125.37,16420.84,2020-05-25
2018-07-24,122.98,16390.13,2020-05-25
2018-07-25,125.03,16420.76,2020-05-25
2018-07-26,124.49,16455.73,2020-05-25
2018-07-27,120.0,16393.95,2020-05-25
2018-07-30,118.84,16345.47,2020-05-25
2018-07-31,119.95,16434.01,2020-05-25
2018-08-01,120.55,16376.77,2020-05-25
2018-08-02,124.39,16409.16,2020-05-25
2018-08-03,126.08,16420.24,2020-05-25
2018-08-07,125.58,16286.3,2020-05-25
2018-08-08,127.18,16315.08,2020-05-25
2018-08-09,128.16,16416.98,2020-05-25
2018-08-10,130.52,16326.51,2020-05-25
2018-08-13,129.94,16250.75,2020-05-25
2018-08-14,129.47,16330.67,2020-05-25
2018-08-15,126.45,16148.5,2020-05-25
2018-08-16,129.47,16225.65,2020-05-25
2018-08-17,130.19,16323.71,2020-05-25
2018-08-20,136.67,16331.03,2020-05-25
2018-08-21,135.61,16296.97,2020-05-25
2018-08-22,135.48,16347.34,2020-05-25
2018-08-23,136.2,16326.79,2020-05-25
2018-08-24,138.76,16356.05,2020-05-25
2018-08-27,138.16,16444.39,2020-05-25
2018-08-28,138.68,16355.54,2020-05-25
2018-08-29,138.7,16390.29,2020-05-25
2018-08-30,137.0,16371.55,2020-05-25
2018-08-31,154.93,16262.88,2020-05-25
2018-09-04,157.29,16161.3,2020-05-25
2018-09-05,152.74,16137.57,2020-05-25
2018-09-06,151.0,16100.94,2020-05-25
2018-09-07,150.82,16090.27,2020-05-25
2018-09-10,154.11,16057.09,2020-05-25
2018-09-11,153.23,16094.25,2020-05-25
2018-09-12,153.01,16049.02,2020-05-25
2018-09-13,154.6,16001.71,2020-05-25
2018-09-14,153.71,16013.49,2020-05-25
2018-09-17,155.38,16082.31,2020-05-25
2018-09-18,158.44,16196.04,2020-05-25
2018-09-19,155.21,16149.92,2020-05-25
2018-09-20,155.97,16214.75,2020-05-25
2018-09-21,156.99,16224.13,2020-05-25
2018-09-24,157.34,16207.32,2020-05-25
2018-09-25,158.41,16159.5,2020-05-25
2018-09-26,158.96,16169.28,2020-05-25
2018-09-27,161.24,16204.62,2020-05-25
2018-09-28,162.49,16073.14,2020-05-25
2018-10-01,161.64,16104.43,2020-05-25
2018-10-02,160.2,16017.23,2020-05-25
2018-10-03,161.52,16072.05,2020-05-25
2018-10-04,157.04,16006.67,2020-05-25
2018-10-05,153.84,15946.17,2020-05-25
2018-10-09,150.25,15854.05,2020-05-25
2018-10-10,140.68,15517.4,2020-05-25
2018-10-11,140.51,15317.13,2020-05-25
2018-10-12,143.71,15414.29,2020-05-25
2018-10-15,144.46,15409.47,2020-05-25
2018-10-16,146.83,15579.74,2020-05-25
2018-10-17,143.57,15529.9,2020-05-25
2018-10-18,142.68,15404.13,2020-05-25
2018-10-19,136.77,15470.1,2020-05-25
2018-10-22,139.95,15412.7,2020-05-25
2018-10-23,137.43,15285.17,2020-05-25
2018-10-24,134.29,14909.13,2020-05-25
2018-10-25,137.22,14924.08,2020-05-25
2018-10-26,134.82,14888.26,2020-05-25
2018-10-29,135.88,14721.75,2020-05-25
2018-10-30,142.13,14894.5,2020-05-25
2018-10-31,140.73,15027.28,2020-05-25
2018-11-01,144.17,15150.15,2020-05-25
2018-11-02,142.02,15119.28,2020-05-25
2018-11-05,142.2,15217.7,2020-05-25
2018-11-06,141.13,15292.71,2020-05-25
2018-11-07,143.23,15369.43,2020-05-25
2018-11-08,142.27,15357.47,2020-05-25
2018-11-09,137.56,15274.44,2020-05-25
2018-11-12,135.42,15156.4,2020-05-25
2018-11-13,138.7,15131.78,2020-05-25
2018-11-14,140.13,15133.12,2020-05-25
2018-11-15,139.83,15144.88,2020-05-25
2018-11-16,134.53,15155.5,2020-05-25
2018-11-19,126.99,15071.01,2020-05-25
2018-11-20,121.39,14877.0,2020-05-25
2018-11-21,123.88,15095.02,2020-05-25
2018-11-23,120.86,15010.73,2020-05-25
2018-11-26,123.76,15012.65,2020-05-25
2018-11-27,122.77,14944.09,2020-05-25
2018-11-28,128.99,15171.25,2020-05-25
2018-11-29,129.46,15194.04,2020-05-25
2018-11-30,132.55,15197.82,2020-05-25
2018-12-03,139.89,15274.98,2020-05-25
2018-12-04,133.62,15063.59,2020-05-25
2018-12-06,131.44,14937.0,2020-05-25
2018-12-07,113.87,14795.13,2020-05-25
2018-12-10,115.01,14728.28,2020-05-25
2018-12-11,116.85,14667.83,2020-05-25
2018-12-12,122.65,14783.06,2020-05-25
2018-12-13,120.2,14750.35,2020-05-25
2018-12-14,119.12,14595.07,2020-05-25
2018-12-17,118.87,14362.65,2020-05-25
2018-12-18,119.2,14416.89,2020-05-25
2018-12-19,115.71,14264.06,2020-05-25
2018-12-20,115.01,14141.77,2020-05-25
2018-12-21,113.74,13935.44,2020-05-25
2018-12-24,113.26,13780.19,2020-05-25
2018-12-27,123.34,14165.21,2020-05-25
2018-12-28,121.4,14222.0,2020-05-25
2018-12-31,121.61,14322.86,2020-05-25
2019-01-02,123.35,14347.16,2020-05-25
2019-01-03,124.36,14212.75,2020-05-25
2019-01-04,128.55,14426.62,2020-05-25
2019-01-07,134.1,14504.13,2020-05-25
2019-01-08,135.86,14605.15,2020-05-25
2019-01-09,136.0,14804.73,2020-05-25
2019-01-10,131.61,14903.49,2020-05-25
2019-01-11,132.16,14939.18,2020-05-25
2019-01-14,139.73,14975.53,2020-05-25
2019-01-15,141.13,15046.28,2020-05-25
2019-01-16,142.24,15111.26,2020-05-25
2019-01-17,145.14,15211.22,2020-05-25
2019-01-18,152.07,15303.83,2020-05-25
2019-01-22,149.47,15233.76,2020-05-25
2019-01-23,149.85,15208.33,2020-05-25
2019-01-24,148.43,15280.78,2020-05-25
2019-01-25,151.89,15366.05,2020-05-25
2019-01-28,149.7,15378.62,2020-05-25
2019-01-29,148.95,15463.14,2020-05-25
2019-01-30,148.61,15484.55,2020-05-25
2019-01-31,147.81,15540.6,2020-05-25
2019-02-01,146.12,15506.31,2020-05-25
2019-02-04,146.64,15602.32,2020-05-25
2019-02-05,146.89,15702.69,2020-05-25
2019-02-06,145.76,15712.31,2020-05-25
2019-02-07,147.63,15703.36,2020-05-25
2019-02-08,148.62,15633.33,2020-05-25
2019-02-11,149.79,15568.85,2020-05-25
2019-02-12,157.32,15642.1,2020-05-25
2019-02-13,155.27,15626.73,2020-05-25
2019-02-14,154.85,15695.98,2020-05-25
2019-02-15,151.09,15838.24,2020-05-25
2019-02-19,147.57,15937.44,2020-05-25
2019-02-20,148.12,16031.24,2020-05-25
2019-02-21,148.11,16000.86,2020-05-25
2019-02-22,149.26,16013.01,2020-05-25
2019-02-25,148.54,16057.03,2020-05-25
2019-02-26,150.98,16067.91,2020-05-25
2019-02-27,150.56,16074.3,2020-05-25
2019-02-28,150.42,15999.01,2020-05-25
2019-03-01,151.38,16068.25,2020-05-25
2019-03-04,147.78,16038.13,2020-05-25
2019-03-05,148.9,16086.54,2020-05-25
2019-03-06,149.09,16092.07,2020-05-25
2019-03-07,147.7,16056.51,2020-05-25
2019-03-08,142.51,15996.21,2020-05-25
2019-03-11,145.29,16106.24,2020-05-25
