Date,Stock,Market,joined date
2018-01-02,151.91,2695.81,2020-06-30
2018-01-03,153.82,2713.06,2020-06-30
2018-01-04,155.81,2723.99,2020-06-30
2018-01-05,159.04,2743.15,2020-06-30
2018-01-08,159.27,2747.71,2020-06-30
2018-01-09,159.5,2751.29,2020-06-30
2018-01-10,159.86,2748.23,2020-06-30
2018-01-11,160.92,2767.56,2020-06-30
2018-01-12,162.33,2786.24,2020-06-30
2018-01-16,162.29,2776.42,2020-06-30
2018-01-17,164.32,2802.56,2020-06-30
2018-01-18,165.48,2798.03,2020-06-30
2018-01-19,166.83,2810.3,2020-06-30
2018-01-22,168.28,2832.97,2020-06-30
2018-01-23,167.19,2839.13,2020-06-30
2018-01-24,167.01,2837.54,2020-06-30
2018-01-25,168.59,2839.25,2020-06-30
2018-01-26,170.34,2872.87,2020-06-30
2018-01-29,168.55,2853.53,2020-06-30
2018-01-30,167.19,2822.43,2020-06-30
2018-01-31,169.0,2823.81,2020-06-30
2018-02-01,172.93,2821.98,2020-06-30
2018-02-02,170.55,2762.13,2020-06-30
2018-02-05,164.59,2648.94,2020-06-30
2018-02-06,169.28,2695.14,2020-06-30
2018-02-07,168.73,2681.66,2020-06-30
2018-02-08,160.62,2581.0,2020-06-30
2018-02-09,165.2,2619.55,2020-06-30
2018-02-12,168.19,2656.0,2020-06-30
2018-02-13,170.12,2662.94,2020-06-30
2018-02-14,172.52,2698.63,2020-06-30
2018-02-15,174.69,2731.2,2020-06-30
2018-02-16,175.65,2732.22,2020-06-30
2018-02-20,175.35,2716.26,2020-06-30
2018-02-21,172.32,2701.33,2020-06-30
2018-02-22,172.95,2703.96,2020-06-30
2018-02-23,175.76,2747.3,2020-06-30
2018-02-26,177.87,2779.6,2020-06-30
2018-02-27,175.93,2744.28,2020-06-30
2018-02-28,175.76,2713.83,2020-06-30
2018-03-01,173.49,2677.67,2020-06-30
2018-03-02,175.02,2691.25,2020-06-30
2018-03-05,178.53,2720.94,2020-06-30
2018-03-06,177.53,2728.12,2020-06-30
2018-03-07,179.21,2726.8,2020-06-30
2018-03-08,179.25,2738.97,2020-06-30
2018-03-09,183.24,2786.57,2020-06-30
2018-03-12,182.54,2783.02,2020-06-30
2018-03-13,181.01,2765.31,2020-06-30
2018-03-14,180.12,2749.48,2020-06-30
2018-03-15,180.95,2747.33,2020-06-30
2018-03-16,182.55,2752.01,2020-06-30
2018-03-19,180.58,2712.92,2020-06-30
2018-03-20,182.51,2716.94,2020-06-30
2018-03-21,180.75,2711.93,2020-06-30
2018-03-22,175.52,2643.69,2020-06-30
2018-03-23,171.83,2588.26,2020-06-30
2018-03-26,177.17,2658.55,2020-06-30
2018-03-27,172.52,2612.62,2020-06-30
2018-03-28,170.35,2605.0,2020-06-30
2018-03-29,175.16,2640.87,2020-06-30
2018-04-02,171.6,2581.88,2020-06-30
2018-04-03,172.47,2614.45,2020-06-30
2018-04-04,173.69,2644.69,2020-06-30
2018-04-05,175.8,2662.84,2020-06-30
2018-04-06,169.7,2604.47,2020-06-30
2018-04-09,170.34,2613.16,2020-06-30
2018-04-10,174.72,2656.87,2020-06-30
2018-04-11,172.36,2642.19,2020-06-30
2018-04-12,174.8,2663.99,2020-06-30
2018-04-13,174.27,2656.3,2020-06-30
2018-04-16,173.87,2677.84,2020-06-30
2018-04-17,178.34,2706.39,2020-06-30
2018-04-18,179.46,2708.64,2020-06-30
2018-04-19,179.01,2693.13,2020-06-30
2018-04-20,177.08,2670.14,2020-06-30
2018-04-23,175.43,2670.29,2020-06-30
2018-04-24,173.24,2634.56,2020-06-30
2018-04-25,172.47,2639.4,2020-06-30
2018-04-26,178.16,2666.94,2020-06-30
2018-04-27,175.94,2669.91,2020-06-30
2018-04-30,178.27,2648.05,2020-06-30
2018-05-01,180.25,2654.8,2020-06-30
2018-05-02,185.82,2635.67,2020-06-30
2018-05-03,186.48,2629.73,2020-06-30
2018-05-04,188.17,2663.42,2020-06-30
2018-05-07,189.1,2672.63,2020-06-30
2018-05-08,190.53,2671.92,2020-06-30
2018-05-09,190.63,2697.79,2020-06-30
2018-05-10,193.05,2723.07,2020-06-30
2018-05-11,193.35,2727.72,2020-06-30
2018-05-14,192.12,2730.13,2020-06-30
2018-05-15,192.0,2711.45,2020-06-30
2018-05-16,192.38,2722.46,2020-06-30
2018-05-17,191.2,2720.13,2020-06-30
2018-05-18,190.4,2712.97,2020-06-30
2018-05-21,191.2,2733.01,2020-06-30
2018-05-22,191.62,2724.44,2020-06-30
2018-05-23,192.99,2733.29,2020-06-30
2018-05-24,191.91,2727.76,2020-06-30
2018-05-25,191.17,2721.33,2020-06-30
2018-05-29,189.53,2689.86,2020-06-30
2018-05-30,191.76,2724.01,2020-06-30
2018-05-31,190.12,2705.27,2020-06-30
2018-06-01,195.37,2734.62,2020-06-30
2018-06-04,197.73,2746.87,2020-06-30
2018-06-05,199.36,2748.8,2020-06-30
2018-06-06,203.21,2772.35,2020-06-30
2018-06-07,199.54,2770.37,2020-06-30
2018-06-08,200.04,2779.03,2020-06-30
2018-06-11,198.49,2782.0,2020-06-30
2018-06-12,200.13,2786.85,2020-06-30
2018-06-13,199.41,2775.63,2020-06-30
2018-06-14,199.31,2782.49,2020-06-30
2018-06-15,199.53,2779.66,2020-06-30
2018-06-18,201.13,2773.75,2020-06-30
2018-06-19,199.69,2762.59,2020-06-30
2018-06-20,201.54,2767.32,2020-06-30
2018-06-21,200.78,2749.76,2020-06-30
2018-06-22,201.48,2754.88,2020-06-30
2018-06-25,194.98,2717.07,2020-06-30
