Date,Stock,Market,joined date
2018-01-02,1489.45997229783,1025.85,2019-01-02
2018-01-03,1475.56894558482,1031.09,2019-01-02
2018-01-04,1526.31407414011,1031.0,2019-01-02
2018-01-05,1531.59667533768,1039.54,2019-01-02
2018-01-08,1564.79521072428,1047.69,2019-01-02
2018-01-09,1536.99870239164,1050.34,2019-01-02
2018-01-10,1496.05537280385,1045.4,2019-01-02
2018-01-11,1526.27373529602,1036.62,2019-01-02
2018-01-12,1546.08770966264,1029.65,2019-01-02
2018-01-15,1553.9442270961,1028.13,2019-01-02
2018-01-16,1545.32573956704,1033.05,2019-01-02
2018-01-17,1521.41886419066,1038.09,2019-01-02
2018-01-18,1535.68255943183,1036.12,2019-01-02
2018-01-19,1510.64754853013,1047.24,2019-01-02
2018-01-22,1519.42200859911,1049.41,2019-01-02
2018-01-23,1558.59157920824,1051.7,2019-01-02
2018-01-24,1621.83708633334,1044.81,2019-01-02
2018-01-25,1592.70639331157,1029.22,2019-01-02
2018-01-26,1587.90486343539,1038.48,2019-01-02
2018-01-29,1567.3631902504,1035.79,2019-01-02
2018-01-30,1518.27384707686,1026.8,2019-01-02
2018-01-31,1497.32753799189,1017.79,2019-01-02
2018-02-01,1490.32301275695,986.4,2019-01-02
2018-02-02,1470.56335666209,969.28,2019-01-02
2018-02-05,1454.30054824561,969.19,2019-01-02
2018-02-06,1439.08265728684,952.22,2019-01-02
2018-02-07,1446.75219149637,968.98,2019-01-02
2018-02-08,1429.99749337721,961.24,2019-01-02
2018-02-09,1424.16936397851,959.04,2019-01-02
2018-02-12,1487.74143760213,979.44,2019-01-02
2018-02-13,1463.03560460875,970.15,2019-01-02
2018-02-14,1481.25289104675,979.77,2019-01-02
2018-02-15,1485.80495324436,985.81,2019-01-02
2018-02-16,1514.61953546087,1005.87,2019-01-02
2018-02-19,1523.51055383385,994.25,2019-01-02
2018-02-20,1468.39313136835,995.74,2019-01-02
2018-02-21,1397.51276510466,998.53,2019-01-02
2018-02-22,1371.48993757761,1011.52,2019-01-02
2018-02-23,1390.95436342917,1020.03,2019-01-02
2018-02-26,1405.44605222226,1030.41,2019-01-02
2018-02-27,1400.45572815853,1017.55,2019-01-02
2018-02-28,1377.2984846053,1011.81,2019-01-02
2018-03-01,1391.50263606115,996.77,2019-01-02
2018-03-02,1335.1388452759,981.41,2019-01-02
2018-03-05,1328.2494890523,984.85,2019-01-02
2018-03-06,1352.94866593403,985.39,2019-01-02
2018-03-07,1323.90947627059,987.76,2019-01-02
2018-03-08,1299.3978256629,998.65,2019-01-02
2018-03-09,1296.21595813231,998.09,2019-01-02
2018-03-12,1302.47169391304,1000.2,2019-01-02
2018-03-13,1312.52674817439,991.71,2019-01-02
2018-03-14,1307.32208059374,988.79,2019-01-02
2018-03-15,1308.19688356956,994.24,2019-01-02
2018-03-16,1332.87572027256,990.93,2019-01-02
2018-03-19,1314.86786435906,987.95,2019-01-02
2018-03-20,1283.90483950496,987.41,2019-01-02
2018-03-21,1309.65756328275,988.06,2019-01-02
2018-03-22,1294.97781362007,972.91,2019-01-02
2018-03-23,1291.25014762228,971.8,2019-01-02
2018-03-26,1317.67324460263,966.42,2019-01-02
2018-03-27,1290.71551140054,968.96,2019-01-02
2018-03-28,1294.76485216386,976.57,2019-01-02
2018-04-03,1285.03823689282,973.05,2019-01-02
2018-04-04,1274.18699859909,956.88,2019-01-02
2018-04-05,1299.81501742446,973.88,2019-01-02
2018-04-06,1293.92843017598,972.95,2019-01-02
2018-04-09,1313.8618982776,978.11,2019-01-02
2018-04-10,1312.10916583698,984.19,2019-01-02
2018-04-11,1295.86001594579,971.22,2019-01-02
2018-04-12,1299.11182195954,974.06,2019-01-02
2018-04-13,1273.87369417259,968.06,2019-01-02
2018-04-16,1255.03786159549,966.55,2019-01-02
2018-04-17,1248.1228826734,973.74,2019-01-02
2018-04-18,1254.43313461602,973.76,2019-01-02
2018-04-19,1284.12537125143,967.13,2019-01-02
2018-04-20,1321.01616397446,963.98,2019-01-02
2018-04-23,1304.80415,967.59,2019-01-02
2018-04-24,1306.12351815659,970.16,2019-01-02
2018-04-25,1288.7534410305,958.95,2019-01-02
2018-04-26,1309.20591103313,970.25,2019-01-02
2018-04-30,1354.13553528868,971.17,2019-01-02
2018-05-01,1355.05977721975,975.74,2019-01-02
2018-05-02,1345.06324851596,996.36,2019-01-02
2018-05-03,1336.67965926832,989.63,2019-01-02
2018-05-04,1326.37859760406,986.9,2019-01-02
2018-05-07,1333.38165205006,1001.3,2019-01-02
2018-05-08,1385.19446448201,1011.18,2019-01-02
2018-05-09,1406.16620550844,1006.88,2019-01-02
2018-05-14,1370.77806507397,1020.14,2019-01-02
2018-05-15,1357.63519091732,1001.48,2019-01-02
2018-05-16,1350.03087093705,1004.1,2019-01-02
2018-05-17,1229.24489459763,1004.25,2019-01-02
2018-05-18,1198.51545241859,999.6,2019-01-02
2018-05-22,1259.88744938951,1003.45,2019-01-02
2018-05-23,1267.16038689822,1000.56,2019-01-02
2018-05-24,1241.01732809894,990.11,2019-01-02
2018-05-25,1248.27818430643,993.89,2019-01-02
2018-05-28,1237.64642556114,984.48,2019-01-02
2018-05-29,1219.30641340921,974.34,2019-01-02
2018-05-30,1240.6249592502,974.91,2019-01-02
2018-05-31,1255.90970821156,978.09,2019-01-02
2018-06-01,1321.38844267945,990.98,2019-01-02
2018-06-04,1318.46238237467,988.85,2019-01-02
2018-06-06,1309.0978398039,979.52,2019-01-02
2018-06-07,1301.74894500063,971.58,2019-01-02
2018-06-08,1270.80728054098,963.73,2019-01-02
2018-06-11,1263.59681673653,967.37,2019-01-02
2018-06-12,1270.09845663929,965.98,2019-01-02
2018-06-13,1301.2498440913,970.34,2019-01-02
2018-06-14,1293.75288680124,978.92,2019-01-02
2018-06-15,1274.66032486756,980.22,2019-01-02
2018-06-18,1237.97897758295,970.99,2019-01-02
2018-06-19,1187.07149794738,965.55,2019-01-02
2018-06-20,1201.51007221955,973.38,2019-01-02
2018-06-21,1196.74104713265,978.95,2019-01-02
2018-06-22,1169.12218466496,983.54,2019-01-02
2018-06-25,1142.57550086383,976.64,2019-01-02
2018-06-26,1105.72708149005,961.48,2019-01-02
2018-06-27,1096.49516710867,962.87,2019-01-02
2018-06-28,1070.15307746041,951.39,2019-01-02
2018-06-29,1045.65785596663,961.77,2019-01-02
2018-07-02,1035.34844896811,958.84,2019-01-02
2018-07-03,1044.23744985449,967.5,2019-01-02
2018-07-04,1044.38556968759,970.97,2019-01-02
2018-07-05,1017.60744226546,965.72,2019-01-02
2018-07-06,1014.28513777666,971.79,2019-01-02
2018-07-09,1042.17065727034,979.23,2019-01-02
2018-07-10,1030.50883774798,991.59,2019-01-02
2018-07-11,998.605587369212,984.9,2019-01-02
2018-07-12,1025.27742224309,997.67,2019-01-02
2018-07-13,1055.75235354058,998.63,2019-01-02
2018-07-16,1033.06147742453,996.41,2019-01-02
2018-07-17,1059.24718241119,1005.95,2019-01-02
2018-07-18,1082.90919135446,1002.8,2019-01-02
2018-07-19,1120.67541147794,1003.18,2019-01-02
2018-07-20,1130.17431025532,1011.5,2019-01-02
2018-07-23,1098.81239323885,1010.69,2019-01-02
2018-07-24,1109.33405156595,1019.32,2019-01-02
2018-07-25,1131.36070565087,1020.39,2019-01-02
2018-07-26,1145.8414557585,1034.56,2019-01-02
2018-07-27,1161.92175851006,1031.14,2019-01-02
2018-07-30,1160.27835628065,1026.12,2019-01-02
2018-07-31,1206.05552230608,1016.77,2019-01-02
2018-08-01,1174.58602306513,1017.64,2019-01-02
2018-08-02,1142.38185583037,1016.1,2019-01-02
2018-08-03,1122.36238731607,1020.19,2019-01-02
2018-08-06,1094.05722294573,1015.91,2019-01-02
2018-08-07,1169.04418959721,1013.16,2019-01-02
2018-08-08,1226.56675907611,986.67,2019-01-02
2018-08-09,1227.04899032069,993.53,2019-01-02
2018-08-10,1171.57737415029,990.43,2019-01-02
2018-08-13,1134.79305240435,998.53,2019-01-02
2018-08-14,1109.89539057387,1006.63,2019-01-02
2018-08-15,1086.6939404039,993.74,2019-01-02
2018-08-16,1105.38434962389,1002.22,2019-01-02
2018-08-17,1131.59923395508,999.03,2019-01-02
2018-08-20,1168.34533756216,1006.89,2019-01-02
2018-08-21,1179.5506909497,1013.04,2019-01-02
2018-08-22,1207.92430141971,1016.4,2019-01-02
2018-08-23,1182.58332203704,1014.68,2019-01-02
2018-08-24,1221.63111611456,1018.79,2019-01-02
2018-08-27,1255.05746676272,1027.57,2019-01-02
2018-08-28,1303.31833092848,1027.27,2019-01-02
2018-08-29,1308.68162157919,1027.97,2019-01-02
2018-08-30,1324.35582129272,1028.12,2019-01-02
2018-08-31,1294.10159307737,1021.83,2019-01-02
2018-09-03,1257.91651962465,1017.78,2019-01-02
2018-09-04,1216.40844663362,1009.85,2019-01-02
2018-09-05,1198.00916972184,992.57,2019-01-02
2018-09-06,1210.48949489438,994.03,2019-01-02
2018-09-07,1185.86872921928,994.47,2019-01-02
2018-09-10,1180.49795398368,995.11,2019-01-02
2018-09-11,1145.06820910619,989.13,2019-01-02
2018-09-12,1172.10105664319,994.68,2019-01-02
2018-09-13,1186.15594959722,990.98,2019-01-02
2018-09-14,1161.74707676966,984.46,2019-01-02
2018-09-17,1160.65670190606,975.99,2019-01-02
2018-09-18,1199.97621555257,977.62,2019-01-02
2018-09-19,1219.98565916097,973.29,2019-01-02
2018-09-20,1227.4889343861,978.61,2019-01-02
2018-09-21,1246.10528834491,982.35,2019-01-02
2018-09-24,1231.47260348412,975.56,2019-01-02
2018-09-25,1229.46453168631,986.8,2019-01-02
2018-09-26,1213.54993971067,982.96,2019-01-02
2018-09-27,1200.08588267441,979.97,2019-01-02
2018-09-28,1177.45964069527,978.86,2019-01-02
2018-10-01,1178.9358542456,978.02,2019-01-02
2018-10-02,1195.82186550405,979.32,2019-01-02
2018-10-03,1179.62025863662,976.84,2019-01-02
2018-10-04,1134.53711583304,933.05,2019-01-02
2018-10-05,1091.52260711748,932.37,2019-01-02
2018-10-08,1084.30345108612,910.63,2019-01-02
2018-10-09,1095.83354072955,907.42,2019-01-02
2018-10-10,1063.71184379199,889.57,2019-01-02
2018-10-11,1074.74001336483,881.37,2019-01-02
2018-10-12,1079.92832496591,894.69,2019-01-02
2018-10-15,1088.24882054386,892.2,2019-01-02
2018-10-16,1114.06595398411,910.95,2019-01-02
2018-10-17,1091.22974717499,913.29,2019-01-02
2018-10-18,1093.21297391491,922.57,2019-01-02
2018-10-19,1068.23441817031,915.27,2019-01-02
2018-10-22,1058.68954018749,910.91,2019-01-02
2018-10-23,1005.70803915236,886.53,2019-01-02
2018-10-24,1019.62051641472,890.03,2019-01-02
2018-10-25,1022.44567984998,876.46,2019-01-02
2018-10-26,1005.216349825,873.46,2019-01-02
2018-10-29,1052.61343845743,893.93,2019-01-02
2018-10-30,1030.13791138278,889.74,2019-01-02
2018-10-31,1063.84892089821,902.39,2019-01-02
2018-11-01,1118.06353925452,914.11,2019-01-02
2018-11-02,1129.881433457,917.89,2019-01-02
2018-11-05,1107.73124202799,907.56,2019-01-02
2018-11-06,1096.78007767377,910.38,2019-01-02
2018-11-07,1092.4331644891,927.7,2019-01-02
2018-11-08,1109.98701645589,936.2,2019-01-02
2018-11-09,1104.38163429388,937.54,2019-01-02
2018-11-12,1095.29543965712,935.25,2019-01-02
2018-11-13,1108.30129937347,925.04,2019-01-02
2018-11-14,1106.97994331186,926.77,2019-01-02
2018-11-15,1096.60177271692,906.03,2019-01-02
2018-11-16,1125.95478665442,911.34,2019-01-02
2018-11-19,1132.77423504313,913.4,2019-01-02
2018-11-20,1101.65162532001,898.25,2019-01-02
2018-11-21,1109.83786046724,901.4,2019-01-02
2018-11-22,1127.97867234185,899.07,2019-01-02
2018-11-23,1130.38837565149,916.75,2019-01-02
2018-11-26,1183.80843486183,935.56,2019-01-02
2018-11-27,1208.35658637333,927.77,2019-01-02
2018-11-28,1219.34054899691,925.66,2019-01-02
2018-11-29,1242.4075333995,925.86,2019-01-02
2018-11-30,1193.45782624523,928.23,2019-01-02
2018-12-03,1222.05217556032,928.24,2019-01-02
2018-12-04,1184.83098846312,931.18,2019-01-02
2018-12-05,1171.36825114766,928.93,2019-01-02
2018-12-06,1119.99142913752,910.7,2019-01-02
2018-12-07,1138.15103189122,923.65,2019-01-02
2018-12-10,1094.40937462911,914.23,2019-01-02
2018-12-11,1126.15680641053,922.24,2019-01-02
2018-12-12,1138.03354597937,926.47,2019-01-02
2018-12-13,1148.4843383707,934.24,2019-01-02
2018-12-14,1129.21435815109,935.84,2019-01-02
2018-12-17,1109.19281573908,925.96,2019-01-02
2018-12-18,1106.37412914809,919.2,2019-01-02
2018-12-19,1089.94748506917,910.73,2019-01-02
2018-12-20,1064.8417517711,899.92,2019-01-02
2018-12-21,1041.28521952408,893.1,2019-01-02
2018-12-27,1018.97460789268,878.7,2019-01-02
2018-12-28,1052.18534582906,891.56,2019-01-02
2019-01-02,1057.12522615738,902.83,2019-01-02
2019-01-03,1043.76929914243,901.35,2019-01-02
2019-01-04,1099.7649605482,919.77,2019-01-02
2019-01-07,1122.82258674739,925.11,2019-01-02
2019-01-08,1133.30019982531,933.16,2019-01-02
2019-01-09,1166.47825126389,938.91,2019-01-02
2019-01-10,1148.06521972265,932.83,2019-01-02
2019-01-11,1125.17604529322,932.84,2019-01-02
2019-01-14,1128.39066933005,913.23,2019-01-02
2019-01-15,1120.97144500008,919.57,2019-01-02
2019-01-16,1126.19039819903,923.88,2019-01-02
2019-01-17,1117.91102395483,928.96,2019-01-02
2019-01-18,1139.12843307099,937.49,2019-01-02
2019-01-21,1141.44449929972,938.6,2019-01-02
2019-01-22,1107.87208276912,938.24,2019-01-02
2019-01-23,1112.01221993567,933.8,2019-01-02
2019-01-24,1099.16413087594,930.16,2019-01-02
2019-01-25,1126.18199370474,921.14,2019-01-02
2019-01-28,1116.17975063527,917.45,2019-01-02
2019-01-29,1117.48053082165,924.49,2019-01-02
2019-01-30,1128.62311048568,928.97,2019-01-02
2019-01-31,1114.27182129056,923.13,2019-01-02
2019-02-01,1122.6108429889,946.81,2019-01-02
2019-02-04,1133.16128307669,940.6,2019-01-02
2019-02-05,1135.13718948157,961.11,2019-01-02
2019-02-06,1129.40566128786,956.77,2019-01-02
2019-02-07,1107.81686158896,953.16,2019-01-02
2019-02-08,1070.61977909941,946.91,2019-01-02
2019-02-11,1075.18975732116,957.34,2019-01-02
2019-02-12,1093.7721913421,967.51,2019-01-02
2019-02-13,1094.04428957418,967.04,2019-01-02
2019-02-14,1137.17328871256,975.0,2019-01-02
2019-02-15,1149.05145455647,980.7,2019-01-02
2019-02-18,1149.06181618361,983.64,2019-01-02
2019-02-19,1166.63578016232,973.26,2019-01-02
2019-02-20,1193.95827158618,978.53,2019-01-02
2019-02-21,1072.8809443938,976.28,2019-01-02
