Date,Stock,Market,joined date
2020-01-02,97.96,3257.85,2021-05-10
2020-01-03,97.33,3234.85,2021-05-10
2020-01-06,96.82,3246.28,2021-05-10
2020-01-07,96.35,3237.18,2021-05-10
2020-01-08,96.85,3253.05,2021-05-10
2020-01-09,98.48,3274.7,2021-05-10
2020-01-10,97.79,3265.35,2021-05-10
2020-01-13,97.17,3288.13,2021-05-10
2020-01-14,99.14,3283.15,2021-05-10
2020-01-15,99.27,3289.29,2021-05-10
2020-01-16,99.11,3316.81,2021-05-10
2020-01-17,98.76,3329.62,2021-05-10
2020-01-21,96.92,3320.79,2021-05-10
2020-01-22,96.72,3321.75,2021-05-10
2020-01-23,96.37,3325.54,2021-05-10
2020-01-24,95.25,3295.47,2021-05-10
2020-01-27,93.58,3243.63,2021-05-10
2020-01-28,94.3,3276.24,2021-05-10
2020-01-29,93.35,3273.4,2021-05-10
2020-01-30,93.93,3283.66,2021-05-10
2020-01-31,91.49,3225.52,2021-05-10
2020-02-03,92.5,3248.92,2021-05-10
2020-02-04,94.16,3297.59,2021-05-10
2020-02-05,97.51,3334.69,2021-05-10
2020-02-06,94.09,3345.78,2021-05-10
2020-02-07,92.79,3327.71,2021-05-10
2020-02-10,91.85,3352.09,2021-05-10
2020-02-11,92.71,3357.75,2021-05-10
2020-02-12,93.3,3379.45,2021-05-10
2020-02-13,93.0,3373.94,2021-05-10
2020-02-14,92.7,3380.16,2021-05-10
2020-02-18,91.33,3370.29,2021-05-10
2020-02-19,92.54,3386.15,2021-05-10
2020-02-20,92.38,3373.23,2021-05-10
2020-02-21,91.83,3337.75,2021-05-10
2020-02-24,87.21,3225.89,2021-05-10
2020-02-25,81.93,3128.21,2021-05-10
2020-02-26,78.84,3116.39,2021-05-10
2020-02-27,76.22,2978.76,2021-05-10
2020-02-28,75.94,2954.22,2021-05-10
2020-03-02,76.54,3090.23,2021-05-10
2020-03-03,73.07,3003.37,2021-05-10
2020-03-04,76.03,3130.12,2021-05-10
2020-03-05,71.42,3023.94,2021-05-10
2020-03-06,72.92,2972.37,2021-05-10
2020-03-09,67.51,2746.56,2021-05-10
2020-03-10,72.66,2882.23,2021-05-10
2020-03-11,68.75,2741.38,2021-05-10
2020-03-12,63.95,2480.64,2021-05-10
2020-03-13,75.08,2711.02,2021-05-10
2020-03-16,70.51,2386.13,2021-05-10
2020-03-17,76.02,2529.19,2021-05-10
2020-03-18,70.63,2398.1,2021-05-10
2020-03-19,62.12,2409.39,2021-05-10
2020-03-20,54.38,2304.92,2021-05-10
2020-03-23,51.67,2237.4,2021-05-10
2020-03-24,55.7,2447.33,2021-05-10
2020-03-25,57.63,2475.56,2021-05-10
2020-03-26,57.23,2630.07,2021-05-10
2020-03-27,53.0,2541.47,2021-05-10
2020-03-30,55.18,2626.65,2021-05-10
2020-03-31,52.99,2584.59,2021-05-10
2020-04-01,54.9,2470.5,2021-05-10
2020-04-02,55.63,2526.9,2021-05-10
2020-04-03,55.36,2488.65,2021-05-10
2020-04-06,58.75,2663.68,2021-05-10
2020-04-07,59.09,2659.41,2021-05-10
2020-04-08,60.94,2749.98,2021-05-10
2020-04-09,61.8,2789.82,2021-05-10
2020-04-13,59.29,2761.63,2021-05-10
2020-04-14,60.43,2846.06,2021-05-10
2020-04-15,58.46,2783.36,2021-05-10
2020-04-16,59.92,2799.55,2021-05-10
2020-04-17,63.74,2874.56,2021-05-10
2020-04-20,61.92,2823.16,2021-05-10
2020-04-21,66.65,2736.56,2021-05-10
2020-04-22,66.88,2799.31,2021-05-10
2020-04-23,68.75,2797.8,2021-05-10
2020-04-24,68.75,2836.74,2021-05-10
2020-04-27,72.92,2878.48,2021-05-10
2020-04-28,72.14,2863.39,2021-05-10
2020-04-29,76.57,2939.51,2021-05-10
2020-04-30,74.24,2912.43,2021-05-10
2020-05-01,70.4,2830.71,2021-05-10
2020-05-04,69.52,2842.74,2021-05-10
2020-05-05,69.46,2868.44,2021-05-10
2020-05-06,67.08,2848.42,2021-05-10
2020-05-07,68.39,2881.19,2021-05-10
2020-05-08,71.84,2929.8,2021-05-10
2020-05-11,69.64,2930.32,2021-05-10
2020-05-12,66.67,2870.12,2021-05-10
2020-05-13,63.67,2820.0,2021-05-10
2020-05-14,64.9,2852.5,2021-05-10
2020-05-15,64.75,2863.7,2021-05-10
2020-05-18,71.08,2953.91,2021-05-10
2020-05-19,68.8,2922.94,2021-05-10
2020-05-20,70.69,2971.61,2021-05-10
2020-05-21,71.54,2948.51,2021-05-10
2020-05-22,70.66,2955.45,2021-05-10
2020-05-26,74.04,2991.77,2021-05-10
2020-05-27,75.03,3036.13,2021-05-10
2020-05-28,75.55,3029.73,2021-05-10
2020-05-29,69.14,3044.31,2021-05-10
2020-06-01,72.7,3055.73,2021-05-10
2020-06-02,72.78,3080.82,2021-05-10
2020-06-03,74.55,3122.87,2021-05-10
2020-06-04,75.14,3112.35,2021-05-10
2020-06-05,78.44,3193.93,2021-05-10
2020-06-08,79.19,3232.39,2021-05-10
2020-06-09,77.27,3207.18,2021-05-10
2020-06-10,73.17,3190.14,2021-05-10
2020-06-11,66.89,3002.1,2021-05-10
2020-06-12,69.05,3041.31,2021-05-10
2020-06-15,70.0,3066.59,2021-05-10
2020-06-16,70.96,3124.74,2021-05-10
2020-06-17,70.62,3113.49,2021-05-10
2020-06-18,69.68,3115.34,2021-05-10
2020-06-19,69.1,3097.74,2021-05-10
2020-06-22,69.41,3117.86,2021-05-10
2020-06-23,70.55,3131.29,2021-05-10
2020-06-24,67.08,3050.33,2021-05-10
2020-06-25,68.04,3083.76,2021-05-10
2020-06-26,67.75,3009.05,2021-05-10
2020-06-29,69.07,3053.24,2021-05-10
2020-06-30,68.75,3100.29,2021-05-10
2020-07-01,67.38,3115.86,2021-05-10
2020-07-02,67.93,3130.01,2021-05-10
2020-07-06,69.43,3179.72,2021-05-10
