Date,Stock,Market,joined date
2020-01-02,151.49,3257.85,2021-09-15
2020-01-03,149.27,3234.85,2021-09-15
2020-01-06,147.34,3246.28,2021-09-15
2020-01-07,144.94,3237.18,2021-09-15
2020-01-08,146.73,3253.05,2021-09-15
2020-01-09,146.45,3274.7,2021-09-15
2020-01-10,145.39,3265.35,2021-09-15
2020-01-13,146.8,3288.13,2021-09-15
2020-01-14,147.15,3283.15,2021-09-15
2020-01-15,147.3,3289.29,2021-09-15
2020-01-16,149.02,3316.81,2021-09-15
2020-01-17,150.26,3329.62,2021-09-15
2020-01-21,144.37,3320.79,2021-09-15
2020-01-22,144.12,3321.75,2021-09-15
2020-01-23,144.96,3325.54,2021-09-15
2020-01-24,141.02,3295.47,2021-09-15
2020-01-27,138.0,3243.63,2021-09-15
2020-01-28,141.25,3276.24,2021-09-15
2020-01-29,142.61,3273.4,2021-09-15
2020-01-30,143.31,3283.66,2021-09-15
2020-01-31,140.06,3225.52,2021-09-15
2020-02-03,141.48,3248.92,2021-09-15
2020-02-04,147.4,3297.59,2021-09-15
2020-02-05,147.71,3334.69,2021-09-15
2020-02-06,146.22,3345.78,2021-09-15
2020-02-07,144.07,3327.71,2021-09-15
2020-02-10,145.73,3352.09,2021-09-15
2020-02-11,147.19,3357.75,2021-09-15
2020-02-12,150.78,3379.45,2021-09-15
2020-02-13,146.72,3373.94,2021-09-15
2020-02-14,144.9,3380.16,2021-09-15
2020-02-18,144.94,3370.29,2021-09-15
2020-02-19,147.63,3386.15,2021-09-15
2020-02-20,146.84,3373.23,2021-09-15
2020-02-21,143.24,3337.75,2021-09-15
2020-02-24,134.83,3225.89,2021-09-15
2020-02-25,124.08,3128.21,2021-09-15
2020-02-26,120.19,3116.39,2021-09-15
2020-02-27,119.64,2978.76,2021-09-15
2020-02-28,124.0,2954.22,2021-09-15
2020-03-02,122.96,3090.23,2021-09-15
2020-03-03,114.28,3003.37,2021-09-15
2020-03-04,118.33,3130.12,2021-09-15
2020-03-05,110.22,3023.94,2021-09-15
2020-03-06,110.66,2972.37,2021-09-15
2020-03-09,104.19,2746.56,2021-09-15
