Date,Stock,Market,joined date
2020-01-02,200.79,3257.85,2021-09-24
2020-01-03,200.08,3234.85,2021-09-24
2020-01-06,202.33,3246.28,2021-09-24
2020-01-07,202.63,3237.18,2021-09-24
2020-01-08,205.91,3253.05,2021-09-24
2020-01-09,208.35,3274.7,2021-09-24
2020-01-10,207.27,3265.35,2021-09-24
2020-01-13,206.51,3288.13,2021-09-24
2020-01-14,207.32,3283.15,2021-09-24
2020-01-15,209.77,3289.29,2021-09-24
2020-01-16,210.85,3316.81,2021-09-24
2020-01-17,211.98,3329.62,2021-09-24
2020-01-21,211.16,3320.79,2021-09-24
2020-01-22,211.44,3321.75,2021-09-24
2020-01-23,213.42,3325.54,2021-09-24
2020-01-24,211.24,3295.47,2021-09-24
2020-01-27,209.34,3243.63,2021-09-24
2020-01-28,210.39,3276.24,2021-09-24
2020-01-29,214.44,3273.4,2021-09-24
2020-01-30,216.18,3283.66,2021-09-24
2020-01-31,213.97,3225.52,2021-09-24
2020-02-03,215.18,3248.92,2021-09-24
2020-02-04,214.62,3297.59,2021-09-24
2020-02-05,214.37,3334.69,2021-09-24
2020-02-06,212.87,3345.78,2021-09-24
2020-02-07,211.61,3327.71,2021-09-24
2020-02-10,213.21,3352.09,2021-09-24
2020-02-11,215.73,3357.75,2021-09-24
2020-02-12,217.46,3379.45,2021-09-24
2020-02-13,217.42,3373.94,2021-09-24
2020-02-14,217.09,3380.16,2021-09-24
2020-02-18,216.15,3370.29,2021-09-24
2020-02-19,215.63,3386.15,2021-09-24
2020-02-20,215.08,3373.23,2021-09-24
2020-02-21,215.87,3337.75,2021-09-24
2020-02-24,213.52,3225.89,2021-09-24
2020-02-25,212.1,3128.21,2021-09-24
2020-02-26,210.1,3116.39,2021-09-24
2020-02-27,201.0,2978.76,2021-09-24
2020-02-28,194.17,2954.22,2021-09-24
2020-03-02,202.55,3090.23,2021-09-24
2020-03-03,199.51,3003.37,2021-09-24
2020-03-04,207.02,3130.12,2021-09-24
2020-03-05,198.32,3023.94,2021-09-24
2020-03-06,198.86,2972.37,2021-09-24
2020-03-09,186.86,2746.56,2021-09-24
2020-03-10,199.86,2882.23,2021-09-24
2020-03-11,188.25,2741.38,2021-09-24
2020-03-12,170.13,2480.64,2021-09-24
2020-03-13,177.13,2711.02,2021-09-24
2020-03-16,149.01,2386.13,2021-09-24
2020-03-17,147.62,2529.19,2021-09-24
2020-03-18,137.3,2398.1,2021-09-24
2020-03-19,149.5,2409.39,2021-09-24
2020-03-20,148.49,2304.92,2021-09-24
2020-03-23,137.1,2237.4,2021-09-24
2020-03-24,161.95,2447.33,2021-09-24
2020-03-25,162.98,2475.56,2021-09-24
2020-03-26,167.35,2630.07,2021-09-24
2020-03-27,164.01,2541.47,2021-09-24
2020-03-30,168.13,2626.65,2021-09-24
2020-03-31,165.35,2584.59,2021-09-24
2020-04-01,158.17,2470.5,2021-09-24
2020-04-02,161.5,2526.9,2021-09-24
2020-04-03,160.33,2488.65,2021-09-24
2020-04-06,177.04,2663.68,2021-09-24
2020-04-07,175.59,2659.41,2021-09-24
2020-04-08,177.49,2749.98,2021-09-24
2020-04-09,183.7,2789.82,2021-09-24
2020-04-13,180.12,2761.63,2021-09-24
2020-04-14,183.99,2846.06,2021-09-24
2020-04-15,177.84,2783.36,2021-09-24
2020-04-16,179.5,2799.55,2021-09-24
2020-04-17,186.1,2874.56,2021-09-24
2020-04-20,181.65,2823.16,2021-09-24
2020-04-21,177.58,2736.56,2021-09-24
2020-04-22,186.48,2799.31,2021-09-24
2020-04-23,182.04,2797.8,2021-09-24
2020-04-24,184.02,2836.74,2021-09-24
2020-04-27,185.89,2878.48,2021-09-24
2020-04-28,185.93,2863.39,2021-09-24
2020-04-29,187.82,2939.51,2021-09-24
2020-04-30,187.56,2912.43,2021-09-24
2020-05-01,182.66,2830.71,2021-09-24
2020-05-04,181.87,2842.74,2021-09-24
2020-05-05,179.24,2868.44,2021-09-24
2020-05-06,176.97,2848.42,2021-09-24
2020-05-07,181.12,2881.19,2021-09-24
