Date,Stock,Market,joined date
2018-01-02,146.13,2695.81,2020-01-17
2018-01-03,148.86,2713.06,2020-01-17
2018-01-04,151.6,2723.99,2020-01-17
2018-01-05,154.12,2743.15,2020-01-17
2018-01-08,155.07,2747.71,2020-01-17
2018-01-09,156.12,2751.29,2020-01-17
2018-01-10,154.81,2748.23,2020-01-17
2018-01-11,155.72,2767.56,2020-01-17
2018-01-12,157.25,2786.24,2020-01-17
2018-01-16,155.53,2776.42,2020-01-17
2018-01-17,157.41,2802.56,2020-01-17
2018-01-18,157.58,2798.03,2020-01-17
2018-01-19,159.18,2810.3,2020-01-17
2018-01-22,160.47,2832.97,2020-01-17
2018-01-23,160.84,2839.13,2020-01-17
2018-01-24,162.19,2837.54,2020-01-17
2018-01-25,162.79,2839.25,2020-01-17
2018-01-26,167.23,2872.87,2020-01-17
2018-01-29,161.75,2853.53,2020-01-17
2018-01-30,161.63,2822.43,2020-01-17
2018-01-31,161.79,2823.81,2020-01-17
2018-02-01,163.57,2821.98,2020-01-17
2018-02-02,158.61,2762.13,2020-01-17
2018-02-05,151.31,2648.94,2020-01-17
2018-02-06,157.94,2695.14,2020-01-17
2018-02-07,157.98,2681.66,2020-01-17
2018-02-08,152.14,2581.0,2020-01-17
2018-02-09,154.64,2619.55,2020-01-17
2018-02-12,159.28,2656.0,2020-01-17
2018-02-13,161.6,2662.94,2020-01-17
2018-02-14,163.55,2698.63,2020-01-17
2018-02-15,166.99,2731.2,2020-01-17
2018-02-16,168.21,2732.22,2020-01-17
2018-02-20,168.13,2716.26,2020-01-17
2018-02-21,166.99,2701.33,2020-01-17
2018-02-22,167.17,2703.96,2020-01-17
2018-02-23,169.3,2747.3,2020-01-17
2018-02-26,170.2,2779.6,2020-01-17
2018-02-27,168.37,2744.28,2020-01-17
2018-02-28,166.88,2713.83,2020-01-17
2018-03-01,166.52,2677.67,2020-01-17
2018-03-02,166.94,2691.25,2020-01-17
2018-03-05,167.5,2720.94,2020-01-17
2018-03-06,166.06,2728.12,2020-01-17
2018-03-07,166.76,2726.8,2020-01-17
2018-03-08,168.37,2738.97,2020-01-17
2018-03-09,170.05,2786.57,2020-01-17
2018-03-12,169.86,2783.02,2020-01-17
2018-03-13,169.08,2765.31,2020-01-17
2018-03-14,166.69,2749.48,2020-01-17
2018-03-15,166.48,2747.33,2020-01-17
2018-03-16,167.3,2752.01,2020-01-17
2018-03-19,165.39,2712.92,2020-01-17
2018-03-20,167.46,2716.94,2020-01-17
2018-03-21,167.21,2711.93,2020-01-17
2018-03-22,160.91,2643.69,2020-01-17
2018-03-23,158.42,2588.26,2020-01-17
2018-03-26,163.3,2658.55,2020-01-17
2018-03-27,159.54,2612.62,2020-01-17
2018-03-28,158.94,2605.0,2020-01-17
2018-03-29,161.3,2640.87,2020-01-17
2018-04-02,158.66,2581.88,2020-01-17
2018-04-03,160.87,2614.45,2020-01-17
2018-04-04,162.26,2644.69,2020-01-17
2018-04-05,162.23,2662.84,2020-01-17
2018-04-06,158.99,2604.47,2020-01-17
2018-04-09,159.46,2613.16,2020-01-17
2018-04-10,162.64,2656.87,2020-01-17
2018-04-11,162.4,2642.19,2020-01-17
2018-04-12,163.95,2663.99,2020-01-17
2018-04-13,162.89,2656.3,2020-01-17
2018-04-16,164.38,2677.84,2020-01-17
2018-04-17,165.94,2706.39,2020-01-17
2018-04-18,166.47,2708.64,2020-01-17
2018-04-19,165.72,2693.13,2020-01-17
2018-04-20,164.02,2670.14,2020-01-17
2018-04-23,162.48,2670.29,2020-01-17
2018-04-24,160.46,2634.56,2020-01-17
2018-04-25,162.54,2639.4,2020-01-17
2018-04-26,164.68,2666.94,2020-01-17
2018-04-27,163.03,2669.91,2020-01-17
2018-04-30,162.2,2648.05,2020-01-17
2018-05-01,164.16,2654.8,2020-01-17
2018-05-02,162.71,2635.67,2020-01-17
2018-05-03,163.12,2629.73,2020-01-17
2018-05-04,166.31,2663.42,2020-01-17
2018-05-07,167.39,2672.63,2020-01-17
2018-05-08,167.89,2671.92,2020-01-17
2018-05-09,170.55,2697.79,2020-01-17
2018-05-10,173.78,2723.07,2020-01-17
2018-05-11,174.05,2727.72,2020-01-17
2018-05-14,172.0,2730.13,2020-01-17
2018-05-15,170.89,2711.45,2020-01-17
2018-05-16,172.24,2722.46,2020-01-17
2018-05-17,171.54,2720.13,2020-01-17
2018-05-18,172.52,2712.97,2020-01-17
2018-05-21,175.09,2733.01,2020-01-17
2018-05-22,174.36,2724.44,2020-01-17
2018-05-23,174.05,2733.29,2020-01-17
2018-05-24,173.95,2727.76,2020-01-17
2018-05-25,174.03,2721.33,2020-01-17
2018-05-29,170.81,2689.86,2020-01-17
2018-05-30,173.42,2724.01,2020-01-17
2018-05-31,170.57,2705.27,2020-01-17
2018-06-01,172.96,2734.62,2020-01-17
2018-06-04,175.23,2746.87,2020-01-17
2018-06-05,176.22,2748.8,2020-01-17
2018-06-06,178.31,2772.35,2020-01-17
2018-06-07,177.76,2770.37,2020-01-17
