Date,Stock,Market,joined date
2020-01-02,11.1699394589281,25980.07,2021-11-16
2020-01-03,11.0620160228515,25813.04,2021-11-16
2020-01-06,10.9959481542835,25656.19,2021-11-16
2020-01-07,10.9859720332746,25810.51,2021-11-16
2020-01-08,11.0385717140763,25923.15,2021-11-16
2020-01-09,11.0583009439201,26152.96,2021-11-16
2020-01-10,11.0065830442132,26156.61,2021-11-16
2020-01-13,10.9593311289982,26047.91,2021-11-16
2020-01-14,10.9557031745502,26077.11,2021-11-16
2020-01-15,10.8323856668227,25912.01,2021-11-16
2020-01-16,10.9301056710501,26084.98,2021-11-16
2020-01-17,10.810750875948,26300.93,2021-11-16
2020-01-20,10.7367510178723,26184.78,2021-11-16
2020-01-21,10.7562391949998,26014.82,2021-11-16
2020-01-22,10.6407284584586,25870.59,2021-11-16
2020-01-23,10.51491473348,25854.82,2021-11-16
2020-01-24,10.5402396410896,26115.61,2021-11-16
2020-01-27,10.2316666115867,25510.26,2021-11-16
2020-01-28,10.5571718240324,26130.14,2021-11-16
2020-01-29,10.4673308746628,26287.6,2021-11-16
2020-01-30,10.2137610024046,25873.17,2021-11-16
2020-01-31,9.99700489200972,25293.57,2021-11-16
2020-02-03,10.1888711960368,25518.21,2021-11-16
2020-02-04,10.3044289610547,25932.51,2021-11-16
2020-02-05,10.5263157894737,26333.48,2021-11-16
2020-02-06,10.3431237990667,26582.33,2021-11-16
2020-02-07,10.5905912478251,26553.56,2021-11-16
2020-02-10,10.4770528107171,26575.5,2021-11-16
2020-02-11,10.5386084583902,26786.6,2021-11-16
2020-02-12,10.5252859068574,26977.06,2021-11-16
2020-02-13,10.4974471821443,27004.71,2021-11-16
2020-02-14,10.4033096517068,27000.45,2021-11-16
2020-02-17,10.4483109791771,27294.7,2021-11-16
2020-02-18,10.4197690730549,27394.27,2021-11-16
2020-02-19,10.5339354782947,27675.06,2021-11-16
2020-02-20,10.3408490494829,27255.25,2021-11-16
2020-02-21,10.2054757386825,26915.99,2021-11-16
2020-02-24,9.60184049745516,25434.49,2021-11-16
2020-02-25,9.58006962576157,25094.36,2021-11-16
2020-02-26,9.52785030461274,25445.97,2021-11-16
2020-02-27,9.40105140443875,24767.22,2021-11-16
2020-02-28,9.0294698080549,23907.05,2021-11-16
2020-03-02,8.79651790584539,23514.49,2021-11-16
2020-03-03,8.74684421010302,23625.54,2021-11-16
2020-03-04,8.60435339308579,23777.79,2021-11-16
2020-03-05,8.32134508181985,23320.2,2021-11-16
2020-03-06,8.17712976651279,22526.7,2021-11-16
2020-03-09,7.09944024084525,20105.88,2021-11-16
2020-03-10,6.51477554703364,19438.13,2021-11-16
2020-03-11,6.6925806996789,19480.78,2021-11-16
2020-03-12,5.401415774818,16286.37,2021-11-16
2020-03-13,5.75013881177125,17415.07,2021-11-16
2020-03-16,5.11868689692186,16360.04,2021-11-16
2020-03-17,4.90862307844562,16680.56,2021-11-16
2020-03-18,4.58890804723137,16486.21,2021-11-16
2020-03-19,4.45988561654819,16859.82,2021-11-16
2020-03-20,4.54817666559727,17171.55,2021-11-16
2020-03-23,4.67006164567139,16988.54,2021-11-16
2020-03-24,5.35251984811874,18403.36,2021-11-16
