Date,Stock,Market,joined date
2020-01-02,54.33,3257.85,2022-07-28
2020-01-03,54.24,3234.85,2022-07-28
2020-01-06,54.15,3246.28,2022-07-28
2020-01-07,53.92,3237.18,2022-07-28
2020-01-08,54.05,3253.05,2022-07-28
2020-01-09,54.19,3274.7,2022-07-28
2020-01-10,54.25,3265.35,2022-07-28
2020-01-13,54.59,3288.13,2022-07-28
2020-01-14,54.19,3283.15,2022-07-28
2020-01-15,54.74,3289.29,2022-07-28
2020-01-16,55.19,3316.81,2022-07-28
2020-01-17,55.16,3329.62,2022-07-28
2020-01-21,55.54,3320.79,2022-07-28
2020-01-22,55.46,3321.75,2022-07-28
2020-01-23,55.44,3325.54,2022-07-28
2020-01-24,55.09,3295.47,2022-07-28
2020-01-27,54.69,3243.63,2022-07-28
2020-01-28,54.85,3276.24,2022-07-28
2020-01-29,54.56,3273.4,2022-07-28
2020-01-30,58.8,3283.66,2022-07-28
2020-01-31,57.38,3225.52,2022-07-28
2020-02-03,57.55,3248.92,2022-07-28
2020-02-04,57.43,3297.59,2022-07-28
2020-02-05,57.92,3334.69,2022-07-28
2020-02-06,58.42,3345.78,2022-07-28
2020-02-07,58.66,3327.71,2022-07-28
2020-02-10,58.97,3352.09,2022-07-28
2020-02-11,58.87,3357.75,2022-07-28
2020-02-12,58.95,3379.45,2022-07-28
2020-02-13,59.03,3373.94,2022-07-28
2020-02-14,59.68,3380.16,2022-07-28
2020-02-18,59.66,3370.29,2022-07-28
2020-02-19,59.3,3386.15,2022-07-28
2020-02-20,59.04,3373.23,2022-07-28
2020-02-21,58.75,3337.75,2022-07-28
2020-02-24,57.74,3225.89,2022-07-28
2020-02-25,57.02,3128.21,2022-07-28
2020-02-26,56.86,3116.39,2022-07-28
2020-02-27,54.46,2978.76,2022-07-28
2020-02-28,52.8,2954.22,2022-07-28
2020-03-02,55.6,3090.23,2022-07-28
2020-03-03,54.79,3003.37,2022-07-28
2020-03-04,58.01,3130.12,2022-07-28
2020-03-05,56.86,3023.94,2022-07-28
2020-03-06,55.66,2972.37,2022-07-28
2020-03-09,53.94,2746.56,2022-07-28
2020-03-10,54.91,2882.23,2022-07-28
2020-03-11,52.34,2741.38,2022-07-28
2020-03-12,47.51,2480.64,2022-07-28
2020-03-13,50.92,2711.02,2022-07-28
2020-03-16,45.1,2386.13,2022-07-28
2020-03-17,48.82,2529.19,2022-07-28
2020-03-18,46.55,2398.1,2022-07-28
2020-03-19,45.47,2409.39,2022-07-28
2020-03-20,43.32,2304.92,2022-07-28
2020-03-23,41.93,2237.4,2022-07-28
2020-03-24,46.66,2447.33,2022-07-28
2020-03-25,46.11,2475.56,2022-07-28
2020-03-26,48.9,2630.07,2022-07-28
2020-03-27,47.89,2541.47,2022-07-28
2020-03-30,51.13,2626.65,2022-07-28
2020-03-31,50.08,2584.59,2022-07-28
2020-04-01,48.68,2470.5,2022-07-28
2020-04-02,50.38,2526.9,2022-07-28
2020-04-03,50.79,2488.65,2022-07-28
2020-04-06,52.03,2663.68,2022-07-28
2020-04-07,51.8,2659.41,2022-07-28
2020-04-08,51.79,2749.98,2022-07-28
2020-04-09,52.34,2789.82,2022-07-28
2020-04-13,52.02,2761.63,2022-07-28
2020-04-14,54.51,2846.06,2022-07-28
2020-04-15,53.71,2783.36,2022-07-28
2020-04-16,53.43,2799.55,2022-07-28
2020-04-17,53.48,2874.56,2022-07-28
2020-04-20,53.49,2823.16,2022-07-28
2020-04-21,51.08,2736.56,2022-07-28
2020-04-22,52.22,2799.31,2022-07-28
2020-04-23,51.33,2797.8,2022-07-28
2020-04-24,51.41,2836.74,2022-07-28
