Date,Stock,Market,joined date
2020-01-02,20.5732778548312,17099.95,2021-05-10
2020-01-03,20.3631048542196,17066.12,2021-05-10
2020-01-06,20.4813700532284,17105.47,2021-05-10
2020-01-07,20.6413904483581,17168.06,2021-05-10
2020-01-08,20.8406842064892,17167.82,2021-05-10
2020-01-09,21.0510188447985,17235.57,2021-05-10
2020-01-10,21.1724137931035,17234.49,2021-05-10
2020-01-13,21.1014093137255,17293.42,2021-05-10
2020-01-14,21.0490045941807,17352.9,2021-05-10
2020-01-15,20.7806149835135,17415.17,2021-05-10
2020-01-16,20.8972392638037,17484.77,2021-05-10
2020-01-17,21.1360330705045,17559.02,2021-05-10
2020-01-20,21.2402268894681,17597.39,2021-05-10
2020-01-21,20.6397795974592,17572.28,2021-05-10
2020-01-22,20.7476777828537,17599.86,2021-05-10
2020-01-23,20.8123761621704,17621.78,2021-05-10
2020-01-24,20.651346826967,17565.34,2021-05-10
2020-01-27,20.0424499696786,17442.52,2021-05-10
2020-01-28,20.2584568605093,17500.88,2021-05-10
2020-01-29,20.0742649287663,17511.75,2021-05-10
2020-01-30,20.0484554815263,17490.56,2021-05-10
2020-01-31,19.478655081224,17318.49,2021-05-10
2020-02-03,19.4369165913881,17379.76,2021-05-10
2020-02-04,19.6579264617239,17512.73,2021-05-10
2020-02-05,20.0256062660039,17651.59,2021-05-10
2020-02-06,20.1520626317374,17757.49,2021-05-10
2020-02-07,19.9534219818195,17655.49,2021-05-10
2020-02-10,19.9474277131055,17740.57,2021-05-10
2020-02-11,20.24687641126,17777.11,2021-05-10
2020-02-12,20.0920824213148,17832.85,2021-05-10
2020-02-13,19.71056003618,17821.17,2021-05-10
2020-02-14,19.7026863869604,17848.36,2021-05-10
2020-02-18,19.6137598068799,17858.34,2021-05-10
2020-02-19,19.9198063247087,17925.36,2021-05-10
2020-02-20,20.054302737763,17944.06,2021-05-10
2020-02-21,19.5053698381485,17843.53,2021-05-10
2020-02-24,17.9807402949142,17562.74,2021-05-10
2020-02-25,17.6696542893726,17177.37,2021-05-10
2020-02-26,17.5468867216804,17041.92,2021-05-10
2020-02-27,17.0525844039438,16767.72,2021-05-10
2020-02-28,16.8408480143326,16263.05,2021-05-10
2020-03-02,17.1971175499174,16553.26,2021-05-10
2020-03-03,16.6679118416137,16423.62,2021-05-10
2020-03-04,16.9157202630006,16779.53,2021-05-10
2020-03-05,16.6505035434539,16553.99,2021-05-10
2020-03-06,16.0545332638009,16175.02,2021-05-10
2020-03-09,14.2033428216918,14514.24,2021-05-10
2020-03-10,14.954088325317,14958.09,2021-05-10
2020-03-11,14.0897212543554,14270.09,2021-05-10
2020-03-12,11.5682895303748,12508.45,2021-05-10
2020-03-13,13.011664130986,13716.33,2021-05-10
2020-03-16,10.5165525114155,12360.4,2021-05-10
2020-03-17,10.0359180223959,12685.21,2021-05-10
2020-03-18,9.03261394194305,11721.42,2021-05-10
2020-03-19,9.8828394210889,12170.52,2021-05-10
2020-03-20,9.48335886366802,11851.81,2021-05-10
2020-03-23,8.94729580573952,11228.49,2021-05-10
2020-03-24,10.7752956636005,12571.08,2021-05-10
2020-03-25,11.8181818181818,13139.23,2021-05-10
2020-03-26,12.0861872146119,13371.17,2021-05-10
2020-03-27,11.2756671674895,12687.74,2021-05-10
2020-03-30,11.9980238548945,13038.5,2021-05-10
2020-03-31,12.5684614837471,13378.75,2021-05-10
2020-04-01,11.8480405976882,12876.37,2021-05-10
2020-04-02,11.6127662585804,13097.84,2021-05-10
2020-04-03,11.294979226815,12938.3,2021-05-10
2020-04-06,11.7371890282798,13592.7,2021-05-10
2020-04-07,11.9202458372043,13614.14,2021-05-10
2020-04-08,12.2395089922923,13925.71,2021-05-10
2020-04-09,12.7961067773563,14166.63,2021-05-10
2020-04-13,12.638469284995,14075.94,2021-05-10
2020-04-14,12.5999567754484,14258.43,2021-05-10
2020-04-15,11.8276521862377,13958.58,2021-05-10
2020-04-16,11.5562184814262,13899.32,2021-05-10
2020-04-17,12.4017716816688,14359.88,2021-05-10
2020-04-20,12.1032166843408,14388.28,2021-05-10
2020-04-21,11.4521010769339,13940.06,2021-05-10
2020-04-22,11.5827388939897,14288.16,2021-05-10
2020-04-23,11.434866036529,14251.09,2021-05-10
2020-04-24,11.3884555382215,14420.36,2021-05-10
2020-04-27,11.6330458336303,14642.11,2021-05-10
2020-04-28,11.9273922675624,14798.29,2021-05-10
2020-04-29,13.0647834546372,15228.11,2021-05-10
2020-04-30,12.5744207732587,14780.74,2021-05-10
2020-05-01,11.9994319795513,14620.34,2021-05-10
2020-05-04,11.8795711141092,14745.04,2021-05-10
2020-05-05,11.7052331790673,14811.56,2021-05-10
2020-05-06,11.8008909000919,14830.74,2021-05-10
2020-05-07,11.7394416607015,14833.69,2021-05-10
2020-05-08,12.2657091561939,14966.56,2021-05-10
2020-05-11,12.2304726545766,15103.22,2021-05-10
2020-05-12,12.0338140228742,14881.16,2021-05-10
2020-05-13,11.5185474147103,14503.21,2021-05-10
2020-05-14,11.4607061503417,14509.66,2021-05-10
2020-05-15,11.1567904734902,14638.9,2021-05-10
2020-05-19,11.4052076608565,14885.48,2021-05-10
2020-05-20,11.6330935251799,14997.63,2021-05-10
2020-05-21,11.5754013761468,14884.85,2021-05-10
2020-05-22,11.354866371302,14913.64,2021-05-10
2020-05-25,11.6347254004577,15075.42,2021-05-10
2020-05-26,12.5426435363287,15148.12,2021-05-10
2020-05-27,12.8654545454545,15272.03,2021-05-10
2020-05-28,12.5935615144248,15262.73,2021-05-10
2020-05-29,12.4192025564674,15192.83,2021-05-10
2020-06-01,12.7109277135067,15236.21,2021-05-10
2020-06-02,13.1399822432672,15396.33,2021-05-10
2020-06-03,13.6218780108204,15572.63,2021-05-10
2020-06-04,13.6909171729145,15527.87,2021-05-10
2020-06-05,14.5411203814064,15854.07,2021-05-10
2020-06-08,15.0201763562995,15974.91,2021-05-10
2020-06-09,14.8576114507231,15833.74,2021-05-10
2020-06-10,14.6894340466781,15701.33,2021-05-10
2020-06-11,13.7404580152672,15050.92,2021-05-10
2020-06-12,13.8261061621144,15256.57,2021-05-10
2020-06-15,13.7140751658069,15359.66,2021-05-10
2020-06-16,13.9491950967361,15515.83,2021-05-10
2020-06-17,13.7211531372115,15428.69,2021-05-10
2020-06-18,13.699536730642,15479.83,2021-05-10
2020-06-19,13.7396162611189,15474.2,2021-05-10
2020-06-22,13.7130177514793,15516.9,2021-05-10
2020-06-23,13.8205980066445,15564.75,2021-05-10
2020-06-24,13.3460438512869,15294.38,2021-05-10
2020-06-25,13.5890290407744,15446.14,2021-05-10
2020-06-26,13.0406195207481,15188.98,2021-05-10
2020-06-29,13.3191769788387,15389.72,2021-05-10
2020-06-30,13.6078980328593,15515.22,2021-05-10
2020-07-02,13.5736931357369,15622.4,2021-05-10
2020-07-03,13.4883720930233,15596.75,2021-05-10
2020-07-06,13.9258274231678,15669.67,2021-05-10
2020-07-07,13.4980149977944,15595.5,2021-05-10
2020-07-08,13.5085122131754,15629.19,2021-05-10
