Date,Stock,Market,joined date
2020-01-02,30.2844983580188,6041.5,2021-07-26
2020-01-03,30.0707415589922,6044.16,2021-07-26
2020-01-06,30.15099281413,6013.59,2021-07-26
2020-01-07,30.1216574856709,6012.35,2021-07-26
2020-01-08,30.6025581240423,6031.0,2021-07-26
2020-01-09,30.7468073292616,6042.55,2021-07-26
2020-01-10,30.8441197402368,6037.11,2021-07-26
2020-01-13,30.8384266835889,6036.14,2021-07-26
2020-01-14,30.849773564331,6040.89,2021-07-26
2020-01-15,30.1859656164291,6032.61,2021-07-26
2020-01-16,30.0227153785338,6039.03,2021-07-26
2020-01-17,30.4918614449815,6100.72,2021-07-26
2020-01-20,30.938328581413,6078.54,2021-07-26
2020-01-21,30.8219557604503,6045.99,2021-07-26
2020-01-22,30.3478145137141,6010.98,2021-07-26
2020-01-23,29.6056630673844,5971.79,2021-07-26
2020-01-24,29.4039837299795,6024.26,2021-07-26
2020-01-27,28.6829262919023,5863.02,2021-07-26
2020-01-28,29.2443577536806,5925.82,2021-07-26
2020-01-29,29.7242252435734,5954.89,2021-07-26
2020-01-30,29.3811078511395,5871.77,2021-07-26
2020-01-31,29.1191054610802,5806.34,2021-07-26
2020-02-03,29.0826256192497,5832.51,2021-07-26
2020-02-04,29.3442134204918,5935.05,2021-07-26
2020-02-05,29.5269096267623,5985.4,2021-07-26
2020-02-06,29.2204227285204,6038.18,2021-07-26
2020-02-07,29.2313668844315,6029.75,2021-07-26
2020-02-10,29.1135304962528,6015.67,2021-07-26
2020-02-11,28.2401091405185,6054.76,2021-07-26
2020-02-12,29.8816149932599,6104.73,2021-07-26
2020-02-13,29.4983252214067,6093.14,2021-07-26
2020-02-14,29.457632992549,6069.35,2021-07-26
2020-02-17,30.402916513185,6085.95,2021-07-26
2020-02-18,29.8640336678537,6056.82,2021-07-26
2020-02-19,29.6975950215002,6111.24,2021-07-26
2020-02-20,29.7474633110125,6062.3,2021-07-26
2020-02-21,29.6963946869069,6029.72,2021-07-26
2020-02-24,28.3236931491388,5791.87,2021-07-26
2020-02-25,27.5919277632725,5679.68,2021-07-26
2020-02-26,27.6871192341167,5684.55,2021-07-26
2020-02-27,27.4893869740228,5495.6,2021-07-26
2020-02-28,26.5261347474727,5309.9,2021-07-26
2020-03-02,26.6277788291346,5333.52,2021-07-26
2020-03-03,26.787908577046,5393.17,2021-07-26
2020-03-04,27.0500473194901,5464.89,2021-07-26
2020-03-05,26.2767487861896,5361.1,2021-07-26
2020-03-06,26.2941103449832,5139.11,2021-07-26
2020-03-09,24.9487745967788,4707.91,2021-07-26
2020-03-10,24.0976765170315,4636.61,2021-07-26
2020-03-11,24.240887837305,4610.25,2021-07-26
2020-03-12,20.5712304715895,4044.26,2021-07-26
2020-03-13,20.882842865075,4118.36,2021-07-26
2020-03-16,19.8407817793531,3881.46,2021-07-26
2020-03-17,20.1172175672407,3991.78,2021-07-26
2020-03-18,19.5069515681952,3754.84,2021-07-26
2020-03-19,19.4772569351649,3855.5,2021-07-26
2020-03-20,20.0887605603679,4048.8,2021-07-26
2020-03-23,19.0940766550522,3914.31,2021-07-26
2020-03-24,20.5870296858819,4242.7,2021-07-26
2020-03-25,21.857864043868,4432.3,2021-07-26
2020-03-26,22.0174684046847,4543.58,2021-07-26
2020-03-27,21.154767342119,4351.49,2021-07-26
2020-03-30,21.1198374037622,4378.51,2021-07-26
2020-03-31,22.3502812396603,4396.12,2021-07-26
2020-04-01,21.8802069630799,4207.24,2021-07-26
2020-04-02,21.4623025565869,4220.96,2021-07-26
2020-04-03,21.0431887942588,4154.58,2021-07-26
2020-04-06,22.423653825402,4346.14,2021-07-26
2020-04-07,23.4276318654994,4438.27,2021-07-26
2020-04-08,23.8560495033382,4442.75,2021-07-26
2020-04-09,23.7772629922636,4506.85,2021-07-26
2020-04-14,23.3358585026843,4523.91,2021-07-26
2020-04-15,22.4139435452205,4353.72,2021-07-26
2020-04-16,22.8240494945445,4350.16,2021-07-26
2020-04-17,24.1065407956843,4499.01,2021-07-26
2020-04-20,23.6085766423357,4528.3,2021-07-26
2020-04-21,22.9767138902459,4357.46,2021-07-26
2020-04-22,22.6667676723951,4411.8,2021-07-26
2020-04-23,22.1554111574479,4451.0,2021-07-26
2020-04-24,22.2893065428852,4393.32,2021-07-26
2020-04-27,23.7891568221931,4505.26,2021-07-26
2020-04-28,23.6696632373782,4569.79,2021-07-26
2020-04-29,24.49685226865,4671.11,2021-07-26
2020-04-30,24.4021340227644,4572.18,2021-07-26
2020-05-04,22.8534348314484,4378.23,2021-07-26
2020-05-05,23.2366584297915,4483.13,2021-07-26
2020-05-06,23.3312464919478,4433.38,2021-07-26
2020-05-07,23.6571020050044,4501.44,2021-07-26
2020-05-08,24.1948596763178,4549.64,2021-07-26
2020-05-11,23.5355139883944,4490.22,2021-07-26
2020-05-12,23.5737527114967,4472.5,2021-07-26
2020-05-13,22.5566756078568,4344.95,2021-07-26
2020-05-14,21.986214049569,4273.13,2021-07-26
2020-05-15,22.2194583838034,4277.63,2021-07-26
2020-05-18,24.1701403286703,4498.34,2021-07-26
2020-05-19,24.080727773106,4458.16,2021-07-26
2020-05-20,23.781558726674,4496.98,2021-07-26
2020-05-21,23.5128595359837,4445.45,2021-07-26
2020-05-22,23.6475807418549,4444.56,2021-07-26
2020-05-25,23.9831284331676,4539.91,2021-07-26
2020-05-26,24.2602250892122,4606.24,2021-07-26
2020-05-27,25.780115311826,4688.74,2021-07-26
2020-05-28,26.0785291022873,4771.39,2021-07-26
2020-05-29,25.2091980556234,4695.44,2021-07-26
2020-06-01,25.8865445638257,4762.78,2021-07-26
2020-06-02,26.3363638394354,4858.97,2021-07-26
2020-06-03,27.9621704799453,5022.38,2021-07-26
2020-06-04,27.5009918948026,5011.98,2021-07-26
2020-06-05,28.7177982645198,5197.79,2021-07-26
2020-06-08,27.8009891822308,5175.52,2021-07-26
2020-06-09,27.6470521529093,5095.11,2021-07-26
2020-06-10,26.7116123604448,5053.42,2021-07-26
2020-06-11,25.0115794349236,4815.6,2021-07-26
2020-06-12,25.3047030622236,4839.26,2021-07-26
2020-06-15,25.3668312123546,4815.72,2021-07-26
2020-06-16,25.7923546505079,4952.46,2021-07-26
2020-06-17,25.7352941176471,4995.97,2021-07-26
2020-06-18,24.8739778200964,4958.75,2021-07-26
2020-06-19,24.7974520869419,4979.45,2021-07-26
2020-06-22,25.4824038006891,4948.7,2021-07-26
2020-06-23,26.3824350755803,5017.68,2021-07-26
2020-06-24,25.2843433945708,4871.36,2021-07-26
2020-06-25,25.8160403813796,4918.58,2021-07-26
2020-06-26,25.872125630959,4909.64,2021-07-26
2020-06-29,26.3296915744986,4945.46,2021-07-26
2020-06-30,25.9268410471816,4935.99,2021-07-26
2020-07-01,25.419343225821,4926.94,2021-07-26
2020-07-02,26.274386406545,5049.38,2021-07-26
2020-07-03,25.7409594510995,5007.14,2021-07-26
2020-07-06,26.5511743353725,5081.51,2021-07-26
2020-07-07,26.3380329309936,5043.73,2021-07-26
2020-07-08,25.8981069231553,4981.13,2021-07-26
2020-07-09,25.7205708161769,4921.01,2021-07-26
2020-07-10,26.3696037780615,4970.48,2021-07-26
2020-07-13,26.3996461903088,5056.23,2021-07-26
2020-07-14,26.3703703703704,5007.46,2021-07-26
2020-07-15,26.6367723237717,5108.98,2021-07-26
2020-07-16,26.4997154240182,5085.28,2021-07-26
2020-07-17,26.8510054844608,5069.42,2021-07-26
2020-07-20,27.0593486072647,5093.18,2021-07-26
2020-07-21,27.9045643153527,5104.28,2021-07-26
2020-07-22,27.1212909942739,5037.12,2021-07-26
2020-07-23,27.6051569818671,5033.76,2021-07-26
2020-07-24,26.9150535504096,4956.43,2021-07-26
2020-07-27,27.4033772429758,4939.62,2021-07-26
2020-07-28,27.0710336425826,4928.94,2021-07-26
2020-07-29,26.7749770095971,4958.74,2021-07-26
2020-07-30,26.8310885248231,4852.94,2021-07-26
2020-07-31,26.0028493047462,4783.69,2021-07-26
2020-08-03,26.5974337563362,4875.93,2021-07-26
2020-08-04,27.045524272532,4889.52,2021-07-26
2020-08-05,27.5471474320958,4933.34,2021-07-26
2020-08-06,27.1401598366008,4885.13,2021-07-26
2020-08-07,26.8663225137309,4889.52,2021-07-26
2020-08-10,27.0925265233312,4909.51,2021-07-26
2020-08-11,28.0269058295965,5027.99,2021-07-26
2020-08-12,28.6480117820324,5073.31,2021-07-26
2020-08-13,28.508150248051,5042.38,2021-07-26
2020-08-14,28.5073177663052,4962.93,2021-07-26
2020-08-17,28.4381565048129,4971.94,2021-07-26
2020-08-18,28.5641007288646,4938.06,2021-07-26
2020-08-19,28.2762049048385,4977.23,2021-07-26
2020-08-20,27.8686969308856,4911.24,2021-07-26
2020-08-21,27.5294284164091,4896.33,2021-07-26
2020-08-24,28.0000942962553,5007.89,2021-07-26
2020-08-25,28.4466743187117,5008.27,2021-07-26
2020-08-26,28.7799569424401,5048.43,2021-07-26
2020-08-27,28.5005023937585,5015.97,2021-07-26
2020-08-28,28.4185592534399,5002.94,2021-07-26
2020-08-31,28.2346622105514,4947.22,2021-07-26
2020-09-01,27.9885187523075,4938.1,2021-07-26
2020-09-02,28.3819502886201,5031.74,2021-07-26
2020-09-03,28.4377036554298,5009.52,2021-07-26
2020-09-04,28.2039444089305,4965.07,2021-07-26
2020-09-07,28.083049725846,5053.72,2021-07-26
2020-09-08,27.9515177214742,4973.52,2021-07-26
2020-09-09,28.2541218680293,5042.98,2021-07-26
2020-09-10,28.2919683885982,5023.93,2021-07-26
2020-09-11,28.5404624277457,5034.14,2021-07-26
2020-09-14,28.4951341087112,5051.88,2021-07-26
2020-09-15,28.161423291955,5067.93,2021-07-26
2020-09-16,28.046547344793,5074.42,2021-07-26
2020-09-17,28.4148797535836,5039.5,2021-07-26
2020-09-18,28.0003787833951,4978.18,2021-07-26
2020-09-21,26.7744706893102,4792.04,2021-07-26
