Date,Stock,Market,joined date
2020-01-02,2.83780231335441,7604.3,2021-09-09
2020-01-03,2.80169593551258,7622.4,2021-09-09
2020-01-06,2.80590411734504,7575.34,2021-09-09
2020-01-07,2.86606650744065,7573.85,2021-09-09
2020-01-08,2.86301782510191,7574.93,2021-09-09
2020-01-09,2.53984844525744,7598.12,2021-09-09
2020-01-10,2.49817175094032,7587.85,2021-09-09
2020-01-13,2.46123074525282,7617.6,2021-09-09
2020-01-14,2.40813298100825,7622.35,2021-09-09
2020-01-15,2.35754976470122,7642.8,2021-09-09
2020-01-16,2.40729117631668,7609.81,2021-09-09
2020-01-17,2.4331390811177,7674.56,2021-09-09
2020-01-20,2.4430857291532,7651.44,2021-09-09
2020-01-21,2.43065522010286,7610.7,2021-09-09
2020-01-22,2.46373383790594,7571.92,2021-09-09
2020-01-23,2.45689768284043,7507.67,2021-09-09
2020-01-24,2.41317537528106,7585.98,2021-09-09
2020-01-27,2.36062706399857,7412.05,2021-09-09
2020-01-28,2.40086498879683,7480.69,2021-09-09
2020-01-29,2.33643642991997,7483.57,2021-09-09
2020-01-30,2.36542666719043,7381.96,2021-09-09
2020-01-31,2.32303367078922,7286.01,2021-09-09
2020-02-03,2.30689274345487,7326.31,2021-09-09
2020-02-04,2.35824473629359,7439.82,2021-09-09
2020-02-05,2.34845234845235,7482.48,2021-09-09
2020-02-06,2.39621982909085,7504.79,2021-09-09
2020-02-07,2.36483873462765,7466.7,2021-09-09
2020-02-10,2.35405018013709,7446.88,2021-09-09
2020-02-11,2.30528142564827,7499.44,2021-09-09
2020-02-12,2.33994297563507,7534.37,2021-09-09
2020-02-13,2.34156904693574,7452.03,2021-09-09
2020-02-14,2.39850232218342,7409.13,2021-09-09
2020-02-17,2.3904900634689,7433.25,2021-09-09
2020-02-18,2.35133554299091,7382.01,2021-09-09
2020-02-19,2.34222595439566,7457.02,2021-09-09
2020-02-20,2.39870695206442,7436.64,2021-09-09
2020-02-21,2.37786452591852,7403.92,2021-09-09
2020-02-24,2.31459337875049,7156.83,2021-09-09
2020-02-25,2.289366571737,7017.88,2021-09-09
2020-02-26,2.21868104927684,7042.47,2021-09-09
2020-02-27,2.0491908884766,6796.4,2021-09-09
2020-02-28,2.03069112726427,6580.61,2021-09-09
2020-03-02,2.00622202955469,6654.89,2021-09-09
2020-03-03,2.09827833572448,6718.2,2021-09-09
2020-03-04,2.0830115830116,6815.59,2021-09-09
2020-03-05,2.04090885538113,6705.43,2021-09-09
2020-03-06,2.0111943219477,6462.55,2021-09-09
2020-03-09,1.79303009611844,5965.77,2021-09-09
2020-03-10,1.74102706400112,5960.23,2021-09-09
2020-03-11,1.65314154583793,5876.52,2021-09-09
2020-03-12,1.36332780208176,5237.48,2021-09-09
2020-03-13,1.19616989933714,5366.11,2021-09-09
2020-03-16,1.18882319750752,5151.08,2021-09-09
2020-03-17,1.11244999277,5294.9,2021-09-09
2020-03-18,1.32679131343636,5080.58,2021-09-09
2020-03-19,1.33226139887451,5151.61,2021-09-09
2020-03-20,1.25490378682928,5190.78,2021-09-09
2020-03-23,1.05895259541542,4993.89,2021-09-09
2020-03-24,1.17193378480057,5446.01,2021-09-09
2020-03-25,1.31447587354412,5688.2,2021-09-09
